Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1679603060,Device: id=0,TX,0.36112639142119,1021.6040468672,1079.3842694946,361143,127707482
1679603061,Device: id=0,TX,1.7303836295389,4890.2122727649,5167.0736534912,2091577,739001810
1679603062,Device: id=0,TX,1.7597612517908,4977.4001236588,5258.9619239453,3851348,1361180272
1679603063,Device: id=0,TX,1.7589633030029,4971.6909797977,5253.1251082782,5610345,1982653550
1679603064,Device: id=0,TX,1.762282424294,4971.9633839813,5253.9285718683,7372646,2604155524
1679603065,Device: id=0,TX,1.7584286495795,4970.1544183488,5251.5030022815,9131107,3225436256
1679603066,Device: id=0,TX,1.7579234558921,4973.4727374081,5254.7404903508,10889078,3847137162
1679603067,Device: id=0,TX,1.7615121914405,4977.7163507567,5259.5583013872,12650611,4469359056
1679603068,Device: id=0,TX,1.7638428370195,4984.3085898577,5266.5234437808,14414479,5092406518
1679603069,Device: id=0,TX,1.9744162988989,5586.3593782444,5902.2659860682,16388915,5790708408
1679603070,Device: id=0,TX,1.976095991246,5586.198878684,5902.3742372834,18365050,6488997052
1679603071,Device: id=0,TX,1.9687798109899,5581.9800834047,5896.9848531631,20333861,7186755616
1679603072,Device: id=0,TX,1.9761454878737,5584.6909395486,5900.8742176083,22310029,7884849936
1679603073,Device: id=0,TX,1.9740246108298,5585.4867058062,5901.3306435389,24284111,8583056072
1679603074,Device: id=0,TX,1.9729862049746,5586.1105212629,5901.7883140588,26257104,9281322292
1679603075,Device: id=0,TX,1.9764366324246,5586.7843729008,5903.0142340887,28233590,9979687782
1679603076,Device: id=0,TX,1.9765778195352,5584.2116906368,5900.4641417625,30210228,10677735496
1679603077,Device: id=0,TX,1.9697698550875,5577.6325677732,5892.7957445872,32181213,11375369670
1679603078,Device: id=0,TX,1.9703054858759,5569.5679820966,5884.8168598368,34153107,12072126960
1679603079,Device: id=0,TX,1.8901351498938,5336.7575910316,5639.1792150146,36043257,12739226900
1679603080,Device: id=0,TX,1.8876055075335,5339.7108531027,5641.7277343081,37930870,13406693406
1679603081,Device: id=0,TX,1.8884874825117,5338.0679896845,5640.2259868864,39819417,14073972934
1679603082,Device: id=0,TX,1.8880577361192,5333.845100787,5635.9343385661,41707492,14740709668
1679603083,Device: id=0,TX,1.8886281698256,5334.4383420234,5636.6188491955,43596155,15407526758
1679603084,Device: id=0,TX,1.8891695016822,5336.0252655296,5638.2923857988,45485338,16074534682
1679603085,Device: id=0,TX,1.8883081491549,5338.5658279226,5640.6951317874,47373692,16741871614
1679603086,Device: id=0,TX,1.8862440266523,5340.4730288614,5642.2720731257,49259993,17409450906
1679603087,Device: id=0,TX,1.8877540784558,5340.3517573869,5642.3924099398,51147773,18077004042
1679603088,Device: id=0,TX,1.8903860846128,5341.7362648724,5644.1980384104,53038204,18744736940
1679603089,Device: id=0,TX,1.9477985780631,5505.8993432086,5817.5471156987,54986047,19432990054
1679603090,Device: id=0,TX,1.9422082220512,5495.1824144375,5805.9357299656,56928289,20119899802
1679603091,Device: id=0,TX,1.9447476066461,5505.2946615562,5816.4542786196,58873092,20808081236
1679603092,Device: id=0,TX,1.9500464308668,5511.1862416357,5823.1936705744,60823435,21497084286
1679603093,Device: id=0,TX,1.9484562474969,5510.9644168941,5822.7174164936,62771910,22185961468
1679603094,Device: id=0,TX,1.9538327162455,5513.7481063507,5826.3613409499,64725797,22875199130
1679603095,Device: id=0,TX,1.9511544580484,5517.8273761674,5830.0120894552,66677202,23565016118
1679603096,Device: id=0,TX,1.9491009475878,5516.2063466378,5828.0624982518,68626311,24254544760
1679603097,Device: id=0,TX,1.9469377289595,5515.021563581,5826.5316002146,70573256,24943925030
1679603098,Device: id=0,TX,1.9488410793399,5513.0387094586,5824.853282153,72522273,25633117076
1679603099,Device: id=0,TX,1.9420320980159,5485.4655486325,5796.1906843151,74464332,26318809768
1679603100,Device: id=0,TX,1.9405868569476,5487.2073910657,5797.7012881773,76404938,27004717458
1679603101,Device: id=0,TX,1.936301187941,5478.1849040794,5787.99309415,78341292,27689509248
1679603102,Device: id=0,TX,1.9349129270835,5470.1783769099,5779.7644452432,80276226,28373288992
1679603103,Device: id=0,TX,1.9363290646167,5467.451427479,5777.2640778177,82212589,29056732398
1679603104,Device: id=0,TX,1.935012759138,5482.1669027559,5791.7689442179,84147629,29742012908
