Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1686130804,Device: id=1,RX,0,0,0,0,0
1686130805,Device: id=1,RX,0,0,0,0,0
1686130806,Device: id=1,RX,0,0,0,0,0
1686130807,Device: id=1,RX,0,0,0,0,0
1686130808,Device: id=1,RX,0,0,0,0,0
1686130809,Device: id=1,RX,0,0,0,0,0
1686130810,Device: id=1,RX,1.1405716845655,3217.9727354179,3400.4642049484,1140609,402259752
1686130811,Device: id=1,RX,1.7339460330888,4892.9736378847,5170.405003179,2874559,1013882856
1686130812,Device: id=1,RX,1.7601472877911,4976.8039393625,5258.427505409,4634725,1635989962
1686130813,Device: id=1,RX,1.7568893328882,4976.9816320381,5258.0839253002,6391651,2258125650
1686130814,Device: id=1,RX,1.7584451700577,4976.9522632636,5258.3034904728,8150128,2880255944
1686130815,Device: id=1,RX,1.761190624952,4977.7565691096,5259.5470691019,9911327,3502478474
1686130816,Device: id=1,RX,1.761114417614,4977.7562707148,5259.534577533,11672511,4124722592
1686130817,Device: id=1,RX,1.7558891372601,4974.4593791497,5255.4016411113,13428449,4746547318
1686130818,Device: id=1,RX,1.7627499294482,4977.5280433509,5259.5680320627,15191238,5368752114
1686130819,Device: id=1,RX,1.7611156167601,4977.6920078027,5259.4705064843,16952415,5990985302
1686130820,Device: id=1,RX,1.7573588812545,4977.8613954425,5259.0388164432,18709795,6613225454
1686130821,Device: id=1,RX,1.7593957640466,4977.0390445271,5258.5423667745,20469191,7235355418
1686130822,Device: id=1,RX,1.7581408975831,4974.1135558646,5255.4160994779,22227334,7857120356
1686130823,Device: id=1,RX,1.7609140587888,4976.5414553554,5258.2877047617,23988255,8479190490
1686130824,Device: id=1,RX,1.7590912340626,4977.2686237261,5258.7232211761,25747400,9101368084
1686130825,Device: id=1,RX,1.7587652244321,4977.0978553526,5258.5002912617,27506167,9723505944
1686130826,Device: id=1,RX,1.7598807086738,4977.8041928944,5259.3851062822,29266087,10345745360
1686130827,Device: id=1,RX,1.7593411575321,4978.505851743,5260.0004369481,31025477,10968075868
1686130828,Device: id=1,RX,1.7606996436327,4975.0613988603,5256.7733418416,32786213,11589971384
1686130829,Device: id=1,RX,1.7583409744106,4977.4936094489,5258.8281653546,34544582,12212168002
1686130830,Device: id=1,RX,1.7611356404673,4977.8894332173,5259.6711356921,36305765,12834420914
1686130831,Device: id=1,RX,1.7617902615585,4977.6622468437,5259.5486886931,38067570,13456633900
1686130832,Device: id=1,RX,1.7581438654515,4975.3512305971,5256.6542490693,39825780,14078576198
1686130833,Device: id=1,RX,1.7592275029908,4976.8421781906,5258.3185786691,41585040,14700692962
1686130834,Device: id=1,RX,1.7592632451087,4978.6685106022,5260.1506298196,43344339,15323039174
1686130835,Device: id=1,RX,1.7587292720739,4977.0474843893,5258.4441679211,45103073,15945171782
1686130836,Device: id=1,RX,1.7623788260601,4977.3810109821,5259.3616231517,46865526,16567370594
1686130837,Device: id=1,RX,1.7533171303251,4959.9128229258,5240.4435637778,48618845,17187360358
1686130838,Device: id=1,RX,1.7611081902975,4975.7895540561,5257.5668645037,50379976,17809342108
1686130839,Device: id=1,RX,1.7606824105248,4977.882277537,5259.591463221,52140691,18431588910
1686130840,Device: id=1,RX,1.7609878496299,4977.6979165416,5259.4559724824,53901695,19053806856
1686130841,Device: id=1,RX,1.7598497818979,4977.3101846724,5258.8861497761,55661601,19675990504
1686130842,Device: id=1,RX,1.7580629345526,4974.3538883042,5255.6439578326,57419674,20297788300
1686130843,Device: id=1,RX,1.7595781073297,4975.6962059469,5257.2287031196,59179263,20919754176
1686130844,Device: id=1,RX,1.7606259814437,4977.1043546477,5258.8045116787,60939928,21541906008
1686130845,Device: id=1,RX,1.7595343099072,4977.5260660532,5259.0515556384,62699510,22164113630
1686130846,Device: id=1,RX,1.7594895687359,4978.2615939024,5259.7799249002,64459042,22786411336
1686130847,Device: id=1,RX,1.7584060221358,4977.1119145767,5258.4568781184,66217508,23408571546
1686130848,Device: id=1,RX,1.7593243195762,4975.5306653655,5257.0225564977,67976902,24030537512
1686130849,Device: id=1,RX,1.758036661508,4976.7066280054,5257.9924938467,69734982,24652641176
