System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-10,13:11:41.485,0.42,3.50,0.12,1.12,0.06,4.77,0.99,0.65,0.0000,0.0002, 12440,0.01,0.00,100,50,22014.80,6293.36,2599.34,7.00,174.90,0.85,21.17,0.06,1.14,0.05,1.20,0.05,3.50,0.98,0.92,0.0000,0.0011, 22160,0.00,0.00,90,49,3184.46,2786.99,2599.34,2.29,57.13,0.12,3.06,10.85,64.24,0.04,24.86,0.00,100.00,0.00,0.00,0.00,0.00,4.47,30.57,0.21,64.76,0.00,100.00,0.00,0.00,0.00,0.00,75.92,54.72,4.03 ,4.25 ,0.44 ,0.33 ,3.00,3.00,1.28,3.91,0.33,1.12,0.00,0.49,1.00,0.11,0.0000,0.0001,   680,29.41,70.59,0.00,0.00,0.00,53,3330.10,852.70,2599.34,7.81,195.27,2.56,64.05,
2024-03-10,13:11:42.484,0.19,2.98,0.06,1.12,0.05,10.07,1.00,0.37,0.0000,0.0010, 15200,0.33,0.28,99,50,9620.59,3230.77,2597.63,5.96,148.89,0.37,9.26,0.04,1.74,0.02,1.20,0.02,1.26,0.98,0.82,0.0000,0.0006, 23440,0.20,0.01,94,47,2057.20,1180.61,2597.63,3.48,87.12,0.08,1.98,5.58,72.71,0.01,21.70,0.00,100.00,0.00,0.00,0.00,0.00,1.89,30.72,0.08,67.31,0.00,100.00,0.00,0.00,0.00,0.00,76.79,54.06,4.30 ,4.29 ,576589.90 ,115965.66 ,3.00,3.00,0.56,3.55,0.16,1.12,0.00,1.12,1.00,0.08,0.0000,0.0008,   800,14.23,85.77,0.00,0.00,0.00,53,1465.22,412.32,2597.63,7.11,177.68,1.13,28.20,
2024-03-10,13:11:43.484,0.18,2.75,0.07,1.12,0.10,9.73,0.99,0.45,0.0000,0.0010, 17600,0.40,0.33,96,49,9479.02,3452.87,2597.35,5.49,137.26,0.36,9.12,0.03,1.53,0.02,1.20,0.13,1.90,0.93,0.40,0.0001,0.0011, 25440,0.26,0.04,88,47,1695.07,1110.65,2597.35,3.05,76.31,0.07,1.63,5.96,76.98,0.07,16.99,0.00,100.00,0.00,0.00,0.00,0.00,1.78,30.63,0.23,67.36,0.00,100.00,0.00,0.00,0.00,0.00,79.03,52.56,4.34 ,4.33 ,0.17 ,0.33 ,3.00,3.00,0.54,3.45,0.16,1.12,0.00,1.04,1.00,0.09,0.0000,0.0007,  1280,14.08,85.92,0.00,0.00,0.00,52,1405.81,408.04,2597.35,6.89,172.27,1.08,27.06,
2024-03-10,13:11:44.484,0.19,2.94,0.06,1.12,0.04,9.93,1.00,0.45,0.0000,0.0010, 18400,0.32,0.28,99,49,9875.66,3360.02,2595.01,5.88,146.96,0.38,9.51,0.03,1.66,0.02,1.22,0.02,1.38,0.99,0.33,0.0000,0.0008, 24200,0.20,0.01,93,47,1700.10,1022.98,2595.01,3.32,83.10,0.07,1.64,5.80,76.26,0.01,17.93,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.50,0.11,69.78,0.00,100.00,0.00,0.00,0.00,0.00,79.05,51.92,4.28 ,4.28 ,0.20 ,0.33 ,3.00,3.00,0.56,3.57,0.16,1.12,0.00,1.10,1.00,0.09,0.0000,0.0008,  1520,14.07,85.93,0.00,0.00,0.00,52,1452.65,407.28,2595.01,7.13,178.34,1.12,27.99,
2024-03-10,13:11:45.484,0.18,3.02,0.06,1.12,0.04,10.11,1.00,0.30,0.0000,0.0011, 18960,0.31,0.28,99,48,9374.17,3108.43,2597.29,6.03,150.79,0.36,9.02,0.04,1.73,0.02,1.18,0.02,1.35,0.99,0.86,0.0000,0.0006, 24360,0.19,0.01,94,48,2204.51,1277.42,2597.29,3.45,86.29,0.08,2.12,5.36,70.66,0.02,23.97,0.00,100.00,0.00,0.00,0.00,0.00,2.08,34.07,0.13,63.72,0.00,100.00,0.00,0.00,0.00,0.00,75.62,55.50,4.27 ,4.28 ,0.10 ,0.33 ,3.00,3.00,0.56,3.52,0.16,1.12,0.00,1.11,1.00,0.09,0.0000,0.0008,  1520,14.31,85.69,0.00,0.00,0.00,53,1460.38,414.51,2597.29,7.05,176.16,1.12,28.11,
2024-03-10,13:11:46.483,0.19,3.00,0.06,1.12,0.04,10.19,1.00,0.39,0.0000,0.0010, 19320,0.31,0.28,99,48,9819.70,3277.48,2595.07,5.99,149.81,0.38,9.46,0.04,1.71,0.02,1.20,0.01,1.35,0.99,0.76,0.0000,0.0007, 24040,0.19,0.01,94,47,1956.82,1145.90,2595.07,3.42,85.38,0.08,1.89,5.66,73.90,0.03,20.41,0.00,100.00,0.00,0.00,0.00,0.00,1.84,30.92,0.14,67.10,0.00,100.00,0.00,0.00,0.00,0.00,77.57,53.44,4.28 ,4.28 ,0.33 ,0.40 ,3.00,3.00,0.57,3.58,0.16,1.12,0.00,1.12,1.00,0.09,0.0000,0.0008,  1400,14.33,85.67,0.00,0.00,0.00,52,1484.49,414.87,2595.07,7.16,178.91,1.14,28.60,
2024-03-10,13:11:47.483,0.19,2.92,0.06,1.12,0.02,9.74,1.00,0.46,0.0000,0.0010, 18880,0.30,0.27,99,48,9679.85,3312.97,2597.25,5.84,146.09,0.37,9.32,0.03,1.63,0.02,1.22,0.01,1.31,0.99,0.33,0.0000,0.0008, 24240,0.19,0.01,95,47,1656.70,1017.32,2597.25,3.26,81.42,0.06,1.59,5.72,76.92,0.03,17.33,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.89,0.11,69.39,0.00,100.00,0.00,0.00,0.00,0.00,79.32,51.96,4.28 ,4.28 ,0.17 ,0.33 ,3.00,3.00,0.55,3.52,0.16,1.12,0.00,1.07,1.00,0.09,0.0000,0.0008,  1360,13.91,86.09,0.00,0.00,0.00,52,1418.56,402.96,2597.25,7.04,176.02,1.09,27.31,
2024-03-10,13:11:48.484,0.19,2.91,0.07,1.12,0.05,10.10,0.99,0.46,0.0000,0.0010, 18720,0.30,0.27,99,48,9922.57,3414.35,2599.77,5.81,145.31,0.38,9.54,0.03,1.61,0.02,1.22,0.01,1.37,0.99,0.33,0.0000,0.0008, 24040,0.19,0.01,93,45,1706.53,1060.05,2599.77,3.22,80.49,0.07,1.64,5.89,76.16,0.01,17.94,0.00,100.00,0.00,0.00,0.00,0.00,1.68,28.06,0.12,70.15,0.00,100.00,0.00,0.00,0.00,0.00,79.34,51.96,4.28 ,4.28 ,0.10 ,0.33 ,3.00,3.00,0.56,3.51,0.16,1.12,0.00,1.11,1.00,0.09,0.0000,0.0008,  1440,14.35,85.65,0.00,0.00,0.00,51,1461.39,416.18,2599.77,7.02,175.57,1.12,28.11,
2024-03-10,13:11:49.484,0.19,2.96,0.07,1.12,0.04,10.25,1.00,0.45,0.0000,0.0010, 19800,0.30,0.27,99,48,10033.44,3394.57,2596.93,5.91,147.79,0.39,9.66,0.03,1.70,0.02,1.23,0.01,1.42,0.99,0.33,0.0000,0.0008, 24200,0.18,0.01,93,46,1716.79,1008.13,2596.93,3.41,85.15,0.07,1.65,5.86,76.18,0.02,17.94,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.13,0.12,70.17,0.00,100.00,0.00,0.00,0.00,0.00,79.28,51.92,4.28 ,4.28 ,0.07 ,0.33 ,3.00,3.00,0.57,3.57,0.16,1.12,0.00,1.12,1.00,0.09,0.0000,0.0008,  1680,14.25,85.75,0.00,0.00,0.00,51,1473.86,412.80,2596.93,7.14,178.52,1.14,28.38,
