System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),Core1 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-10,13:11:42.524,0.18,2.92,0.06,1.12,0.05,9.63,0.99,0.38,0.0000,0.0010, 14600,0.34,0.30,99,50,9278.50,3173.52,2598.85,5.85,146.19,0.36,8.93,0.04,1.64,0.02,1.20,0.02,1.22,0.98,0.81,0.0000,0.0006, 23480,0.20,0.01,93,47,1994.24,1214.43,2598.85,3.28,82.11,0.08,1.92,5.47,73.14,0.01,21.38,0.00,100.00,0.00,0.00,0.00,0.00,1.95,30.38,0.07,67.60,0.00,100.00,0.00,0.00,0.00,0.00,77.08,53.92,4.30 ,4.29 ,1428182.86 ,1446475.29 ,3.00,3.00,0.43,2.81,0.16,1.12,0.00,2.05,1.00,0.38,0.0000,0.0018,     0,13.90,86.10,0.00,0.00,0.00,51,1130.41,402.94,2598.85,5.61,140.27,0.87,21.75,
2024-03-10,13:11:43.524,0.19,2.83,0.07,1.12,0.08,9.87,0.99,0.45,0.0000,0.0010, 17160,0.40,0.33,96,49,9798.68,3462.89,2596.95,5.66,141.48,0.38,9.43,0.03,1.53,0.02,1.20,0.11,1.87,0.94,0.40,0.0001,0.0011, 25640,0.26,0.04,88,48,1700.20,1112.69,2596.95,3.06,76.40,0.07,1.64,5.98,76.96,0.07,17.00,0.00,100.00,0.00,0.00,0.00,0.00,1.78,30.95,0.23,67.04,0.00,100.00,0.00,0.00,0.00,0.00,79.03,52.65,4.34 ,4.33 ,0.33 ,0.33 ,3.00,3.00,0.45,2.82,0.16,1.12,0.00,2.06,1.00,0.37,0.0000,0.0018,   160,14.28,85.72,0.00,0.00,0.00,50,1166.15,413.75,2596.95,5.64,140.92,0.90,22.45,
2024-03-10,13:11:44.524,0.19,2.90,0.07,1.12,0.05,10.00,0.99,0.45,0.0000,0.0010, 18160,0.32,0.28,99,49,9871.41,3402.74,2596.97,5.80,145.05,0.38,9.50,0.03,1.67,0.02,1.22,0.01,1.36,0.99,0.33,0.0000,0.0008, 24440,0.20,0.01,93,48,1700.54,1020.70,2596.97,3.33,83.30,0.07,1.64,5.87,76.19,0.00,17.93,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.16,0.11,70.13,0.00,100.00,0.00,0.00,0.00,0.00,79.13,51.82,4.29 ,4.28 ,0.33 ,0.33 ,3.00,3.00,0.45,2.81,0.16,1.12,0.00,2.14,1.00,0.37,0.0000,0.0018,   120,14.31,85.69,0.00,0.00,0.00,50,1164.76,414.52,2596.97,5.62,140.49,0.90,22.43,
2024-03-10,13:11:45.524,0.18,2.96,0.06,1.12,0.05,10.03,0.99,0.28,0.0000,0.0011, 18240,0.31,0.28,99,49,9237.32,3116.37,2599.26,5.93,148.21,0.36,8.88,0.04,1.65,0.03,1.18,0.02,1.43,0.99,0.86,0.0000,0.0006, 24160,0.19,0.01,94,48,2222.58,1348.94,2599.26,3.30,82.38,0.09,2.14,5.37,70.30,0.02,24.31,0.00,100.00,0.00,0.00,0.00,0.00,2.20,34.30,0.13,63.37,0.00,100.00,0.00,0.00,0.00,0.00,75.48,55.77,4.28 ,4.29 ,0.33 ,0.33 ,3.00,3.00,0.45,2.84,0.16,1.12,0.00,2.12,1.00,0.37,0.0000,0.0018,    40,14.22,85.78,0.00,0.00,0.00,51,1170.73,412.21,2599.26,5.68,142.01,0.90,22.52,
2024-03-10,13:11:46.524,0.19,3.02,0.06,1.12,0.03,10.04,1.00,0.40,0.0000,0.0010, 18920,0.31,0.28,98,48,9643.76,3198.27,2596.78,6.03,150.77,0.37,9.28,0.04,1.81,0.02,1.21,0.01,1.34,0.99,0.73,0.0000,0.0007, 24160,0.19,0.01,93,47,1905.37,1051.33,2596.78,3.62,90.62,0.07,1.83,5.52,74.43,0.03,20.02,0.00,100.00,0.00,0.00,0.00,0.00,1.67,30.77,0.14,67.42,0.00,100.00,0.00,0.00,0.00,0.00,77.86,53.29,4.28 ,4.28 ,0.33 ,0.33 ,3.00,3.00,0.45,2.89,0.16,1.12,0.00,2.14,1.00,0.37,0.0000,0.0018,    80,14.02,85.98,0.00,0.00,0.00,50,1172.02,406.08,2596.78,5.77,144.31,0.90,22.57,
2024-03-10,13:11:47.524,0.19,2.89,0.07,1.12,0.04,10.14,1.00,0.45,0.0000,0.0010, 18880,0.30,0.27,99,48,9856.99,3408.27,2596.85,5.78,144.60,0.38,9.49,0.03,1.56,0.02,1.21,0.01,1.33,0.99,0.33,0.0000,0.0008, 24080,0.19,0.01,94,47,1664.58,1064.35,2596.85,3.13,78.20,0.06,1.60,5.88,76.76,0.03,17.33,0.00,100.00,0.00,0.00,0.00,0.00,1.69,28.80,0.11,69.40,0.00,100.00,0.00,0.00,0.00,0.00,79.25,51.96,4.27 ,4.28 ,462321.22 ,416079.07 ,3.00,3.00,0.45,2.84,0.16,1.12,0.00,2.15,1.00,0.37,0.0000,0.0018,   120,14.32,85.68,0.00,0.00,0.00,50,1177.95,414.78,2596.85,5.68,142.00,0.91,22.68,
2024-03-10,13:11:48.524,0.19,2.99,0.06,1.12,0.04,10.15,1.00,0.46,0.0000,0.0010, 19200,0.30,0.27,99,47,10079.67,3375.81,2596.84,5.97,149.29,0.39,9.70,0.03,1.79,0.02,1.23,0.01,1.31,0.99,0.33,0.0000,0.0008, 24000,0.19,0.01,93,46,1727.78,966.81,2596.84,3.57,89.35,0.07,1.66,5.83,76.23,0.02,17.93,0.00,100.00,0.00,0.00,0.00,0.00,1.51,28.21,0.12,70.16,0.00,100.00,0.00,0.00,0.00,0.00,79.26,51.86,4.28 ,4.27 ,0.00 ,0.33 ,3.00,3.00,0.46,2.88,0.16,1.12,0.00,2.17,1.00,0.38,0.0000,0.0018,   160,14.32,85.68,0.00,0.00,0.00,50,1192.71,414.75,2596.84,5.75,143.79,0.92,22.96,
2024-03-10,13:11:49.524,0.19,2.92,0.06,1.12,0.03,9.83,1.00,0.46,0.0000,0.0010, 19880,0.30,0.27,99,48,9683.97,3319.26,2597.07,5.84,145.88,0.37,9.32,0.03,1.61,0.02,1.22,0.01,1.31,0.99,0.33,0.0000,0.0008, 24280,0.18,0.01,93,47,1691.22,1051.38,2597.07,3.22,80.43,0.07,1.63,5.73,76.31,0.02,17.94,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.07,0.12,70.15,0.00,100.00,0.00,0.00,0.00,0.00,79.29,51.91,4.28 ,4.28 ,0.23 ,0.33 ,3.00,3.00,0.44,2.87,0.16,1.12,0.00,2.10,1.00,0.37,0.0000,0.0018,   120,13.92,86.08,0.00,0.00,0.00,50,1155.52,403.11,2597.07,5.73,143.33,0.89,22.25,
2024-03-10,13:11:50.525,0.19,3.00,0.06,1.12,0.03,10.13,1.00,0.46,0.0000,0.0010, 19960,0.30,0.27,99,47,10094.42,3370.17,2599.50,5.99,149.76,0.39,9.71,0.03,1.68,0.02,1.22,0.01,1.35,0.99,0.33,0.0000,0.0008, 24160,0.18,0.01,94,46,1701.70,1010.76,2599.50,3.37,84.18,0.07,1.64,5.81,76.20,0.02,17.97,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.13,0.11,70.16,0.00,100.00,0.00,0.00,0.00,0.00,79.40,51.97,4.28 ,4.28 ,0.13 ,0.33 ,3.00,3.00,0.47,2.92,0.16,1.12,0.00,2.16,1.00,0.37,0.0000,0.0018,   240,14.30,85.70,0.00,0.00,0.00,49,1209.38,414.64,2599.50,5.83,145.83,0.93,23.26,
