Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1710072697,Device: id=0,TX,0.10335984724686,292.72535392488,309.26292948438,103482,36633188
1710072698,Device: id=0,TX,0.073085007630414,205.63869346648,217.33229468734,179527,63379088
1710072699,Device: id=0,TX,0.093750524821957,265.92543757358,280.9255215451,274095,96909616
1710072700,Device: id=0,TX,0.10402838157287,295.85780146114,312.5023425128,379249,134292000
1710072701,Device: id=0,TX,0.22963880067521,649.40502032122,686.14722842926,608888,215467698
1710072702,Device: id=0,TX,0.70571408731334,1995.4347098891,2108.3489638592,1314652,464914678
1710072703,Device: id=0,TX,0.70708619288219,1999.9576815109,2113.091472372,2021747,714912502
1710072704,Device: id=0,TX,0.70716526029807,1999.859816432,2113.0062580797,2728974,964916804
1710072705,Device: id=0,TX,0.70636743902032,1999.947139358,2112.9659296012,3435423,1214939062
1710072706,Device: id=0,TX,0.70669397917438,1995.4755393321,2108.546576,4142136,1464380218
1710072707,Device: id=0,TX,0.7062597728393,2000.0316449837,2113.033208638,4848398,1714384962
1710072708,Device: id=0,TX,0.70726438499559,1999.8105259993,2112.9728275986,5555665,1964362202
1710072709,Device: id=0,TX,0.70774272793065,1997.1465941932,2110.3854306621,6263476,2214029608
1710072710,Device: id=0,TX,0.70632936413615,1999.9148965542,2112.927594816,6969849,2464034414
1710072711,Device: id=0,TX,0.70699196534506,1999.9323887535,2113.0511032088,7676883,2714040826
1710072712,Device: id=0,TX,0.70873829261492,1999.9310598447,2113.3291866631,8385688,2964055738
1710072713,Device: id=0,TX,0.70544823249133,1999.8871386624,2112.758855861,9091191,3214061038
1710072714,Device: id=0,TX,0.70517563595892,1993.1512350841,2105.9793368376,9796406,3463218850
1710072715,Device: id=0,TX,0.70692179344643,1999.9109253405,2113.018412292,10503384,3713227592
1710072716,Device: id=0,TX,0.70546721812786,1999.9319568882,2112.8067117886,11208919,3963243106
1710072717,Device: id=0,TX,0.70811969374019,1999.9226600464,2113.2218110448,11917050,4213237430
1710072718,Device: id=0,TX,0.70688078968117,1999.9292563264,2113.0301826754,12623964,4463240332
1710072719,Device: id=0,TX,0.70520010133944,1999.9293558332,2112.7613720475,13329181,4713237492
1710072720,Device: id=0,TX,0.70502388150884,1997.0547477635,2109.8585688049,14034239,4962881416
1710072721,Device: id=0,TX,0.70652327982354,1999.9027001996,2112.9464249713,14740765,5212870216
1710072722,Device: id=0,TX,0.70776845178044,1999.9293498983,2113.1723021832,15448575,5462876060
1710072723,Device: id=0,TX,0.70609280599426,1999.6536906115,2112.6285395705,16154690,5712840628
1710072724,Device: id=0,TX,0.70779179198096,1999.9205101421,2113.1671968591,16862496,5962835710
1710072725,Device: id=0,TX,0.70851294130976,1999.9367164308,2113.2987870403,17571042,6212839464
1710072726,Device: id=0,TX,0.70615234141046,1995.2322062089,2108.2165808345,18277225,6462254318
1710072727,Device: id=0,TX,0.7079704111364,1999.9175567541,2113.1928225359,18985219,6712252342
1710072728,Device: id=0,TX,0.70630372601655,1999.9351110147,2112.9437071773,19691556,6962256008
1710072729,Device: id=0,TX,0.70794275059207,1999.918670063,2113.1895101577,20399558,7212266764
1710072730,Device: id=0,TX,0.705793503065,1999.9292798901,2112.8562403805,21105352,7462258100
1710072731,Device: id=0,TX,0.70776947007374,1999.9287491499,2113.1718643617,21813161,7712263156
1710072732,Device: id=0,TX,0.70660711002077,1999.9367859918,2112.9939235951,22519784,7962260876
1710072733,Device: id=0,TX,0.70552719120828,1999.9239074911,2112.8082580844,23225321,8212254840
1710072734,Device: id=0,TX,0.70472711084021,1993.85139995,2106.6077376844,23930094,8461502494
1710072735,Device: id=0,TX,0.70709943960554,1999.9180863323,2113.0539966692,24637196,8711493160
1710072736,Device: id=0,TX,0.70678113954443,1999.946108971,2113.0310912981,25344012,8961498754
1710072737,Device: id=0,TX,0.70689795011857,1999.9117418109,2113.0154138299,26050925,9211493044
1710072738,Device: id=0,TX,0.70654511709749,1999.93622336,2112.9834420956,26757518,9461502014
1710072739,Device: id=0,TX,0.7077286292365,1999.931076612,2113.1676572899,27465262,9711498828
1710072740,Device: id=0,TX,0.70573114196282,1999.505204139,2112.422186853,28171056,9961459240
1710072741,Device: id=0,TX,0.7060485495064,1999.9352477381,2112.9030156591,28877168,10211473612
1710072742,Device: id=0,TX,0.70712126012297,1999.9183112631,2113.0577128828,29584338,10461480632
1710072743,Device: id=0,TX,0.70619465253537,1999.9305368329,2112.9216812386,30290580,10711488710
1710072744,Device: id=0,TX,0.70658163152938,1994.9924885672,2108.0455496119,30997178,10960868548
1710072745,Device: id=0,TX,0.70670289877066,1999.9204445637,2112.992908367,31703925,11210874204
1710072746,Device: id=0,TX,0.70829970364398,1999.9120853614,2113.2400379444,32412247,11460871084
1710072747,Device: id=0,TX,0.70567267275571,1999.9324306565,2112.8400582974,33117944,11710871256
1710072748,Device: id=0,TX,0.70699081661741,1999.9276990511,2113.0462297099,33824953,11960868648
1710072749,Device: id=0,TX,0.70693376791394,1999.9285756368,2113.0379785031,34531930,12210875008
1710072750,Device: id=0,TX,0.7068135797302,1999.9308182567,2113.0209910135,35238779,12460878888
1710072751,Device: id=0,TX,0.70906262588982,1999.9327720785,2113.3827922209,35947866,12710879078
1710072752,Device: id=0,TX,0.70592158456284,1999.9206129134,2112.8680664434,36653790,12960870010
1710072753,Device: id=0,TX,0.70586272560071,1999.9355721969,2112.873608293,37359679,13210871262
1710072754,Device: id=0,TX,0.70665946549736,1999.9300157397,2112.9955302192,38066369,13460873316
1710072755,Device: id=0,TX,0.7059107972856,1995.2854921546,2108.2312197203,38772289,13710287254
1710072756,Device: id=0,TX,0.70645076907432,1999.1427782751,2112.174901327,39478751,13960184074
1710072757,Device: id=0,TX,0.70536176635465,1999.6415016572,2112.4993842739,40184161,14210156354
1710072758,Device: id=0,TX,0.70682444834731,1999.9298774909,2113.0217892265,40891042,14460167590
1710072759,Device: id=0,TX,0.70561847508386,1999.9347333123,2112.8336893258,41596704,14710174852
1710072760,Device: id=0,TX,0.70869270813822,1999.9222869356,2113.3131202378,42305444,14960181820
1710072761,Device: id=0,TX,0.70569311768295,1999.9373313548,2112.8482301841,43011174,15210187052
