,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-03-09,23:16:35.287,   94.30,  147.47,  340.27,  277.20,,,,,  434.57,  424.68,1906629170,  859.24,  169.79,    6.86,  167.07,    3.80,,,,,  336.86,   10.66,1906754915,  347.52,    771.43,    435.33,   1206.76
2024-03-09,23:16:36.286,  101.29,  160.22,  363.52,  299.15,,,,,  464.81,  459.38,2133136960,  924.19,  180.63,    6.97,  177.27,    3.58,,,,,  357.90,   10.55,2133104866,  368.45,    822.71,    469.92,   1292.63
2024-03-09,23:16:37.286,   95.52,  155.54,  343.60,  287.60,,,,,  439.12,  443.14,2132619739,  882.27,  175.30,    4.97,  172.66,    1.58,,,,,  347.95,    6.55,2132562799,  354.50,    787.08,    449.69,   1236.77
2024-03-09,23:16:38.287,  105.64,  169.43,  376.44,  311.69,,,,,  482.09,  481.12,2132535980,  963.21,  215.81,   24.61,  212.00,   20.97,,,,,  427.81,   45.58,2132609018,  473.39,    909.90,    526.70,   1436.60
2024-03-09,23:16:39.287,   93.09,  153.70,  335.36,  282.62,,,,,  428.45,  436.32,2134836536,  864.77,  181.99,    5.57,  180.23,    2.16,,,,,  362.22,    7.73,2134794033,  369.95,    790.67,    444.05,   1234.71
2024-03-09,23:16:40.287,   90.89,  150.06,  327.99,  276.30,,,,,  418.88,  426.35,2132471920,  845.23,  179.27,    6.12,  177.40,    2.74,,,,,  356.67,    8.86,2132437379,  365.53,    775.55,    435.21,   1210.76
2024-03-09,23:16:41.287,   90.23,  149.56,  326.49,  275.34,,,,,  416.73,  424.90,2134545660,  841.62,  174.66,    4.88,  172.48,    1.48,,,,,  347.15,    6.36,2134577619,  353.51,    763.87,    431.26,   1195.13
2024-03-09,23:16:42.287,   88.86,  147.78,  320.64,  271.40,,,,,  409.50,  419.18,2132391523,  828.67,  170.70,    4.88,  168.99,    1.50,,,,,  339.69,    6.39,2132377017,  346.07,    749.19,    425.56,   1174.75
2024-03-09,23:16:43.287,   88.92,  148.19,  322.25,  272.22,,,,,  411.17,  420.42,2132414937,  831.58,  169.19,    4.91,  167.44,    1.52,,,,,  336.63,    6.43,2132459365,  343.06,    747.79,    426.85,   1174.65
2024-03-09,23:16:44.287,   87.03,  145.59,  315.44,  267.44,,,,,  402.47,  413.03,2134656536,  815.50,  166.88,    4.69,  164.98,    1.28,,,,,  331.86,    5.97,2134635036,  337.83,    734.33,    419.00,   1153.34
2024-03-09,23:16:45.286,   87.81,  146.23,  318.46,  269.15,,,,,  406.27,  415.37,2132502034,  821.64,  170.67,    5.66,  168.27,    2.27,,,,,  338.94,    7.92,2132501727,  346.87,    745.21,    423.30,   1168.50
2024-03-09,23:16:46.287,   86.54,  144.53,  314.09,  265.89,,,,,  400.64,  410.42,2134558920,  811.06,  172.12,    5.60,  169.22,    2.19,,,,,  341.34,    7.79,2134560277,  349.13,    741.98,    418.21,   1160.19
2024-03-09,23:16:47.287,   86.99,  145.19,  315.08,  266.84,,,,,  402.07,  412.04,2132477285,  814.11,  168.20,    4.67,  165.65,    1.27,,,,,  333.86,    5.94,2132476282,  339.80,    735.93,    417.98,   1153.90
2024-03-09,23:16:48.287,   99.99,  160.30,  358.22,  295.59,,,,,  458.21,  455.89,2132570335,  914.10,  202.29,   20.33,  198.85,   16.77,,,,,  401.14,   37.11,2132613328,  438.25,    859.35,    492.99,   1352.34
2024-03-09,23:16:49.287,   87.17,  146.49,  317.38,  269.05,,,,,  404.55,  415.54,2134892369,  820.09,  185.13,    6.50,  182.78,    3.08,,,,,  367.90,    9.58,2134847475,  377.48,    772.45,    425.12,   1197.57
2024-03-09,23:16:50.286,   85.92,  143.76,  311.53,  264.03,,,,,  397.45,  407.78,2132442117,  805.23,  178.64,    5.89,  176.14,    2.49,,,,,  354.78,    8.38,2132472312,  363.16,    752.23,    416.16,   1168.39
2024-03-09,23:16:51.287,   85.60,  144.10,  312.25,  264.67,,,,,  397.85,  408.77,2132468419,  806.62,  177.52,    5.46,  174.60,    2.07,,,,,  352.12,    7.52,2132409538,  359.65,    749.97,    416.29,   1166.27
2024-03-09,23:16:52.287,   84.62,  142.33,  308.38,  261.59,,,,,  393.01,  403.92,2134539019,  796.93,  173.96,    4.88,  171.14,    1.48,,,,,  345.10,    6.36,2134496477,  351.46,    738.11,    410.28,   1148.39
2024-03-09,23:16:53.286,   85.11,  143.17,  309.97,  262.77,,,,,  395.08,  405.93,2132337508,  801.02,  172.57,    5.05,  169.44,    1.66,,,,,  342.01,    6.71,2132337083,  348.71,    737.09,    412.64,   1149.73
2024-03-09,23:16:54.287,   83.98,  141.49,  306.18,  259.90,,,,,  390.16,  401.38,2134497428,  791.54,  167.96,    4.66,  164.73,    1.27,,,,,  332.69,    5.93,2134525419,  338.62,    722.85,    407.31,   1130.16
2024-03-09,23:16:55.287,   85.22,  142.82,  311.44,  263.01,,,,,  396.66,  405.83,2132375582,  802.48,  166.41,    4.71,  163.19,    1.31,,,,,  329.60,    6.02,2132315122,  335.62,    726.26,    411.85,   1138.10
2024-03-09,23:16:56.287,   83.83,  140.78,  306.18,  259.35,,,,,  390.01,  400.13,2134424975,  790.14,  165.24,    5.06,  161.97,    1.67,,,,,  327.21,    6.73,2134511308,  333.94,    717.22,    406.86,   1124.08
2024-03-09,23:16:57.287,   85.20,  141.95,  311.63,  262.04,,,,,  396.83,  403.99,2132419624,  800.82,  168.93,    5.84,  165.63,    2.41,,,,,  334.56,    8.25,2132420371,  342.80,    731.39,    412.23,   1143.62
2024-03-09,23:16:58.288,   97.13,  159.92,  349.73,  292.26,,,,,  446.86,  452.19,2134763234,  899.05,  202.44,   20.49,  199.89,   17.32,,,,,  402.33,   37.81,2134915787,  440.14,    849.19,    490.00,   1339.18
