Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,3670517046,3227098,1886472,112347060,6468588,140,770420(Total)
0,633329074,1191162,57456,884646,3547642,140,789222(Miss)
0,3037187972,2035936,1829016,111462414,2920946,0,0(Hit)
1,139666730,99960,4321940,9330090,0,22176,131124(Total)
1,93303196,0,5376,70504,0,22218,133042(Miss)
1,46363534,99960,4316564,9259586,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9400342,3283462,1543696,113319472,6474986,140,797622(Total)
0,700,1094912,63476,953400,3483172,140,800282(Miss)
0,9399642,2188550,1480220,112366072,2991814,0,0(Hit)
1,8498056,100604,4297328,9308026,0,22190,131320(Total)
1,5392408,0,2912,25774,0,22218,132622(Miss)
1,3105648,100604,4294416,9282252,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9904216,3291218,1640926,113020922,6475924,140,796348(Total)
0,1204,984914,63854,984732,3442908,0,816354(Miss)
0,9903012,2306304,1577072,112036190,3033016,140,0(Hit)
1,8501570,99946,4623738,9334080,0,22302,130242(Total)
1,5241614,0,3010,24514,0,22302,132846(Miss)
1,3259956,99946,4620728,9309566,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9926182,2885190,4838848,112273098,6434218,322,800072(Total)
0,2016,933814,247800,1193052,3510234,0,827078(Miss)
0,9924166,1951376,4591048,111080046,2923984,322,0(Hit)
1,8495032,100632,7768544,9297316,0,22106,131530(Total)
1,5116510,0,213290,160146,0,22442,132804(Miss)
1,3378522,100632,7555254,9137170,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9914058,3381630,1636320,112419524,6437256,140,806078(Total)
0,1064,918862,55258,1018388,3453436,0,824782(Miss)
0,9912994,2462768,1581062,111401136,2983820,140,0(Hit)
1,8495060,101458,4496702,9619218,0,22162,130970(Total)
1,5419862,0,2240,34552,0,22442,133280(Miss)
1,3075198,101458,4494462,9584666,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9995482,3307612,1549688,110603864,6439300,140,815262(Total)
0,756,864780,34384,1019998,3455858,0,829332(Miss)
0,9994726,2442832,1515304,109583866,2983442,140,0(Hit)
1,8514114,99540,4510576,10013248,0,22344,131516(Total)
1,5258302,0,2394,615594,0,22596,131950(Miss)
1,3255812,99540,4508182,9397654,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10052518,3380678,1462482,111379562,6434218,140,813750(Total)
0,1610,826252,22190,1052548,3422636,0,829514(Miss)
0,10050908,2554426,1440292,110327014,3011582,140,0(Hit)
1,8552348,102060,4464348,10139346,0,22484,130718(Total)
1,5173308,0,2352,22456,0,22302,132300(Miss)
1,3379040,102060,4461996,10116890,0,182,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10059812,3346126,1583288,111520206,6429122,140,820918(Total)
0,1624,796978,21952,1236144,3434326,0,837522(Miss)
0,10058188,2549148,1561336,110284062,2994796,140,0(Hit)
1,8561420,100590,4495246,9991534,0,22260,131922(Total)
1,5061112,0,2156,40390,0,22288,132580(Miss)
1,3500308,100590,4493090,9951144,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10070718,3379152,1552460,111104728,6427666,140,832146(Total)
0,1736,791168,37926,1053010,3423588,0,819868(Miss)
0,10068982,2587984,1514534,110051718,3004078,140,12278(Hit)
1,8555890,101290,4501504,9668512,0,22302,133210(Total)
1,4968166,0,2324,33782,0,22470,130914(Miss)
1,3587724,101290,4499180,9634730,0,0,2296(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10079818,3352160,1537718,111697852,6494488,140,841022(Total)
0,1162,759290,28462,1054928,3400572,84,826448(Miss)
0,10078656,2592870,1509256,110642924,3093916,56,14574(Hit)
1,8557738,100968,4421816,9429098,0,22330,132608(Total)
1,4929890,0,2380,16730,0,22246,131208(Miss)
1,3627848,100968,4419436,9412368,0,84,1400(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10076542,3384766,1620052,111153924,6428548,140,833798(Total)
0,1428,745584,24654,1057070,3386460,0,823900(Miss)
0,10075114,2639182,1595398,110096854,3042088,140,9898(Hit)
1,8558886,102298,4634742,9807714,0,22246,133154(Total)
1,4865140,0,2394,50064,0,22358,130732(Miss)
1,3693746,102298,4632348,9757650,0,0,2422(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10086118,3375232,1641878,111817538,6406806,0,837970(Total)
0,1610,728882,51114,1080576,3349024,0,828436(Miss)
0,10084508,2646350,1590764,110736962,3057782,0,9534(Hit)
1,8557276,100660,4508686,9582412,0,22428,132146(Total)
1,4989222,0,2870,14518,0,22316,131208(Miss)
1,3568054,100660,4505816,9567894,0,112,938(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10097570,3332462,1627052,111736450,6423046,0,837620(Total)
0,1414,730688,15568,1047298,3398752,140,829234(Miss)
0,10096156,2601774,1611484,110689152,3024294,0,8386(Hit)
1,8554378,99932,4402594,9554902,0,22428,132958(Total)
1,4969034,0,0,11984,0,22204,130970(Miss)
1,3585344,99932,4402594,9542918,0,224,1988(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10093678,3308298,5734582,88620952,6418608,42,825650(Total)
0,1428,715736,9380,2870910,4281984,140,816816(Miss)
0,10092250,2592562,5725202,85750042,2136624,0,8834(Hit)
1,8559054,99470,10276882,12067174,0,22414,132874(Total)
1,4896556,0,14,2380784,0,22162,133154(Miss)
1,3662498,99470,10276868,9686390,0,252,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10067274,3321892,1644888,111597598,6415262,0,830256(Total)
0,1946,746480,12348,1070622,3351306,112,818510(Miss)
0,10065328,2575412,1632540,110526976,3063956,0,11746(Hit)
1,8556002,99764,4403490,9538788,0,22428,132062(Total)
1,5432196,0,126,83216,0,22274,130998(Miss)
1,3123806,99764,4403364,9455572,0,154,1064(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10015740,3310916,1737036,110371268,6473138,0,813442(Total)
0,1050,707574,9436,1050126,3331160,140,835366(Miss)
0,10014690,2603342,1727600,109321142,3141978,0,0(Hit)
1,8558704,99540,4457348,10433934,0,22372,132944(Total)
1,5244988,0,448,35812,0,22344,132160(Miss)
1,3313716,99540,4456900,10398122,0,28,784(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10009482,3336732,1575602,111078058,6467314,0,835786(Total)
0,1218,706090,11088,1053738,3328318,112,828324(Miss)
0,10008264,2630642,1564514,110024320,3138996,0,7462(Hit)
1,8504286,99330,4322234,9984268,0,22372,132272(Total)
1,5194812,0,56,17486,0,22106,131236(Miss)
1,3309474,99330,4322178,9966782,0,266,1036(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10022796,3346994,1635788,111936748,6472592,14,812350(Total)
0,1274,681912,17178,1102640,3348730,140,831530(Miss)
0,10021522,2665082,1618610,110834108,3123862,0,0(Hit)
1,8504314,100702,4472720,9150946,0,22232,132860(Total)
1,5133688,0,266,71414,0,22708,131768(Miss)
1,3370626,100702,4472454,9079532,0,0,1092(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10022894,3353924,1616440,113540014,6461126,0,820736(Total)
0,30548,686196,17276,1145578,3331580,140,830592(Miss)
0,9992346,2667728,1599164,112394436,3129546,0,0(Hit)
1,8502914,100730,4446778,9313374,0,22302,130984(Total)
1,5045558,0,14,78568,0,22624,131292(Miss)
1,3457356,100730,4446764,9234806,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10043362,3374686,1596000,114453094,6480320,0,783202(Total)
0,518,661066,14840,1131606,3355982,140,834232(Miss)
0,10042844,2713620,1581160,113321488,3124338,0,0(Hit)
1,8514142,100730,4459630,8983296,0,22400,130410(Total)
1,5022472,0,126,40544,0,22680,131852(Miss)
