System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-09,11:39:41.360,0.19,2.92,0.06,1.12,0.05,15.02,1.00,0.22,0.0000,0.0015, 13280,0.31,0.36,99,46,9713.82,3328.72,2599.44,5.84,145.91,0.37,9.34,0.05,1.52,0.03,1.17,0.05,2.35,0.98,0.89,0.0000,0.0010, 22080,0.32,0.01,97,45,2414.88,1584.38,2599.44,3.05,76.21,0.09,2.32,5.74,68.10,0.07,26.09,0.00,100.00,0.00,0.00,0.00,0.00,2.59,36.06,0.20,61.15,0.00,100.00,0.00,0.00,0.00,0.00,74.38,57.23,4.40 ,4.40 ,444778.43 ,446542.07 ,3.00,3.00,0.54,3.08,0.18,1.12,0.00,1.95,1.00,0.11,0.0000,0.0014,   520,15.79,84.21,0.00,0.00,0.00,50,1409.39,457.76,2599.44,6.16,153.95,1.08,27.11,
2024-03-09,11:39:42.361,0.16,2.48,0.06,1.12,0.04,20.30,1.00,0.34,0.0000,0.0025, 13600,0.50,0.58,99,46,8178.00,3299.37,2597.76,4.96,123.93,0.31,7.87,0.03,1.58,0.02,1.21,0.02,2.33,0.99,0.58,0.0000,0.0013, 22200,0.53,0.01,97,43,1726.52,1093.12,2597.76,3.16,78.97,0.07,1.66,5.69,75.23,0.00,19.07,0.00,100.00,0.00,0.00,0.00,0.00,1.74,29.59,0.13,68.54,0.00,100.00,0.00,0.00,0.00,0.00,78.07,53.31,4.47 ,4.41 ,0.33 ,0.00 ,3.00,3.00,0.41,2.61,0.16,1.12,0.00,2.68,1.00,0.10,0.0000,0.0025,   440,14.19,85.81,0.00,0.00,0.00,50,1072.75,411.16,2597.76,5.22,130.45,0.83,20.65,
2024-03-09,11:39:43.361,0.15,2.52,0.06,1.12,0.04,20.23,1.00,0.32,0.0000,0.0025, 13720,0.48,0.56,99,46,7955.30,3157.79,2597.64,5.04,125.96,0.31,7.66,0.04,1.68,0.02,1.20,0.01,2.34,1.00,0.66,0.0000,0.0013, 22160,0.52,0.01,97,44,1847.39,1102.45,2597.64,3.35,83.79,0.07,1.78,5.45,74.42,0.02,20.11,0.00,100.00,0.00,0.00,0.00,0.00,1.76,30.77,0.15,67.31,0.00,100.00,0.00,0.00,0.00,0.00,77.43,53.96,4.44 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.41,2.65,0.15,1.12,0.00,2.68,1.00,0.10,0.0000,0.0025,   320,13.77,86.23,0.00,0.00,0.00,50,1057.04,399.02,2597.64,5.30,132.46,0.81,20.35,
2024-03-09,11:39:44.361,0.16,2.43,0.07,1.12,0.05,20.55,1.00,0.36,0.0000,0.0025, 14640,0.47,0.55,99,46,8264.44,3397.11,2597.33,4.87,121.64,0.32,7.95,0.03,1.54,0.02,1.22,0.01,2.34,1.00,0.38,0.0000,0.0014, 22000,0.51,0.01,97,44,1637.79,1062.89,2597.33,3.08,77.04,0.06,1.58,5.86,76.49,0.00,17.65,0.00,100.00,0.00,0.00,0.00,0.00,1.68,28.23,0.15,69.94,0.00,100.00,0.00,0.00,0.00,0.00,78.92,52.56,4.44 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.41,2.59,0.16,1.12,0.00,2.72,1.00,0.10,0.0000,0.0026,   280,14.17,85.83,0.00,0.00,0.00,48,1064.09,410.56,2597.33,5.18,129.59,0.82,20.48,
2024-03-09,11:39:45.361,0.16,2.46,0.06,1.12,0.04,20.80,1.00,0.36,0.0000,0.0025, 15000,0.46,0.55,99,45,8300.97,3369.04,2597.48,4.93,123.19,0.32,7.99,0.03,1.57,0.02,1.22,0.02,2.36,0.99,0.39,0.0000,0.0015, 22040,0.51,0.01,97,44,1612.94,1025.54,2597.48,3.15,78.64,0.06,1.55,5.81,76.69,0.02,17.48,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.40,0.15,69.83,0.00,100.00,0.00,0.00,0.00,0.00,79.02,52.56,4.43 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.41,2.60,0.16,1.12,0.00,2.76,1.00,0.10,0.0000,0.0026,   320,14.20,85.80,0.00,0.00,0.00,50,1067.73,411.35,2597.48,5.19,129.78,0.82,20.55,
2024-03-09,11:39:46.360,0.16,2.51,0.06,1.12,0.03,20.84,1.00,0.36,0.0000,0.0025, 15840,0.45,0.54,99,46,8283.82,3305.81,2595.17,5.01,125.29,0.32,7.98,0.03,1.59,0.02,1.22,0.02,2.43,0.99,0.38,0.0000,0.0015, 22520,0.52,0.01,97,43,1588.28,1000.11,2595.17,3.18,79.41,0.06,1.53,5.71,77.19,0.01,17.09,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.80,0.15,69.47,0.00,100.00,0.00,0.00,0.00,0.00,79.06,52.52,4.41 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.41,2.63,0.16,1.12,0.00,2.77,1.00,0.10,0.0000,0.0026,   360,13.95,86.05,0.00,0.00,0.00,48,1063.53,403.71,2595.17,5.27,131.72,0.82,20.49,
2024-03-09,11:39:47.361,0.16,2.44,0.06,1.12,0.04,20.45,1.00,0.37,0.0000,0.0025, 15440,0.45,0.54,99,45,8158.47,3346.14,2597.51,4.88,121.91,0.31,7.85,0.03,1.54,0.02,1.22,0.02,2.39,0.99,0.38,0.0000,0.0015, 22480,0.52,0.01,97,43,1622.02,1052.41,2597.51,3.08,77.06,0.06,1.56,5.77,76.65,0.01,17.56,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.19,0.13,70.01,0.00,100.00,0.00,0.00,0.00,0.00,79.09,52.57,4.42 ,4.41 ,0.33 ,0.00 ,3.00,3.00,0.40,2.59,0.16,1.12,0.00,2.71,1.00,0.10,0.0000,0.0026,   320,13.96,86.04,0.00,0.00,0.00,48,1047.41,404.55,2597.51,5.18,129.45,0.81,20.16,
2024-03-09,11:39:48.361,0.16,2.42,0.07,1.12,0.10,20.55,1.00,0.37,0.0000,0.0025, 16000,0.49,0.58,98,45,8378.64,3466.36,2597.47,4.83,120.86,0.32,8.06,0.03,1.53,0.02,1.21,0.10,2.86,0.97,0.41,0.0001,0.0017, 24680,0.59,0.04,94,42,1669.29,1091.31,2597.47,3.06,76.48,0.06,1.61,5.98,77.00,0.05,16.97,0.00,100.00,0.00,0.00,0.00,0.00,1.74,30.64,0.22,67.40,0.00,100.00,0.00,0.00,0.00,0.00,79.19,53.31,4.44 ,4.43 ,0.33 ,0.00 ,3.00,3.00,0.42,2.65,0.16,1.12,0.00,2.68,1.00,0.10,0.0000,0.0025,   320,14.14,85.86,0.00,0.00,0.00,49,1086.80,409.62,2597.47,5.31,132.66,0.84,20.92,
2024-03-09,11:39:49.361,0.16,2.46,0.06,1.12,0.04,21.05,1.00,0.36,0.0000,0.0025, 16400,0.45,0.53,99,45,8260.63,3358.91,2597.82,4.92,122.97,0.32,7.95,0.03,1.56,0.02,1.22,0.01,2.30,0.99,0.39,0.0000,0.0014, 25000,0.54,0.01,97,43,1588.70,1019.32,2597.82,3.12,77.93,0.06,1.53,5.80,76.51,0.03,17.66,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.21,0.17,70.01,0.00,100.00,0.00,0.00,0.00,0.00,79.11,52.65,4.41 ,4.41 ,0.33 ,0.00 ,3.00,3.00,0.41,2.58,0.16,1.12,0.00,2.80,1.00,0.10,0.0000,0.0026,   400,14.17,85.83,0.00,0.00,0.00,48,1059.03,410.45,2597.82,5.16,129.01,0.82,20.38,
