System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-09,11:39:41.196,0.22,3.08,0.07,1.12,0.06,11.87,0.99,0.30,0.0000,0.0010, 12720,0.22,0.26,99,45,11474.49,3730.85,2599.56,6.15,153.78,0.44,11.03,0.05,1.44,0.03,1.18,0.05,2.51,0.98,0.89,0.0000,0.0010, 22120,0.23,0.01,96,45,2441.54,1690.67,2599.56,2.89,72.21,0.09,2.35,6.43,68.18,0.07,25.32,0.00,100.00,0.00,0.00,0.00,0.00,2.76,35.24,0.22,61.78,0.00,100.00,0.00,0.00,0.00,0.00,75.18,56.76,4.34 ,4.38 ,626466.09 ,629786.57 ,3.00,3.00,0.67,3.47,0.19,1.12,0.00,1.34,1.00,0.12,0.0000,0.0008,  2520,17.39,82.61,0.00,0.00,0.00,49,1751.51,504.19,2599.56,6.95,173.70,1.35,33.69,
2024-03-09,11:39:42.196,0.16,2.53,0.06,1.12,0.03,20.33,1.00,0.32,0.0000,0.0025, 14240,0.50,0.58,99,46,8055.84,3179.42,2598.20,5.07,126.69,0.31,7.75,0.04,1.67,0.02,1.20,0.01,2.28,0.99,0.69,0.0000,0.0012, 21920,0.53,0.01,97,43,1883.74,1127.60,2598.20,3.34,83.53,0.07,1.81,5.49,73.99,0.00,20.52,0.00,100.00,0.00,0.00,0.00,0.00,1.80,31.02,0.12,67.05,0.00,100.00,0.00,0.00,0.00,0.00,77.22,54.13,4.47 ,4.41 ,0.33 ,0.33 ,3.00,3.00,0.48,3.07,0.16,1.12,0.00,2.34,1.00,0.11,0.0000,0.0019,  2880,13.99,86.01,0.00,0.00,0.00,49,1245.28,405.35,2598.20,6.14,153.61,0.96,23.97,
2024-03-09,11:39:43.196,0.15,2.48,0.06,1.12,0.04,19.89,1.00,0.33,0.0000,0.0025, 13480,0.48,0.57,99,46,7941.96,3205.09,2597.20,4.96,123.90,0.31,7.64,0.03,1.58,0.02,1.20,0.03,2.42,0.99,0.65,0.0000,0.0014, 22160,0.52,0.01,97,43,1781.84,1130.02,2597.20,3.15,78.84,0.07,1.72,5.53,74.32,0.02,20.13,0.00,100.00,0.00,0.00,0.00,0.00,1.81,30.63,0.15,67.41,0.00,100.00,0.00,0.00,0.00,0.00,77.42,53.93,4.44 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.46,2.99,0.16,1.12,0.00,2.31,1.00,0.12,0.0000,0.0019,  3720,13.93,86.07,0.00,0.00,0.00,48,1207.73,403.53,2597.20,5.99,149.65,0.93,23.25,
2024-03-09,11:39:44.196,0.16,2.45,0.07,1.12,0.04,20.60,1.00,0.36,0.0000,0.0025, 14320,0.47,0.55,99,46,8279.46,3386.25,2596.99,4.89,122.25,0.32,7.97,0.03,1.51,0.02,1.21,0.01,2.40,1.00,0.38,0.0000,0.0015, 22120,0.51,0.01,97,43,1636.27,1082.69,2596.99,3.02,75.57,0.06,1.58,5.85,76.50,0.01,17.65,0.00,100.00,0.00,0.00,0.00,0.00,1.72,28.24,0.14,69.90,0.00,100.00,0.00,0.00,0.00,0.00,78.90,52.57,4.44 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.47,3.00,0.16,1.12,0.00,2.38,1.00,0.12,0.0000,0.0019,  3800,14.16,85.84,0.00,0.00,0.00,48,1231.96,410.13,2596.99,6.01,150.19,0.95,23.72,
2024-03-09,11:39:45.197,0.16,2.48,0.06,1.12,0.04,20.78,1.00,0.36,0.0000,0.0025, 14600,0.46,0.55,99,46,8271.90,3335.05,2596.96,4.96,124.01,0.32,7.96,0.03,1.62,0.02,1.22,0.01,2.35,1.00,0.38,0.0000,0.0014, 22400,0.51,0.01,97,43,1638.41,1010.87,2596.96,3.24,81.04,0.06,1.58,5.76,76.66,0.02,17.56,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.31,0.15,69.95,0.00,100.00,0.00,0.00,0.00,0.00,78.91,52.54,4.43 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.47,3.01,0.16,1.12,0.00,2.42,1.00,0.12,0.0000,0.0020,  4440,14.12,85.88,0.00,0.00,0.00,48,1232.95,409.06,2596.96,6.03,150.70,0.95,23.74,
2024-03-09,11:39:46.197,0.15,2.42,0.06,1.12,0.04,20.23,1.00,0.37,0.0000,0.0025, 15200,0.45,0.54,99,46,8038.67,3323.14,2597.28,4.84,120.95,0.31,7.74,0.03,1.50,0.02,1.21,0.02,2.45,0.99,0.38,0.0000,0.0016, 22320,0.52,0.01,97,43,1558.39,1041.88,2597.28,2.99,74.79,0.06,1.50,5.74,77.07,0.00,17.19,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.68,0.15,69.51,0.00,100.00,0.00,0.00,0.00,0.00,79.13,52.58,4.42 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.46,2.98,0.15,1.12,0.00,2.34,1.00,0.12,0.0000,0.0020,  4360,13.76,86.24,0.00,0.00,0.00,49,1188.28,398.48,2597.28,5.96,149.10,0.92,22.88,
2024-03-09,11:39:47.197,0.16,2.50,0.06,1.12,0.03,21.11,1.00,0.36,0.0000,0.0025, 15440,0.45,0.54,99,45,8361.99,3338.60,2597.18,5.01,125.23,0.32,8.05,0.03,1.64,0.02,1.23,0.02,2.42,0.99,0.38,0.0000,0.0015, 22600,0.52,0.01,97,42,1644.14,1001.35,2597.18,3.28,82.10,0.06,1.58,5.76,76.83,0.02,17.39,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.44,0.15,69.84,0.00,100.00,0.00,0.00,0.00,0.00,79.10,52.58,4.42 ,4.41 ,0.33 ,0.33 ,3.00,3.00,0.48,3.02,0.16,1.12,0.00,2.47,1.00,0.12,0.0000,0.0020,  4640,14.13,85.87,0.00,0.00,0.00,48,1236.08,409.40,2597.18,6.04,150.96,0.95,23.80,
2024-03-09,11:39:48.197,0.16,2.38,0.07,1.12,0.08,20.31,1.00,0.37,0.0000,0.0025, 16040,0.49,0.58,98,45,8227.22,3451.18,2597.21,4.77,119.19,0.32,7.92,0.03,1.51,0.02,1.21,0.09,2.65,0.97,0.44,0.0001,0.0016, 24920,0.58,0.04,94,42,1661.51,1097.64,2597.21,3.03,75.69,0.06,1.60,5.96,77.03,0.05,16.96,0.00,100.00,0.00,0.00,0.00,0.00,1.75,30.63,0.20,67.42,0.00,100.00,0.00,0.00,0.00,0.00,79.19,53.25,4.44 ,4.43 ,0.33 ,0.33 ,3.00,3.00,0.47,3.01,0.16,1.12,0.00,2.32,1.00,0.12,0.0000,0.0019,  4240,14.11,85.89,0.00,0.00,0.00,47,1231.84,408.80,2597.21,6.03,150.66,0.95,23.71,
2024-03-09,11:39:49.197,0.16,2.51,0.06,1.12,0.03,20.87,1.00,0.37,0.0000,0.0025, 16440,0.45,0.54,99,45,8369.29,3337.67,2597.37,5.02,125.38,0.32,8.06,0.03,1.61,0.02,1.22,0.04,2.35,0.98,0.39,0.0000,0.0014, 25120,0.54,0.01,97,42,1624.84,1006.67,2597.37,3.23,80.70,0.06,1.56,5.76,76.53,0.03,17.68,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.25,0.17,70.00,0.00,100.00,0.00,0.00,0.00,0.00,79.10,52.64,4.42 ,4.41 ,0.33 ,0.33 ,3.00,3.00,0.48,3.05,0.16,1.12,0.00,2.41,1.00,0.12,0.0000,0.0019,  5040,14.06,85.94,0.00,0.00,0.00,48,1242.95,407.38,2597.37,6.10,152.55,0.96,23.93,
