System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-09,13:49:54.560,1.49,3.40,0.44,1.12,0.37,16.30,0.98,0.79,0.0000,0.0002, 13600,0.12,0.14,92,47,77598.85,22826.36,2599.14,6.80,169.98,2.99,74.64,0.19,1.26,0.15,1.20,0.62,12.71,0.95,0.89,0.0001,0.0013, 21480,0.15,0.05,89,46,9666.80,7679.43,2599.14,2.52,62.94,0.37,9.30,39.37,41.48,0.00,19.15,0.00,100.00,0.00,0.00,0.00,0.00,12.30,18.19,0.09,69.41,0.00,100.00,0.00,0.00,0.00,0.00,79.67,52.89,3.97 ,4.32 ,1575.75 ,435.01 ,3.00,3.00,4.18,3.81,1.10,1.12,0.00,2.02,1.00,0.79,0.0000,0.0002,   320,98.20,1.80,0.00,0.00,0.00,53,10853.66,2846.82,2599.14,7.63,190.63,8.35,208.79,
2024-03-09,13:49:55.560,0.32,3.19,0.10,1.12,0.06,14.20,1.00,0.45,0.0000,0.0008, 14840,18446744073.69,18446744073.70,100,48,16713.39,5245.02,2597.73,6.37,159.33,0.64,16.08,0.06,1.37,0.04,1.20,0.06,3.00,0.98,0.91,0.0000,0.0010, 24000,18446744073.68,18446744073.66,100,46,3085.99,2256.93,2597.73,2.73,68.37,0.12,2.97,9.05,66.90,0.09,23.96,0.00,100.00,0.00,0.00,0.00,0.00,3.63,31.04,0.19,65.15,0.00,100.00,0.00,0.00,0.00,0.00,76.10,55.45,4.09 ,4.34 ,1042264.30 ,1052424.97 ,3.00,3.00,0.95,3.50,0.27,1.12,0.00,1.91,1.00,0.65,0.0000,0.0008,   960,24.31,75.69,0.00,0.00,0.00,53,2466.31,704.22,2597.73,7.00,175.11,1.90,47.47,
2024-03-09,13:49:56.561,0.15,2.51,0.06,1.12,0.05,22.17,1.00,0.26,0.0000,0.0029, 15040,0.52,0.66,99,47,7696.17,3064.80,2598.14,5.02,125.56,0.30,7.41,0.04,1.67,0.02,1.18,0.03,2.56,0.99,0.79,0.0000,0.0012, 24200,0.62,0.01,97,46,2159.95,1293.19,2598.14,3.34,83.51,0.08,2.08,5.29,69.96,0.01,24.74,0.00,100.00,0.00,0.00,0.00,0.00,2.11,35.01,0.16,62.72,0.00,100.00,0.00,0.00,0.00,0.00,74.62,56.36,4.53 ,4.43 ,0.33 ,0.33 ,3.00,3.00,0.45,2.87,0.16,1.12,0.00,3.07,1.00,0.22,0.0000,0.0026,   800,14.19,85.81,0.00,0.00,0.00,53,1179.05,411.23,2598.14,5.73,143.36,0.91,22.69,
2024-03-09,13:49:57.561,0.16,2.43,0.06,1.12,0.03,22.51,1.00,0.37,0.0000,0.0028, 15640,0.48,0.63,99,47,8135.50,3341.49,2597.50,4.87,121.73,0.31,7.83,0.03,1.58,0.02,1.22,0.01,2.49,1.00,0.48,0.0000,0.0015, 23880,0.59,0.01,97,44,1623.75,1027.70,2597.50,3.16,79.00,0.06,1.56,5.77,76.21,0.00,18.02,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.60,0.14,69.63,0.00,100.00,0.00,0.00,0.00,0.00,78.44,52.48,4.49 ,4.41 ,0.33 ,0.33 ,3.00,3.00,0.44,2.79,0.16,1.12,0.00,3.14,1.00,0.22,0.0000,0.0027,  1080,14.25,85.75,0.00,0.00,0.00,52,1151.50,412.81,2597.50,5.58,139.47,0.89,22.17,
2024-03-09,13:49:58.561,0.16,2.41,0.06,1.12,0.04,22.69,1.00,0.37,0.0000,0.0028, 16320,0.47,0.62,99,46,8125.24,3364.82,2597.24,4.83,120.74,0.31,7.82,0.03,1.56,0.02,1.22,0.01,2.60,1.00,0.40,0.0000,0.0016, 23560,0.58,0.01,96,45,1624.23,1042.30,2597.24,3.12,77.92,0.06,1.56,5.81,76.46,0.00,17.73,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.32,0.13,69.91,0.00,100.00,0.00,0.00,0.00,0.00,78.66,52.30,4.46 ,4.42 ,0.33 ,0.33 ,3.00,3.00,0.44,2.79,0.16,1.12,0.00,3.16,1.00,0.21,0.0000,0.0028,  1080,14.12,85.88,0.00,0.00,0.00,52,1141.12,408.99,2597.24,5.58,139.50,0.88,21.97,
2024-03-09,13:49:59.561,0.15,2.40,0.06,1.12,0.05,22.39,1.00,0.37,0.0000,0.0028, 16320,0.45,0.60,99,46,7951.67,3316.32,2597.32,4.80,119.89,0.31,7.65,0.03,1.59,0.02,1.22,0.01,2.67,1.00,0.40,0.0000,0.0017, 24480,0.57,0.01,97,44,1616.16,1016.60,2597.32,3.18,79.49,0.06,1.56,5.72,77.05,0.01,17.21,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.35,0.14,69.92,0.00,100.00,0.00,0.00,0.00,0.00,78.88,52.30,4.45 ,4.42 ,0.33 ,0.33 ,3.00,3.00,0.43,2.76,0.16,1.12,0.00,3.12,1.00,0.22,0.0000,0.0028,  1320,13.96,86.04,0.00,0.00,0.00,51,1114.29,404.38,2597.32,5.51,137.78,0.86,21.45,
2024-03-09,13:50:00.561,0.15,2.41,0.06,1.12,0.05,23.24,1.00,0.34,0.0000,0.0029, 16320,0.44,0.59,99,46,7979.30,3311.81,2597.18,4.82,120.47,0.31,7.68,0.03,1.58,0.02,1.20,0.01,2.60,1.00,0.61,0.0000,0.0015, 24240,0.58,0.01,97,44,1775.49,1120.30,2597.18,3.17,79.24,0.07,1.71,5.72,75.16,0.02,19.10,0.00,100.00,0.00,0.00,0.00,0.00,1.79,30.38,0.12,67.71,0.00,100.00,0.00,0.00,0.00,0.00,77.71,53.40,4.46 ,4.42 ,0.33 ,0.33 ,3.00,3.00,0.44,2.77,0.16,1.12,0.00,3.24,1.00,0.21,0.0000,0.0028,   920,14.24,85.76,0.00,0.00,0.00,51,1141.50,412.63,2597.18,5.53,138.32,0.88,21.98,
2024-03-09,13:50:01.561,0.16,2.42,0.06,1.12,0.04,23.31,1.00,0.36,0.0000,0.0029, 16040,0.44,0.58,99,46,8142.10,3365.55,2597.60,4.84,120.96,0.31,7.84,0.03,1.57,0.02,1.22,0.02,2.56,0.99,0.40,0.0000,0.0016, 24280,0.58,0.01,97,43,1562.67,993.31,2597.60,3.15,78.66,0.06,1.50,5.81,76.96,0.05,17.18,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.54,0.16,69.73,0.00,100.00,0.00,0.00,0.00,0.00,78.85,52.36,4.46 ,4.42 ,0.00 ,286695.88 ,3.00,3.00,0.44,2.76,0.16,1.12,0.00,3.26,1.00,0.21,0.0000,0.0029,  1040,14.24,85.76,0.00,0.00,0.00,51,1137.05,412.69,2597.60,5.51,137.76,0.88,21.89,
2024-03-09,13:50:02.561,0.14,2.42,0.06,1.12,0.03,22.77,1.00,0.30,0.0000,0.0030, 15840,0.43,0.58,99,46,7496.98,3097.43,2597.30,4.84,121.02,0.29,7.22,0.04,1.62,0.02,1.19,0.01,2.62,1.00,0.74,0.0000,0.0013, 24640,0.57,0.01,97,45,2020.89,1250.66,2597.30,3.23,80.79,0.08,1.95,5.35,72.31,0.02,22.32,0.00,100.00,0.00,0.00,0.00,0.00,2.02,32.55,0.15,65.27,0.00,100.00,0.00,0.00,0.00,0.00,76.11,55.00,4.43 ,4.42 ,0.33 ,0.03 ,3.00,3.00,0.42,2.72,0.15,1.12,0.00,3.18,1.00,0.21,0.0000,0.0029,  1320,13.90,86.10,0.00,0.00,0.00,52,1095.45,402.58,2597.30,5.44,136.05,0.84,21.09,
