System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-09,13:49:55.636,0.31,3.30,0.09,1.12,0.04,10.06,1.00,0.49,0.0000,0.0006, 14440,0.14,0.18,99,47,16208.17,4909.43,2598.97,6.60,165.07,0.62,15.59,0.05,1.36,0.04,1.20,0.08,3.09,0.98,0.89,0.0000,0.0011, 23880,0.17,0.01,97,46,2837.55,2080.74,2598.97,2.73,68.19,0.11,2.73,8.47,67.49,0.09,23.94,0.00,100.00,0.00,0.00,0.00,0.00,3.34,31.48,0.20,64.98,0.00,100.00,0.00,0.00,0.00,0.00,76.05,55.46,4.14 ,4.35 ,933648.69 ,941118.67 ,3.00,3.00,0.90,3.58,0.25,1.12,0.00,1.41,1.00,0.13,0.0000,0.0006,   960,22.64,77.36,0.00,0.00,0.00,52,2351.36,656.41,2598.97,7.16,179.11,1.81,45.24,
2024-03-09,13:49:56.636,0.14,2.49,0.06,1.12,0.04,21.51,1.00,0.26,0.0000,0.0029, 15280,0.51,0.66,99,48,7422.91,2986.28,2597.38,4.97,124.28,0.29,7.14,0.04,1.65,0.03,1.18,0.02,2.61,0.99,0.80,0.0000,0.0012, 24080,0.61,0.01,97,45,2216.19,1341.54,2597.38,3.30,82.60,0.09,2.13,5.15,70.38,0.01,24.46,0.00,100.00,0.00,0.00,0.00,0.00,2.19,34.62,0.16,63.03,0.00,100.00,0.00,0.00,0.00,0.00,74.70,56.19,4.53 ,4.43 ,0.13 ,0.30 ,3.00,3.00,0.41,2.68,0.15,1.12,0.00,3.14,1.00,0.12,0.0000,0.0029,  1040,13.72,86.28,0.00,0.00,0.00,51,1066.71,397.40,2597.38,5.37,134.21,0.82,20.53,
2024-03-09,13:49:57.636,0.16,2.42,0.07,1.12,0.03,22.49,1.00,0.37,0.0000,0.0028, 15640,0.48,0.62,99,46,8166.30,3377.02,2596.97,4.84,120.91,0.31,7.86,0.03,1.57,0.02,1.22,0.01,2.55,1.00,0.40,0.0000,0.0016, 23680,0.59,0.01,97,44,1578.10,1004.13,2596.97,3.14,78.58,0.06,1.52,5.83,76.50,0.00,17.67,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.27,0.13,70.01,0.00,100.00,0.00,0.00,0.00,0.00,78.58,52.26,4.48 ,4.41 ,0.33 ,0.10 ,3.00,3.00,0.42,2.64,0.16,1.12,0.00,3.31,1.00,0.12,0.0000,0.0031,   880,14.12,85.88,0.00,0.00,0.00,51,1080.64,408.94,2596.97,5.29,132.13,0.83,20.81,
2024-03-09,13:49:58.636,0.16,2.44,0.06,1.12,0.04,22.87,1.00,0.37,0.0000,0.0028, 15520,0.46,0.61,99,46,8219.52,3370.06,2596.96,4.88,121.95,0.32,7.91,0.03,1.54,0.02,1.22,0.01,2.62,1.00,0.40,0.0000,0.0016, 23440,0.58,0.01,96,44,1614.19,1050.52,2596.96,3.07,76.83,0.06,1.55,5.82,76.45,0.00,17.73,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.29,0.14,69.92,0.00,100.00,0.00,0.00,0.00,0.00,78.66,52.26,4.46 ,4.42 ,0.33 ,0.33 ,3.00,3.00,0.42,2.66,0.16,1.12,0.00,3.37,1.00,0.12,0.0000,0.0031,  1120,14.10,85.90,0.00,0.00,0.00,51,1087.41,408.38,2596.96,5.33,133.14,0.84,20.94,
2024-03-09,13:49:59.636,0.15,2.38,0.06,1.12,0.04,22.56,1.00,0.37,0.0000,0.0028, 16280,0.45,0.60,99,46,8000.97,3356.12,2596.93,4.77,119.20,0.31,7.70,0.03,1.61,0.02,1.22,0.01,2.62,1.00,0.40,0.0000,0.0016, 24520,0.57,0.01,97,44,1623.49,1009.13,2596.93,3.22,80.44,0.06,1.56,5.79,76.98,0.01,17.21,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.37,0.15,69.90,0.00,100.00,0.00,0.00,0.00,0.00,78.88,52.31,4.45 ,4.42 ,0.07 ,0.00 ,3.00,3.00,0.40,2.61,0.15,1.12,0.00,3.33,1.00,0.12,0.0000,0.0032,  1440,13.86,86.14,0.00,0.00,0.00,51,1046.14,401.46,2596.93,5.21,130.29,0.81,20.14,
2024-03-09,13:50:00.637,0.15,2.42,0.06,1.12,0.05,22.99,1.00,0.34,0.0000,0.0029, 15760,0.44,0.59,99,46,7906.74,3270.66,2599.62,4.83,120.87,0.30,7.60,0.03,1.59,0.02,1.20,0.01,2.55,0.99,0.62,0.0000,0.0014, 24200,0.58,0.01,97,45,1766.35,1109.72,2599.62,3.18,79.59,0.07,1.70,5.64,75.24,0.02,19.10,0.00,100.00,0.00,0.00,0.00,0.00,1.77,30.40,0.11,67.71,0.00,100.00,0.00,0.00,0.00,0.00,77.79,53.45,4.46 ,4.42 ,0.33 ,0.23 ,3.00,3.00,0.41,2.61,0.16,1.12,0.00,3.41,1.00,0.12,0.0000,0.0032,  1320,13.98,86.02,0.00,0.00,0.00,50,1056.23,405.35,2599.62,5.21,130.29,0.81,20.32,
2024-03-09,13:50:01.637,0.16,2.42,0.06,1.12,0.04,23.02,1.00,0.37,0.0000,0.0028, 16000,0.43,0.58,99,46,8109.10,3356.30,2597.00,4.83,120.80,0.31,7.81,0.03,1.58,0.02,1.22,0.01,2.56,0.99,0.40,0.0000,0.0016, 24320,0.58,0.01,97,43,1594.16,1011.54,2597.00,3.15,78.80,0.06,1.53,5.79,76.97,0.05,17.19,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.50,0.17,69.73,0.00,100.00,0.00,0.00,0.00,0.00,78.85,52.35,4.46 ,4.42 ,0.00 ,0.00 ,3.00,3.00,0.41,2.61,0.16,1.12,0.00,3.42,1.00,0.12,0.0000,0.0032,  1200,14.05,85.95,0.00,0.00,0.00,49,1062.55,407.07,2597.00,5.22,130.51,0.82,20.46,
2024-03-09,13:50:02.637,0.15,2.44,0.06,1.12,0.04,23.37,1.00,0.30,0.0000,0.0030, 16000,0.43,0.58,99,46,7750.89,3170.33,2597.02,4.89,122.24,0.30,7.46,0.04,1.63,0.02,1.19,0.01,2.62,0.99,0.74,0.0000,0.0013, 24640,0.57,0.01,97,43,1989.51,1221.97,2597.02,3.26,81.41,0.08,1.92,5.47,72.11,0.02,22.39,0.00,100.00,0.00,0.00,0.00,0.00,1.98,32.67,0.14,65.21,0.00,100.00,0.00,0.00,0.00,0.00,76.05,55.04,4.43 ,4.42 ,0.33 ,0.33 ,3.00,3.00,0.41,2.61,0.16,1.12,0.00,3.48,1.00,0.12,0.0000,0.0033,  1040,14.11,85.89,0.00,0.00,0.00,48,1066.72,408.82,2597.02,5.22,130.46,0.82,20.54,
2024-03-09,13:50:03.637,0.15,2.41,0.06,1.12,0.04,22.75,1.00,0.36,0.0000,0.0029, 15720,0.43,0.58,99,47,7899.97,3276.84,2596.80,4.82,120.54,0.30,7.61,0.03,1.58,0.02,1.22,0.01,2.65,1.00,0.40,0.0000,0.0016, 24680,0.57,0.01,97,44,1627.44,1032.10,2596.80,3.15,78.84,0.06,1.57,5.66,76.67,0.01,17.66,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.15,0.13,70.10,0.00,100.00,0.00,0.00,0.00,0.00,78.82,52.41,4.46 ,4.42 ,0.33 ,0.33 ,3.00,3.00,0.40,2.59,0.15,1.12,0.00,3.39,1.00,0.12,0.0000,0.0033,  1080,13.70,86.30,0.00,0.00,0.00,49,1029.12,396.87,2596.80,5.19,129.65,0.79,19.82,
