Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1709988592,Device: id=1,RX,0.19426099088608,535.93563367531,567.01739221708,238147,82126282
1709988593,Device: id=1,RX,0.25825284952362,730.89385952285,772.21431544663,497038,173713772
1709988594,Device: id=1,RX,0.27683964666601,781.95033742624,826.2446808928,773879,271458042
1709988595,Device: id=1,RX,0.34411504897634,976.06220438234,1031.1206122186,1119395,393962532
1709988596,Device: id=1,RX,1.927736028466,5452.2506241066,5760.6883886612,3047170,1075507638
1709988597,Device: id=1,RX,2.4575794420674,6944.4313112,7337.6440219308,5504792,1943576584
1709988598,Device: id=1,RX,2.4561664299368,6943.6771567908,7336.6637855807,7961001,2811551272
1709988599,Device: id=1,RX,2.4634908189798,6944.1267906061,7338.2853216429,10424513,3679574584
1709988600,Device: id=1,RX,2.459421566863,6949.0706233368,7342.5780740349,12884000,4548231522
1709988601,Device: id=1,RX,2.4529943721679,6942.3299087089,7334.8090082557,15336998,5416024044
1709988602,Device: id=1,RX,2.4549720328067,6946.6415663503,7339.4370915994,17792011,6284368730
1709988603,Device: id=1,RX,2.4574247050724,6946.9917180633,7340.1796708748,20249466,7152753400
1709988604,Device: id=1,RX,2.4545901077187,6947.7753547178,7340.5097719528,22704106,8021242972
1709988605,Device: id=1,RX,2.4473658979364,6921.3749175845,7312.9534612543,25151535,8886437144
1709988606,Device: id=1,RX,2.4543541765876,6943.429154374,7336.125822628,27605937,9754382700
1709988607,Device: id=1,RX,2.4461493376906,6913.1410322454,7304.5249262759,30052102,10618530862
1709988608,Device: id=1,RX,2.4607521842359,6948.8728865341,7342.5932360119,32512907,11487158616
1709988609,Device: id=1,RX,2.4532599848689,6944.1569150849,7336.678512664,34966222,12355197696
1709988610,Device: id=1,RX,2.4583318012526,6947.7062614313,7341.0393496317,37424580,13223670234
1709988611,Device: id=1,RX,2.4554103466574,6942.5464350369,7335.4120905021,39880046,14091508208
1709988612,Device: id=1,RX,2.451153787576,6942.5637921215,7334.7483981336,42331217,14959334776
1709988613,Device: id=1,RX,2.4565892519492,6945.9198753339,7338.9741556458,44787819,15827579266
1709988614,Device: id=1,RX,2.4546974255935,6948.2603628095,7341.0119509045,47242566,16696129352
1709988615,Device: id=1,RX,2.4480516718799,6920.7586464841,7312.4469139849,49690700,17561253276
1709988616,Device: id=1,RX,2.451547891613,6945.9396517131,7338.1873143711,52142280,18429507104
1709988617,Device: id=1,RX,2.4583700442789,6942.6646079558,7336.0038150404,54600705,19297359580
1709988618,Device: id=1,RX,2.4525148087115,6944.9325671233,7337.3349365171,57053240,20165483298
1709988619,Device: id=1,RX,2.4547315972742,6942.0254128306,7334.7824683945,59507986,21033241566
1709988620,Device: id=1,RX,2.4557713415855,6943.0292654775,7335.9526801312,61963793,21901132826
1709988621,Device: id=1,RX,2.4520715992952,6947.6170929342,7339.9485488214,64415897,22769596438
1709988622,Device: id=1,RX,2.4541029095017,6940.8109161588,7333.467381679,66870048,23637214804
1709988623,Device: id=1,RX,2.4549739778472,6942.5851115051,7335.3809479607,69325087,24505060928
1709988624,Device: id=1,RX,2.4543515091811,6942.4105824682,7335.1068239372,71779454,25372867728
1709988625,Device: id=1,RX,2.4291337749414,6860.5473565664,7249.2087605571,74208645,26230456350
1709988626,Device: id=1,RX,2.4548482856588,6944.0466334394,7336.8223591448,76663508,27098467382
1709988627,Device: id=1,RX,2.4588491817759,6946.0958458131,7339.5117148973,79122378,27966736714
1709988628,Device: id=1,RX,2.456434913905,6947.5897206277,7340.6193068525,81578825,28835189702
1709988629,Device: id=1,RX,2.45439766536,6941.4670270572,7334.1706535148,84033283,29702894410
1709988630,Device: id=1,RX,2.4552201721194,6947.2033333012,7340.0385608403,86488522,30571301486
1709988631,Device: id=1,RX,2.4564686131029,6947.1234624447,7340.1584405411,88945027,31439704782
1709988632,Device: id=1,RX,2.4569019083704,6947.7095500478,7340.813855387,91401960,32308179466
1709988633,Device: id=1,RX,2.4591501860982,6947.3267348022,7340.7907645779,93861131,33176602658
1709988634,Device: id=1,RX,2.4539750616566,6947.3045789857,7339.9405888507,96315144,34045029156
1709988635,Device: id=1,RX,2.4508921491686,6932.5668094126,7324.7095532796,98766098,34911621876
1709988636,Device: id=1,RX,2.4567810728301,6944.813492093,7337.8984637458,101222914,35779735904
1709988637,Device: id=1,RX,2.4561538086756,6944.6928422403,7337.6774516283,103679119,36647840602
1709988638,Device: id=1,RX,2.4550078370425,6944.1958987971,7336.9971527239,106134148,37515872572
1709988639,Device: id=1,RX,2.4558261156325,6940.3969538685,7333.3291323696,108590026,38383440520
1709988640,Device: id=1,RX,2.4544202885117,6947.4740186146,7340.1812647764,111044493,39251891300
1709988641,Device: id=1,RX,2.459129462193,6945.4003113892,7338.8610253401,113503628,40120068294
1709988642,Device: id=1,RX,2.4544398034479,6947.5996636215,7340.3100321732,115958100,40988529644
1709988643,Device: id=1,RX,2.4546366874308,6947.8969478126,7340.6388178015,118412786,41857034210
1709988644,Device: id=1,RX,2.4552644140669,6942.6055618758,7335.4478681265,120868103,42724878492
1709988645,Device: id=1,RX,2.4551905145659,6941.9400487266,7334.7705310572,123323311,43592627178
1709988646,Device: id=1,RX,2.4467035394837,6910.598953782,7302.0715200994,125770036,44456459624
1709988647,Device: id=1,RX,2.4553741233995,6947.4705987566,7340.3304585005,128225433,45324901540
1709988648,Device: id=1,RX,2.4536332398043,6947.2784237646,7339.8597421333,130679123,46193331432
1709988649,Device: id=1,RX,2.4557986159505,6945.2557793722,7338.1835579243,133134984,47061510458
1709988650,Device: id=1,RX,2.4539401650396,6940.9702958061,7333.6007222124,135588962,47929145122
1709988651,Device: id=1,RX,2.4574792612274,6943.7829112608,7336.9795930572,138046453,48797122132
1709988652,Device: id=1,RX,2.4544094954122,6948.6248246485,7341.3303439144,140500912,49665717754
1709988653,Device: id=1,RX,2.4554934118048,6950.1008601121,7342.9798060009,142956455,50534497906
1709988654,Device: id=1,RX,2.4602792710455,6950.045026974,7343.6897103413,145416737,51403254498
1709988655,Device: id=1,RX,2.4575216398267,6946.373856214,7339.5773185863,147874314,52271570790
1709988656,Device: id=1,RX,2.4504572614221,6924.3354069147,7316.4085687422,150324824,53137131344
1709988657,Device: id=1,RX,2.4588765048064,6944.8315826339,7338.2518234029,152783708,54005237938
1709988658,Device: id=1,RX,2.4587471791823,6949.0690344159,7342.468583085,155242508,54873890228
1709988659,Device: id=1,RX,2.4568398604253,6948.6698932414,7341.7642709094,157699348,55742474014
1709988660,Device: id=1,RX,2.4554422829193,6945.7096192933,7338.5803845604,160154820,56610698224
1709988661,Device: id=1,RX,2.4587118131486,6948.4674759619,7341.8613660657,162613565,57479268382
1709988662,Device: id=1,RX,2.4557845672606,6946.4307277822,7339.3562585439,165069397,58347588994
1709988663,Device: id=1,RX,2.4557483971253,6948.4699044266,7341.3896479666,167525207,59216169520
1709988664,Device: id=1,RX,2.4542638880538,6950.3348853784,7343.017107467,169979513,60084976288
1709988665,Device: id=1,RX,2.4530958546816,6947.6777415635,7340.1730783126,172432642,60953447740
1709988666,Device: id=1,RX,2.4489557759652,6929.9550198159,7321.7879439703,174881622,61819700686
1709988667,Device: id=1,RX,2.4557682238179,6943.8721544684,7336.7950702793,177337441,62687702652
1709988668,Device: id=1,RX,2.455399412942,6944.5221247203,7337.386030791,179792852,63555772014
1709988669,Device: id=1,RX,2.4569624473501,6948.2825971781,7341.3965887542,182249839,64424316018
1709988670,Device: id=1,RX,2.4544827434508,6946.1215468149,7338.838785767,184704354,65292592622
1709988671,Device: id=1,RX,2.45698789953,6947.8542531311,7340.9723170559,187161348,66161076560
1709988672,Device: id=1,RX,2.4567727562133,6947.7200269408,7340.803667935,189618148,67029551194
1709988673,Device: id=1,RX,2.4571807318241,6945.4221121618,7338.5710292536,192075339,67897732586
1709988674,Device: id=1,RX,2.4568028097965,6946.785589899,7339.8740394664,194532160,68766087214
1709988675,Device: id=1,RX,2.4585365741753,6948.3583055319,7341.7241574,196990720,69634640278
1709988676,Device: id=1,RX,2.4497577732416,6929.4905812952,7321.4518250138,199440480,70500827388
1709988677,Device: id=1,RX,2.4533318012278,6942.6555775089,7335.1886657053,201893848,71368672140
1709988678,Device: id=1,RX,2.4586559751915,6947.5909320232,7340.9758880538,204352539,72237133378
1709988679,Device: id=1,RX,2.4222591166661,6836.406037149,7223.9674958155,206774829,73091695028
1709988680,Device: id=1,RX,2.4542127920046,6943.1980675615,7335.8721142822,209229042,73959594860
