System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-09,18:33:34.113,0.15,2.51,0.06,1.12,0.04,23.48,1.00,0.31,0.0000,0.0029, 21080,0.51,0.71,99,50,7975.52,3173.75,2599.78,5.03,125.65,0.31,7.67,0.03,1.48,0.02,1.22,0.02,2.81,0.99,0.62,0.0000,0.0016, 23440,0.68,0.02,98,47,1749.58,1179.50,2599.78,2.97,74.17,0.07,1.68,5.47,73.32,0.00,21.20,0.00,100.00,0.00,0.00,0.00,0.00,1.85,28.03,0.11,70.01,0.00,100.00,0.00,0.00,0.00,0.00,76.63,52.94,4.55 ,4.45 ,890413.86 ,896941.07 ,3.00,3.00,0.24,1.55,0.16,1.12,0.01,3.59,1.00,0.19,0.0000,0.0057,  5800,14.08,85.92,0.00,0.00,0.00,53,633.73,408.35,2599.78,3.10,77.60,0.49,12.19,
2024-03-09,18:33:35.113,0.15,2.38,0.06,1.12,0.04,23.54,1.00,0.36,0.0000,0.0029, 20960,0.49,0.69,99,49,8000.24,3356.81,2597.75,4.77,119.16,0.31,7.70,0.03,1.51,0.02,1.22,0.01,2.82,1.00,0.39,0.0000,0.0018, 24480,0.67,0.01,97,47,1564.65,1036.22,2597.75,3.02,75.50,0.06,1.51,5.79,76.51,0.01,17.68,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.29,0.13,69.95,0.00,100.00,0.00,0.00,0.00,0.00,78.53,51.90,4.53 ,4.43 ,0.33 ,0.33 ,3.00,3.00,0.24,1.55,0.16,1.12,0.01,3.55,1.00,0.19,0.0000,0.0057,  6120,14.00,86.00,0.00,0.00,0.00,53,627.54,405.63,2597.75,3.09,77.35,0.48,12.08,
2024-03-09,18:33:36.113,0.15,2.43,0.06,1.12,0.04,23.99,1.00,0.35,0.0000,0.0030, 20960,0.46,0.66,99,49,8000.72,3298.74,2597.51,4.85,121.27,0.31,7.70,0.03,1.58,0.02,1.22,0.01,2.82,1.00,0.40,0.0000,0.0018, 24360,0.65,0.01,97,47,1590.85,1005.24,2597.51,3.17,79.13,0.06,1.53,5.69,76.55,0.01,17.74,0.00,100.00,0.00,0.00,0.00,0.00,1.58,28.28,0.15,69.99,0.00,100.00,0.00,0.00,0.00,0.00,78.51,51.91,4.48 ,4.42 ,0.00 ,0.33 ,3.00,3.00,0.24,1.58,0.15,1.12,0.01,3.59,1.00,0.19,0.0000,0.0057,  6160,13.89,86.11,0.00,0.00,0.00,51,634.41,402.45,2597.51,3.15,78.82,0.49,12.21,
2024-03-09,18:33:37.113,0.15,2.38,0.07,1.12,0.03,24.41,1.00,0.36,0.0000,0.0030, 20760,0.46,0.66,99,49,8030.87,3379.35,2597.56,4.75,118.82,0.31,7.73,0.03,1.56,0.02,1.22,0.01,2.92,1.00,0.39,0.0000,0.0018, 24520,0.65,0.01,97,47,1608.72,1031.65,2597.56,3.12,77.97,0.06,1.55,5.83,76.64,0.01,17.52,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.30,0.15,69.93,0.00,100.00,0.00,0.00,0.00,0.00,78.53,51.86,4.50 ,4.43 ,0.30 ,0.33 ,3.00,3.00,0.25,1.57,0.16,1.12,0.01,3.66,1.00,0.19,0.0000,0.0057,  6200,14.14,85.86,0.00,0.00,0.00,52,642.35,409.57,2597.56,3.14,78.42,0.49,12.36,
2024-03-09,18:33:38.113,0.16,2.42,0.06,1.12,0.06,24.90,1.00,0.35,0.0000,0.0031, 20680,0.45,0.64,99,47,8115.76,3357.58,2597.34,4.83,120.86,0.31,7.81,0.03,1.55,0.02,1.22,0.01,2.78,1.00,0.40,0.0000,0.0018, 24440,0.65,0.01,97,47,1545.93,996.03,2597.34,3.10,77.60,0.06,1.49,5.79,76.75,0.01,17.44,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.63,0.15,69.64,0.00,100.00,0.00,0.00,0.00,0.00,78.61,51.91,4.47 ,4.43 ,0.23 ,0.33 ,3.00,3.00,0.25,1.60,0.16,1.12,0.01,3.69,1.00,0.20,0.0000,0.0056,  6080,14.14,85.86,0.00,0.00,0.00,52,655.08,409.64,2597.34,3.20,79.96,0.50,12.61,
2024-03-09,18:33:39.114,0.15,2.32,0.06,1.12,0.05,23.98,1.00,0.35,0.0000,0.0031, 20880,0.45,0.64,99,47,7739.52,3333.85,2597.57,4.64,116.07,0.30,7.45,0.03,1.44,0.02,1.21,0.02,2.98,0.99,0.39,0.0000,0.0019, 23800,0.67,0.01,97,46,1581.44,1097.50,2597.57,2.88,72.05,0.06,1.52,5.75,76.97,0.02,17.26,0.00,100.00,0.00,0.00,0.00,0.00,1.75,28.45,0.15,69.66,0.00,100.00,0.00,0.00,0.00,0.00,78.71,51.96,4.49 ,4.44 ,0.33 ,0.33 ,3.00,3.00,0.24,1.60,0.15,1.12,0.01,3.56,1.00,0.19,0.0000,0.0056,  6080,13.73,86.27,0.00,0.00,0.00,51,635.20,397.85,2597.57,3.19,79.83,0.49,12.23,
2024-03-09,18:33:40.114,0.15,2.35,0.07,1.12,0.03,24.98,1.00,0.35,0.0000,0.0031, 21240,0.44,0.63,99,46,7989.55,3396.34,2597.79,4.70,117.62,0.31,7.69,0.03,1.35,0.02,1.22,0.01,2.75,1.00,0.41,0.0000,0.0018, 24160,0.64,0.01,97,47,1534.44,1133.13,2597.79,2.71,67.71,0.06,1.48,5.86,76.42,0.01,17.70,0.00,100.00,0.00,0.00,0.00,0.00,1.78,28.01,0.14,70.07,0.00,100.00,0.00,0.00,0.00,0.00,78.62,51.92,4.46 ,4.43 ,377893.78 ,378793.37 ,3.00,3.00,0.25,1.61,0.16,1.12,0.01,3.70,1.00,0.19,0.0000,0.0056,  6160,14.23,85.77,0.00,0.00,0.00,51,661.91,412.26,2597.79,3.21,80.28,0.51,12.74,
2024-03-09,18:33:41.114,0.15,2.38,0.06,1.12,0.06,24.50,1.00,0.36,0.0000,0.0030, 20600,0.48,0.70,99,46,8046.83,3375.50,2598.51,4.77,119.19,0.31,7.74,0.03,1.56,0.02,1.22,0.04,3.06,0.99,0.39,0.0000,0.0019, 25680,0.68,0.02,96,45,1633.24,1047.23,2598.51,3.12,77.98,0.06,1.57,5.82,76.72,0.02,17.44,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.85,0.16,69.33,0.00,100.00,0.00,0.00,0.00,0.00,78.68,52.15,4.50 ,4.45 ,0.03 ,0.10 ,3.00,3.00,0.25,1.62,0.16,1.12,0.01,3.64,1.00,0.19,0.0000,0.0055,  6120,13.98,86.02,0.00,0.00,0.00,52,657.56,405.22,2598.51,3.25,81.14,0.51,12.65,
2024-03-09,18:33:42.114,0.15,2.35,0.06,1.12,0.04,24.67,1.00,0.35,0.0000,0.0031, 20640,0.44,0.63,99,47,7905.98,3366.83,2595.02,4.70,117.41,0.30,7.62,0.03,1.54,0.02,1.22,0.02,2.89,0.99,0.39,0.0000,0.0018, 24280,0.69,0.01,98,46,1563.40,1017.29,2595.02,3.07,76.84,0.06,1.51,5.82,76.56,0.01,17.61,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.24,0.14,70.01,0.00,100.00,0.00,0.00,0.00,0.00,78.71,51.98,4.46 ,4.44 ,0.07 ,0.13 ,3.00,3.00,0.25,1.60,0.16,1.12,0.01,3.65,1.00,0.19,0.0000,0.0056,  6040,14.08,85.92,0.00,0.00,0.00,52,650.03,407.51,2595.02,3.19,79.76,0.50,12.52,
2024-03-09,18:33:43.114,0.15,2.36,0.06,1.12,0.12,23.89,1.00,0.36,0.0000,0.0030, 20200,0.47,0.68,98,46,7871.78,3340.23,2598.67,4.71,117.83,0.30,7.57,0.03,1.52,0.02,1.21,0.06,3.17,0.98,0.43,0.0000,0.0020, 25080,0.77,0.05,94,46,1581.99,1043.57,2598.67,3.03,75.80,0.06,1.52,5.76,77.38,0.05,16.82,0.00,100.00,0.00,0.00,0.00,0.00,1.66,31.34,0.31,66.69,0.00,100.00,0.00,0.00,0.00,0.00,78.85,52.82,4.50 ,4.49 ,0.03 ,0.10 ,3.00,3.00,0.25,1.61,0.15,1.12,0.01,3.55,1.00,0.20,0.0000,0.0055,  6000,13.74,86.26,0.00,0.00,0.00,51,641.60,398.15,2598.67,3.22,80.57,0.49,12.34,
2024-03-09,18:33:44.115,0.15,2.36,0.06,1.12,0.03,24.78,1.00,0.35,0.0000,0.0031, 20520,0.44,0.63,99,46,7976.36,3377.12,2598.29,4.72,118.09,0.31,7.68,0.03,1.32,0.02,1.22,0.04,2.89,0.99,0.40,0.0000,0.0019, 24400,0.70,0.01,98,47,1514.32,1148.60,2598.29,2.64,65.92,0.06,1.46,5.83,76.99,0.01,17.17,0.00,100.00,0.00,0.00,0.00,0.00,1.81,28.56,0.15,69.48,0.00,100.00,0.00,0.00,0.00,0.00,78.83,52.04,4.47 ,4.44 ,0.03 ,0.10 ,3.00,3.00,0.26,1.62,0.16,1.12,0.01,3.67,1.00,0.19,0.0000,0.0055,  6080,14.13,85.87,0.00,0.00,0.00,51,663.50,409.46,2598.29,3.24,81.02,0.51,12.77,
2024-03-09,18:33:45.114,0.16,2.41,0.06,1.12,0.05,25.11,1.00,0.35,0.0000,0.0031, 20680,0.44,0.63,99,46,8060.16,3346.82,2594.89,4.82,120.42,0.31,7.76,0.03,1.54,0.02,1.22,0.03,2.83,0.99,0.40,0.0000,0.0018, 24480,0.68,0.01,97,46,1556.33,1010.62,2594.89,3.08,77.00,0.06,1.50,5.78,76.69,0.01,17.51,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.33,0.13,69.95,0.00,100.00,0.00,0.00,0.00,0.00,78.76,52.03,4.48 ,4.45 ,0.03 ,0.10 ,3.00,3.00,0.26,1.65,0.16,1.12,0.01,3.70,1.00,0.19,0.0000,0.0055,  6080,14.12,85.88,0.00,0.00,0.00,51,674.77,408.70,2594.89,3.30,82.55,0.52,13.00,
2024-03-09,18:33:46.114,0.15,2.33,0.06,1.12,0.06,24.23,1.00,0.35,0.0000,0.0031, 20640,0.43,0.62,99,46,7726.31,3321.39,2598.34,4.65,116.31,0.30,7.43,0.03,1.49,0.02,1.21,0.02,2.92,0.99,0.39,0.0000,0.0018, 24080,0.67,0.01,97,46,1590.99,1067.19,2598.34,2.98,74.54,0.06,1.53,5.73,76.68,0.01,17.57,0.00,100.00,0.00,0.00,0.00,0.00,1.69,28.13,0.13,70.05,0.00,100.00,0.00,0.00,0.00,0.00,78.79,52.05,4.46 ,4.43 ,0.03 ,0.10 ,3.00,3.00,0.25,1.62,0.15,1.12,0.01,3.57,1.00,0.19,0.0000,0.0055,  6040,13.71,86.29,0.00,0.00,0.00,50,643.87,397.42,2598.34,3.24,81.01,0.50,12.39,
2024-03-09,18:33:47.115,0.15,2.34,0.07,1.12,0.04,25.03,1.00,0.35,0.0000,0.0031, 20920,0.44,0.63,99,46,7956.48,3398.84,2597.58,4.68,117.05,0.31,7.66,0.03,1.57,0.02,1.22,0.01,2.80,1.00,0.40,0.0000,0.0017, 24400,0.66,0.01,97,45,1607.78,1024.63,2597.58,3.14,78.46,0.06,1.55,5.87,76.48,0.01,17.64,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.21,0.15,70.02,0.00,100.00,0.00,0.00,0.00,0.00,78.81,52.08,4.46 ,4.44 ,0.03 ,0.10 ,3.00,3.00,0.26,1.63,0.16,1.12,0.01,3.69,1.00,0.19,0.0000,0.0055,  6040,14.20,85.80,0.00,0.00,0.00,51,669.39,411.48,2597.58,3.25,81.34,0.52,12.88,
2024-03-09,18:33:48.115,0.15,2.45,0.06,1.12,0.02,25.23,1.00,0.29,0.0000,0.0033, 20600,0.43,0.62,99,46,7625.72,3112.57,2597.36,4.90,122.50,0.29,7.34,0.04,1.63,0.02,1.19,0.01,2.77,1.00,0.73,0.0000,0.0014, 24600,0.66,0.01,97,45,1920.67,1174.85,2597.36,3.27,81.74,0.07,1.85,5.37,73.14,0.01,21.49,0.00,100.00,0.00,0.00,0.00,0.00,1.89,32.23,0.12,65.76,0.00,100.00,0.00,0.00,0.00,0.00,76.49,54.49,4.44 ,4.43 ,0.03 ,0.10 ,3.00,3.00,0.26,1.66,0.16,1.12,0.01,3.73,1.00,0.19,0.0000,0.0056,  6040,13.98,86.02,0.00,0.00,0.00,51,671.24,404.99,2597.36,3.31,82.87,0.52,12.92,
2024-03-09,18:33:49.115,0.15,2.34,0.06,1.12,0.04,25.12,1.00,0.32,0.0000,0.0033, 21080,0.43,0.62,99,45,7671.85,3278.95,2597.48,4.68,116.99,0.30,7.38,0.03,1.57,0.02,1.20,0.01,2.81,1.00,0.62,0.0000,0.0016, 24760,0.66,0.01,97,45,1735.04,1106.57,2597.48,3.14,78.40,0.07,1.67,5.66,74.86,0.01,19.47,0.00,100.00,0.00,0.00,0.00,0.00,1.77,30.63,0.12,67.49,0.00,100.00,0.00,0.00,0.00,0.00,77.58,53.45,4.45 ,4.42 ,0.03 ,0.10 ,3.00,3.00,0.26,1.63,0.16,1.12,0.01,3.69,1.00,0.19,0.0000,0.0055,  6160,14.12,85.88,0.00,0.00,0.00,50,665.61,409.19,2597.48,3.25,81.33,0.51,12.81,
2024-03-09,18:33:50.115,0.14,2.43,0.06,1.12,0.03,24.62,1.00,0.29,0.0000,0.0033, 20960,0.43,0.62,99,46,7462.72,3075.56,2597.50,4.85,121.32,0.29,7.18,0.04,1.62,0.02,1.19,0.03,2.87,0.99,0.72,0.0000,0.0015, 24440,0.66,0.01,98,44,1893.98,1169.54,2597.50,3.24,80.97,0.07,1.82,5.31,73.37,0.05,21.27,0.00,100.00,0.00,0.00,0.00,0.00,1.89,32.26,0.16,65.70,0.00,100.00,0.00,0.00,0.00,0.00,76.55,54.48,4.44 ,4.43 ,0.33 ,0.37 ,3.00,3.00,0.25,1.66,0.15,1.12,0.01,3.62,1.00,0.19,0.0000,0.0055,  6160,13.68,86.32,0.00,0.00,0.00,51,657.66,396.45,2597.50,3.32,82.94,0.51,12.66,
2024-03-09,18:33:51.115,0.15,2.37,0.06,1.12,0.03,24.90,1.00,0.32,0.0000,0.0032, 20640,0.43,0.62,99,46,7737.43,3270.16,2597.28,4.73,118.30,0.30,7.45,0.03,1.60,0.02,1.21,0.01,2.84,1.00,0.63,0.0000,0.0016, 24200,0.65,0.01,97,44,1797.09,1122.99,2597.28,3.20,80.01,0.07,1.73,5.64,74.50,0.02,19.84,0.00,100.00,0.00,0.00,0.00,0.00,1.79,30.26,0.14,67.81,0.00,100.00,0.00,0.00,0.00,0.00,77.55,53.43,4.47 ,4.44 ,0.03 ,0.10 ,3.00,3.00,0.26,1.63,0.16,1.12,0.01,3.68,1.00,0.19,0.0000,0.0055,  6080,14.11,85.89,0.00,0.00,0.00,50,666.57,408.86,2597.28,3.26,81.52,0.51,12.83,
2024-03-09,18:33:52.116,0.15,2.42,0.06,1.12,0.04,25.56,1.00,0.30,0.0000,0.0033, 21040,0.43,0.62,99,46,7744.99,3194.05,2597.45,4.85,121.24,0.30,7.45,0.03,1.61,0.02,1.20,0.01,2.79,1.00,0.66,0.0000,0.0015, 24200,0.64,0.01,97,45,1808.06,1125.95,2597.45,3.21,80.29,0.07,1.74,5.51,73.99,0.02,20.47,0.00,100.00,0.00,0.00,0.00,0.00,1.80,30.83,0.12,67.24,0.00,100.00,0.00,0.00,0.00,0.00,77.20,53.84,4.47 ,4.43 ,0.00 ,0.00 ,3.00,3.00,0.26,1.66,0.16,1.12,0.01,3.75,1.00,0.19,0.0000,0.0055,  6120,14.09,85.91,0.00,0.00,0.00,50,676.47,408.09,2597.45,3.32,82.88,0.52,13.02,
2024-03-09,18:33:53.120,0.14,2.28,0.06,1.12,0.10,24.47,1.00,0.29,0.0000,0.0033, 20840,0.45,0.64,98,46,7380.12,3233.00,2597.97,4.57,114.14,0.28,7.10,0.04,1.49,0.03,1.18,0.07,3.12,0.98,0.72,0.0000,0.0016, 27000,0.69,0.04,95,45,1982.55,1331.69,2597.97,2.98,74.44,0.08,1.91,5.58,72.93,0.01,21.48,0.00,100.00,0.00,0.00,0.00,0.00,2.17,34.38,0.22,63.23,0.00,100.00,0.00,0.00,0.00,0.00,76.64,55.41,4.48 ,4.46 ,0.03 ,0.10 ,3.01,3.00,0.25,1.61,0.15,1.12,0.01,3.60,1.00,0.19,0.0000,0.0056,  6080,13.84,86.16,0.00,0.00,0.00,50,643.92,401.13,2597.97,3.21,80.26,0.50,12.39,
2024-03-09,18:33:54.115,0.15,2.33,0.07,1.12,0.05,24.38,1.00,0.36,0.0000,0.0031, 21240,0.45,0.64,99,46,7916.74,3392.59,2595.78,4.67,116.68,0.31,7.63,0.03,1.53,0.02,1.22,0.05,3.08,0.98,0.39,0.0000,0.0019, 25320,0.74,0.02,97,46,1593.55,1040.32,2595.78,3.06,76.59,0.06,1.54,5.86,76.63,0.01,17.50,0.00,100.00,0.00,0.00,0.00,0.00,1.65,29.07,0.17,69.10,0.00,100.00,0.00,0.00,0.00,0.00,78.68,52.36,4.47 ,4.45 ,0.00 ,0.10 ,2.99,3.00,0.26,1.63,0.16,1.12,0.01,3.62,1.00,0.19,0.0000,0.0054,  6280,14.08,85.92,0.00,0.00,0.00,50,665.89,407.59,2595.78,3.27,81.69,0.51,12.83,
