System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),Core6 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-28,11:27:41.484,0.22,2.81,0.08,1.12,0.04,15.05,1.00,0.44,0.0000,0.0013, 13320,0.26,0.27,99,47,11619.44,4131.81,2598.91,5.62,140.61,0.45,11.18,0.03,1.42,0.02,1.22,0.05,2.45,0.98,0.78,0.0000,0.0014, 22600,0.23,0.01,95,43,1722.66,1213.58,2598.91,2.84,70.97,0.07,1.66,7.13,75.01,0.02,17.84,0.00,100.00,0.00,0.00,0.00,0.00,1.91,28.82,0.20,69.07,0.00,100.00,0.00,0.00,0.00,0.00,79.47,52.48,4.31 ,4.37 ,808968.84 ,814823.35 ,3.00,3.00,0.62,3.17,0.20,1.12,0.00,1.79,1.00,0.12,0.0000,0.0011,  3720,17.55,82.45,0.00,0.00,0.00,48,1612.99,508.76,2598.91,6.34,158.52,1.24,31.03,
2024-02-28,11:27:42.484,0.16,2.51,0.06,1.12,0.05,18.78,1.00,0.37,0.0000,0.0022, 13680,0.49,0.54,99,46,8458.78,3376.02,2597.62,5.01,125.28,0.33,8.14,0.03,1.59,0.02,1.22,0.03,2.13,0.99,0.41,0.0000,0.0013, 24360,0.45,0.01,95,43,1658.45,1040.29,2597.62,3.19,79.71,0.06,1.60,5.83,76.45,0.02,17.71,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.38,0.12,69.86,0.00,100.00,0.00,0.00,0.00,0.00,78.89,52.61,4.47 ,4.40 ,0.33 ,0.00 ,3.00,3.00,0.48,3.03,0.16,1.12,0.00,2.20,1.00,0.10,0.0000,0.0018,  3400,14.18,85.82,0.00,0.00,0.00,48,1243.92,410.77,2597.62,6.06,151.41,0.96,23.94,
2024-02-28,11:27:43.484,0.16,2.51,0.07,1.12,0.04,19.19,1.00,0.37,0.0000,0.0023, 13280,0.47,0.52,99,46,8499.13,3383.03,2597.37,5.02,125.61,0.33,8.18,0.03,1.60,0.02,1.22,0.03,2.18,0.98,0.39,0.0000,0.0013, 24440,0.44,0.01,96,43,1634.61,1019.68,2597.37,3.21,80.15,0.06,1.57,5.84,76.35,0.01,17.80,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.25,0.13,70.01,0.00,100.00,0.00,0.00,0.00,0.00,78.95,52.60,4.45 ,4.38 ,0.33 ,0.00 ,3.00,3.00,0.48,3.00,0.16,1.12,0.00,2.28,1.00,0.11,0.0000,0.0018,  4000,14.27,85.73,0.00,0.00,0.00,47,1238.24,413.33,2597.37,5.99,149.79,0.95,23.84,
2024-02-28,11:27:44.484,0.16,2.50,0.06,1.12,0.03,18.88,1.00,0.38,0.0000,0.0023, 15200,0.45,0.51,99,46,8300.14,3317.90,2597.13,5.00,125.08,0.32,7.99,0.03,1.58,0.02,1.22,0.01,2.07,1.00,0.39,0.0000,0.0013, 25360,0.43,0.01,96,43,1622.55,1024.88,2597.13,3.17,79.16,0.06,1.56,5.73,76.36,0.01,17.90,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.27,0.12,69.99,0.00,100.00,0.00,0.00,0.00,0.00,78.96,52.63,4.43 ,4.38 ,0.33 ,0.00 ,3.00,3.00,0.47,3.01,0.15,1.12,0.00,2.22,1.00,0.11,0.0000,0.0018,  4360,13.87,86.13,0.00,0.00,0.00,48,1209.75,401.86,2597.13,6.02,150.52,0.93,23.29,
2024-02-28,11:27:45.484,0.16,2.50,0.07,1.12,0.04,19.29,1.00,0.38,0.0000,0.0023, 14760,0.45,0.50,99,46,8438.47,3380.67,2597.36,4.99,124.80,0.32,8.12,0.03,1.60,0.02,1.22,0.01,2.10,0.99,0.39,0.0000,0.0013, 24320,0.43,0.01,95,42,1639.52,1023.91,2597.36,3.20,80.06,0.06,1.58,5.83,76.34,0.04,17.79,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.32,0.14,69.92,0.00,100.00,0.00,0.00,0.00,0.00,79.03,52.67,4.43 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.47,2.97,0.16,1.12,0.00,2.30,1.00,0.11,0.0000,0.0019,  3600,14.25,85.75,0.00,0.00,0.00,47,1224.21,412.78,2597.36,5.93,148.29,0.94,23.57,
2024-02-28,11:27:46.484,0.16,2.52,0.07,1.12,0.05,19.57,1.00,0.37,0.0000,0.0023, 14840,0.44,0.50,99,46,8539.62,3383.87,2597.22,5.05,126.18,0.33,8.22,0.03,1.61,0.02,1.22,0.02,2.13,0.99,0.39,0.0000,0.0013, 24280,0.44,0.01,95,43,1626.63,1009.68,2597.22,3.22,80.55,0.06,1.57,5.84,77.22,0.01,16.92,0.00,100.00,0.00,0.00,0.00,0.00,1.59,29.01,0.13,69.26,0.00,100.00,0.00,0.00,0.00,0.00,79.32,52.71,4.42 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.48,3.02,0.16,1.12,0.00,2.31,1.00,0.11,0.0000,0.0019,  3760,14.27,85.73,0.00,0.00,0.00,47,1249.18,413.39,2597.22,6.04,151.09,0.96,24.05,
2024-02-28,11:27:47.484,0.16,2.49,0.06,1.12,0.03,19.20,1.00,0.38,0.0000,0.0023, 15760,0.44,0.49,99,45,8361.83,3353.13,2597.12,4.99,124.69,0.32,8.05,0.03,1.59,0.02,1.22,0.01,2.07,0.99,0.39,0.0000,0.0013, 23920,0.44,0.01,95,41,1619.67,1019.72,2597.12,3.18,79.42,0.06,1.56,5.79,76.44,0.01,17.76,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.29,0.13,69.98,0.00,100.00,0.00,0.00,0.00,0.00,79.11,52.71,4.36 ,4.39 ,0.33 ,0.00 ,3.00,3.00,0.46,2.96,0.16,1.12,0.00,2.29,1.00,0.11,0.0000,0.0019,  3840,14.08,85.92,0.00,0.00,0.00,47,1206.26,407.95,2597.12,5.91,147.84,0.93,23.22,
2024-02-28,11:27:48.485,0.16,2.45,0.07,1.12,0.10,18.95,0.99,0.38,0.0000,0.0023, 17640,0.48,0.52,97,45,8395.55,3432.86,2597.38,4.89,122.28,0.32,8.08,0.03,1.50,0.02,1.20,0.09,2.60,0.96,0.45,0.0001,0.0015, 24160,0.53,0.06,90,43,1680.71,1117.87,2597.38,3.01,75.17,0.06,1.62,5.92,77.04,0.08,16.95,0.00,100.00,0.00,0.00,0.00,0.00,1.79,30.94,0.28,67.00,0.00,100.00,0.00,0.00,0.00,0.00,79.26,53.57,4.43 ,4.43 ,0.33 ,0.00 ,3.00,3.00,0.47,3.00,0.16,1.12,0.00,2.21,1.00,0.11,0.0000,0.0018,  4600,14.12,85.88,0.00,0.00,0.00,47,1225.56,409.07,2597.38,5.99,149.80,0.94,23.59,
2024-02-28,11:27:49.485,0.16,2.43,0.07,1.12,0.07,19.01,1.00,0.38,0.0000,0.0023, 17920,0.46,0.51,99,45,8401.23,3454.58,2597.25,4.86,121.60,0.32,8.09,0.03,1.62,0.02,1.22,0.01,2.14,0.99,0.39,0.0000,0.0013, 24400,0.45,0.01,96,42,1658.24,1025.41,2597.25,3.23,80.86,0.06,1.60,5.96,76.85,0.02,17.17,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.17,0.15,70.07,0.00,100.00,0.00,0.00,0.00,0.00,79.22,52.73,4.41 ,4.38 ,0.00 ,0.00 ,3.00,3.00,0.48,3.01,0.16,1.12,0.00,2.25,1.00,0.11,0.0000,0.0018,  4280,14.18,85.82,0.00,0.00,0.00,48,1234.76,410.66,2597.25,6.01,150.34,0.95,23.77,
