,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-02-28,11:27:41.853,   95.35,  170.98,  340.24,  300.51,,,,,  435.60,  471.50,1829707352,  907.10,  202.75,    9.37,  199.78,    6.47,,,,,  402.52,   15.83,1829876711,  418.36,    838.12,    487.33,   1325.45
2024-02-28,11:27:42.853,  105.76,  192.81,  377.69,  337.61,,,,,  483.45,  530.42,2133009464, 1013.87,  226.67,    8.88,  222.61,    5.48,,,,,  449.28,   14.35,2132963416,  463.63,    932.73,    544.77,   1477.50
2024-02-28,11:27:43.852,  101.02,  188.11,  360.26,  326.30,,,,,  461.28,  514.41,2132557821,  975.70,  219.97,    5.82,  216.55,    2.41,,,,,  436.52,    8.23,2132534760,  444.75,    897.81,    522.64,   1420.45
2024-02-28,11:27:44.853,   99.07,  183.86,  354.42,  319.81,,,,,  453.49,  503.67,2134661316,  957.16,  216.87,    6.27,  213.67,    2.85,,,,,  430.54,    9.13,2134654930,  439.66,    884.03,    512.79,   1396.82
2024-02-28,11:27:45.853,   97.16,  182.24,  347.69,  315.79,,,,,  444.85,  498.03,2132542755,  942.88,  216.78,    6.50,  213.58,    3.07,,,,,  430.37,    9.57,2132598085,  439.94,    875.21,    507.60,   1382.82
2024-02-28,11:27:46.854,   96.55,  180.97,  346.27,  313.80,,,,,  442.82,  494.77,2134791180,  937.58,  223.23,    8.26,  219.11,    4.82,,,,,  442.34,   13.08,2134959161,  455.42,    885.16,    507.84,   1393.00
2024-02-28,11:27:47.854,   98.91,  184.72,  352.03,  319.10,,,,,  450.94,  503.82,2133195289,  954.76,  239.61,   19.08,  236.83,   15.89,,,,,  476.44,   34.96,2133342426,  511.41,    927.38,    538.78,   1466.17
2024-02-28,11:27:48.859,  104.01,  187.53,  369.02,  327.26,,,,,  473.03,  514.79,2132161390,  987.82,  250.61,   17.21,  247.80,   13.85,,,,,  498.41,   31.06,2140801823,  529.47,    971.44,    545.85,   1517.29
2024-02-28,11:27:49.855,   96.93,  183.37,  347.76,  316.08,,,,,  444.69,  499.45,2133859124,  944.13,  223.69,    6.39,  220.45,    3.02,,,,,  444.15,    9.41,2124833943,  453.56,    888.83,    508.86,   1397.69
2024-02-28,11:27:50.855,   90.27,  174.61,  324.30,  299.27,,,,,  414.57,  473.88,2132539047,  888.45,  223.55,    7.82,  219.85,    4.47,,,,,  443.41,   12.29,2132546192,  455.69,    857.98,    486.16,   1344.14
2024-02-28,11:27:51.856,   89.52,  174.29,  322.23,  298.14,,,,,  411.75,  472.44,2134679097,  884.19,  221.76,    6.28,  218.33,    2.89,,,,,  440.09,    9.18,2134702771,  449.27,    851.85,    481.62,   1333.46
2024-02-28,11:27:52.855,   92.52,  202.79,  329.99,  329.98,,,,,  422.51,  532.77,2132491596,  955.28,  266.61,    7.03,  262.97,    3.62,,,,,  529.58,   10.65,2132477071,  540.22,    952.09,    543.42,   1495.50
2024-02-28,11:27:53.855,   94.61,  230.10,  335.49,  359.33,,,,,  430.10,  589.43,2132575280, 1019.53,  304.53,    6.47,  301.17,    3.08,,,,,  605.70,    9.55,2132582710,  615.25,   1035.80,    598.98,   1634.78
2024-02-28,11:27:54.856,   94.82,  228.95,  336.01,  358.24,,,,,  430.84,  587.19,2134725573, 1018.02,  303.37,    7.13,  300.27,    3.73,,,,,  603.64,   10.85,2134718652,  614.49,   1034.48,    598.04,   1632.52
2024-02-28,11:27:55.856,   92.64,  225.46,  328.64,  352.12,,,,,  421.28,  577.58,2132539088,  998.86,  302.90,    7.30,  300.98,    3.94,,,,,  603.88,   11.24,2132525655,  615.12,   1025.16,    588.82,   1613.98
2024-02-28,11:27:56.857,   92.84,  225.35,  329.25,  352.10,,,,,  422.09,  577.46,2132564805,  999.55,  303.07,    6.68,  302.23,    3.27,,,,,  605.30,    9.95,2132544223,  615.25,   1027.39,    587.41,   1614.80
2024-02-28,11:27:57.856,   93.11,  226.65,  329.69,  353.16,,,,,  422.80,  579.81,2134691482, 1002.61,  303.88,    7.32,  300.91,    3.90,,,,,  604.79,   11.21,2134691668,  616.01,   1027.59,    591.02,   1618.61
2024-02-28,11:27:58.856,  104.72,  249.36,  363.82,  386.95,,,,,  468.55,  636.31,2132481658, 1104.86,  357.03,   29.28,  353.27,   25.83,,,,,  710.30,   55.10,2132490506,  765.40,   1178.85,    691.42,   1870.26
2024-02-28,11:27:59.857,   93.26,  227.95,  329.54,  354.01,,,,,  422.81,  581.96,2134688724, 1004.76,  313.75,    7.64,  310.95,    4.21,,,,,  624.71,   11.85,2134669047,  636.55,   1047.51,    593.80,   1641.32
2024-02-28,11:28:00.857,   92.93,  226.15,  328.37,  351.85,,,,,  421.30,  578.00,2132488419,  999.30,  300.35,    6.48,  297.24,    3.08,,,,,  597.59,    9.56,2132447792,  607.15,   1018.89,    587.56,   1606.45
2024-02-28,11:28:01.856,   91.62,  224.77,  325.62,  349.77,,,,,  417.24,  574.54,2132405369,  991.78,  295.76,    6.37,  292.41,    2.96,,,,,  588.16,    9.33,2132458160,  597.49,   1005.40,    583.87,   1589.27
2024-02-28,11:28:02.857,   92.54,  226.10,  327.55,  351.17,,,,,  420.09,  577.27,2134641377,  997.36,  298.47,    7.35,  295.80,    3.93,,,,,  594.27,   11.29,2134673571,  605.56,   1014.36,    588.56,   1602.92
2024-02-28,11:28:03.857,   90.99,  223.89,  322.51,  347.80,,,,,  413.50,  571.69,2132607976,  985.18,  309.94,    8.45,  306.71,    5.06,,,,,  616.65,   13.51,2132597365,  630.16,   1030.15,    585.19,   1615.35
2024-02-28,11:28:04.858,   91.26,  224.30,  324.62,  349.19,,,,,  415.88,  573.49,2132555500,  989.37,  301.93,    6.65,  299.58,    3.23,,,,,  601.50,    9.88,2132651150,  611.38,   1017.38,    583.37,   1600.75
2024-02-28,11:28:05.857,   91.25,  224.29,  323.84,  348.57,,,,,  415.09,  572.86,2134636344,  987.96,  297.12,    6.49,  295.50,    3.10,,,,,  592.61,    9.59,2134491984,  602.21,   1007.71,    582.45,   1590.16
2024-02-28,11:28:06.857,   91.83,  224.52,  326.55,  350.11,,,,,  418.38,  574.62,2132632279,  993.01,  293.66,    6.92,  294.00,    3.52,,,,,  587.65,   10.44,2132591163,  598.10,   1006.03,    585.07,   1591.10
2024-02-28,11:28:07.858,   91.16,  224.49,  323.73,  348.87,,,,,  414.89,  573.36,2134741988,  988.25,  296.50,    6.65,  295.63,    3.27,,,,,  592.13,    9.92,2134794101,  602.05,   1007.02,    583.28,   1590.30
2024-02-28,11:28:08.858,  104.53,  245.14,  365.31,  383.53,,,,,  469.84,  628.67,2132493685, 1098.51,  352.54,   33.29,  347.80,   29.57,,,,,  700.34,   62.86,2132737312,  763.20,   1170.18,    691.53,   1861.71
2024-02-28,11:28:09.858,   93.16,  228.72,  331.12,  356.42,,,,,  424.28,  585.13,2132890586, 1009.42,  314.14,    6.56,  309.86,    3.13,,,,,  623.99,    9.69,2132910473,  633.68,   1048.28,    594.82,   1643.10
2024-02-28,11:28:10.858,   92.62,  226.44,  327.89,  352.62,,,,,  420.51,  579.06,2132797143,  999.57,  307.14,    6.95,  302.11,    3.55,,,,,  609.25,   10.50,2132627999,  619.75,   1029.76,    589.56,   1619.32
2024-02-28,11:28:11.859,   90.96,  224.76,  322.87,  348.97,,,,,  413.83,  573.73,2134727509,  987.56,  301.07,    6.16,  297.03,    2.74,,,,,  598.10,    8.91,2134635653,  607.01,   1011.93,    582.64,   1594.57
2024-02-28,11:28:12.858,   89.63,  198.45,  321.07,  321.56,,,,,  410.70,  520.01,2132550006,  930.71,  268.35,    8.15,  264.39,    4.80,,,,,  532.74,   12.95,2132503329,  545.68,    943.44,    532.96,   1476.40
2024-02-28,11:28:13.859,   86.74,  174.59,  313.05,  294.54,,,,,  399.79,  469.13,2134546268,  868.92,  227.19,    6.06,  222.80,    2.67,,,,,  449.99,    8.72,2134594319,  458.72,    849.79,    477.85,   1327.64
2024-02-28,11:28:14.859,   87.66,  175.62,  316.69,  297.33,,,,,  404.35,  472.95,2132500204,  877.30,  230.09,    7.20,  225.80,    3.80,,,,,  455.90,   11.00,2132399360,  466.89,    860.25,    483.95,   1344.20
2024-02-28,11:28:15.859,   86.78,  174.55,  314.31,  295.64,,,,,  401.09,  470.20,2132375155,  871.29,  227.23,    6.34,  223.28,    2.99,,,,,  450.52,    9.33,2132504550,  459.84,    851.61,    479.53,   1331.13
2024-02-28,11:28:16.859,   87.05,  175.15,  313.73,  295.55,,,,,  400.78,  470.71,2134598707,  871.49,  225.55,    5.82,  222.53,    2.42,,,,,  448.07,    8.24,2134616188,  456.32,    848.86,    478.95,   1327.80
2024-02-28,11:28:17.859,   87.25,  175.03,  314.80,  295.76,,,,,  402.05,  470.79,2132531491,  872.84,  226.51,    6.41,  223.35,    3.01,,,,,  449.85,    9.41,2132479067,  459.27,    851.91,    480.21,   1332.11
2024-02-28,11:28:18.860,   98.06,  190.77,  348.71,  322.85,,,,,  446.77,  513.62,2134709229,  960.39,  262.58,   26.87,  259.24,   23.47,,,,,  521.83,   50.34,2134715112,  572.16,    968.59,    563.95,   1532.55
2024-02-28,11:28:19.860,   88.61,  179.78,  319.02,  302.71,,,,,  407.63,  482.49,2132615710,  890.12,  243.34,    8.92,  239.69,    5.60,,,,,  483.03,   14.52,2132652995,  497.55,    890.66,    497.01,   1387.66
2024-02-28,11:28:20.859,   88.80,  178.55,  319.05,  300.99,,,,,  407.85,  479.54,2132504577,  887.39,  234.05,    7.16,  230.97,    3.72,,,,,  465.02,   10.88,2132492703,  475.90,    872.87,    490.42,   1363.29
2024-02-28,11:28:21.860,   87.80,  177.55,  315.99,  298.90,,,,,  403.79,  476.44,2134668851,  880.23,  229.84,    5.89,  226.83,    2.49,,,,,  456.68,    8.38,2134673348,  465.06,    860.47,    484.82,   1345.29
2024-02-28,11:28:22.860,   87.83,  177.21,  317.16,  299.23,,,,,  404.99,  476.44,2132583122,  881.43,  226.33,    6.09,  223.05,    2.70,,,,,  449.38,    8.78,2132553288,  458.16,    854.37,    485.22,   1339.59
2024-02-28,11:28:23.860,   86.87,  175.57,  313.60,  296.07,,,,,  400.48,  471.65,2132464223,  872.12,  232.45,    7.45,  228.05,    4.04,,,,,  460.49,   11.48,2132464864,  471.98,    860.97,    483.13,   1344.10
2024-02-28,11:28:24.861,   87.97,  176.68,  317.02,  298.28,,,,,  404.99,  474.96,2134656762,  879.95,  231.72,    6.96,  227.18,    3.62,,,,,  458.90,   10.58,2134654445,  469.47,    863.88,    485.54,   1349.42
2024-02-28,11:28:25.860,   87.29,  176.47,  314.69,  297.15,,,,,  401.98,  473.62,2132472392,  875.59,  229.92,    6.63,  226.05,    3.23,,,,,  455.97,    9.87,2132527354,  465.83,    857.94,    483.48,   1341.43
2024-02-28,11:28:26.861,   87.60,  175.63,  315.70,  296.70,,,,,  403.30,  472.33,2134655043,  875.63,  227.27,    6.43,  223.17,    3.09,,,,,  450.44,    9.52,2134602887,  459.96,    853.74,    481.85,   1335.59
2024-02-28,11:28:27.861,   87.42,  175.51,  314.91,  296.41,,,,,  402.33,  471.93,2132453338,  874.26,  226.12,    6.10,  221.92,    2.72,,,,,  448.04,    8.82,2132456766,  456.86,    850.37,    480.75,   1331.12
2024-02-28,11:28:28.861,   91.78,  182.84,  327.60,  307.86,,,,,  419.39,  490.70,2132695597,  910.09,  246.23,   19.45,  241.91,   15.89,,,,,  488.13,   35.33,2132712085,  523.47,    907.52,    526.03,   1433.56
2024-02-28,11:28:29.862,   95.87,  190.16,  342.66,  320.28,,,,,  438.53,  510.44,2134915329,  948.97,  260.78,   17.22,  257.44,   13.76,,,,,  518.22,   30.98,2134874086,  549.20,    956.75,    541.42,   1498.17
2024-02-28,11:28:30.861,   88.33,  178.12,  317.80,  300.36,,,,,  406.13,  478.47,2132576919,  884.60,  237.00,    7.72,  233.33,    4.28,,,,,  470.33,   12.00,2132640519,  482.33,    876.46,    490.47,   1366.93
2024-02-28,11:28:31.861,   88.35,  177.86,  318.27,  300.15,,,,,  406.62,  478.01,2132533022,  884.63,  231.01,    6.16,  227.51,    2.77,,,,,  458.52,    8.92,2132536551,  467.44,    865.14,    486.94,   1352.08
2024-02-28,11:28:32.862,   82.71,  152.72,  300.00,  268.12,,,,,  382.71,  420.83,2134719890,  803.54,  192.48,    6.07,  190.00,    2.66,,,,,  382.48,    8.73,2134701746,  391.21,    765.19,    429.56,   1194.75
2024-02-28,11:28:33.862,   77.00,  130.33,  282.59,  239.55,,,,,  359.59,  369.88,2132471313,  729.47,  161.73,    6.50,  159.32,    3.11,,,,,  321.05,    9.61,2132563012,  330.66,    680.64,    379.49,   1060.12
2024-02-28,11:28:34.862,   76.88,  130.67,  281.67,  239.64,,,,,  358.56,  370.31,2132546566,  728.87,  161.47,    5.83,  158.45,    2.46,,,,,  319.93,    8.29,2132460282,  328.22,    678.48,    378.60,   1057.09
2024-02-28,11:28:35.862,   76.68,  130.96,  280.64,  239.61,,,,,  357.32,  370.56,2134757757,  727.89,  162.12,    5.75,  159.10,    2.36,,,,,  321.21,    8.11,2134705469,  329.33,    678.54,    378.67,   1057.21
2024-02-28,11:28:36.862,   76.55,  130.18,  280.28,  238.76,,,,,  356.83,  368.94,2132576980,  725.78,  165.96,    7.49,  162.50,    4.11,,,,,  328.46,   11.60,2132559109,  340.06,    685.29,    380.55,   1065.84
2024-02-28,11:28:37.863,   77.13,  130.76,  283.59,  240.57,,,,,  360.72,  371.33,2132446991,  732.05,  165.30,    6.60,  161.17,    3.18,,,,,  326.47,    9.78,2132465887,  336.25,    687.19,    381.11,   1068.31
2024-02-28,11:28:38.863,   77.79,  131.89,  284.90,  242.19,,,,,  362.69,  374.08,2134594519,  736.77,  163.34,    6.63,  159.91,    3.21,,,,,  323.25,    9.84,2134619704,  333.09,    685.94,    383.92,   1069.86
