Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,12010740,3624474,2101344,122235876,8129492,0,846258(Total)
0,1328513312,1465576,17122,946148,4295088,140,839146(Miss)
0,0,2158898,2084222,121289728,3834404,0,7112(Hit)
1,10655260,125692,5175674,11064802,0,27818,165928(Total)
1,85428448,0,224,98882,0,27776,164122(Miss)
1,0,125692,5175450,10965920,0,42,1806(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,12105604,3708810,2181844,122673446,8126272,0,863534(Total)
0,2604,1288014,34370,977592,4253144,140,850094(Miss)
0,12103000,2420796,2147474,121695854,3873128,0,13440(Hit)
1,10614310,125118,5273002,11516484,0,27888,165186(Total)
1,6571180,0,196,252966,0,27818,163548(Miss)
1,4043130,125118,5272806,11263518,0,70,1638(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,12133576,3757516,2050678,127900612,8108380,0,861350(Total)
0,1274,1165066,16898,1006096,4227314,140,863254(Miss)
0,12132302,2592450,2033780,126894516,3881066,0,0(Hit)
1,10618874,124922,5402600,10741780,0,27916,163002(Total)
1,6538546,0,98,38430,0,27678,164332(Miss)
1,4080328,124922,5402502,10703350,0,238,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,12147702,3812536,2147194,127988924,8110746,0,867104(Total)
0,1050,1075452,44716,1034726,4218900,140,863086(Miss)
0,12146652,2737084,2102478,126954198,3891846,0,4018(Hit)
1,10616970,125230,5179146,10965164,0,27832,163758(Total)
1,6375614,0,28,245196,0,27832,164598(Miss)
1,4241356,125230,5179118,10719968,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,12171026,3800328,1709148,129319372,8109766,0,878654(Total)
0,1050,1001434,39676,1035986,4222904,140,878948(Miss)
0,12169976,2798894,1669472,128283386,3886862,0,0(Hit)
1,10630270,125020,4637038,10544702,0,27846,162694(Total)
1,6324626,0,28,126406,0,27776,164402(Miss)
1,4305644,125020,4637010,10418296,0,70,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,12194588,3860864,1562722,127834154,8102024,140,882168(Total)
0,2716,953456,113778,1125376,4203542,140,894474(Miss)
0,12191872,2907408,1448944,126708778,3898482,0,0(Hit)
1,10640812,126000,5057486,10959494,0,27832,164836(Total)
1,6359122,0,3178,374822,0,27594,166082(Miss)
1,4281690,126000,5054308,10584672,0,238,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,12193650,3909990,1625582,129838366,8108450,140,680582(Total)
0,924,933590,260680,1157492,4186168,140,713468(Miss)
0,12192726,2976400,1364902,128680874,3922282,0,0(Hit)
1,10639286,124782,4673340,11118492,0,27664,162176(Total)
1,6443080,0,18550,88928,0,27776,164724(Miss)
1,4196206,124782,4654790,11029564,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,12048624,3898720,1598310,128377872,8102192,238,673386(Total)
