System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),Core2 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-28,11:27:42.015,0.16,2.46,0.07,1.12,0.04,18.59,1.00,0.37,0.0000,0.0022, 13640,0.50,0.55,99,46,8438.12,3424.24,2599.34,4.93,123.21,0.32,8.12,0.03,1.51,0.02,1.21,0.03,2.21,0.98,0.39,0.0000,0.0013, 23440,0.47,0.02,96,43,1645.81,1091.57,2599.34,3.02,75.39,0.06,1.58,5.91,76.32,0.02,17.76,0.00,100.00,0.00,0.00,0.00,0.00,1.73,28.19,0.13,69.95,0.00,100.00,0.00,0.00,0.00,0.00,78.86,52.61,4.50 ,4.40 ,0.00 ,0.00 ,3.00,3.00,0.27,1.68,0.16,1.12,0.01,2.39,1.00,0.20,0.0000,0.0034,  1680,14.22,85.78,0.00,0.00,0.00,49,693.47,412.21,2599.34,3.36,84.12,0.53,13.34,
2024-02-28,11:27:43.016,0.16,2.53,0.06,1.12,0.03,18.56,1.00,0.37,0.0000,0.0022, 13360,0.48,0.53,99,46,8326.01,3291.88,2597.65,5.06,126.46,0.32,8.01,0.03,1.66,0.02,1.23,0.02,2.08,0.99,0.40,0.0000,0.0013, 24320,0.45,0.01,96,44,1615.38,972.20,2597.65,3.32,83.08,0.06,1.55,5.68,76.56,0.00,17.76,0.00,100.00,0.00,0.00,0.00,0.00,1.53,28.48,0.11,69.88,0.00,100.00,0.00,0.00,0.00,0.00,79.00,52.62,4.45 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.27,1.72,0.16,1.12,0.01,2.37,1.00,0.20,0.0000,0.0034,  1760,13.92,86.08,0.00,0.00,0.00,49,694.65,403.29,2597.65,3.44,86.12,0.53,13.37,
2024-02-28,11:27:44.016,0.16,2.51,0.06,1.12,0.03,19.20,1.00,0.38,0.0000,0.0023, 14440,0.46,0.51,99,46,8479.67,3372.61,2597.32,5.03,125.71,0.33,8.16,0.03,1.57,0.02,1.22,0.01,2.06,1.00,0.40,0.0000,0.0013, 24480,0.43,0.01,96,43,1625.42,1036.07,2597.32,3.14,78.44,0.06,1.56,5.82,76.28,0.02,17.89,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.20,0.15,70.01,0.00,100.00,0.00,0.00,0.00,0.00,78.95,52.60,4.45 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.28,1.74,0.16,1.12,0.01,2.44,1.00,0.20,0.0000,0.0034,  2240,14.18,85.82,0.00,0.00,0.00,49,715.53,410.66,2597.32,3.48,87.12,0.55,13.77,
2024-02-28,11:27:45.016,0.16,2.48,0.07,1.12,0.03,19.24,1.00,0.38,0.0000,0.0023, 15040,0.45,0.50,99,45,8441.62,3402.03,2597.16,4.96,124.07,0.33,8.13,0.03,1.63,0.02,1.22,0.01,2.07,1.00,0.40,0.0000,0.0012, 25160,0.43,0.01,96,43,1671.39,1028.26,2597.16,3.25,81.27,0.06,1.61,5.87,76.27,0.01,17.85,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.32,0.12,69.94,0.00,100.00,0.00,0.00,0.00,0.00,78.98,52.66,4.43 ,4.38 ,0.33 ,0.33 ,3.00,3.00,0.28,1.75,0.16,1.12,0.01,2.44,1.00,0.20,0.0000,0.0034,  2400,14.25,85.75,0.00,0.00,0.00,48,724.15,412.86,2597.16,3.51,87.70,0.56,13.94,
2024-02-28,11:27:46.016,0.16,2.54,0.06,1.12,0.04,19.32,1.00,0.38,0.0000,0.0023, 14640,0.44,0.50,99,46,8436.00,3322.61,2597.51,5.08,126.95,0.32,8.12,0.03,1.61,0.02,1.22,0.01,2.15,1.00,0.39,0.0000,0.0013, 24480,0.43,0.01,95,42,1624.93,1008.55,2597.51,3.22,80.56,0.06,1.56,5.73,76.62,0.04,17.61,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.55,0.15,69.70,0.00,100.00,0.00,0.00,0.00,0.00,79.02,52.69,4.41 ,4.40 ,0.33 ,0.33 ,3.00,3.00,0.28,1.78,0.16,1.12,0.01,2.43,1.00,0.20,0.0000,0.0034,  2560,14.00,86.00,0.00,0.00,0.00,48,723.82,405.74,2597.51,3.57,89.20,0.56,13.93,
2024-02-28,11:27:47.016,0.16,2.45,0.07,1.12,0.05,18.98,1.00,0.38,0.0000,0.0023, 15160,0.44,0.49,99,45,8333.82,3408.34,2597.22,4.89,122.26,0.32,8.02,0.03,1.55,0.02,1.21,0.03,2.18,0.99,0.39,0.0000,0.0013, 24360,0.44,0.01,95,43,1623.30,1048.42,2597.22,3.10,77.42,0.06,1.56,5.88,77.08,0.01,17.02,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.73,0.12,69.49,0.00,100.00,0.00,0.00,0.00,0.00,79.38,52.72,4.39 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.28,1.77,0.16,1.12,0.01,2.39,1.00,0.20,0.0000,0.0033,  2800,14.07,85.93,0.00,0.00,0.00,48,723.26,407.60,2597.22,3.55,88.72,0.56,13.92,
2024-02-28,11:27:48.016,0.16,2.45,0.07,1.12,0.13,19.35,0.99,0.39,0.0000,0.0023, 17480,0.48,0.52,98,46,8529.32,3480.38,2597.37,4.90,122.53,0.33,8.21,0.03,1.50,0.02,1.20,0.09,2.79,0.97,0.44,0.0001,0.0017, 22920,0.51,0.05,90,41,1677.00,1115.49,2597.37,3.01,75.17,0.06,1.61,6.01,76.99,0.07,16.93,0.00,100.00,0.00,0.00,0.00,0.00,1.78,30.79,0.27,67.16,0.00,100.00,0.00,0.00,0.00,0.00,79.25,53.51,4.42 ,4.42 ,0.33 ,0.33 ,3.00,3.00,0.28,1.75,0.16,1.12,0.01,2.42,1.00,0.21,0.0000,0.0034,  3480,14.23,85.77,0.00,0.00,0.00,48,721.64,412.19,2597.37,3.50,87.54,0.56,13.89,
2024-02-28,11:27:49.016,0.16,2.39,0.07,1.12,0.06,18.90,1.00,0.38,0.0000,0.0023, 17560,0.47,0.51,99,44,8385.40,3513.06,2597.41,4.77,119.35,0.32,8.07,0.03,1.52,0.02,1.21,0.02,2.12,0.99,0.39,0.0000,0.0013, 24800,0.47,0.01,96,42,1646.68,1081.68,2597.41,3.04,76.12,0.06,1.59,6.06,76.72,0.02,17.19,0.00,100.00,0.00,0.00,0.00,0.00,1.72,28.25,0.16,69.87,0.00,100.00,0.00,0.00,0.00,0.00,79.20,52.76,4.41 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.28,1.76,0.16,1.12,0.01,2.40,1.00,0.20,0.0000,0.0033,  3680,14.25,85.75,0.00,0.00,0.00,48,726.03,412.97,2597.41,3.52,87.90,0.56,13.98,
2024-02-28,11:27:50.016,0.16,2.54,0.06,1.12,0.02,19.25,1.00,0.37,0.0000,0.0023, 18160,0.42,0.48,99,45,8350.81,3293.07,2597.12,5.07,126.79,0.32,8.04,0.03,1.66,0.02,1.23,0.02,2.08,0.99,0.40,0.0000,0.0013, 24760,0.44,0.01,96,43,1625.18,976.33,2597.12,3.33,83.23,0.06,1.56,5.68,76.49,0.03,17.80,0.00,100.00,0.00,0.00,0.00,0.00,1.53,28.26,0.14,70.07,0.00,100.00,0.00,0.00,0.00,0.00,79.22,52.74,4.41 ,4.39 ,0.33 ,0.33 ,3.00,3.00,0.29,1.83,0.16,1.12,0.01,2.41,1.00,0.20,0.0000,0.0033,  3800,13.94,86.06,0.00,0.00,0.00,48,740.63,403.93,2597.12,3.67,91.68,0.57,14.26,
