System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),Core7 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-28,18:43:54.578,0.18,2.57,0.07,1.12,0.04,16.24,1.00,0.40,0.0000,0.0017, 12360,0.40,0.43,97,48,9538.92,3705.93,2602.57,5.15,128.70,0.37,9.16,0.03,1.41,0.02,1.21,0.05,2.28,0.98,0.64,0.0000,0.0014, 21280,0.34,0.00,97,46,1623.47,1150.45,2602.57,2.82,70.56,0.06,1.56,6.38,74.71,0.07,18.84,0.00,100.00,0.00,0.00,0.00,0.00,1.82,29.10,0.16,68.92,0.00,100.00,0.00,0.00,0.00,0.00,78.18,52.28,4.49 ,4.38 ,901440.96 ,908872.32 ,3.00,3.00,0.50,2.89,0.17,1.12,0.00,2.17,1.00,0.11,0.0000,0.0017,   440,15.45,84.55,0.00,0.00,0.00,51,1296.28,448.58,2602.57,5.78,144.49,1.00,24.90,
2024-02-28,18:43:55.577,0.16,2.52,0.06,1.12,0.03,17.97,1.00,0.38,0.0000,0.0021, 13480,0.49,0.53,98,48,8441.82,3347.82,2595.96,5.04,126.08,0.33,8.13,0.03,1.55,0.02,1.22,0.02,2.08,0.99,0.38,0.0000,0.0013, 21800,0.43,0.01,98,47,1590.66,1027.65,2595.96,3.10,77.39,0.06,1.53,5.78,76.64,0.01,17.57,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.33,0.14,69.91,0.00,100.00,0.00,0.00,0.00,0.00,78.58,52.07,4.45 ,4.37 ,0.03 ,0.10 ,3.00,3.00,0.43,2.70,0.16,1.12,0.00,2.42,1.00,0.11,0.0000,0.0022,   680,14.13,85.87,0.00,0.00,0.00,52,1104.33,408.95,2595.96,5.40,135.02,0.85,21.27,
2024-02-28,18:43:56.577,0.16,2.50,0.07,1.12,0.04,18.11,1.00,0.38,0.0000,0.0021, 13800,0.48,0.52,99,48,8474.58,3389.02,2598.64,5.00,125.03,0.33,8.15,0.03,1.55,0.02,1.22,0.01,2.04,0.99,0.37,0.0000,0.0013, 22280,0.43,0.01,97,46,1600.88,1031.21,2598.64,3.10,77.62,0.06,1.54,5.85,76.56,0.00,17.59,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.31,0.12,69.95,0.00,100.00,0.00,0.00,0.00,0.00,78.71,52.15,4.44 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.43,2.70,0.16,1.12,0.00,2.44,1.00,0.11,0.0000,0.0022,   560,14.14,85.86,0.00,0.00,0.00,52,1108.92,410.00,2598.64,5.41,135.24,0.85,21.34,
2024-02-28,18:43:57.577,0.16,2.50,0.07,1.12,0.05,18.46,1.00,0.38,0.0000,0.0022, 14800,0.47,0.50,99,46,8562.31,3420.49,2595.91,5.01,125.16,0.33,8.25,0.03,1.56,0.02,1.22,0.01,2.03,1.00,0.37,0.0000,0.0013, 22600,0.42,0.01,97,46,1608.71,1029.73,2595.91,3.12,78.11,0.06,1.55,5.91,76.65,0.01,17.43,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.46,0.12,69.79,0.00,100.00,0.00,0.00,0.00,0.00,78.79,52.18,4.43 ,4.37 ,0.03 ,0.10 ,3.00,3.00,0.43,2.68,0.16,1.12,0.00,2.49,1.00,0.11,0.0000,0.0022,   480,14.35,85.65,0.00,0.00,0.00,52,1115.25,415.55,2595.91,5.37,134.19,0.86,21.48,
2024-02-28,18:43:58.577,0.17,2.55,0.07,1.12,0.04,18.88,1.00,0.38,0.0000,0.0022, 14760,0.46,0.50,99,47,8653.09,3399.28,2598.44,5.09,127.28,0.33,8.33,0.03,1.59,0.02,1.22,0.01,2.11,1.00,0.37,0.0000,0.0013, 22960,0.41,0.01,97,45,1642.52,1030.00,2598.44,3.19,79.73,0.06,1.58,5.86,76.65,0.02,17.46,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.47,0.14,69.77,0.00,100.00,0.00,0.00,0.00,0.00,78.86,52.20,4.43 ,4.38 ,0.00 ,0.00 ,3.00,3.00,0.43,2.72,0.16,1.12,0.00,2.56,1.00,0.11,0.0000,0.0023,   600,14.29,85.71,0.00,0.00,0.00,51,1125.25,414.17,2598.44,5.43,135.84,0.87,21.65,
2024-02-28,18:43:59.579,0.15,2.13,0.07,1.12,0.13,16.39,0.99,0.40,0.0000,0.0020, 16840,0.54,0.57,94,46,8020.80,3771.72,2598.23,4.25,106.33,0.31,7.72,0.03,1.06,0.03,1.18,0.06,2.43,0.97,0.39,0.0000,0.0016, 24640,0.45,0.02,93,46,1475.69,1393.68,2598.23,2.12,52.94,0.06,1.42,6.51,79.41,0.20,13.88,0.00,100.00,0.00,0.00,0.00,0.00,2.27,34.06,0.23,63.45,0.00,100.00,0.00,0.00,0.00,0.00,79.26,53.63,4.46 ,4.40 ,0.18 ,0.17 ,3.00,3.00,0.41,2.61,0.16,1.12,0.00,2.12,1.00,0.11,0.0000,0.0020,   280,13.92,86.08,0.00,0.00,0.00,50,1053.31,403.52,2598.23,5.22,130.52,0.81,20.27,
2024-02-28,18:44:00.577,0.17,2.46,0.07,1.12,0.05,18.23,1.00,0.38,0.0000,0.0021, 16880,0.47,0.52,97,46,8739.21,3555.81,2595.44,4.92,122.89,0.34,8.42,0.03,1.53,0.02,1.21,0.03,2.24,0.99,0.37,0.0000,0.0014, 23920,0.45,0.01,97,46,1606.73,1052.43,2595.44,3.05,76.33,0.06,1.55,6.14,76.68,0.02,17.16,0.00,100.00,0.00,0.00,0.00,0.00,1.67,28.89,0.17,69.26,0.00,100.00,0.00,0.00,0.00,0.00,78.96,52.30,4.42 ,4.38 ,0.03 ,0.10 ,3.00,3.00,0.44,2.77,0.16,1.12,0.00,2.46,1.00,0.11,0.0000,0.0021,   680,14.34,85.66,0.00,0.00,0.00,50,1147.95,415.13,2595.44,5.53,138.26,0.88,22.12,
2024-02-28,18:44:01.579,0.16,2.49,0.07,1.12,0.05,18.60,1.00,0.37,0.0000,0.0022, 17160,0.45,0.49,98,46,8526.92,3418.47,2599.41,4.99,124.72,0.33,8.20,0.03,1.52,0.02,1.22,0.01,2.13,0.99,0.37,0.0000,0.0013, 23960,0.43,0.01,97,46,1580.47,1036.49,2599.41,3.05,76.24,0.06,1.52,5.90,76.57,0.00,17.53,0.00,100.00,0.00,0.00,0.00,0.00,1.64,28.36,0.14,69.86,0.00,100.00,0.00,0.00,0.00,0.00,79.03,52.34,4.40 ,4.38 ,49043.96 ,98214.54 ,3.00,3.00,0.43,2.67,0.16,1.12,0.00,2.51,1.00,0.11,0.0000,0.0023,   560,14.33,85.67,0.00,0.00,0.00,51,1109.90,415.38,2599.41,5.34,133.60,0.85,21.35,
2024-02-28,18:44:02.578,0.16,2.51,0.07,1.12,0.05,18.72,1.00,0.37,0.0000,0.0022, 17200,0.44,0.49,98,46,8542.74,3399.17,2596.78,5.03,125.66,0.33,8.22,0.03,1.56,0.02,1.22,0.01,2.12,0.99,0.36,0.0000,0.0013, 23080,0.43,0.01,97,46,1598.72,1026.09,2596.78,3.12,77.90,0.06,1.54,5.87,76.63,0.01,17.49,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.33,0.11,69.94,0.00,100.00,0.00,0.00,0.00,0.00,78.93,52.28,4.39 ,4.37 ,0.00 ,0.03 ,3.00,3.00,0.43,2.69,0.16,1.12,0.00,2.54,1.00,0.11,0.0000,0.0023,   640,14.26,85.74,0.00,0.00,0.00,50,1110.61,413.03,2596.78,5.38,134.45,0.86,21.38,
