Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1709211494,Device: id=0,TX,0.2216233620123,628.0546451619,663.51438308387,228317,80880406
1709211494,Device: id=0,TX,0.15811108705859,446.79433054778,472.09210447715,388963,137625100
1709211495,Device: id=0,TX,0.20062216303658,567.22516519231,599.32471127816,590380,208809154
1709211496,Device: id=0,TX,0.2385087483007,673.07380202873,711.23520175684,836523,295636370
1709211497,Device: id=0,TX,1.1027454793902,3121.1409801221,3297.5802568245,1939282,685783776
1709211498,Device: id=0,TX,1.7551168452778,4957.0047049999,5237.8234002444,3694456,1305429542
1709211499,Device: id=0,TX,1.7517723155806,4962.6736186338,5242.9571891267,5446257,1925773902
1709211500,Device: id=0,TX,1.7556600441725,4965.2591360357,5246.1647431033,7201951,2546443298
1709211501,Device: id=0,TX,1.7537692968089,4964.5825861022,5245.1856735916,8955735,3167021324
1709211502,Device: id=0,TX,1.7555421122705,4964.7160812832,5245.6028192465,10711286,3787613976
1709211503,Device: id=0,TX,1.756982240719,4966.1401038536,5247.2572623686,12468300,4408392710
1709211504,Device: id=0,TX,1.7555389249452,4967.9858213285,5248.8720493197,14223855,5029396624
1709211505,Device: id=0,TX,1.7537148573027,4964.4640750289,5245.0584521973,15977651,5649983346
1709211506,Device: id=0,TX,1.7568617015324,4968.9721578811,5250.0700301263,17734581,6271129012
1709211507,Device: id=0,TX,1.7579563022312,4970.1360642654,5251.4090726224,19492596,6892416764
1709211508,Device: id=0,TX,1.7233893574172,4879.5326692237,5155.2749664105,21216149,7502416264
1709211509,Device: id=0,TX,0.41275707329595,1166.2502049505,1232.2913366779,21628918,7648201752
1709211510,Device: id=0,TX,0.41302373859407,1166.245520542,1232.329318717,22041975,7793994182
1709211511,Device: id=0,TX,0.41217722329126,1166.2514189375,1232.1997746641,22454166,7939780482
1709211512,Device: id=0,TX,0.41113722163534,1166.2494488434,1232.031404305,22865309,8085563712
1709211513,Device: id=0,TX,0.41198431190123,1166.2355336478,1232.153023552,23277341,8231360028
1709211514,Device: id=0,TX,0.40991180534882,1166.2488263444,1231.8347152002,23687260,8377143690
1709211515,Device: id=0,TX,0.41128878079375,1166.2479670693,1232.0541719963,24098590,8522939296
1709211516,Device: id=0,TX,0.41339201775555,1166.2589425742,1232.4016654151,24511995,8668726242
1709211517,Device: id=0,TX,0.41283443125884,1166.2388818013,1232.2923908027,24924863,8814517956
1709211518,Device: id=0,TX,0.41206794373401,1166.2470349574,1232.1779059549,25336991,8960320082
1709211519,Device: id=0,TX,0.41162078876263,1166.2477969219,1232.1071231239,25748640,9106111048
1709211520,Device: id=0,TX,0.41249188255978,1166.2521019546,1232.2508031642,26161153,9251900024
1709211521,Device: id=0,TX,0.4118129543175,1166.2402395838,1232.1303122746,26572994,9397689982
1709211522,Device: id=0,TX,0.4135774758807,1166.2608635545,1232.4332596954,26986595,9543480882
1709211523,Device: id=0,TX,0.41294870984675,1166.2380581537,1232.3098517292,27399558,9689265684
1709211524,Device: id=0,TX,0.41305309880548,1166.2550960042,1232.3435918131,27812645,9835059536
1709211525,Device: id=0,TX,0.4113462661112,1166.2396291356,1232.0550317134,28224038,9980856052
1709211526,Device: id=0,TX,0.41274835702193,1166.2563338856,1232.2960710091,28636808,10126645738
1709211527,Device: id=0,TX,0.41280956759389,1166.244273342,1232.293804157,29049640,10272434194
