Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1659900143,Device: id=1,RX,0.17826549205497,504.95380767285,533.47628640165,194208,68764058
1659900144,Device: id=1,RX,0.63573440299986,1798.4145340025,1900.1320384825,829958,293571390
1659900145,Device: id=1,RX,0.70652390132746,1997.3131516497,2110.3569758621,1536496,543240516
1659900146,Device: id=1,RX,0.70589795990153,1997.8465923115,2110.7902658958,2242404,792974892
1659900147,Device: id=1,RX,0.70706981272962,1996.6897926605,2109.8209626972,2949488,1042566124
1659900148,Device: id=1,RX,0.70427392957098,1996.4771183182,2109.1609470496,3653777,1292131104
1659900149,Device: id=1,RX,0.70615378220623,1996.7789198839,2109.7635250369,4359968,1541741624
1659900150,Device: id=1,RX,0.70506805015804,1997.0819228651,2109.8928108904,5065060,1791385344
1659900151,Device: id=1,RX,0.70678518534439,1997.0532950641,2110.1389247192,5771848,2041018000
1659900152,Device: id=1,RX,0.70476942193089,1996.5869626322,2109.3500701411,6476626,2290594408
1659900153,Device: id=1,RX,0.70642001808537,1998.5589422792,2111.5861451728,7183089,2540429476
1659900154,Device: id=1,RX,0.70500185378291,1993.7448065037,2106.545103109,7888100,2789650810
1659900155,Device: id=1,RX,0.27561504685541,776.9767421129,821.07514960977,8163730,2886778172
1659900156,Device: id=1,RX,0.25872638456341,730.72592965921,772.12215118936,8422470,2978123720
1659900157,Device: id=1,RX,0.26707026946314,754.43457494356,797.16581805766,8689552,3072432184
1659900158,Device: id=1,RX,0.2588563489721,730.73817123309,772.15518706862,8948410,3163775038
1659900159,Device: id=1,RX,0.25796769334638,731.6038100334,772.87864096882,9206388,3255229168
1659900160,Device: id=1,RX,0.25688860016542,725.11182337698,766.21399940344,9463283,3345870404
1659900161,Device: id=1,RX,0.26351787832691,747.11375126836,789.27661180067,9726806,3439261438
1659900162,Device: id=1,RX,0.25907800564424,732.1976872839,773.65016818698,9985888,3530787560
1659900163,Device: id=1,RX,0.26203499408997,738.06113768174,779.98673673614,10247944,3623052598
1659900164,Device: id=1,RX,0.23202348629371,657.71418617132,694.83794397831,10479982,3705272014
1659900165,Device: id=1,RX,0.24790768132082,704.68814580002,744.35337481135,10727898,3793360988
1659900166,Device: id=1,RX,0.2595551908896,735.36157037448,776.89040091682,10987462,3885284304
1659900167,Device: id=1,RX,0.25806823354873,731.39843372922,772.68935109702,11245547,3976715048
1659900168,Device: id=1,RX,0.25620382172826,722.09750375258,763.0901152291,11501755,4066978708
1659900169,Device: id=1,RX,0.25741734122965,728.49914956514,769.68592416189,11759176,4158042396
1659900170,Device: id=1,RX,0.26415851253082,748.02078078049,790.28614278542,12023339,4251546582
1659900171,Device: id=1,RX,0.2583465162455,731.84418001863,773.17962261791,12281688,4343027984
1659900172,Device: id=1,RX,0.25801449438225,724.71993529061,766.00225439177,12539718,4433623420
1659900173,Device: id=1,RX,0.25962182319997,732.85304616258,774.39253787457,12799341,4525230466
1659900174,Device: id=1,RX,0.24669376969424,700.16843171771,739.63943486879,13046038,4612752666
1659900175,Device: id=1,RX,0.70951502861683,2002.3963958583,2115.918800437,13755577,4863060672
1659900176,Device: id=1,RX,0.7071984184627,1998.2580561188,2111.4098030729,14462819,5112858322
1659900177,Device: id=1,RX,0.70771949947392,1997.7355571973,2110.9706771131,15170580,5362589910
1659900178,Device: id=1,RX,0.70765234875146,1997.84817875,2111.0725545502,15878275,5612335984
1659900179,Device: id=1,RX,0.70632509121139,1997.8832651051,2110.8952796989,16584623,5862079492
1659900180,Device: id=1,RX,0.70571728225637,1997.4277511287,2110.3425162897,17290345,6111759630
1659900181,Device: id=1,RX,0.70582520397372,1997.5356944058,2110.4677270416,17996210,6361465670
1659900182,Device: id=1,RX,0.70747680703043,1997.9223262667,2111.1186153916,18703758,6611231092
1659900183,Device: id=1,RX,0.70642858641682,1997.8558167334,2110.8843905601,19410202,6860968518
1659900184,Device: id=1,RX,0.70787634575954,1998.0326775501,2111.2928928717,20118138,7110743650
