Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1659901185,Device: id=0,TX,0.14631232379367,414.2464527192,437.65642452619,151326,53555820
1659901186,Device: id=0,TX,0.67381688826898,1907.0482262149,2014.858928338,825187,291952454
1659901187,Device: id=0,TX,0.70811708233811,1999.9352107388,2113.2339439129,1533350,541960566
1659901188,Device: id=0,TX,0.70701733125877,1999.9453741103,2113.0681471117,2240422,791973068
1659901189,Device: id=0,TX,0.70965699209509,1999.8225711167,2113.3676898519,2950126,1041967448
1659901190,Device: id=0,TX,0.70540487133267,1999.9409090346,2112.8056884479,3655538,1291962588
1659901191,Device: id=0,TX,0.70562857336827,1999.9218390922,2112.8224108312,4361199,1541964306
1659901192,Device: id=0,TX,0.70660526866555,1999.9819454815,2113.038788468,5067865,1791983536
1659901193,Device: id=0,TX,0.70950792957726,1999.8993271281,2113.4205958605,5777424,2041988946
1659901194,Device: id=0,TX,0.70696831669897,1999.9307068151,2113.045637487,6484434,2291995024
1659901195,Device: id=0,TX,0.7082922589726,2000.0390728105,2113.3658342461,7192748,2542007582
1659901196,Device: id=0,TX,0.70632975006835,1999.8472065277,2112.8599665386,7899093,2791993880
1659901197,Device: id=0,TX,0.70809811250865,1999.9356100979,2113.2313080992,8607222,3041996736
1659901198,Device: id=0,TX,0.70643471399697,1999.9481959295,2112.977750169,9313688,3292001332
1659901199,Device: id=0,TX,0.70714003458145,1999.9276230912,2113.0700286242,10020863,3542004646
1659901200,Device: id=0,TX,0.70714731029825,1999.9422844104,2113.0858540581,10728060,3792014998
1659901201,Device: id=0,TX,0.7085590148897,1999.9364953818,2113.3059377642,11436672,4042025754
1659901202,Device: id=0,TX,0.70658376834386,1999.9396948972,2112.9930978322,12143296,4292032450
1659901203,Device: id=0,TX,0.70773955400077,1999.947048744,2113.1853773842,12851042,4542028108
1659901204,Device: id=0,TX,0.70625726642626,1999.9404547869,2112.9416174151,13557316,4792026588
1659901205,Device: id=0,TX,0.70710464274706,1999.9289648985,2113.065707738,14264423,5042018542
1659901206,Device: id=0,TX,0.7089020506928,1999.9484875201,2113.3728156309,14973385,5292033244
1659901207,Device: id=0,TX,0.70639542775874,1999.9402567308,2112.9635251722,15679787,5542028102
1659901208,Device: id=0,TX,0.70683921442502,1999.9357581985,2113.0300325065,16386669,5792035204
1659901209,Device: id=0,TX,0.70672481719286,1999.9334029867,2113.0093737376,17093454,6042048168
1659901210,Device: id=0,TX,0.70618762624742,1999.9415481063,2112.9315683059,17799697,6292060464
1659901211,Device: id=0,TX,0.7062098751339,1999.9364007228,2112.9299807443,18505940,6542064240
1659901212,Device: id=0,TX,0.70816669509557,1999.9512116664,2113.2578828817,19214165,6792078724
1659901213,Device: id=0,TX,0.70814315623484,1999.9301277856,2113.2330327832,19922358,7042087586
1659901214,Device: id=0,TX,0.70761287615746,1999.9527446978,2113.170804883,20630040,7292106100
1659901215,Device: id=0,TX,0.70866724691531,1999.9287438289,2113.3155033354,21338778,7542122152
1659901216,Device: id=0,TX,0.70758395266338,1999.9454847119,2113.158917138,22046397,7792127720
1659901217,Device: id=0,TX,0.70590421573757,1999.9347653074,2112.8794398254,22752320,8042126218
1659901218,Device: id=0,TX,0.70780555932942,1999.9309757943,2113.1798652871,23460128,8292118452
1659901219,Device: id=0,TX,0.70709170527914,1999.950272567,2113.0849454117,24167234,8542117290
1659901220,Device: id=0,TX,0.70592232973849,1999.9384050918,2112.8859778499,24873157,8792109828
1659901221,Device: id=0,TX,0.70547153815335,1999.9384100249,2112.8138561295,25578632,9042103356
1659901222,Device: id=0,TX,0.70717784928588,1999.9438660877,2113.0923219734,26285868,9292116896
1659901223,Device: id=0,TX,0.70792085004612,1999.9403131028,2113.2076491102,26993803,9542114432
1659901224,Device: id=0,TX,0.70687326433074,1999.9282632602,2113.0279855531,27700686,9792108908
1659901225,Device: id=0,TX,0.7059163903884,1999.9430044357,2112.8896268979,28406607,10042103416
1659901226,Device: id=0,TX,0.70740183582575,1999.93885199,2113.1231457221,29114033,10292104312
