,input_rate,output_rate,latency,firewall_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,bridge_instructions,firewall_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,bridge_branches,firewall_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,bridge_branch-misses,firewall_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,bridge_branch-load-misses,firewall_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,bridge_cache-misses,firewall_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,bridge_cache-references,firewall_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,bridge_cycles,firewall_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,bridge_L1-dcache-load-misses,firewall_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,bridge_L1-dcache-loads,firewall_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,bridge_LLC-load-misses,firewall_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,bridge_LLC-stores,firewall_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads,bridge_LLC-loads
0,437.92374725161,398.9280245375,14.659,10117267706.0,9777094064.0,10224312480.0,9873676705.0,9308644240.0,1965237762.0,1938277810.0,1981059546.0,1957206072.0,1856346653.0,7812195.0,7621983.0,7598682.0,7440155.0,7288622.0,7811824.0,7622912.0,7601282.0,7446254.0,7291728.0,5061.0,5915.0,5628.0,4774.0,3847.0,8628165.0,10879273.0,7435929.0,9150360.0,10213537.0,2893014753.0,2892830119.0,2892948934.0,2892751308.0,2893058106.0,9395493.0,11782392.0,7724580.0,10150968.0,10970388.0,3106433202.0,2988523668.0,3131846014.0,3032965384.0,2915107472.0,2188.0,2626.0,2588.0,2276.0,1038.0,3107819.0,4501463.0,2519323.0,2477888.0,3128599.0,5462196.0,6411341.0,4868632.0,6700786.0,7396726.0
1,1875.7610435302,2087.5154245515,25.891,10103363355.0,9728242102.0,10191435551.0,9868279154.0,8841546463.0,1991963945.0,1920644082.0,2005017171.0,1946811925.0,1747583908.0,7715647.0,7699086.0,7780518.0,7493277.0,7008292.0,7715656.0,7654428.0,7779448.0,7450963.0,6938934.0,2376.0,3661.0,3456.0,2446.0,1466.0,8607593.0,10983393.0,7443330.0,9203942.0,10562356.0,2891933406.0,2891928118.0,2891735504.0,2891766702.0,2721764496.0,9371039.0,11705861.0,7713201.0,10055723.0,10755461.0,3076728988.0,2960810613.0,3102818036.0,3008293358.0,2704516341.0,2820.0,3333.0,3487.0,3306.0,1528.0,3126205.0,4525052.0,2521138.0,2465487.0,3055300.0,5466056.0,6434337.0,4902624.0,6689413.0,7222650.0
2,2113.1178863592,2109.9075544734,10.438,10097012609.0,9510200223.0,10185844279.0,9646899157.0,9295291027.0,1991180772.0,1889246717.0,2004674608.0,1915168713.0,1841222068.0,7670868.0,7742726.0,7578890.0,7391651.0,7237278.0,7669383.0,7584640.0,7573364.0,7388686.0,7237507.0,3173.0,3612.0,3751.0,3012.0,1973.0,8568869.0,10937390.0,7398123.0,9191495.0,10512144.0,2891990155.0,2891988049.0,2891773099.0,2891752091.0,2891902423.0,9350831.0,11714696.0,7710420.0,10083819.0,10890935.0,3081538802.0,2968859797.0,3108194941.0,3012978194.0,2897633085.0,2488.0,2893.0,2888.0,2238.0,1250.0,3166216.0,4584345.0,2574323.0,2516909.0,3143936.0,5502643.0,6531919.0,4916465.0,6794459.0,7477020.0
3,2113.2639525317,2109.7928455765,10.163,10093945455.0,9514436514.0,10173500220.0,9659789307.0,9302111691.0,1990958415.0,1888861412.0,2003234219.0,1915929110.0,1843566094.0,7710055.0,7860590.0,7629141.0,7437530.0,7244462.0,7711350.0,7645538.0,7629663.0,7489400.0,7248023.0,2501.0,2931.0,2701.0,2541.0,1760.0,8653541.0,10999544.0,7464926.0,9231326.0,10673799.0,2891906644.0,2891721326.0,2891761041.0,2891753851.0,2891848246.0,9447486.0,11829160.0,7775481.0,10160697.0,11028371.0,3100468066.0,2983249490.0,3125744992.0,3030644944.0,2915173829.0,3213.0,3805.0,4436.0,2817.0,2025.0,3139733.0,4425093.0,2551304.0,2423888.0,3087969.0,5459552.0,6464777.0,4876162.0,6747306.0,7237878.0
4,2113.289945798,2109.0099194213,12.124,10013581483.0,9644728246.0,10063096666.0,9773564573.0,9420334360.0,1980203526.0,1909378974.0,1986155847.0,1932728401.0,1859236315.0,7726223.0,7654939.0,7641603.0,7647062.0,7293993.0,7793891.0,7653153.0,7585995.0,7650090.0,7289944.0,5657.0,4188.0,4288.0,3901.0,2320.0,8557972.0,10928384.0,7377748.0,9142173.0,10526633.0,2891772323.0,2891864996.0,2891787646.0,2891695378.0,2891745457.0,9366523.0,11727145.0,7727690.0,10082196.0,10945223.0,3075522371.0,2959642735.0,3098064687.0,3003553715.0,2891224985.0,3669.0,3301.0,3844.0,2776.0,1357.0,2955487.0,4235958.0,2365216.0,2322266.0,3037981.0,5255193.0,6074609.0,4650013.0,6318446.0,6925694.0
5,2113.3600206756,2109.9452229679,10.487,9937979511.0,9556668974.0,9907509640.0,9641811088.0,9325934271.0,1972486169.0,1899381164.0,1963006634.0,1915293815.0,1847195568.0,7864321.0,7582599.0,7578507.0,7401080.0,7230996.0,7903540.0,7592565.0,7731502.0,7415179.0,7230955.0,11709.0,6515.0,6007.0,6103.0,5411.0,7732434.0,9668944.0,6708868.0,8153095.0,9198256.0,2891345438.0,2891411522.0,2891218719.0,2891353899.0,2891523790.0,8498292.0,10562066.0,7091680.0,9099554.0,9541408.0,3130788140.0,3010381354.0,3113642454.0,3039349549.0,2931375769.0,9327.0,4862.0,3013.0,4688.0,1888.0,2831914.0,4161636.0,2318226.0,2296983.0,2970032.0,5157520.0,5859354.0,4646337.0,6102910.0,6636688.0
6,2113.1054323553,2111.5644472514,10.221,9384379472.0,9589550878.0,10079594287.0,9764815609.0,9412012199.0,1856750421.0,1899261228.0,1989838095.0,1931992634.0,1857008054.0,7276765.0,7623612.0,7632700.0,7444529.0,7296712.0,7321095.0,7623543.0,7678123.0,7442779.0,7296383.0,2511.0,3974.0,3276.0,2396.0,1510.0,8660582.0,11049210.0,7488825.0,9255079.0,10701182.0,2722073986.0,2891796203.0,2891691667.0,2891767381.0,2891809489.0,9349344.0,11817568.0,7701831.0,10154846.0,10984915.0,2883444483.0,2950094603.0,3102657362.0,3005975954.0,2912312147.0,2028.0,2514.0,2223.0,2251.0,1403.0,3065484.0,4425633.0,2478921.0,2427448.0,3165327.0,5450346.0,6337724.0,4889153.0,6617148.0,7295663.0
7,2113.2052461056,2109.2975347088,7.7,9869011318.0,9497984820.0,9967584607.0,9638469197.0,9488486143.0,1957085292.0,1887867670.0,1972738169.0,1913926816.0,1838731967.0,7672628.0,7590147.0,7572950.0,7427147.0,7230012.0,7671304.0,7590547.0,7572217.0,7427455.0,7229321.0,2895.0,3579.0,3734.0,3084.0,2518.0,8609865.0,10962197.0,7411381.0,9214934.0,10707256.0,2891966901.0,2891904257.0,2891798669.0,2891840444.0,2891674012.0,9387462.0,11812005.0,7704693.0,10138167.0,10954954.0,3077827363.0,2963681403.0,3106803939.0,3010549029.0,2889157645.0,1750.0,2688.0,3050.0,1663.0,1492.0,3102637.0,4495598.0,2500098.0,2458510.0,3203849.0,5498804.0,6396340.0,4881631.0,6655086.0,7391732.0
8,2112.8509046162,2110.0670940454,12.115,9875364088.0,9530687146.0,9972103916.0,9658755747.0,9499996342.0,1959187176.0,1891097667.0,1973850353.0,1914905477.0,1844799390.0,7660631.0,7606767.0,7576687.0,7552927.0,7246793.0,7663126.0,7613291.0,7579963.0,7558712.0,7249451.0,2422.0,3351.0,2783.0,3046.0,2116.0,8618444.0,10998129.0,7415001.0,9225542.0,10672344.0,2891905840.0,2891843852.0,2891696260.0,2891753194.0,2891987659.0,9522228.0,11882023.0,7821442.0,10191880.0,10990999.0,3099230405.0,3001877656.0,3126091542.0,3046757198.0,2915706937.0,1926.0,2351.0,2851.0,1750.0,1575.0,3075000.0,4554235.0,2483618.0,2501210.0,3195567.0,5423165.0,6349541.0,4822600.0,6632832.0,7549956.0
9,2113.0353006632,2108.9682205927,10.195,9992642244.0,9729975276.0,10080734829.0,9869076312.0,9514154099.0,1976095257.0,1906111230.0,1989387047.0,1932051376.0,1872677122.0,7712166.0,7649911.0,7634761.0,7485792.0,7296372.0,7710532.0,7651816.0,7633601.0,7486556.0,7295157.0,2511.0,3156.0,3681.0,2771.0,1740.0,8584868.0,11084818.0,7371904.0,9305029.0,10636365.0,2891580479.0,2891878241.0,2891543292.0,2891723578.0,2891492784.0,9398357.0,11721215.0,7692666.0,10055261.0,10854170.0,3079815477.0,2937412660.0,3108200036.0,2985717571.0,2874447124.0,1653.0,2307.0,2542.0,1973.0,1681.0,3046539.0,4516044.0,2460248.0,2475155.0,3179949.0,5406045.0,6314713.0,4803806.0,6561907.0,7408322.0
