Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1659900268,Device: id=0,TX,0.14433995953224,408.66561388243,431.76000740759,150066,53110342
1659900269,Device: id=0,TX,0.62983472728484,1779.2012054264,1879.9747617919,779938,275523654
1659900270,Device: id=0,TX,0.70844105847196,1999.9497408351,2113.3003101906,1488387,525520174
1659900271,Device: id=0,TX,0.7073710404368,1999.9444965577,2113.1238630276,2195812,775532306
1659900272,Device: id=0,TX,0.70649643417178,1999.6777851333,2112.7172146008,2902346,1025505320
1659900273,Device: id=0,TX,0.70938294869085,1999.9532767707,2113.4545485613,3611759,1275510070
1659900274,Device: id=0,TX,0.70781618591137,1999.9357082594,2113.1862980053,4319597,1525509738
1659900275,Device: id=0,TX,0.7065934097502,1999.9857889928,2113.0407345528,5026235,1775523738
1659900276,Device: id=0,TX,0.70678669471134,1999.9030951878,2112.9889663416,5733071,2025529064
1659900277,Device: id=0,TX,0.70776555303082,1999.9399800589,2113.1824685438,6440882,2275537614
1659900278,Device: id=0,TX,0.70793696197708,2000.0332911182,2113.3032050345,7148841,2525549558
1659900279,Device: id=0,TX,0.7060156175279,1999.8719818137,2112.8344806182,7854868,2775537586
1659900280,Device: id=0,TX,0.70691565468677,1999.9373750732,2113.0438798231,8561784,3025529880
1659900281,Device: id=0,TX,0.70647484855285,1999.9570239654,2112.9929997339,9268285,3275533762
1659900282,Device: id=0,TX,0.70695559310642,1999.9287823007,2113.0416771977,9975261,3525532076
1659900283,Device: id=0,TX,0.70780525906596,1999.9491128793,2113.1979543299,10683068,3775526330
1659900284,Device: id=0,TX,0.70802394684886,1999.9479648962,2113.2317963921,11391134,4025534674
1659900285,Device: id=0,TX,0.70700970938523,1999.9589523824,2113.0805058841,12098183,4275543436
1659900286,Device: id=0,TX,0.70621875826533,1999.9387411843,2112.9337425068,12804419,4525541882
1659900287,Device: id=0,TX,0.7084475418874,1999.9478517273,2113.2994584293,13512900,4775547170
1659900288,Device: id=0,TX,0.70858169690529,1999.9386548861,2113.311726391,14221543,5025561130
1659900289,Device: id=0,TX,0.70750276774464,1999.9538765218,2113.1543193609,14929096,5275573114
1659900290,Device: id=0,TX,0.7075550060821,1999.9505457987,2113.1593467718,15636657,5525569050
1659900291,Device: id=0,TX,0.70654364958711,1999.9393913179,2112.9863752518,16343246,5775577520
1659900292,Device: id=0,TX,0.70613044725197,1999.9425829311,2112.9234544914,17049422,6025586470
1659900293,Device: id=0,TX,0.70519823466825,1999.954933144,2112.786650691,17754641,6275588198
1659900294,Device: id=0,TX,0.70764989711145,1999.9488189619,2113.1728024998,18462325,6525593848
1659900295,Device: id=0,TX,0.70724042235973,1999.9439206192,2113.1023881968,19169620,6775606130
1659900296,Device: id=0,TX,0.70616906159088,1999.9475654535,2112.934615308,19875798,7025602740
1659900297,Device: id=0,TX,0.70683956400354,1999.953175496,2113.0475057366,20582654,7275602700
1659900298,Device: id=0,TX,0.70697244426277,1999.9453083784,2113.0608994605,21289658,7525607022
1659900299,Device: id=0,TX,0.70712341875724,1999.9447793695,2113.0845263706,21996827,7775616234
1659900300,Device: id=0,TX,0.70482743441169,1999.9358927715,2112.7082822773,22701662,8025610904
1659900301,Device: id=0,TX,0.70679442124326,1999.9583507392,2113.0454581382,23408479,8275613684
1659900302,Device: id=0,TX,0.70813866608449,1999.9470911734,2113.2492777469,24116643,8525616014
1659900303,Device: id=0,TX,0.70781745790748,1999.9393697279,2113.1901629931,24824516,8775628052
1659900304,Device: id=0,TX,0.70572692304158,1999.9468059347,2112.8631136213,25530311,9025645518
1659900305,Device: id=0,TX,0.70826134468416,1999.938397836,2113.2602129854,26238574,9275638402
1659900306,Device: id=0,TX,0.70709130643699,1999.9296708276,2113.0642798575,26945675,9525633038
1659900307,Device: id=0,TX,0.70582506574816,1999.9481341532,2112.880144673,27651535,9775638928
1659900308,Device: id=0,TX,0.70737897346203,1999.960729223,2113.1413649769,28358959,10025649932
1659900309,Device: id=0,TX,0.70649635538898,1999.9401764577,2112.9795933199,29065457,10275643036
