Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1659899219,Device: id=1,RX,0.13677687852206,387.28514679805,409.16944736158,151683,53686498
1659899220,Device: id=1,RX,0.69842381388601,1975.2623718045,2087.0101820262,850141,300606380
1659899221,Device: id=1,RX,0.70661519621045,1996.4690452549,2109.5274766485,1556794,550178362
1659899222,Device: id=1,RX,0.70537378301836,1998.5903654341,2111.450170717,2262223,800021714
1659899223,Device: id=1,RX,0.7060272822842,1996.5194599464,2109.4838251119,2968282,1049597858
1659899224,Device: id=1,RX,0.70619447417644,1996.7555799119,2109.7466957802,3674490,1299197086
1659899225,Device: id=1,RX,0.70599714205376,1996.6299693452,2109.5895120738,4380491,1548777196
1659899226,Device: id=1,RX,0.7057858686443,1996.8553015163,2109.7810404994,5086333,1798403960
1659899227,Device: id=1,RX,0.70636975349118,1996.8688956007,2109.8880561592,5792730,2048022200
1659899228,Device: id=1,RX,0.70629631833787,1996.7199837724,2109.7273947064,6499067,2297626574
1659899229,Device: id=1,RX,0.70460765557004,1996.5562985959,2109.2935234871,7203709,2547208276
1659899230,Device: id=1,RX,0.69700189206467,1971.4116524664,2082.9319551968,7900726,2793640074
1659899231,Device: id=1,RX,0.60697683691292,1717.320858671,1814.437152577,8507706,3008306300
1659899232,Device: id=1,RX,0.60214705321201,1704.6717127521,1801.0152412661,9109863,3221393784
1659899233,Device: id=1,RX,0.60408274951689,1707.1797134937,1803.8329534164,9713955,3434794516
1659899234,Device: id=1,RX,0.58445863809526,1653.8203506936,1747.3337327888,10298434,3641529262
1659899235,Device: id=1,RX,0.57333724335086,1624.8066855394,1716.5406444755,10871806,3844642410
1659899236,Device: id=1,RX,0.570452143146,1617.9455827323,1709.2179256356,11442271,4046890166
1659899237,Device: id=1,RX,0.57513086719814,1625.953979477,1717.9749182287,12017432,4250145062
1659899238,Device: id=1,RX,0.5707113569868,1615.4912878588,1706.8051049767,12588147,4452082762
1659899239,Device: id=1,RX,0.57265947192897,1621.2872899342,1712.9128054429,13160846,4654757662
1659899240,Device: id=1,RX,0.56890083041701,1608.5835842747,1699.6077171414,13729772,4855839506
1659899241,Device: id=1,RX,0.57319428484771,1616.1210806406,1707.8321662162,14303001,5057866876
1659899242,Device: id=1,RX,0.56627149789584,1605.200272496,1695.8037121593,14869285,5258521340
1659899243,Device: id=1,RX,0.59108262888129,1673.0269435506,1767.6001641716,15460395,5467659392
1659899244,Device: id=1,RX,0.58436170755358,1649.6446047478,1743.1424779564,16044779,5673872834
1659899245,Device: id=1,RX,0.57410976585742,1622.8525931449,1714.7101556821,16618948,5876750338
1659899246,Device: id=1,RX,0.57362804509961,1628.7100768685,1720.4905640845,17192618,6080353988
1659899247,Device: id=1,RX,0.56664504686659,1604.2819465795,1694.9451540782,17759310,6280905848
1659899248,Device: id=1,RX,0.57665392169302,1630.017138515,1722.2817659859,18335973,6484661198
1659899249,Device: id=1,RX,0.57056877914621,1611.5936556511,1702.8846603145,18906543,6686110836
1659899250,Device: id=1,RX,0.58923047852554,1668.1235643466,1762.4004409107,19495791,6894632482
1659899251,Device: id=1,RX,0.70537533256496,1997.5729922081,2110.4330454185,20201200,7144341024
1659899252,Device: id=1,RX,0.70713796246007,1997.894258332,2111.0363323256,20908383,7394093712
1659899253,Device: id=1,RX,0.70599273641704,1997.8090970144,2110.7679348411,21614399,7643828078
1659899254,Device: id=1,RX,0.7075686155724,1997.6720125769,2110.8829910685,22321982,7893542156
1659899255,Device: id=1,RX,0.70684274285144,1996.1777979807,2109.2726368369,23028875,8143082122
1659899256,Device: id=1,RX,0.70820306483011,1997.4093342509,2110.7218246238,23737100,8392766022
1659899257,Device: id=1,RX,0.70496090328983,1996.7467201192,2109.5404646456,24442132,8642384534
1659899258,Device: id=1,RX,0.70598007551687,1996.9664719468,2109.9232840295,25148127,8892010620
1659899259,Device: id=1,RX,0.70556798241311,1996.7702777174,2109.6611549034,25853723,9141616816
