Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1687000368,Device: id=0,TX,0.86804090523981,888.86176879477,1027.7483136331,880239,112670592
1687000369,Device: id=0,TX,4.2309646732326,4332.5170413502,5009.4713890674,5111222,654237568
1687000370,Device: id=0,TX,4.7788653363564,4893.5570804411,5658.1755342581,9890144,1265939456
1687000371,Device: id=0,TX,4.8571013516148,4973.6717840535,5750.8080003119,14747256,1887649792
1687000372,Device: id=0,TX,4.8594490894367,4976.0768915741,5753.588745884,19606748,2509664896
1687000373,Device: id=0,TX,4.8567362637562,4973.2958861132,5750.3736883142,24463548,3131335040
1687000374,Device: id=0,TX,4.8476085530266,4963.9511582992,5739.5685267835,29311163,3751829760
1687000375,Device: id=0,TX,4.8461875773183,4962.4971031694,5737.8871155403,34157372,4372144640
1687000376,Device: id=0,TX,4.8084631356557,4923.8642029442,5693.2183046491,38965912,4987637504
1687000377,Device: id=0,TX,3.6738625736497,3762.0414193731,4349.859431157,42639801,5457896064
1687000378,Device: id=0,TX,3.6732745792166,3761.4587691148,4349.1827017895,46313076,5928078464
1687000379,Device: id=0,TX,3.660524479436,3748.341227535,4334.0251442447,49973661,6396628864
1687000380,Device: id=0,TX,3.6684423468233,3756.4839391548,4343.4347146465,53642131,6866192896
1687000381,Device: id=0,TX,3.670307676932,3758.3950611784,4345.6442894875,57312501,7336000256
1687000382,Device: id=0,TX,3.6722597031713,3760.39496004,4347.9565125474,60984787,7806052992
1687000383,Device: id=0,TX,3.6691262478881,3757.1842538541,4344.2444535162,64653973,8275708672
1687000384,Device: id=0,TX,3.6737104349896,3761.8794854293,4349.6731550277,68327734,8745950080
1687000385,Device: id=0,TX,3.6734371815302,3761.5986498972,4349.348598942,72001208,9216154624
1687000386,Device: id=0,TX,3.7740446490499,3864.6247926089,4468.4719364569,75775275,9699235584
1687000387,Device: id=0,TX,7.0473960740601,7216.5335798375,8344.1169516871,82822719,10601308416
1687000388,Device: id=0,TX,7.0465362926136,7215.6531636363,8343.0989704545,89869279,11503268096
1687000389,Device: id=0,TX,7.0619913164922,7231.479108088,8361.3977187268,96931328,12407210368
1687000390,Device: id=0,TX,7.006958480439,7175.126507961,8296.2398648312,103938345,13304108672
1687000391,Device: id=0,TX,7.026381864121,7195.0109328798,8319.2320311392,110964761,14203489408
1687000392,Device: id=0,TX,7.0396925341643,7208.6451549843,8334.9959604506,118004508,15104577024
1687000393,Device: id=0,TX,7.0426347548971,7211.6579890146,8338.4795497982,125047153,16006035584
1687000394,Device: id=0,TX,7.0699869290551,7239.6696873463,8370.8675959951,132117154,16910996096
1687000395,Device: id=0,TX,7.0564167399316,7225.7717656821,8354.7984440711,139173625,17814224512
1687000396,Device: id=0,TX,7.0592361513856,7228.6567950293,8358.134579251,146232933,18717815808
1687000397,Device: id=0,TX,6.1892932460825,6337.8362839885,7328.1232033617,152422245,19510047744
1687000398,Device: id=0,TX,6.1913993043714,6339.9928876763,7330.6167763757,158613700,20302553984
1687000399,Device: id=0,TX,6.1928838139816,6341.5130255172,7332.3744357542,164806599,21095245056
1687000400,Device: id=0,TX,6.1984115239124,6347.1734004863,7338.9192443123,171005033,21888644608
1687000401,Device: id=0,TX,6.1622951404454,6310.1902238161,7296.1574462874,177167373,22677424128
1687000402,Device: id=0,TX,6.1997313951311,6348.5249486142,7340.4819718352,183367148,23470995328
1687000403,Device: id=0,TX,6.2052442958255,6354.1701589254,7347.0092462574,189572397,24265267200
1687000404,Device: id=0,TX,6.1889325940868,6337.4680003334,7327.6972153873,195761399,25057459584
1687000405,Device: id=0,TX,6.1834102341205,6331.8110557457,7321.156693205,201944847,25848940800
1687000406,Device: id=0,TX,6.2375568833763,6387.2551765788,7385.264277919,208182407,26647348096
1687000407,Device: id=0,TX,7.525932287931,7706.5587588175,8910.7079248865,215708383,27610673536
