Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1687183521,Device: id=1,RX,0,0,0,0,0
1687183522,Device: id=1,RX,1.8235041121113,1867.2743547518,2159.0350126896,1823519,233411200
1687183523,Device: id=1,RX,4.2913068185977,4394.3012542217,5080.9103451973,6114857,782702848
1687183524,Device: id=1,RX,4.846151527709,4962.4571163797,5737.8413608132,10961022,1403011712
1687183525,Device: id=1,RX,4.8463038671324,4962.6182319213,5738.0268506625,15807361,2023343488
1687183526,Device: id=1,RX,4.844108896579,4960.3654621117,5735.4228855643,20651505,2643393664
1687183527,Device: id=1,RX,4.8195911197987,4935.2766665499,5706.4112457177,25471135,3260308224
1687183528,Device: id=1,RX,4.8435722106306,4959.8046318226,5734.7761855235,30314757,3880290176
1687183529,Device: id=1,RX,5.0032988548462,5123.3800753535,5923.9078921289,35318078,4520715520
1687183530,Device: id=1,RX,5.9081222310922,6049.9130686556,6995.2126256304,41226225,5276957824
1687183531,Device: id=1,RX,5.9069568456496,6048.745311484,6993.8584067879,47133858,6033137536
1687183532,Device: id=1,RX,5.8829896036706,6024.1516736342,6965.4300102215,53019915,6786549120
1687183533,Device: id=1,RX,5.9080750321472,6049.8688329188,6995.1608380623,58930450,7543097600
1687183534,Device: id=1,RX,5.9148873211634,6056.8446168714,7003.2265882575,64848058,8300551424
1687183535,Device: id=1,RX,5.9089709656498,6050.7862688254,6996.2216233293,70759836,9057259008
1687183536,Device: id=1,RX,5.9050408730586,6046.761854012,6991.5683937014,76667580,9813450240
1687183537,Device: id=1,RX,5.8922825489244,6033.6973300986,6976.4625379265,82570385,10569009280
1687183538,Device: id=1,RX,5.8863891006866,6027.6624391031,6969.484695213,88460004,11322880512
1687183539,Device: id=1,RX,5.8845133453361,6025.7416656242,6967.263800878,94346911,12076404608
1687183540,Device: id=1,RX,5.7114038722453,5848.4775651792,6762.3021847384,100061078,12807817984
1687183541,Device: id=1,RX,5.7123565674616,5849.4531250807,6763.4301758746,105776061,13539335808
1687183542,Device: id=1,RX,5.7151600938431,5852.3239360954,6766.7495511103,111493794,14271205632
1687183543,Device: id=1,RX,5.7147223064172,5851.8756417712,6766.231210798,117211067,15003016576
1687183544,Device: id=1,RX,5.7149749355704,5852.1343340241,6766.5303237154,122928996,15734911488
1687183545,Device: id=1,RX,5.7099473585435,5846.9860951486,6760.5776725155,128642104,16466189312
1687183546,Device: id=1,RX,5.7135328378463,5850.6576259546,6764.82288001,134358214,17197851392
1687183547,Device: id=1,RX,5.7191191336551,5856.3779928629,6771.4370542477,140079756,17930208768
1687183548,Device: id=1,RX,5.6739648925892,5810.1400500113,6717.9744328256,145758640,18657105920
1687183549,Device: id=1,RX,5.647988970242,5783.5407055278,6687.2189407665,151408859,19380333952
1687183550,Device: id=1,RX,5.2927387078154,5419.764436803,6266.6026300535,156704451,20058169728
1687183551,Device: id=1,RX,5.2898962945446,5416.8538056136,6263.2372127408,161996555,20735559040
1687183552,Device: id=1,RX,5.2971585780751,5424.2903839489,6271.8357564409,167296012,21413889536
1687183553,Device: id=1,RX,5.2984529271221,5425.6157973731,6273.3682657126,172596941,22092408448
1687183554,Device: id=1,RX,5.2963815486092,5423.4947057759,6270.9157535533,177895758,22770657024
1687183555,Device: id=1,RX,5.2963333002145,5423.4452994197,6270.858627454,183194607,23448909696
1687183556,Device: id=1,RX,5.2939696294344,5421.0249005409,6268.0600412504,188491120,24126863360
1687183557,Device: id=1,RX,5.2927123070575,5419.7374024268,6266.571371556,193786321,24804649088
1687183558,Device: id=1,RX,5.2677741859656,5394.2007664287,6237.0446361832,199058603,25479501184
1687183559,Device: id=1,RX,5.5616446369242,5695.1241082104,6584.9872501183,204622701,26191705728
1687183560,Device: id=1,RX,6.9280993748564,7094.373759853,8202.86965983,211554088,27078923264
1687183561,Device: id=1,RX,6.9230169792793,7089.169386782,8196.8521034667,218480245,27965471360
1687183562,Device: id=1,RX,6.9238797000934,7090.0528128957,8197.8735649106,225407097,28852108416
