Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1659905363,Device: id=1,RX,0.057979355252019,164.39470108216,173.67139792248,59538,21101976
1659905364,Device: id=1,RX,0.17635186710623,500.00248799852,528.21878673551,235934,83617928
1659905365,Device: id=1,RX,0.17675994083115,499.98704792643,528.26863845942,412708,146121280
1659905366,Device: id=1,RX,0.1774236965988,499.98559148689,528.3733829427,590180,208636494
1659905367,Device: id=1,RX,0.176792290375,499.99998710142,528.28675356142,766984,271140632
1659905368,Device: id=1,RX,0.1771401314989,499.9748979178,528.31731895762,944139,333642740
1659905369,Device: id=1,RX,0.17572218752401,499.98594225899,528.10149226283,1119915,396160122
1659905370,Device: id=1,RX,0.17587516119808,499.99129539006,528.13132118176,1295791,458659332
1659905371,Device: id=1,RX,0.17646763637002,499.98298375268,528.21780557189,1472273,521162292
1659905372,Device: id=1,RX,0.18708998805446,529.96027512878,559.89467321749,1659380,587413350
1659905373,Device: id=1,RX,0.35374457146406,999.96171068608,1056.5608421203,2013173,712425676
1659905374,Device: id=1,RX,0.35339267513567,999.97109606637,1056.5139240881,2366613,837438802
1659905375,Device: id=1,RX,0.35386143468465,999.96738392664,1056.5852134762,2720502,962444462
1659905376,Device: id=1,RX,0.35448181668827,999.97124388021,1056.6883345503,3075000,1087446574
1659905377,Device: id=1,RX,0.3536972386621,999.97544569612,1056.5670038821,3428731,1212455436
1659905378,Device: id=1,RX,0.35498447356817,999.96987051951,1056.7673862904,3783740,1337460306
1659905379,Device: id=1,RX,0.35294791154164,999.97143705794,1056.4431029046,4136735,1462473412
1659905380,Device: id=1,RX,0.35390714644543,999.97381254162,1056.5989559729,4490690,1587487040
1659905381,Device: id=1,RX,0.35244006494409,999.97014390113,1056.3605542922,4843171,1712497826
1659905382,Device: id=1,RX,0.37458483764973,1060.5305839514,1120.4641579754,5217781,1845073054
1659905383,Device: id=1,RX,0.70763658764481,1997.5368165042,2110.7586705273,5925456,2094778710
1659905384,Device: id=1,RX,0.70730093857788,1998.637737085,2111.8058872575,6632832,2344634940
1659905385,Device: id=1,RX,0.70616709644662,1997.2143352394,2110.2010706708,7339054,2594306142
