Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1659905589,Device: id=0,TX,0.06065241912131,172.14780516874,181.85219222815,60677,21527350
1659905590,Device: id=0,TX,0.17326725250673,489.68795202268,517.41071242376,233992,82755212
1659905591,Device: id=0,TX,0.17620851668572,499.98372533855,528.17708800827,410217,145259024
1659905592,Device: id=0,TX,0.17703537557655,499.98862406293,528.31428415517,587307,207776886
1659905593,Device: id=0,TX,0.17661045137117,499.9886860028,528.24635822218,763950,270286990
1659905594,Device: id=0,TX,0.17737402720722,499.98539636455,528.3652407177,941361,332798192
1659905595,Device: id=0,TX,0.17634806217322,499.98837133181,528.20406127953,1117713,395298134
1659905596,Device: id=0,TX,0.17616999680898,499.98862846719,528.17582795663,1293907,457805228
1659905597,Device: id=0,TX,0.17811077399614,499.98596259276,528.48368643214,1472024,520305658
1659905598,Device: id=0,TX,0.18268715022358,515.98867766445,545.21862170022,1654717,584806308
1659905599,Device: id=0,TX,0.3533738897498,999.97184801572,1056.5116703757,2008091,709802828
1659905600,Device: id=0,TX,0.35375639734048,999.9644883493,1056.5655119238,2361851,834799662
1659905601,Device: id=0,TX,0.35505029726817,999.97774061658,1056.7857881795,2716957,959816490
1659905602,Device: id=0,TX,0.35334566711509,999.96902786119,1056.5043345996,3070336,1084824410
1659905603,Device: id=0,TX,0.35321247218433,999.97946703961,1056.4934625891,3423586,1209835124
1659905604,Device: id=0,TX,0.35370487607318,999.97475817548,1056.5675383472,3777315,1334840494
1659905605,Device: id=0,TX,0.3521705308904,999.97647277967,1056.3237577221,4129510,1459846238
1659905606,Device: id=0,TX,0.35314850084686,999.97644167296,1056.4802018085,4482697,1584856920
1659905607,Device: id=0,TX,0.35389665747439,999.97786686683,1056.6013320627,4836617,1709862398
1659905608,Device: id=0,TX,0.36397924328511,1032.5294761789,1090.7661551046,5200619,1838936652
1659905609,Device: id=0,TX,0.70859719948771,1999.9533464897,2113.3288984077,5909261,2088946626
1659905610,Device: id=0,TX,0.70697022902942,1999.949472686,2113.0647093307,6616239,2338943058
1659905611,Device: id=0,TX,0.70583954464612,1999.952698458,2112.8870256013,7322098,2588944036
1659905612,Device: id=0,TX,0.70577627355009,1999.9458985511,2112.8701023191,8027891,2838943198
1659905613,Device: id=0,TX,0.70818807623782,1999.9490630787,2113.2591552767,8736085,3088938922
1659905614,Device: id=0,TX,0.70663614264811,1999.9580581953,2113.019841019,9442743,3338941412
1659905615,Device: id=0,TX,0.70505233000656,1999.9381974229,2112.7465702239,10147834,3588947398
1659905616,Device: id=0,TX,0.70751685821522,1999.9639166881,2113.1666140026,10855387,3838955658
1659905617,Device: id=0,TX,0.707704329141,1999.9446298289,2113.1773224915,11563134,4088963810
1659905618,Device: id=0,TX,0.71919880838825,2032.2416309864,2147.3134403285,12282368,4343006444
1659905619,Device: id=0,TX,1.0579976694222,2995.658691713,3164.9383188206,13340387,4717471330
1659905620,Device: id=0,TX,1.0608580393897,2994.8105651504,3164.5478514528,14401251,5091824754
