Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1661898920,Device: id=0,TX,0.14689010815679,415.76034861839,439.26276592348,149247,52809210
1661898921,Device: id=0,TX,0.65800894801557,1861.2908501119,1966.5722817944,807296,285484728
1661898922,Device: id=0,TX,0.70668056330337,1999.9493095474,2113.018199676,1514019,535493404
1661898923,Device: id=0,TX,0.70710191443209,1999.9320198812,2113.0683261904,2221127,785487058
1661898924,Device: id=0,TX,0.70854940191265,1999.9735763719,2113.3414806779,2929730,1035502666
1661898925,Device: id=0,TX,0.70822475280824,1999.939107032,2113.2550674813,3637996,1285509614
1661898926,Device: id=0,TX,0.70837733696684,1999.9079030928,2113.2482770075,4346383,1535501512
1661898927,Device: id=0,TX,0.7072461473119,1999.9405228542,2113.0999064241,5053677,1785510992
1661898928,Device: id=0,TX,0.708383272736,1999.9776177288,2113.3189413666,5762071,2035511980
1661898929,Device: id=0,TX,0.70755657520039,1999.9146103546,2113.1236623867,6469681,2285520182
1661898930,Device: id=0,TX,0.70710811906895,1999.9775479119,2113.1148469629,7176863,2535543496
1661898931,Device: id=0,TX,0.70695744054812,1999.8627064464,2112.9758969341,7883892,2785551638
1661898932,Device: id=0,TX,0.70800077366783,1999.9419423419,2113.2220661287,8591896,3035545520
1661898933,Device: id=0,TX,0.70596738533103,1999.9432662865,2112.8980479394,9297882,3285545020
1661898934,Device: id=0,TX,0.70595019106433,1999.9574042614,2112.9094348317,10003865,3535551314
1661898935,Device: id=0,TX,0.70866357164579,1999.9283977849,2113.3145692483,10712541,3785546748
1661898936,Device: id=0,TX,0.70776223188621,1999.9463829166,2113.1883400184,11420354,4035557978
1661898937,Device: id=0,TX,0.70695169395499,1999.9450708026,2113.0573418354,12127359,4285569962
1661898938,Device: id=0,TX,0.70821724770521,1999.9467405777,2113.2615002105,12835589,4535567806
1661898939,Device: id=0,TX,0.70637979291363,1999.9462193256,2112.9669861917,13542020,4785579206
1661898940,Device: id=0,TX,0.70675358617428,1999.9352210106,2113.0157947985,14248806,5035582574
1661898941,Device: id=0,TX,0.70755200994334,1999.9431109717,2113.1514325626,14956360,5285576166
1661898942,Device: id=0,TX,0.70546176913689,1999.9501332368,2112.8240162987,15661837,5535575330
1661898943,Device: id=0,TX,0.70666954883126,1999.9382756255,2113.0054034385,16368524,5785573788
1661898944,Device: id=0,TX,0.70750608313019,1999.9414095878,2113.1423828887,17076080,6035584102
1661898945,Device: id=0,TX,0.70761694793745,1999.9501088547,2113.1688205247,17783697,6285577884
1661898946,Device: id=0,TX,0.70822362549526,1999.9464146571,2113.2621947364,18491923,6535572024
1661898947,Device: id=0,TX,0.70647237138873,1999.9456562176,2112.9812356398,19198421,6785574300
1661898948,Device: id=0,TX,0.70737463251704,1999.9344825901,2113.1144237928,19905847,7035584264
1661898949,Device: id=0,TX,0.70616289539771,1999.9484857307,2112.9345489944,20612025,7285583172
1661898950,Device: id=0,TX,0.70845448990948,1999.9424109355,2113.295129321,21320506,7535585328
1661898951,Device: id=0,TX,0.70686329521794,1999.9452061133,2113.0433333482,22027388,7785585094
1661898952,Device: id=0,TX,0.70776461823025,1999.9365357621,2113.178874679,22735196,8035592484
1661898953,Device: id=0,TX,0.70744380670329,1999.9465243416,2113.1375334141,23442691,8285603890
1661898954,Device: id=0,TX,0.70658266259226,1999.9426605462,2112.995886561,24149284,8535600380
1661898955,Device: id=0,TX,0.70828270857646,1999.9345668492,2113.2598002214,24857605,8785605716
1661898956,Device: id=0,TX,0.70735172775835,1999.9476605343,2113.1239369756,25564967,9035602804
1661898957,Device: id=0,TX,0.70599847478101,1999.9414809467,2112.9012369117,26271016,9285613380
1661898958,Device: id=0,TX,0.70837014646967,1999.9508624909,2113.2900859261,26979434,9535624126
1661898959,Device: id=0,TX,0.70847552376202,1999.9367738274,2113.2928576293,27687951,9785630858
1661898960,Device: id=0,TX,0.70618257336307,1999.9584678154,2112.9476795534,28394190,10035645642
1661898961,Device: id=0,TX,0.7078900918753,1999.925178366,2113.1875930661,29102128,10285653208
1661898962,Device: id=0,TX,0.70748586583262,1999.946953004,2113.1446915372,29809683,10535671006
1661898963,Device: id=0,TX,0.70775410920324,1999.946602229,2113.1872597016,30517461,10785672770
1661898964,Device: id=0,TX,0.70523688824102,1999.9456010263,2112.7835031448,31222711,11035670618
1661898965,Device: id=0,TX,0.70776016856093,1999.9469367408,2113.1885637106,31930519,11285680880
1661898966,Device: id=0,TX,0.70515105791002,1999.9337566035,2112.7579258691,32636568,11535990940
1661898967,Device: id=0,TX,0.70749171382134,1999.942636221,2113.1413104324,33344061,11785984224
