Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1661899092,Device: id=1,RX,0.14116695887867,399.30690904418,421.89362246476,150525,53222150
1661899093,Device: id=1,RX,0.69901602772512,1975.3045439281,2087.1471083641,849575,300147218
1661899094,Device: id=1,RX,0.70749366496826,1997.3848967268,2110.5838831217,1557131,549842328
1661899095,Device: id=1,RX,0.70530631671216,1997.9468831703,2110.7958938442,2262456,799592304
1661899096,Device: id=1,RX,0.70588626809121,1996.5220380536,2109.4638409482,2968404,1049179384
1661899097,Device: id=1,RX,0.70814563306836,1997.0466290309,2110.3499303219,3676589,1298824090
1661899098,Device: id=1,RX,0.70744430529946,1997.5781378147,2110.7692266626,4384067,1548533250
1661899099,Device: id=1,RX,0.70523980621848,1997.647421783,2110.4857907779,5089330,1798247390
1661899100,Device: id=1,RX,0.70701026965525,1998.7890893073,2111.9107324521,5796410,2048120668
1661899101,Device: id=1,RX,0.70663658080014,1997.0115151476,2110.0733680757,6503049,2297747962
1661899102,Device: id=1,RX,0.70622729251616,1997.5838916921,2110.5802584947,7209283,2547448320
1661899103,Device: id=1,RX,0.7068625264226,1997.2089695278,2110.3069737554,7916171,2797108438
1661899104,Device: id=1,RX,0.70476215868194,1996.8741386023,2109.6360839914,8620938,3046719420
1661899105,Device: id=1,RX,0.70520113387675,1997.8139312231,2110.6461126434,9326205,3296469486
1661899106,Device: id=1,RX,0.70712114560863,1997.3039800389,2110.4433633363,10033339,3546137022
1661899107,Device: id=1,RX,0.70669081452216,1998.3500122559,2111.4205425794,10740066,3795943564
1661899108,Device: id=1,RX,0.7052703162903,1997.0829386326,2109.9261892391,11445368,4045590146
1661899109,Device: id=1,RX,0.70413922683449,1992.5924680751,2105.2547443686,12149508,4294664478
1661899110,Device: id=1,RX,0.6645590373755,1882.1362278474,1988.4656738275,12814105,4529944946
1661899111,Device: id=1,RX,0.66994052830966,1892.4863129695,1999.6767974991,13484077,4766516848
1661899112,Device: id=1,RX,0.6467933757615,1828.0534433633,1931.5403834852,14130878,4995026222
1661899113,Device: id=1,RX,0.63606542170902,1799.0214307392,1900.7918982127,14766982,5219917540
1661899114,Device: id=1,RX,0.6388568732208,1806.425114547,1908.6422142624,15405861,5445728500
1661899115,Device: id=1,RX,0.63648731757872,1801.1122236746,1902.9501944871,16042361,5670872014
1661899116,Device: id=1,RX,0.6321989131246,1790.2034418473,1891.3552679472,16674587,5894657032
1661899117,Device: id=1,RX,0.63634817950869,1796.7080662993,1898.5237750207,17310949,6119250418
1661899118,Device: id=1,RX,0.63182295277005,1787.4842329421,1888.5759053853,17942799,6342695512
1661899119,Device: id=1,RX,0.63383665053862,1787.3554625541,1888.7693266403,18576636,6566115068
1661899120,Device: id=1,RX,0.62867356106717,1778.3510888164,1878.9388585872,19205323,6788413706
1661899121,Device: id=1,RX,0.63776398151941,1807.84886226,1909.8910993031,19843110,7014402970
1661899122,Device: id=1,RX,0.6484244682374,1836.0442275898,1939.7921425077,20491582,7243925322
1661899123,Device: id=1,RX,0.64165659623335,1816.4591036424,1919.1241590397,21133245,7470984976
1661899124,Device: id=1,RX,0.63064405495986,1786.3263525302,1887.2294013238,21763939,7694293454
1661899125,Device: id=1,RX,0.62697931375433,1776.7514573634,1877.068147564,22390931,7916391880
1661899126,Device: id=1,RX,0.63214137528979,1792.5246160787,1893.6672361251,23023116,8140472920
1661899127,Device: id=1,RX,0.62284922929671,1768.2322996675,1867.888176355,23646011,8361518200
1661899128,Device: id=1,RX,0.63450652485089,1794.0650685981,1895.5861125742,24280542,8585784984
1661899129,Device: id=1,RX,0.63861326827019,1809.4460271859,1911.6241501092,24919210,8811985122
1661899130,Device: id=1,RX,0.70647154081711,1998.0493712654,2111.0848177962,25625711,9061751708
1661899131,Device: id=1,RX,0.70724114553484,1997.6921816294,2110.850764915,26332999,9311479774
1661899132,Device: id=1,RX,0.70716081664061,1999.422544328,2112.5682749905,27040224,9561430276
1661899133,Device: id=1,RX,0.70616307366015,1998.4750736534,2111.4611654391,27746404,9811245648
1661899134,Device: id=1,RX,0.70696832027364,1997.402202802,2110.5171340457,28453444,10060946238
1661899135,Device: id=1,RX,0.70667278958122,1997.8937400478,2110.9613863808,29160150,10310694692
1661899136,Device: id=1,RX,0.70579965313635,1997.8923577286,2110.8203022304,29865983,10560443036
1661899137,Device: id=1,RX,0.70724126299872,1997.1618097694,2110.3204118492,30573249,10810096994
1661899138,Device: id=1,RX,0.70747674698982,1997.7368818267,2110.9331613451,31280743,11059820194
