Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1659908931,Device: id=1,RX,0.13535023454983,382.8951291149,404.55116664287,146518,51810982
1659908932,Device: id=1,RX,0.69224679017049,1961.0380115294,2071.7974979567,838786,296948244
1659908933,Device: id=1,RX,0.70654358569308,1997.5101821673,2110.5571558782,1545365,546649532
1659908934,Device: id=1,RX,0.70490504065812,1997.4366109589,2110.2214174642,2250280,796332636
1659908935,Device: id=1,RX,0.706913001481,1997.6368706064,2110.7429508433,2957196,1046038304
1659908936,Device: id=1,RX,0.70618235945374,1998.2428667506,2111.2320442632,3663416,1295831976
1659908937,Device: id=1,RX,0.70728616102682,1997.8729949102,2111.0387806745,4370719,1545572046
1659908938,Device: id=1,RX,0.70604000238865,1997.3495574087,2110.3159577909,5076790,1795251702
1659908939,Device: id=1,RX,0.7049549801694,1996.9722300594,2109.7650268865,5781810,2044896254
1659908940,Device: id=1,RX,0.70523262937637,1997.6033956503,2110.4406163505,6487077,2294608848
1659908941,Device: id=1,RX,0.70598557427225,1997.1863801531,2110.1440720366,7193131,2544281342
1659908942,Device: id=1,RX,0.70369492200936,1987.393120238,2099.9843077595,7896877,2792723514
1659908943,Device: id=1,RX,0.63310252181266,1788.4898318024,1889.7862352924,8530048,3016308924
1659908944,Device: id=1,RX,0.59419650213764,1682.1318780365,1777.2033183785,9124252,3226578062
1659908945,Device: id=1,RX,0.58251347991258,1651.4829327153,1744.6850895013,9706774,3433016448
1659908946,Device: id=1,RX,0.57297487511969,1619.3680688113,1711.0440488304,10279750,3635437854
1659908947,Device: id=1,RX,0.60161718997191,1699.058107509,1795.3168579045,10881400,3847831700
1659908948,Device: id=1,RX,0.59689217005565,1687.9210083616,1783.4237555705,11478315,4058829896
1659908949,Device: id=1,RX,0.57782303977029,1635.3767288011,1727.8284151643,12056179,4263266478
1659908950,Device: id=1,RX,0.56379043802654,1593.0347457572,1683.2412158414,12620012,4462410854
1659908951,Device: id=1,RX,0.5730503353772,1622.8101708791,1714.4982245395,13193105,4665277228
1659908952,Device: id=1,RX,0.56296954415801,1589.9539885061,1680.0291155714,13756093,4864027992
1659908953,Device: id=1,RX,0.56425243429814,1599.0429248495,1689.3233143372,14320346,5063908558
1659908954,Device: id=1,RX,0.57325300133199,1621.8253302151,1713.5458104282,14893621,5266644504
1659908955,Device: id=1,RX,0.57316141453673,1619.2283632824,1710.9341896083,15466804,5469055672
1659908956,Device: id=1,RX,0.56112444159863,1589.4418154484,1679.2217261042,16027947,5667742470
1659908957,Device: id=1,RX,0.57508315357802,1626.5767218007,1718.5900263732,16603079,5871081830
1659908958,Device: id=1,RX,0.61843219463318,1751.4614468229,1850.4105979642,17221515,6090015858
1659908959,Device: id=1,RX,0.58693389581793,1658.0612167365,1751.9706400674,17808450,6297273900
1659908960,Device: id=1,RX,0.56808035735249,1604.7667568769,1695.6596140533,18376562,6497880918
1659908961,Device: id=1,RX,0.57737987248348,1627.7061142647,1720.0868938621,18953944,6701344932
1659908962,Device: id=1,RX,0.57532114361699,1626.2145031989,1718.2658861776,19529292,6904631234
1659908963,Device: id=1,RX,0.70702303493952,1997.8640291318,2110.9877147221,20236332,7154370230
1659908964,Device: id=1,RX,0.70666745447818,1998.0476896194,2111.1144823359,20943007,7404128858
1659908965,Device: id=1,RX,0.7080873634793,1998.0079880525,2111.3019662091,21651102,7653882550
1659908966,Device: id=1,RX,0.70771405208513,1997.8901585076,2111.1244068412,22358844,7903628682
1659908967,Device: id=1,RX,0.70734852717247,1997.6541267944,2110.829891142,23066206,8153340204
1659908968,Device: id=1,RX,0.7076367718825,1999.1484024387,2112.3702859399,23773844,8403234188
1659908969,Device: id=1,RX,0.70650796186048,1998.2249909093,2111.2662648069,24480420,8653036366
1659908970,Device: id=1,RX,0.70648668329768,1997.9248525125,2110.9627218401,25186912,8902778852
1659908971,Device: id=1,RX,0.70807354906567,1997.3169902215,2110.608758072,25895045,9152464438
