,input_rate,output_rate,latency,flow_tracker_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,bridge_instructions,flow_tracker_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,bridge_branches,flow_tracker_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,bridge_branch-misses,flow_tracker_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,bridge_branch-load-misses,flow_tracker_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,bridge_cache-misses,flow_tracker_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,bridge_cache-references,flow_tracker_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,bridge_cycles,flow_tracker_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,bridge_L1-dcache-load-misses,flow_tracker_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,bridge_L1-dcache-loads,flow_tracker_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,bridge_LLC-load-misses,flow_tracker_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,bridge_LLC-stores,flow_tracker_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads,bridge_LLC-loads
0,430.23986348863,412.16276135023,7.856,9768524580.0,9470246335.0,10167205889.0,10443957876.0,9953093361.0,1913044187.0,1881296600.0,2017739378.0,2076443954.0,1939922784.0,7039587.0,7623894.0,7897746.0,7802299.0,7548966.0,7041650.0,7624994.0,7896806.0,7807009.0,7549297.0,4766.0,3695.0,5043.0,5522.0,4136.0,5065573.0,10378683.0,5839310.0,5032135.0,7928519.0,2892677579.0,2893007810.0,2892961924.0,2892867638.0,2893052685.0,5152507.0,11031958.0,5909967.0,5268663.0,8560397.0,3059831044.0,2969832892.0,3203209252.0,3302457774.0,3049332311.0,1263.0,1338.0,1889.0,2402.0,1301.0,1743558.0,4479148.0,1623498.0,1628820.0,3105936.0,3223964.0,5737675.0,4126395.0,3335105.0,4910196.0
1,2004.8208804591,2087.1666859868,7.367,9882274453.0,9587180467.0,10381012030.0,10686971299.0,9961183241.0,1907245174.0,1877348013.0,2028244585.0,2091111901.0,1961935853.0,8023009.0,7895515.0,7740574.0,8960745.0,7705942.0,8023828.0,7896359.0,7739206.0,8961361.0,7637061.0,2011.0,1871.0,2661.0,2326.0,1756.0,5046231.0,10368147.0,5827913.0,5020124.0,7985230.0,2891540210.0,2891720929.0,2891352242.0,2891751219.0,2891925843.0,5094825.0,10926513.0,5899248.0,5243407.0,8528128.0,3041692776.0,2952488474.0,3169491620.0,3263401969.0,3037597202.0,1403.0,1347.0,2279.0,1779.0,1682.0,1739507.0,4463790.0,1630438.0,1641634.0,3114447.0,3234665.0,5756922.0,4122292.0,3324121.0,4954832.0
2,2112.2169649439,2108.747498667,16.566,9643501028.0,9352279552.0,10263459142.0,10569821792.0,9842438997.0,1894226640.0,1863674956.0,1992710869.0,2055315083.0,1945121075.0,7629351.0,8279545.0,7635879.0,8110513.0,7585454.0,7016923.0,7805909.0,7637670.0,8113109.0,7583652.0,2618.0,2167.0,2451.0,2384.0,2228.0,5029799.0,10329281.0,5879218.0,5071083.0,8015496.0,2892024008.0,2891791735.0,2891947502.0,2891855733.0,2891868171.0,5127436.0,11003576.0,5918413.0,5258872.0,8542455.0,3064758768.0,2970746276.0,3168544193.0,3262224502.0,3030961957.0,1225.0,1113.0,1813.0,1687.0,1700.0,1793384.0,4606223.0,1623797.0,1635291.0,3135781.0,3264847.0,5841110.0,4228465.0,3401357.0,4942514.0
3,2113.1927813792,2110.1546003821,9.725,9900640777.0,9590704640.0,10363187242.0,10677815303.0,9936346501.0,1930093731.0,1897001365.0,2026898612.0,2091598353.0,1957682133.0,7149963.0,7689417.0,7724229.0,7849380.0,7575746.0,7151373.0,7692222.0,7724356.0,7849634.0,7577633.0,1850.0,1645.0,2521.0,2151.0,1715.0,5108407.0,10523983.0,5918832.0,5100662.0,8101525.0,2891966724.0,2891846197.0,2891793530.0,2891833037.0,2891882118.0,5126557.0,11042652.0,5950356.0,5288119.0,8616077.0,3064371097.0,2970675184.0,3185020279.0,3282541518.0,3053241498.0,2142.0,2065.0,3762.0,3075.0,2984.0,1785515.0,4584368.0,1628192.0,1640815.0,3142952.0,3240557.0,5763353.0,4217357.0,3387494.0,4967340.0
4,2113.4428879813,2110.3910022301,9.619,9987084767.0,9678583743.0,10359808978.0,10674980891.0,9854737443.0,1914618912.0,1882846482.0,2040034039.0,2105061184.0,1946228018.0,6979786.0,7631784.0,7686036.0,7800178.0,7582421.0,6981052.0,7635059.0,7681572.0,7797900.0,7535567.0,2808.0,2060.0,3095.0,2518.0,2606.0,5077816.0,10464393.0,5815883.0,5012125.0,8005039.0,2891930435.0,2891640367.0,2891788491.0,2891660316.0,2891697899.0,5101121.0,10963588.0,5909387.0,5254753.0,8551456.0,3043724852.0,2950865138.0,3163072381.0,3258797931.0,3032581870.0,1490.0,1631.0,3033.0,2767.0,1891.0,1787366.0,4584627.0,1623949.0,1632554.0,3148193.0,3240087.0,5820709.0,4207741.0,3386314.0,4946190.0
5,2113.104065281,2110.4340127567,12.4,9987333443.0,9663592311.0,10363153705.0,10684873446.0,9728320011.0,1912315352.0,1877004034.0,2039771831.0,2106165682.0,1928387071.0,7112231.0,7815079.0,7684146.0,7813249.0,7715720.0,7111448.0,7814672.0,7685114.0,7815440.0,7526144.0,2746.0,3636.0,3429.0,2744.0,2473.0,5105047.0,10490453.0,5810855.0,4996308.0,7963539.0,2891899524.0,2891836601.0,2891678310.0,2891912120.0,2891765688.0,5146088.0,11083106.0,5933098.0,5278908.0,8536299.0,3064815431.0,2969399096.0,3182453398.0,3283008210.0,3054107761.0,1800.0,1750.0,2151.0,1701.0,1263.0,1767646.0,4539303.0,1618002.0,1627606.0,3055290.0,3267992.0,5881875.0,4173582.0,3347669.0,4924976.0
6,2113.3153727606,2110.3565267057,11.341,9997012073.0,9686619284.0,10371522658.0,10682572421.0,9844843538.0,1944892609.0,1911065619.0,2042671673.0,2106981007.0,1945136948.0,7029228.0,7849875.0,7798690.0,7905702.0,7567687.0,7030373.0,7852230.0,7754778.0,8007245.0,7610163.0,1755.0,1690.0,2171.0,2076.0,1620.0,5096534.0,10475011.0,5894988.0,5078285.0,8097815.0,2891972929.0,2891894653.0,2891964415.0,2891868105.0,2891808950.0,5108203.0,10984324.0,5928205.0,5264778.0,8564961.0,3045694904.0,2954111566.0,3167436980.0,3263366314.0,3032942448.0,2737.0,2070.0,2403.0,1945.0,1083.0,1780137.0,4570423.0,1612604.0,1620804.0,3040753.0,3295004.0,5936918.0,4200359.0,3379139.0,4896571.0
7,2113.1464639774,2110.0663386881,5.843,9965666464.0,9786017874.0,10144655148.0,10431711942.0,9574138086.0,1940796283.0,1934883095.0,2009133283.0,2068256051.0,1910297187.0,7113583.0,7614790.0,7734159.0,7961103.0,7433383.0,7111646.0,7607393.0,7735404.0,7828159.0,7528944.0,4640.0,13675.0,5696.0,7191.0,4545.0,4765079.0,9610899.0,5304188.0,4650017.0,7109586.0,2891628092.0,2891570834.0,2891474693.0,2891486083.0,2891707754.0,4855801.0,10188152.0,5571037.0,4991226.0,7885045.0,3032247969.0,2961062998.0,3157375152.0,3245613774.0,3033695446.0,3714.0,64761.0,3668.0,4952.0,2563.0,1709042.0,4360292.0,1506030.0,1481340.0,2795152.0,3098680.0,5470730.0,3969804.0,3288718.0,4416473.0
8,2113.0793597226,2106.0754017047,14.124,9972161031.0,9110107472.0,10130730091.0,9630484636.0,9708785608.0,1941037600.0,1798449245.0,2006142107.0,1920743689.0,1925115206.0,7041062.0,7261422.0,7679812.0,7261010.0,7505603.0,7042886.0,7253727.0,7727594.0,7386184.0,7512162.0,2431.0,1795.0,2355.0,3126.0,1546.0,5081781.0,10424479.0,5875616.0,5043324.0,8090100.0,2891824864.0,2720901725.0,2891809711.0,2721915983.0,2891776323.0,5148719.0,11006197.0,5990631.0,5289511.0,8745405.0,3059860661.0,2788873800.0,3170391832.0,3078785294.0,3041198585.0,2675.0,1950.0,1951.0,1725.0,1675.0,1783855.0,4591820.0,1589389.0,1598999.0,3085909.0,3293823.0,5895803.0,4219329.0,3390044.0,4844486.0
9,2113.0411579343,2110.0771571154,10.442,9878498768.0,8950478598.0,10229580805.0,10563366928.0,9863410205.0,1927576900.0,1772375509.0,2018261882.0,2087677700.0,1947555000.0,7014337.0,7321088.0,7718217.0,7838471.0,7693309.0,6969284.0,7376700.0,7717924.0,7838148.0,7692901.0,2286.0,1876.0,2730.0,2296.0,10668.0,5095012.0,10456721.0,5872630.0,5056957.0,8107903.0,2891650590.0,2878679428.0,2891715182.0,2891646711.0,2891806183.0,5120851.0,10987019.0,5946606.0,5261578.0,8584881.0,3041561029.0,2946661800.0,3157320205.0,3257623985.0,3028755891.0,2074.0,1552.0,2070.0,1500.0,1139.0,1784297.0,4594561.0,1586523.0,1594031.0,3046420.0,3283869.0,5863342.0,4248643.0,3409355.0,4854594.0
