,input_rate,output_rate,latency,flow_tracker_instructions,nf_router_instructions,ndpi_stats_instructions,payload_scan_instructions,bridge_instructions,flow_tracker_branches,nf_router_branches,ndpi_stats_branches,payload_scan_branches,bridge_branches,flow_tracker_branch-misses,nf_router_branch-misses,ndpi_stats_branch-misses,payload_scan_branch-misses,bridge_branch-misses,flow_tracker_branch-load-misses,nf_router_branch-load-misses,ndpi_stats_branch-load-misses,payload_scan_branch-load-misses,bridge_branch-load-misses,flow_tracker_cache-misses,nf_router_cache-misses,ndpi_stats_cache-misses,payload_scan_cache-misses,bridge_cache-misses,flow_tracker_cache-references,nf_router_cache-references,ndpi_stats_cache-references,payload_scan_cache-references,bridge_cache-references,flow_tracker_cycles,nf_router_cycles,ndpi_stats_cycles,payload_scan_cycles,bridge_cycles,flow_tracker_L1-dcache-load-misses,nf_router_L1-dcache-load-misses,ndpi_stats_L1-dcache-load-misses,payload_scan_L1-dcache-load-misses,bridge_L1-dcache-load-misses,flow_tracker_L1-dcache-loads,nf_router_L1-dcache-loads,ndpi_stats_L1-dcache-loads,payload_scan_L1-dcache-loads,bridge_L1-dcache-loads,flow_tracker_LLC-load-misses,nf_router_LLC-load-misses,ndpi_stats_LLC-load-misses,payload_scan_LLC-load-misses,bridge_LLC-load-misses,flow_tracker_LLC-stores,nf_router_LLC-stores,ndpi_stats_LLC-stores,payload_scan_LLC-stores,bridge_LLC-stores,flow_tracker_LLC-loads,nf_router_LLC-loads,ndpi_stats_LLC-loads,payload_scan_LLC-loads,bridge_LLC-loads
0,433.46808546828,403.13957051326,16.297,9708197482.0,9616263975.0,10465037819.0,10577165775.0,9675744698.0,1900988412.0,1907685846.0,2054813543.0,2078557972.0,1915987489.0,6995539.0,7675180.0,8073052.0,7839610.0,7813009.0,6997314.0,7749046.0,8069547.0,7841916.0,7810309.0,4422.0,4348.0,4993.0,4565.0,4053.0,4741934.0,10112120.0,6487167.0,5149576.0,9519147.0,2892800815.0,2892828079.0,2892667332.0,2892902474.0,2892775198.0,5005026.0,11076405.0,6710214.0,6698056.0,9756959.0,3046412254.0,2930767579.0,3222676946.0,3265779813.0,3024946051.0,1513.0,1988.0,2164.0,1401.0,1376.0,1724581.0,4707408.0,1732144.0,1606528.0,3735056.0,2968900.0,5965050.0,4628974.0,3420509.0,5763729.0
1,1919.7974074497,2080.0410757472,7.267,9729490962.0,9415674969.0,10462228072.0,10591705402.0,9662781680.0,1903242526.0,1868433594.0,2049188684.0,2078205246.0,1913746291.0,6998188.0,7574084.0,7772253.0,7963066.0,7631062.0,6998101.0,7619672.0,7770290.0,7963852.0,7632278.0,2417.0,3441.0,3291.0,2476.0,1850.0,4790104.0,10667845.0,6524660.0,5166104.0,9639950.0,2891973422.0,2892088945.0,2891785965.0,2891890315.0,2891796683.0,5076479.0,11285611.0,6814705.0,6879522.0,9912737.0,3026369491.0,2947761784.0,3240767444.0,3285266745.0,3002202118.0,1584.0,2135.0,2667.0,2526.0,1612.0,1728577.0,4757157.0,1735940.0,1607589.0,3746369.0,2947672.0,6039839.0,4655131.0,3438048.0,5701844.0
2,2113.2728316649,2110.4483616675,11.764,9714583764.0,9490737062.0,10557670823.0,10693935789.0,9638660824.0,1898977558.0,1879508797.0,2045644653.0,2074852441.0,1907893441.0,7110253.0,7655868.0,7757661.0,7820899.0,7676559.0,7111606.0,7892760.0,7755988.0,7817491.0,7678262.0,3184.0,2673.0,3018.0,2884.0,2534.0,4809789.0,10692985.0,6566496.0,5213353.0,9665507.0,2891880837.0,2891688475.0,2891799576.0,2891931125.0,2891683403.0,5007059.0,11208645.0,6765375.0,7102408.0,9800942.0,3044041018.0,2927340361.0,3222992253.0,3265334102.0,3021410973.0,1788.0,1613.0,3063.0,2313.0,1213.0,1770617.0,4578418.0,1747157.0,1620620.0,3838018.0,2982954.0,6021269.0,4749666.0,3506222.0,5794237.0
3,2113.495859564,2110.4918021938,8.16,9934650920.0,9410771785.0,10575276811.0,10712394887.0,9872315939.0,1902811167.0,1869041074.0,2081709253.0,2111962734.0,1913641722.0,6997719.0,7828224.0,7772801.0,7841645.0,7480097.0,6998413.0,7668625.0,7772033.0,7843601.0,7480016.0,2445.0,3166.0,3481.0,2466.0,2020.0,4823260.0,10617235.0,6467923.0,5123186.0,9730728.0,2891842953.0,2891502524.0,2891507916.0,2891667146.0,2891676016.0,5050552.0,11278660.0,6811152.0,7044401.0,9846075.0,3042616460.0,2944308411.0,3239944841.0,3281709227.0,3020950147.0,2951.0,2668.0,3586.0,2951.0,2878.0,1773420.0,4572505.0,1733473.0,1608684.0,3818834.0,2898565.0,5926746.0,4743340.0,3517685.0,5658250.0
4,2112.4599405266,2110.196299277,10.528,9928376184.0,9507688380.0,10568475152.0,10711065133.0,9830961877.0,1919194691.0,1881541225.0,2080281761.0,2110695146.0,1924904473.0,7221933.0,7665307.0,7822986.0,7895391.0,7515370.0,7225496.0,7665308.0,7818798.0,7890627.0,7517387.0,2479.0,2339.0,2785.0,2636.0,12404.0,4799975.0,10677851.0,6433078.0,5098866.0,9693084.0,2891886979.0,2891450525.0,2891747271.0,2891655545.0,2891753869.0,4987580.0,11123335.0,6734890.0,6697589.0,9767900.0,3023437353.0,2926534752.0,3220591015.0,3263063905.0,3003136229.0,2291.0,1476.0,2660.0,2612.0,2171.0,1758884.0,4586338.0,1745647.0,1617956.0,3804418.0,2958722.0,5963449.0,4737559.0,3479477.0,5792108.0
5,2112.8861553945,2110.5124515613,14.844,9872327505.0,9463031305.0,10476710729.0,10607124466.0,9837789211.0,1905454247.0,1877364012.0,2063840122.0,2092328964.0,1924092524.0,6981345.0,7571032.0,7789964.0,7850695.0,7441508.0,6984712.0,7571276.0,7738941.0,7800569.0,7453978.0,4970.0,10931.0,5354.0,7154.0,4043.0,4456971.0,9673679.0,5949830.0,4798264.0,8560924.0,2891505208.0,2891423205.0,2891318575.0,2891395409.0,2891402512.0,4513233.0,9978953.0,6055987.0,6981739.0,8416149.0,3010087390.0,2914978271.0,3204999042.0,3211799804.0,2980217681.0,4201.0,9749.0,62998.0,5176.0,2725.0,1575117.0,4168625.0,1554946.0,1480923.0,3319378.0,2827313.0,5112345.0,4318897.0,3251759.0,5151136.0
6,2112.9214294869,2107.4598186209,15.632,9925001496.0,9427059651.0,10347001380.0,10477210292.0,9550639898.0,1931271641.0,1871418525.0,2047780163.0,2077289480.0,1881066404.0,7181762.0,7588637.0,7771157.0,8014434.0,7305159.0,7183056.0,7588723.0,7946741.0,7899914.0,7303588.0,2421.0,3036.0,2586.0,2326.0,1510.0,4798584.0,10646044.0,6498257.0,5137199.0,9574997.0,2891931378.0,2891951741.0,2891891515.0,2891873810.0,2801955943.0,4995040.0,11131931.0,6736897.0,6721180.0,9714091.0,3045168773.0,2952003153.0,3241905783.0,3287582348.0,2922775317.0,2987.0,1667.0,2252.0,2266.0,2209.0,1763532.0,4571742.0,1742242.0,1623144.0,3818746.0,2996323.0,5854797.0,4745018.0,3497719.0,5758817.0
7,2113.3676494026,2111.0872088871,5.773,9921757333.0,9513128541.0,10445937733.0,10580917454.0,9859018241.0,1930576059.0,1881887637.0,2062462575.0,2091976977.0,1941612380.0,7108181.0,7659668.0,7983402.0,7881405.0,7481141.0,7109852.0,7660490.0,7915554.0,7833470.0,7475034.0,2656.0,2456.0,3373.0,2756.0,2062.0,4754158.0,10586203.0,6443103.0,5116384.0,9544963.0,2891805000.0,2891759285.0,2891699849.0,2891636065.0,2891678173.0,4997572.0,11144193.0,6728692.0,6733199.0,9768983.0,3021207819.0,2944632337.0,3220449596.0,3261963722.0,3002592505.0,2550.0,1438.0,1663.0,1588.0,2025.0,1747528.0,4721885.0,1687256.0,1569124.0,3789661.0,2971963.0,5912104.0,4692166.0,3462673.0,5828084.0
8,2112.9825491363,2110.1418290889,19.971,9350707414.0,9162052997.0,9914045222.0,10462754670.0,9718236306.0,1827596022.0,1785518074.0,1964412372.0,2075605201.0,1921634040.0,6662454.0,7276807.0,7466030.0,7833924.0,7646270.0,6632190.0,7234213.0,7514534.0,7882743.0,7464005.0,2696.0,3426.0,2820.0,2495.0,2381.0,4765048.0,10756646.0,6393416.0,5076033.0,9624454.0,2771669032.0,2706007985.0,2781903318.0,2891567254.0,2891772204.0,5035919.0,11197759.0,6767604.0,6777906.0,9895385.0,2914249665.0,2816531857.0,3086428282.0,3286953195.0,3016538583.0,1745.0,1501.0,1575.0,1613.0,1397.0,1760819.0,4732914.0,1712223.0,1590595.0,3832685.0,2997541.0,5956145.0,4726310.0,3499786.0,5894132.0
9,2113.1233105677,2110.5677886177,11.117,9819588163.0,9626953162.0,10454094392.0,10591657247.0,9753623732.0,1916571237.0,1884552185.0,2063537666.0,2094310739.0,1927403835.0,7117695.0,7656605.0,7971746.0,7891968.0,7536346.0,6982170.0,7654858.0,7973167.0,7893447.0,7542430.0,2431.0,2206.0,2507.0,2139.0,1951.0,4775195.0,10702160.0,6465289.0,5114963.0,9618866.0,2891637038.0,2891745705.0,2891735383.0,2891614512.0,2891430649.0,5023633.0,11227437.0,6826251.0,7048474.0,9831205.0,3023300366.0,2941832143.0,3220355299.0,3263366300.0,3001192753.0,1529.0,2589.0,1764.0,1667.0,1638.0,1728841.0,4718648.0,1681315.0,1554953.0,3745962.0,2988305.0,5877476.0,4666561.0,3471368.0,5840118.0
10,2113.1543552928,2110.7280256028,7.248,9678064406.0,9603779579.0,10310983797.0,10444297429.0,9603782528.0,1895317578.0,1881362621.0,2042116863.0,2072002760.0,1904580695.0,6937057.0,7594644.0,7749708.0,8042732.0,7450990.0,6984387.0,7587076.0,7751280.0,8043302.0,7502331.0,3318.0,2412.0,3717.0,2704.0,2456.0,4738830.0,10672026.0,6405355.0,5096552.0,9529369.0,2891791106.0,2891800217.0,2891593210.0,2891703164.0,2891759507.0,4991155.0,11146637.0,6737841.0,7250884.0,9755932.0,3024670947.0,2929925421.0,3222258463.0,3263646018.0,3001441693.0,1863.0,2713.0,1300.0,1801.0,1513.0,1735972.0,4721363.0,1715926.0,1590024.0,3766175.0,2987358.0,5996897.0,4673967.0,3457532.0,5836837.0
11,2113.0434132025,2111.0362804921,12.65,9729733914.0,9618848065.0,10358184876.0,10491631637.0,9652918170.0,1903632592.0,1899271494.0,2050450806.0,2079610822.0,1912751819.0,7010901.0,7617609.0,7779323.0,7850434.0,7471912.0,7011471.0,7618347.0,7780564.0,7852167.0,7471854.0,2121.0,4706.0,3277.0,2490.0,1825.0,4754639.0,10627495.0,6444406.0,5106926.0,9598256.0,2891726576.0,2891843233.0,2891671232.0,2891499444.0,2891520325.0,5032069.0,11212873.0,6807430.0,6628616.0,9868783.0,3044478757.0,2944557660.0,3245022238.0,3288603183.0,3021567455.0,2223.0,1889.0,2348.0,1570.0,1792.0,1705026.0,4746214.0,1679732.0,1561892.0,3706520.0,2994297.0,5936527.0,4594053.0,3416623.0,5785719.0
