Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1661898290,Device: id=0,TX,0.14845574638388,420.06844008875,443.82135951017,148480,52519358
1661898291,Device: id=0,TX,0.62676278435458,1771.972141157,1872.2541866538,775266,274024080
1661898292,Device: id=0,TX,0.70680404651093,1999.9307986571,2113.0194460989,1482081,524019304
1661898293,Device: id=0,TX,0.70809972557444,1999.9612919107,2113.2572480026,2190213,774025860
1661898294,Device: id=0,TX,0.70901224095063,1999.7869176689,2113.228876221,2899282,1024019236
1661898295,Device: id=0,TX,0.70616705417729,1999.9555591312,2112.9422877996,3605467,1274020034
1661898296,Device: id=0,TX,0.70646733398273,1999.9129303084,2112.9477037457,4311977,1524024248
1661898297,Device: id=0,TX,0.70761797237498,1999.9903986648,2113.2092742448,5019620,1774031890
1661898298,Device: id=0,TX,0.70924808942075,1999.8449743625,2113.3246686698,5728911,2024027636
1661898299,Device: id=0,TX,0.70663506500765,1999.9349234894,2112.9965338907,6435602,2274039290
1661898300,Device: id=0,TX,0.70691085431263,2000.0522425453,2113.1579792353,7142542,2524056128
1661898301,Device: id=0,TX,0.70726487425366,1999.8380783931,2113.0004582737,7849876,2774060320
1661898302,Device: id=0,TX,0.70571849131739,1999.949148579,2112.8641071898,8555671,3024081066
1661898303,Device: id=0,TX,0.70829805778829,1999.9429258446,2113.2706150907,9263995,3274083088
1661898304,Device: id=0,TX,0.70516628934978,1999.9378387609,2112.7644450569,9969209,3524092232
1661898305,Device: id=0,TX,0.70774692888818,1999.950003967,2113.1895125891,10677020,3774108614
1661898306,Device: id=0,TX,0.70688502985233,1999.940082029,2113.0416868054,11383933,4024111016
1661898307,Device: id=0,TX,0.70744969551316,1999.9549545422,2113.1469058244,12091426,4274120688
1661898308,Device: id=0,TX,0.70718677626255,1999.9342501734,2113.0841343754,12798690,4524139768
1661898309,Device: id=0,TX,0.70585841925231,1999.9579454323,2112.8952925127,13504579,4774145342
1661898310,Device: id=0,TX,0.70683303630598,1999.9525743208,2113.0458601298,14211459,5024156024
1661898311,Device: id=0,TX,0.70885462688939,1999.9263017876,2113.3430420899,14920327,5274151528
1661898312,Device: id=0,TX,0.70808374970132,1999.9600705632,2113.2534705155,15628459,5524163572
1661898313,Device: id=0,TX,0.70675081355939,1999.94173803,2113.0218681995,16335243,5774168028
1661898314,Device: id=0,TX,0.70784860613276,1999.9361701137,2113.1919470949,17043119,6024169724
1661898315,Device: id=0,TX,0.70796430800124,1999.9500455107,2113.2243347909,17751118,6274175730
1661898316,Device: id=0,TX,0.70713328535148,1999.9388098923,2113.0801355486,18458290,6524181768
1661898317,Device: id=0,TX,0.70845766235475,1999.9489199412,2113.302145918,19166803,6774194910
1661898318,Device: id=0,TX,0.70872708073446,1999.9414911627,2113.3378240802,19875541,7024191448
1661898319,Device: id=0,TX,0.70623003527041,1999.9583733273,2112.9551789706,20581783,7274190480
1661898320,Device: id=0,TX,0.70714290938759,1999.9319426991,2113.0748082011,21288953,7524191550
1661898321,Device: id=0,TX,0.70714261896587,1999.9445288132,2113.0873478477,21996123,7774194296
1661898322,Device: id=0,TX,0.70631097464712,1999.9530269136,2112.9627828571,22702493,8024209316
1661898323,Device: id=0,TX,0.70650736381767,1999.9417160108,2112.9828942217,23409024,8274210394
1661898324,Device: id=0,TX,0.71003569853291,1999.9435508904,2113.5492626556,24119107,8524219992
1661898325,Device: id=0,TX,0.70918345183826,1999.9429460843,2113.4122983784,24828292,8774213406
1661898326,Device: id=0,TX,0.70797898639568,1999.9704821455,2113.2471199688,25536297,9024218902
1661898327,Device: id=0,TX,0.70718864167902,1999.9213351675,2113.0715178362,26243529,9274224396
1661898328,Device: id=0,TX,0.70546237233741,1999.9420172237,2112.8159967977,26949034,9524232254
1661898329,Device: id=0,TX,0.70762244419785,1999.9466952941,2113.1662863658,27656684,9774235326
1661898330,Device: id=0,TX,0.70728255933757,1999.9449832888,2113.1101927828,28364016,10024245924
1661898331,Device: id=0,TX,0.70685538530755,1999.9511924263,2113.0480540756,29070928,10274259846
1661898332,Device: id=0,TX,0.70786926268554,1999.9406889778,2113.1997710075,29778801,10524253752
1661898333,Device: id=0,TX,0.70678784234937,1999.9543882925,2113.0404430684,30485651,10774270036
1661898334,Device: id=0,TX,0.70664024096036,1999.9408034313,2113.003241985,31192341,11024280240
1661898335,Device: id=0,TX,0.70676418671996,1999.9399432473,2113.0222131225,31899129,11274281156
1661898336,Device: id=0,TX,0.70651125524188,1999.9617028911,2113.0035037298,32605695,11524295740
1661898337,Device: id=0,TX,0.70741899492337,1999.9384868603,2113.125526048,33313177,11774310316
