Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1659908988,Device: id=0,TX,0.1482264865253,419.52979636792,443.24603421197,148243,52449290
1659908989,Device: id=0,TX,0.62151846328009,1755.1346941615,1854.5776482863,769796,271853318
1659908990,Device: id=0,TX,0.70701604633337,1999.9481192749,2113.0706866883,1476901,521878286
1659908991,Device: id=0,TX,0.70648363807623,1999.9427859968,2112.980168089,2183401,771876924
1659908992,Device: id=0,TX,0.70836606255189,1999.9372230864,2113.2757930947,2891788,1021876466
1659908993,Device: id=0,TX,0.70730573632955,1999.9441532768,2113.1130710895,3599145,1271887604
1659908994,Device: id=0,TX,0.70595480351293,1999.9441897829,2112.8969583449,4305139,1521894508
1659908995,Device: id=0,TX,0.7074631974684,1999.9446757486,2113.1387873436,5012622,1771894590
1659908996,Device: id=0,TX,0.70761108606078,1999.9365756269,2113.1543493966,5720238,2021888398
1659908997,Device: id=0,TX,0.70704394063053,1999.9942379858,2113.1212684867,6427303,2271895124
1659908998,Device: id=0,TX,0.70528397171637,1999.9388906672,2112.7843261418,7132641,2521906636
1659908999,Device: id=0,TX,0.7058976755721,1999.8825418072,2112.8261698987,7838549,2771895610
1659909000,Device: id=0,TX,0.70626962494628,1999.9433647775,2112.9465047689,8544855,3021901406
1659909001,Device: id=0,TX,0.70698725604918,1999.942399831,2113.0603607989,9251896,3271913210
1659909002,Device: id=0,TX,0.70966145285564,1999.9501761009,2113.4960085578,9961592,3521919152
1659909003,Device: id=0,TX,0.70823454104657,1999.9391052648,2113.2566318323,10669884,3771931822
1659909004,Device: id=0,TX,0.70641527910367,1999.945383805,2112.9718284616,11376319,4021931974
1659909005,Device: id=0,TX,0.70700800198155,1999.9419051811,2113.0631854982,12083360,4271936380
1659909006,Device: id=0,TX,0.7076448369753,1999.939360009,2113.162533925,12791043,4521942282
1659909007,Device: id=0,TX,0.7067231552738,1999.9504365306,2113.0261413744,13497795,4771946290
1659909008,Device: id=0,TX,0.7076168637881,1999.9413864127,2113.1600846188,14205414,5021939718
1659909009,Device: id=0,TX,0.70765901532379,1999.9394422173,2113.1648846691,14913096,5271940268
1659909010,Device: id=0,TX,0.70772994415521,1999.941690668,2113.1784817328,15620843,5521939004
1659909011,Device: id=0,TX,0.70674247091434,1999.9432051864,2113.0220005327,16327629,5771947302
1659909012,Device: id=0,TX,0.70877314393069,1999.9411106892,2113.3448137181,17036430,6021949766
1659909013,Device: id=0,TX,0.70838409222197,1999.9517425896,2113.2931973451,17744817,6271944760
1659909014,Device: id=0,TX,0.70588634277106,1999.9361762066,2112.87799105,18450738,6521949056
1659909015,Device: id=0,TX,0.70668864008493,1999.9467623414,2113.016944755,19157470,6771957740
1659909016,Device: id=0,TX,0.7073535972486,1999.9348983469,2113.1114739067,19864887,7021972010
1659909017,Device: id=0,TX,0.70661482701012,1999.9526327596,2113.0110050812,20571513,7271970042
1659909018,Device: id=0,TX,0.70665157640002,1999.9382380115,2113.0024902355,21278172,7521964948
1659909019,Device: id=0,TX,0.7066415890065,1999.9477828996,2113.0104371407,21984860,7771974840
1659909020,Device: id=0,TX,0.70798133173289,1999.9392472987,2113.216260376,22692862,8021974544
1659909021,Device: id=0,TX,0.70787268713538,1999.9424069263,2113.202036868,23400739,8271968868
1659909022,Device: id=0,TX,0.70820390235583,1999.9433889462,2113.2560133231,24108963,8521968886
1659909023,Device: id=0,TX,0.7074437944445,1999.9537812157,2113.1447883268,24816454,8771979790
1659909024,Device: id=0,TX,0.70703444243952,1999.9312199622,2113.0567307525,25523526,9021984472
1659909025,Device: id=0,TX,0.70703069170287,1999.9453727372,2113.0702834097,26230568,9271981642
1659909026,Device: id=0,TX,0.70731502411377,1999.9484956247,2113.1188994829,26937932,9521992514
1659909027,Device: id=0,TX,0.70558131154145,1999.9454306859,2112.8384405325,27643531,9771991960
1659909028,Device: id=0,TX,0.70887471475402,1999.9402590686,2113.3602134293,28352462,10022004342
