Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,5831812,717458,315434,10427116,9766386,14,107240
1,20312684,91392,2897314,11284574,0,19740,111902
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,6186992,740978,332248,10940104,9813328,14,108626
1,20304046,91938,2792678,10292100,0,19740,112266
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,6167420,730702,352996,10103730,9808190,0,108976
1,20411118,91854,2862552,9888676,0,19726,112476
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,6227186,745402,374276,10041262,9892652,0,109578
1,20136046,91672,2868054,9353232,0,19796,112462
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,6232940,728210,488810,10097150,9930172,0,108052
1,20109600,91756,2908990,9374386,0,19782,110936
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,6267450,748734,340718,9910026,9812180,0,108500
1,20103678,91700,2711982,9112866,0,19726,111146
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,6318508,732956,416878,10017392,9705766,0,109410
1,20107346,91588,2913526,8770384,0,19754,111748
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,6319586,754180,312648,9958914,9696288,168,109690
1,20076840,91588,2790410,8362550,0,18886,111300
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,6350260,737492,1716442,11133402,7641676,112,84182
1,20073956,91686,2915388,10185616,0,18746,109732
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,5650008,706174,321734,9394014,9208962,140,101822
1,19973898,92246,2793756,7901600,0,18326,110964
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,5891298,700196,278404,9359378,9519552,728,103082
1,20064100,92232,2931894,7512344,0,18592,110502
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,6004194,721756,189532,9494814,9606926,336,103922
1,20281702,92316,2892456,7980784,0,18620,111314
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,6030458,722946,198422,9732408,9606800,448,104062
1,20301078,92218,2736244,8039430,0,18578,111174
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,6061944,730338,177422,9626120,9638062,168,106246
1,20298362,92232,2742012,7872578,0,18634,112574
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,6098918,735210,298452,9639658,9665992,140,106806
1,20306958,92302,2882600,7765198,0,18606,112420
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,6094774,728868,269738,9687468,9719038,140,107520
1,20299832,92092,2788604,8009260,0,18662,112434
