,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-10-29,23:26:56.564,  170.40,  298.87,  588.21,  510.06,,,,,  758.60,  808.94,2108281935, 1567.54,  170.35,   15.35,  163.76,   12.01,,,,,  334.11,   27.36,2108544534,  361.47,   1092.72,    836.29,   1929.01
2023-10-29,23:26:57.564,  166.32,  325.45,  576.07,  536.64,,,,,  742.40,  862.08,2133800863, 1604.48,  102.08,    5.10,   89.93,    1.74,,,,,  192.01,    6.84,2133564939,  198.85,    934.41,    868.92,   1803.33
2023-10-29,23:26:58.564,  163.79,  321.63,  569.55,  531.51,,,,,  733.33,  853.14,2133103844, 1586.48,   81.37,    4.10,   70.51,    0.75,,,,,  151.88,    4.85,2132860151,  156.73,    885.21,    857.99,   1743.21
2023-10-29,23:26:59.564,  160.91,  315.08,  563.42,  523.91,,,,,  724.33,  838.99,2132711012, 1563.32,   65.54,    4.05,   56.47,    0.66,,,,,  122.01,    4.70,2132766416,  126.71,    846.34,    843.69,   1690.03
2023-10-29,23:27:00.564,  156.96,  307.26,  556.23,  515.45,,,,,  713.19,  822.72,2132700381, 1535.90,   63.80,    4.42,   52.33,    1.05,,,,,  116.14,    5.47,2132629229,  121.60,    829.32,    828.18,   1657.50
2023-10-29,23:27:01.564,  152.38,  298.37,  545.60,  504.03,,,,,  697.98,  802.40,2134877046, 1500.38,   64.05,    4.42,   52.99,    1.05,,,,,  117.04,    5.47,2134925592,  122.51,    815.02,    807.87,   1622.89
2023-10-29,23:27:02.564,  146.57,  286.58,  530.26,  489.40,,,,,  676.83,  775.98,2132698089, 1452.81,   60.60,    4.09,   48.95,    0.73,,,,,  109.55,    4.82,2132647017,  114.37,    786.38,    780.80,   1567.17
2023-10-29,23:27:03.564,  136.76,  266.95,  501.90,  462.54,,,,,  638.65,  729.48,2132575714, 1368.14,   59.25,    3.99,   50.15,    0.62,,,,,  109.40,    4.61,2132578994,  114.02,    748.06,    734.10,   1482.15
2023-10-29,23:27:04.565,  126.93,  247.11,  471.79,  434.88,,,,,  598.72,  681.99,2134690442, 1280.71,   58.73,    3.99,   47.10,    0.62,,,,,  105.83,    4.60,2134671874,  110.43,    704.55,    686.59,   1391.14
2023-10-29,23:27:05.565,  118.64,  229.93,  444.47,  409.05,,,,,  563.11,  638.97,2132505098, 1202.08,   55.13,    4.07,   41.35,    0.70,,,,,   96.48,    4.78,2132506796,  101.26,    659.59,    643.75,   1303.34
2023-10-29,23:27:06.565,  123.74,  211.57,  458.32,  392.67,,,,,  582.06,  604.24,2132921122, 1186.30,  114.94,   20.25,  105.82,   16.91,,,,,  220.76,   37.16,2133191943,  257.92,    802.81,    641.40,   1444.22
2023-10-29,23:27:07.565,  106.80,  204.61,  407.31,  372.83,,,,,  514.11,  577.44,2132856557, 1091.55,  129.02,    5.44,  122.31,    2.05,,,,,  251.33,    7.49,2132536774,  258.83,    765.44,    584.93,   1350.38
2023-10-29,23:27:08.565,   99.26,  193.17,  384.72,  355.26,,,,,  483.98,  548.43,2134629174, 1032.41,   90.39,    5.04,   75.65,    1.71,,,,,  166.04,    6.75,2134678989,  172.79,    650.02,    555.18,   1205.20
2023-10-29,23:27:09.565,   94.92,  185.20,  371.93,  343.63,,,,,  466.85,  528.83,2132505610,  995.68,   76.28,    3.91,   64.90,    0.53,,,,,  141.18,    4.44,2132437677,  145.62,    608.03,    533.27,   1141.30
2023-10-29,23:27:10.566,   92.06,  178.84,  360.76,  333.36,,,,,  452.82,  512.19,2134774144,  965.01,   94.98,    7.70,   83.54,    4.38,,,,,  178.52,   12.08,2134946568,  190.60,    631.33,    524.27,   1155.61
2023-10-29,23:27:11.566,   89.03,  173.70,  350.82,  324.23,,,,,  439.85,  497.92,2132680574,  937.77,   76.06,    3.95,   65.83,    0.60,,,,,  141.89,    4.55,2132520214,  146.43,    581.73,    502.47,   1084.20
2023-10-29,23:27:12.566,   85.95,  169.28,  340.09,  316.12,,,,,  426.04,  485.40,2132425628,  911.44,   59.75,    4.09,   53.21,    0.71,,,,,  112.96,    4.80,2132450150,  117.76,    539.00,    490.20,   1029.20
2023-10-29,23:27:13.566,   85.12,  167.78,  335.92,  312.71,,,,,  421.04,  480.49,2134630484,  901.53,   55.27,    3.97,   50.08,    0.58,,,,,  105.35,    4.54,2134617294,  109.89,    526.39,    485.03,   1011.42
2023-10-29,23:27:14.566,   83.07,  164.40,  329.59,  307.73,,,,,  412.66,  472.13,2132379563,  884.79,   49.42,    3.87,   45.91,    0.50,,,,,   95.33,    4.37,2132398457,   99.69,    507.98,    476.50,    984.48
2023-10-29,23:27:15.567,   81.88,  161.99,  325.46,  304.10,,,,,  407.34,  466.09,2134559136,  873.43,   43.99,    3.89,   41.74,    0.53,,,,,   85.74,    4.41,2134527854,   90.15,    493.08,    470.50,    963.58
2023-10-29,23:27:16.578,   84.83,  162.61,  336.73,  307.62,,,,,  421.56,  470.23,2132270412,  891.79,   48.50,    5.92,   44.57,    2.58,,,,,   93.07,    8.50,2140620807,  101.57,    514.63,    478.73,    993.36
2023-10-29,23:27:17.570,   96.81,  156.45,  379.65,  313.09,,,,,  476.46,  469.54,2132652678,  946.01,  137.26,   10.16,  123.99,    6.82,,,,,  261.24,   16.98,2124378874,  278.22,    737.70,    486.52,   1224.23
2023-10-29,23:27:18.571,   77.08,  151.40,  308.98,  287.14,,,,,  386.06,  438.54,2134877948,  824.60,   97.87,    5.00,   77.79,    1.63,,,,,  175.67,    6.63,2134743143,  182.30,    561.73,    445.17,   1006.90
2023-10-29,23:27:19.571,   75.33,  149.38,  302.44,  282.94,,,,,  377.78,  432.32,2132398897,  810.10,   74.92,    4.26,   58.97,    0.89,,,,,  133.89,    5.15,2132328750,  139.05,    511.67,    437.48,    949.15
2023-10-29,23:27:20.572,   73.66,  147.18,  296.44,  278.85,,,,,  370.10,  426.02,2134457633,  796.12,   66.12,    4.07,   46.30,    0.70,,,,,  112.42,    4.77,2134506958,  117.19,    482.52,    430.79,    913.31
2023-10-29,23:27:21.571,   73.39,  145.96,  294.01,  275.52,,,,,  367.40,  421.48,2132369183,  788.88,   59.67,    4.04,   46.14,    0.67,,,,,  105.82,    4.71,2132351116,  110.52,    473.22,    426.19,    899.40
2023-10-29,23:27:22.571,   71.68,  143.47,  287.87,  270.97,,,,,  359.55,  414.44,2132392179,  773.99,   52.12,    3.83,   40.29,    0.47,,,,,   92.41,    4.30,2132387494,   96.71,    451.95,    418.74,    870.70
2023-10-29,23:27:23.572,   70.91,  141.33,  285.44,  267.82,,,,,  356.35,  409.14,2134476251,  765.49,   50.48,    4.09,   45.24,    0.73,,,,,   95.72,    4.83,2134477977,  100.55,    452.07,    413.97,    866.04
2023-10-29,23:27:24.571,   70.49,  139.39,  283.89,  265.28,,,,,  354.38,  404.67,2132367723,  759.05,   53.70,    4.47,   51.73,    1.10,,,,,  105.43,    5.57,2132335467,  111.00,    459.81,    410.24,    870.05
2023-10-29,23:27:25.572,   68.46,  136.66,  277.35,  260.40,,,,,  345.81,  397.06,2134459876,  742.87,   57.12,    4.17,   49.79,    0.81,,,,,  106.91,    4.97,2134475587,  111.88,    452.72,    402.04,    854.75
2023-10-29,23:27:26.572,   66.97,  134.60,  272.20,  256.82,,,,,  339.17,  391.42,2132351790,  730.60,   51.13,    3.88,   42.09,    0.51,,,,,   93.23,    4.39,2132331997,   97.61,    432.40,    395.81,    828.21
2023-10-29,23:27:27.573,   89.20,  144.22,  348.92,  289.79,,,,,  438.12,  434.01,2134717404,  872.13,   96.02,   10.15,   87.19,    6.74,,,,,  183.21,   16.89,2134983413,  200.10,    621.33,    450.90,   1072.22
2023-10-29,23:27:28.573,   65.96,  129.56,  266.28,  249.53,,,,,  332.24,  379.09,2132796318,  711.34,   99.53,    4.45,   87.90,    1.10,,,,,  187.42,    5.56,2132586052,  192.98,    519.67,    384.65,    904.32
2023-10-29,23:27:29.572,   64.39,  127.03,  261.30,  245.56,,,,,  325.69,  372.59,2132374734,  698.28,   72.75,    4.35,   63.19,    1.00,,,,,  135.94,    5.34,2132374835,  141.28,    461.63,    377.93,    839.56
2023-10-29,23:27:30.573,   63.76,  125.99,  260.12,  244.45,,,,,  323.88,  370.45,2134509921,  694.33,   69.01,    4.06,   52.33,    0.69,,,,,  121.34,    4.75,2134501407,  126.09,    445.22,    375.19,    820.42
2023-10-29,23:27:31.573,   62.30,  123.29,  256.59,  241.15,,,,,  318.89,  364.44,2132360487,  683.33,   58.22,    4.06,   47.06,    0.69,,,,,  105.28,    4.74,2132324189,  110.03,    424.17,    369.19,    793.36
2023-10-29,23:27:32.573,   61.38,  121.93,  251.58,  237.47,,,,,  312.96,  359.41,2134528785,  672.37,   53.91,    4.05,   42.47,    0.67,,,,,   96.38,    4.71,2134528506,  101.10,    409.34,    364.12,    773.46
2023-10-29,23:27:33.573,   60.23,  120.14,  246.36,  233.43,,,,,  306.59,  353.57,2132563018,  660.16,   55.50,    3.98,   45.09,    0.61,,,,,  100.59,    4.59,2132572929,  105.18,    407.18,    358.16,    765.34
2023-10-29,23:27:34.578,   59.29,  118.29,  242.59,  230.28,,,,,  301.88,  348.57,2132348167,  650.45,   53.10,    4.13,   44.79,    0.75,,,,,   97.89,    4.89,2140676112,  102.78,    399.77,    353.46,    753.23
2023-10-29,23:27:35.574,   59.23,  117.67,  243.33,  229.73,,,,,  302.56,  347.40,2134245085,  649.96,   49.39,    3.95,   44.74,    0.58,,,,,   94.13,    4.53,2125876931,   98.66,    396.69,    351.93,    748.63
2023-10-29,23:27:36.578,   58.26,  116.36,  238.88,  226.66,,,,,  297.14,  343.02,2134495214,  640.16,   50.00,    3.99,   44.02,    0.61,,,,,   94.02,    4.60,2142339046,   98.63,    391.16,    347.63,    738.79
2023-10-29,23:27:37.575,   63.77,  119.23,  257.16,  234.70,,,,,  320.93,  353.93,2132138316,  674.86,   56.88,    7.04,   48.98,    3.74,,,,,  105.86,   10.78,2124610210,  116.64,    426.79,    364.71,    791.49
2023-10-29,23:27:38.585,   73.96,  118.88,  295.79,  246.99,,,,,  369.75,  365.87,2134401252,  735.62,  141.83,    9.59,  142.32,    6.16,,,,,  284.15,   15.75,2155766265,  299.90,    653.90,    381.62,   1035.52
2023-10-29,23:27:39.575,   56.81,  111.37,  233.36,  219.91,,,,,  290.17,  331.28,2132831173,  621.45,   80.49,    4.54,   80.45,    1.20,,,,,  160.94,    5.73,2111226239,  166.68,    451.11,    337.02,    788.13
2023-10-29,23:27:40.579,   55.50,  109.26,  228.03,  215.54,,,,,  283.52,  324.80,2132396889,  608.33,   68.54,    4.34,   65.48,    0.96,,,,,  134.02,    5.30,2142521439,  139.32,    417.55,    330.11,    747.65
2023-10-29,23:27:41.575,   55.06,  108.63,  226.59,  214.42,,,,,  281.65,  323.05,2133935385,  604.70,   58.02,    3.90,   54.50,    0.53,,,,,  112.52,    4.43,2123810007,  116.95,    394.17,    327.48,    721.64
2023-10-29,23:27:42.579,   53.78,  106.84,  221.06,  210.36,,,,,  274.84,  317.20,2132385608,  592.04,   52.85,    3.80,   50.56,    0.40,,,,,  103.41,    4.19,2141223525,  107.60,    378.25,    321.39,    699.64
2023-10-29,23:27:43.575,   53.81,  105.98,  220.29,  208.95,,,,,  274.10,  314.93,2134776990,  589.03,   49.52,    3.98,   45.42,    0.61,,,,,   94.94,    4.60,2125900352,   99.54,    369.03,    319.53,    688.57
2023-10-29,23:27:44.578,   52.60,  103.54,  215.82,  204.96,,,,,  268.42,  308.50,2132300169,  576.92,   50.76,    3.92,   45.15,    0.54,,,,,   95.92,    4.46,2138713966,  100.38,    364.34,    312.96,    677.30
2023-10-29,23:27:45.576,   52.35,  102.33,  215.10,  203.50,,,,,  267.45,  305.83,2134449676,  573.28,   48.79,    4.08,   46.85,    0.71,,,,,   95.64,    4.79,2127985839,  100.43,    363.09,    310.62,    673.71
