Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1698618414,Device: id=1,RX,0.11688977900209,119.69513369814,138.39749833848,128784,16484352
1698618415,Device: id=1,RX,0.70408921866069,720.98735990854,833.64163489426,848072,108553216
1698618416,Device: id=1,RX,1.7481403829161,1790.134663892,2069.8371251586,2596222,332321280
1698618417,Device: id=1,RX,2.8145276068074,2882.0424775916,3332.3668946807,5410768,692578944
1698618418,Device: id=1,RX,3.0655712003277,3139.1510530959,3629.6424451483,8476359,1084975360
1698618419,Device: id=1,RX,3.2869170470542,3365.8030561835,3891.7097837122,11763284,1505701760
1698618420,Device: id=1,RX,3.5288243123874,3613.5140478909,4178.1259378729,15292119,1957392384
1698618421,Device: id=1,RX,3.8000769701978,3891.2829134717,4499.2952287034,19092206,2443804032
1698618422,Device: id=1,RX,4.2046727440432,4305.5828419091,4978.3304809561,23296897,2982004224
1698618423,Device: id=1,RX,4.7066486341255,4819.6092253436,5572.6730068037,28003550,3584455936
1698618424,Device: id=1,RX,5.4317188617965,5562.1005944753,6431.1756123627,33435270,4279718656
1698618425,Device: id=1,RX,6.0362170650031,6181.0565787498,7146.8513091503,39471525,5052355584
1698618426,Device: id=1,RX,6.5132002590143,6669.5139932381,7711.6260346804,45984741,5886046848
1698618427,Device: id=1,RX,6.0547883890743,6200.1063823733,7168.8725246252,52039606,6661069952
1698618428,Device: id=1,RX,7.2194767426753,7392.7452084993,8547.8614873273,59259084,7585163264
1698618429,Device: id=1,RX,7.478925234424,7658.4184160535,8855.0464535613,66738033,8542468608
1698618430,Device: id=1,RX,7.6982534365445,7883.0115190216,9114.7320688687,74436338,9527851648
1698618431,Device: id=1,RX,7.7479747823368,7933.9272011116,9173.6031662855,82184323,10519593856
1698618432,Device: id=1,RX,7.8841499971264,8073.3695970574,9334.8335965976,90068492,11528767488
1698618433,Device: id=1,RX,7.8871417255505,8076.4331269637,9338.3758030518,97955682,12538327808
1698618434,Device: id=1,RX,7.9373630420716,8127.8597550813,9397.8378418127,105893080,13554314752
1698618435,Device: id=1,RX,7.9686428515033,8159.8882319556,9434.8710881961,113861786,14574308864
1698618436,Device: id=1,RX,7.9669046133396,8158.1123720481,9432.8171101824,121828736,15594078720
1698618437,Device: id=1,RX,6.609088066654,6767.705156261,7825.1592469256,128437871,16440047872
1698618438,Device: id=1,RX,7.8834549832031,8072.6579028,9334.0107001125,136321384,17449137536
1698618439,Device: id=1,RX,7.9537459698916,8144.6368971643,9417.2362523469,144275167,18467221888
1698618440,Device: id=1,RX,7.9901703082433,8181.9343956411,9460.36164496,152265359,19489966464
1698618441,Device: id=1,RX,8.0049169839043,8197.034991518,9477.8217089426,160270297,20514598528
1698618442,Device: id=1,RX,8.036610751002,8229.489409026,9515.3471291863,168306929,21543287424
1698618443,Device: id=1,RX,8.0013773270808,8193.4093589333,9473.6297312662,176308326,22567466112
1698618444,Device: id=1,RX,7.998213856009,8190.1720125487,9469.8862295102,184306575,23591242112
1698618445,Device: id=1,RX,7.9515409402229,8142.3738268017,9414.6203772374,192258142,24609042176
1698618446,Device: id=1,RX,8.0252119174917,8217.8170035115,9501.8509103101,200283364,25636270592
1698618447,Device: id=1,RX,7.4355844745144,7614.0385019027,8803.732017825,207718969,26588028032
1698618448,Device: id=1,RX,7.5664199614739,7748.0181365227,8958.6453303585,215285438,27556536576
1698618449,Device: id=1,RX,7.9938832778463,8185.7354525147,9464.7567769701,223279322,28579753600
1698618450,Device: id=1,RX,8.0278342906517,8220.5023136274,9504.9558001317,231307209,29607323136
1698618451,Device: id=1,RX,8.0458653106927,8238.9671021439,9526.3055518547,239353117,30637199488
1698618452,Device: id=1,RX,8.0433077100818,8236.346071129,9523.2753047421,247396466,31666748032
1698618453,Device: id=1,RX,8.0549038049167,8248.2214962347,9537.0061050213,255451403,32697779968
1698618454,Device: id=1,RX,8.0754931186814,8269.3059775222,9561.3848765112,263526956,33731450880
1698618455,Device: id=1,RX,8.0342034356222,8227.0232940799,9512.4958437795,271561181,34759831552
1698618456,Device: id=1,RX,8.0820507133349,8276.0209544496,9569.1490685832,279643274,35794339584
1698618457,Device: id=1,RX,8.0715252503593,8265.2408323737,9556.6848724312,287714845,36827500544
1698618458,Device: id=1,RX,7.1226310318042,7293.5752005587,8433.1961656474,294837537,37739205248
1698618459,Device: id=1,RX,8.0566431222901,8250.0015332359,9539.0644328023,302894265,38770466304
1698618460,Device: id=1,RX,8.0379104548375,8230.8213297449,9516.8870025189,310932243,39799327616
1698618461,Device: id=1,RX,8.0751913615785,8268.9949302639,9561.0255481165,319007494,40832959616
1698618462,Device: id=1,RX,8.0825655786093,8276.5471524959,9569.7576450734,327090099,41867533056
1698618463,Device: id=1,RX,8.0743371615192,8268.1212533956,9560.0151992387,335164465,42901051904
1698618464,Device: id=1,RX,8.0664536531064,8260.0495647743,9550.6821492713,343230971,43933564800
1698618465,Device: id=1,RX,8.0461643009615,8239.2722441846,9526.6585323384,351277151,44963475840
1698618466,Device: id=1,RX,8.0188186337464,8211.269256959,9494.2802383585,359295991,45989887232
1698618467,Device: id=1,RX,8.0358296173677,8228.6895281845,9514.4222669633,367331887,47018481920
1698618468,Device: id=1,RX,7.6394614867681,7822.8085624505,9045.1224003334,374971356,47996333952
1698618469,Device: id=1,RX,7.9919239899796,8183.7301657391,9462.4380041359,382963296,49019302272
1698618470,Device: id=1,RX,8.0351783189066,8228.0236225544,9513.6521535795,390998521,50047811200
1698618471,Device: id=1,RX,8.0103943143212,8202.6437778649,9484.3068681563,399008941,51073144960
1698618472,Device: id=1,RX,8.0256813000396,8218.2976512406,9502.4066592469,407034678,52100439296
1698618473,Device: id=1,RX,8.0453115349541,8238.3979877983,9525.6478333909,415080031,53130244352
1698618474,Device: id=1,RX,8.0476855608371,8240.8300142972,9528.4597040311,423127744,54160351616
1698618475,Device: id=1,RX,8.053194312278,8246.4719997709,9534.9830897354,431180952,55191162368
1698618476,Device: id=1,RX,8.0642273449168,8257.7688011948,9548.0451763815,439245239,56223391104
1698618477,Device: id=1,RX,8.0438466583088,8236.8989781082,9523.9144434376,447289130,57253009152
1698618478,Device: id=1,RX,7.5200259854474,7700.5055851058,8903.7097427774,454809212,58215579520
1698618479,Device: id=1,RX,7.7614133668313,7947.6883116342,9189.5144503272,462570633,59209041536
1698618480,Device: id=1,RX,8.0367185166184,8229.5987370178,9515.4736996767,470607356,60237741952
1698618481,Device: id=1,RX,8.0287057423572,8221.3957041716,9505.9886229487,478636079,61265418624
1698618482,Device: id=1,RX,8.060916006239,8254.3779903887,9544.1245513869,486697004,62297217024
1698618483,Device: id=1,RX,8.0604648769395,8253.9150099955,9543.5893903058,494757543,63328965888
1698618484,Device: id=1,RX,8.0721674863526,8265.899506025,9557.4463038415,502829749,64362208256
1698618485,Device: id=1,RX,8.0748634480142,8268.6611947646,9560.6393464468,510904628,65395792896
1698618486,Device: id=1,RX,8.0769923752855,8270.8401922923,9563.158972338,518981638,66429650176
1698618487,Device: id=1,RX,8.0778844734371,8271.7537007996,9564.2152165496,527059536,67463621120
1698618488,Device: id=1,RX,8.0473773093475,8240.5143647719,9528.0947342675,535106923,68493686656
1698618489,Device: id=1,RX,7.3873538521147,7564.64932057,8746.6259369084,542494310,69439272064
1698618490,Device: id=1,RX,8.0801730131386,8274.0940934581,9566.9217755603,550574494,70473535232
1698618491,Device: id=1,RX,8.0377890664873,8230.7001000632,9516.7463507011,558612322,71502377728
1698618492,Device: id=1,RX,8.0741397080604,8267.9190610539,9559.7814143436,566686518,72535874816
1698618493,Device: id=1,RX,8.0776941779683,8271.5588382395,9563.9899067145,574764244,73569823744
1698618494,Device: id=1,RX,8.0562781005703,8249.6287749839,9538.6332710752,582820552,74601031168
1698618495,Device: id=1,RX,8.0713301499454,8265.0400255517,9556.452849543,590891912,75634164992
1698618496,Device: id=1,RX,8.0763878271298,8270.2231829761,9562.4452353169,598968319,76667945344
1698618497,Device: id=1,RX,8.0755400197223,8269.3529801956,9561.4393833512,607043869,77701615744
1698618498,Device: id=1,RX,8.0567718068881,8250.1343302534,9539.2178193555,615100653,78732884096
1698618499,Device: id=1,RX,7.621707020439,7804.6279889296,9024.1011121998,622722361,79708462720
1698618500,Device: id=1,RX,8.0622786776282,8255.7743898877,9545.7389783082,630784668,80740438144
1698618501,Device: id=1,RX,8.0730017672886,8266.7527857051,9558.4330684712,638857682,81773783808
1698618502,Device: id=1,RX,8.0553310709128,8248.6590166147,9537.5119879608,646913072,82804873728
1698618503,Device: id=1,RX,8.0795181547132,8273.4255664318,9566.1484711859,654992633,83839057408
1698618504,Device: id=1,RX,8.0644831484816,8258.031768041,9548.349071798,663057149,84871315584
1698618505,Device: id=1,RX,8.0131997084462,8205.5165014489,9487.6284548003,671070369,85897007744
1698618506,Device: id=1,RX,8.050367692782,8243.5754934098,9531.6343242549,679120745,86927455744
1698618507,Device: id=1,RX,8.0514948383109,8244.7317384298,9532.9709125596,687172244,87958047744
1698618508,Device: id=1,RX,8.0565491316917,8249.9063108523,9538.954171923,695228795,88989286272
1698618509,Device: id=1,RX,7.5099535725715,7690.1883623385,8891.7809339499,702738795,89950565760
1698618510,Device: id=1,RX,8.0112437897617,8203.5187606979,9485.3177670598,710750067,90976009216
1698618511,Device: id=1,RX,8.0385527006559,8231.4769414795,9517.6453735844,718788681,92004951680
1698618512,Device: id=1,RX,8.0642118705834,8257.7488594937,9548.0227587871,726852925,93037174400
1698618513,Device: id=1,RX,8.0602271047098,8253.6766512041,9543.3129879576,734913189,94068888704
1698618514,Device: id=1,RX,8.050427570915,8243.637832617,9531.7062439634,742963627,95099344768
1698618515,Device: id=1,RX,8.0553847297441,8248.7129392636,9537.5744960227,751019056,96130439552
1698618516,Device: id=1,RX,8.0287020932268,8221.3919674587,9505.984302375,759047802,97158119168
1698618517,Device: id=1,RX,8.0523379395784,8245.5930261312,9533.9670964637,767100163,98188821248
1698618518,Device: id=1,RX,8.0514902853013,8244.7270761419,9532.9655217901,775151706,99219418880
1698618519,Device: id=1,RX,7.5556299602528,7736.9650792989,8945.8658729394,782707384,100186545664
1698618520,Device: id=1,RX,7.9376452804972,8128.1487672292,9398.1720121087,790645117,101202575488
1698618521,Device: id=1,RX,8.0256258642458,8218.2398609896,9502.3399992689,798670758,102229857408
