Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1698618414,Device: id=0,TX,3.2031187479977,3279.9855303995,3792.4845300792,3252567,416328576
1698618415,Device: id=0,TX,1.825299223667,1869.2221161617,2161.2699919484,5077880,649983104
1698618416,Device: id=0,TX,4.6220889407096,4732.9197473739,5472.4539778874,9699973,1241598592
1698618417,Device: id=0,TX,7.7977117188989,7984.8527041626,9232.4865791865,17497704,2239707648
1698618418,Device: id=0,TX,7.9652054973169,8156.3714532513,9430.804332822,25462919,3259255296
1698618419,Device: id=0,TX,7.9994782752382,8191.4667778423,9471.3833018805,33462410,4283190272
1698618420,Device: id=0,TX,7.9891760906523,8180.9378207259,9459.2059952302,41451624,5305812352
1698618421,Device: id=0,TX,7.9828127172078,8174.3776946163,9451.6277293695,49434506,6327618432
1698618422,Device: id=0,TX,7.9678340376708,8159.0610305759,9433.9144766032,57402348,7347502080
1698618423,Device: id=0,TX,7.999991875629,8191.9916806441,9471.9903807447,65402346,8371501824
1698618424,Device: id=0,TX,7.9998787102446,8191.9607907987,9471.9413844378,73402271,9395502848
1698618425,Device: id=0,TX,7.9947019406359,8186.4775078081,9465.6298183099,81397022,10418818816
1698618426,Device: id=0,TX,8.0102091906797,8202.4583072499,9484.0917777587,89407243,11444127616
1698618427,Device: id=0,TX,7.7354530770456,7921.1039508947,9158.7764432219,97142708,12434267136
1698618428,Device: id=0,TX,7.9948315108721,8186.7064431362,9465.8794848757,105137564,13457608576
1698618429,Device: id=0,TX,8.0000335700831,8192.0353997614,9472.0407709747,113137627,14481616768
1698618430,Device: id=0,TX,8.0260494051844,8218.6704949198,9502.8383997493,121163698,15508953344
1698618431,Device: id=0,TX,7.9927558114153,8184.586046861,9463.4269766874,129156509,16532033664
1698618432,Device: id=0,TX,7.9976380125993,8189.5813249017,9469.2034069176,137154173,17555734656
1698618433,Device: id=0,TX,7.9945850198531,8186.4550603296,9465.5886635061,145148812,18579048448
1698618434,Device: id=0,TX,7.9977885849015,8189.7355109392,9469.3816845234,153146657,19602772608
1698618435,Device: id=0,TX,8.0239345208873,8216.5079253922,9500.3374487341,161170620,20629839744
1698618436,Device: id=0,TX,8.0262480393035,8218.8790162423,9503.0787025308,169196903,21657204096
1698618437,Device: id=0,TX,7.5198688030153,7700.3456542876,8903.5246627701,176716782,22619748608
1698618438,Device: id=0,TX,7.9729529247385,8164.3037949322,9439.9762628904,184689766,23640290560
1698618439,Device: id=0,TX,8.0170019506226,8209.4089734444,9492.129285544,192706822,24666473600
1698618440,Device: id=0,TX,8.0308687575367,8223.6096077175,9508.5486089234,200737736,25694430592
1698618441,Device: id=0,TX,8.0594697417308,8252.8939435351,9542.409102212,208797213,26726043264
1698618442,Device: id=0,TX,8.0667002638745,8260.3041421824,9550.9761844024,216863979,27758589696
1698618443,Device: id=0,TX,8.0397756043904,8232.7312428918,9519.0953395942,224903786,28787685120
1698618444,Device: id=0,TX,8.0338045863341,8226.6148724088,9512.0236062223,232937612,29816014720
1698618445,Device: id=0,TX,8.018980264392,8211.4327187549,9494.4695610577,240956638,30842449664
1698618446,Device: id=0,TX,8.0477089013964,8240.8580110288,9528.4914352522,249004349,31872557184
1698618447,Device: id=0,TX,7.9817719969587,8173.3345248857,9450.4180443991,256986166,32894229760
1698618448,Device: id=0,TX,7.7635761928844,7949.9009975182,9192.0731883797,264749777,33887971840
1698618449,Device: id=0,TX,8.0248222314567,8217.4159170285,9501.3874740615,272774665,34915157248
1698618450,Device: id=0,TX,8.0739776052758,8267.7520438076,9559.5884606517,280848684,35948631552
1698618451,Device: id=0,TX,8.0766312703229,8270.474516792,9562.7355200437,288925352,36982445568
1698618452,Device: id=0,TX,8.0847829067346,8278.8176964963,9572.3829615738,297010195,38017305472
1698618453,Device: id=0,TX,8.0593824109139,8252.8075887758,9542.3087745221,305069589,39048907904
1698618454,Device: id=0,TX,8.097839557643,8292.1877070264,9587.8420362493,313167443,40085433216
1698618455,Device: id=0,TX,8.0640091605651,8257.5453804186,9547.786846109,321231507,41117633408
1698618456,Device: id=0,TX,8.0990113405857,8293.38658876,9589.2284032537,329330520,42154306944
1698618457,Device: id=0,TX,8.0935547611698,8287.8000754379,9582.7688372251,337424122,43190288000
1698618458,Device: id=0,TX,7.6835671724709,7867.973808606,9097.3445562014,345107720,44173788672
1698618459,Device: id=0,TX,8.0862773243544,8280.3459321518,9574.1503040485,353194048,45208838400
1698618460,Device: id=0,TX,8.0681752881684,8261.8125190764,9552.7205651833,361262287,46241573120
1698618461,Device: id=0,TX,8.094289064273,8288.5520018155,9583.6382520992,369356641,47277650432
