,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-09-18,11:58:13.128,   34.14,  306.75,  142.27,  365.41,,,,,  176.41,  672.17,    105082,  848.57,  276.12,   12.22,  272.25,    8.82,,,,,  548.37,   21.05,     53626,  569.42,    724.78,    693.21,   1417.99
2023-09-18,11:58:14.128,   24.27,  294.35,  101.82,  337.90,,,,,  126.09,  632.25,    104922,  758.34,  259.16,    5.90,  254.89,    2.54,,,,,  514.05,    8.44,     53627,  522.49,    640.14,    640.69,   1280.83
2023-09-18,11:58:15.127,   22.13,  290.44,   93.64,  330.79,,,,,  115.77,  621.23,    104889,  737.00,  253.16,    5.17,  247.57,    1.77,,,,,  500.74,    6.94,     53673,  507.67,    616.51,    628.16,   1244.67
2023-09-18,11:58:16.128,   25.62,  289.96,  108.51,  336.32,,,,,  134.13,  626.28,    105002,  760.41,  247.95,    4.58,  242.74,    1.20,,,,,  490.69,    5.78,     53544,  496.47,    624.82,    632.06,   1256.88
2023-09-18,11:58:17.128,   21.94,  286.51,   93.07,  326.53,,,,,  115.01,  613.05,    104882,  728.05,  242.43,    4.70,  238.17,    1.31,,,,,  480.60,    6.01,     53528,  486.61,    595.60,    619.06,   1214.66
2023-09-18,11:58:18.129,   25.39,  287.36,  106.79,  332.86,,,,,  132.18,  620.22,    104993,  752.40,  249.07,    5.87,  244.75,    2.50,,,,,  493.82,    8.36,     53594,  502.18,    626.00,    628.59,   1254.59
2023-09-18,11:58:19.129,   36.43,  476.43,  148.97,  538.54,,,,,  185.40, 1014.97,    104987, 1200.36,  404.92,    5.09,  402.37,    1.68,,,,,  807.29,    6.77,     54558,  814.06,    992.68,   1021.74,   2014.42
2023-09-18,11:58:20.128,   37.61,  516.97,  151.42,  578.06,,,,,  189.02, 1095.04,    105082, 1284.06,  456.67,    7.99,  453.50,    4.60,,,,,  910.18,   12.59,     54670,  922.77,   1099.20,   1107.62,   2206.83
2023-09-18,11:58:21.129,   16.54,  512.51,   68.99,  542.18,,,,,   85.54, 1054.69,    104976, 1140.22,  438.28,    5.03,  433.69,    1.65,,,,,  871.97,    6.68,     54677,  878.65,    957.51,   1061.36,   2018.87
2023-09-18,11:58:22.129,   17.95,  509.45,   74.76,  541.27,,,,,   92.71, 1050.72,    104862, 1143.44,  425.21,    4.83,  417.30,    1.44,,,,,  842.51,    6.28,     54434,  848.79,    935.22,   1057.00,   1992.22
2023-09-18,11:58:23.129,   65.02,  493.23,  249.51,  585.98,,,,,  314.53, 1079.21,    105437, 1393.74,  493.28,   15.79,  487.93,   12.36,,,,,  981.21,   28.15,     54852, 1009.36,   1295.74,   1107.36,   2403.10
2023-09-18,11:58:24.129,    8.27,  531.56,   36.67,  546.94,,,,,   44.94, 1078.49,    104853, 1123.44,  453.16,    5.61,  449.31,    2.24,,,,,  902.47,    7.84,     54624,  910.31,    947.41,   1086.34,   2033.75
2023-09-18,11:58:25.130,    7.72,  528.66,   34.11,  542.75,,,,,   41.83, 1071.41,    104945, 1113.24,  438.31,    5.48,  433.64,    2.12,,,,,  871.95,    7.60,     54636,  879.55,    913.79,   1079.01,   1992.79
2023-09-18,11:58:26.129,    7.50,  526.28,   34.04,  540.39,,,,,   41.54, 1066.67,    104827, 1108.21,  439.71,    5.32,  432.91,    1.95,,,,,  872.61,    7.27,     54594,  879.88,    914.16,   1073.93,   1988.09
2023-09-18,11:58:27.130,    6.56,  525.37,   30.24,  537.93,,,,,   36.81, 1063.30,    104932, 1100.10,  428.07,    4.52,  420.39,    1.14,,,,,  848.46,    5.65,     54632,  854.11,    885.26,   1068.95,   1954.22
2023-09-18,11:58:28.130,    6.72,  523.27,   30.51,  535.98,,,,,   37.23, 1059.24,    104831, 1096.47,  417.66,    4.68,  410.51,    1.31,,,,,  828.17,    6.00,     54580,  834.17,    865.40,   1065.24,   1930.64
2023-09-18,11:58:29.130,    6.19,  508.25,   28.54,  520.23,,,,,   34.73, 1028.48,    104944, 1063.22,  401.56,    4.74,  393.96,    1.35,,,,,  795.53,    6.09,     54335,  801.62,    830.26,   1034.57,   1864.83
2023-09-18,11:58:30.130,   49.81,  483.78,  202.98,  560.29,,,,,  252.79, 1044.07,    105257, 1296.86,  411.06,    6.16,  404.57,    2.78,,,,,  815.62,    8.94,     54471,  824.57,   1068.41,   1053.01,   2121.42
2023-09-18,11:58:31.131,   42.91,  475.71,  175.32,  540.58,,,,,  218.23, 1016.28,    105364, 1234.52,  404.06,    4.70,  396.78,    1.29,,,,,  800.83,    5.99,     54451,  806.82,   1019.06,   1022.27,   2041.34
2023-09-18,11:58:32.131,   41.62,  475.23,  168.98,  537.88,,,,,  210.60, 1013.11,    105270, 1223.71,  406.35,    4.81,  399.77,    1.42,,,,,  806.12,    6.23,     54412,  812.35,   1016.72,   1019.34,   2036.06
2023-09-18,11:58:33.130,   69.61,  466.39,  267.96,  564.95,,,,,  337.58, 1031.34,    105512, 1368.92,  444.07,   14.80,  438.61,   11.32,,,,,  882.67,   26.12,     54647,  908.79,   1220.25,   1057.46,   2277.71
2023-09-18,11:58:34.130,   50.62,  486.85,  204.76,  563.31,,,,,  255.38, 1050.16,    105434, 1305.54,  444.11,    5.54,  441.94,    2.17,,,,,  886.06,    7.71,     54734,  893.77,   1141.44,   1057.87,   2199.31
2023-09-18,11:58:35.130,   46.96,  483.85,  191.77,  555.05,,,,,  238.73, 1038.90,    105331, 1277.63,  422.65,    4.83,  421.89,    1.42,,,,,  844.54,    6.24,     54369,  850.78,   1083.27,   1045.14,   2128.41
