Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1695135149,Device: id=0,TX,0.28175266314619,2317.1670756651,2362.2475017685,288093,296165128
1695135150,Device: id=0,TX,0.1670211970025,1373.5588017455,1400.2821932659,456006,468776736
1695135151,Device: id=0,TX,0.39058078180906,3212.1209261197,3274.6138512091,846600,870305440
1695135152,Device: id=0,TX,0.60793880489963,4999.6568609202,5096.9270697042,1454566,1495290504
1695135153,Device: id=0,TX,0.60794070682668,4999.6971736566,5096.9676867488,2062567,2120314632
1695135154,Device: id=0,TX,0.60794074022851,4999.6974483529,5096.9679667894,2670568,2745338760
1695135155,Device: id=0,TX,0.60794131740749,4999.7021946989,5096.9728054841,3278538,3370331020
1695135156,Device: id=0,TX,0.60794067540631,4999.6969152559,5096.9674233209,3886539,3995355148
1695135157,Device: id=0,TX,0.75309110130791,6193.4798066745,6313.9743828838,4639662,4769572916
1695135158,Device: id=0,TX,0.87249994197246,7175.4076523908,7315.0076431064,5512206,5666544164
1695135159,Device: id=0,TX,0.87016968934764,7156.4492519351,7295.6764022307,6382382,6561106808
1695135160,Device: id=0,TX,0.87031690967808,7157.2405836148,7296.4912891633,7252750,7455814400
1695135161,Device: id=0,TX,0.87028716297522,7157.2426522849,7296.4885983609,8123057,8350490124
1695135162,Device: id=0,TX,0.86915897240806,7147.9479660603,7287.0134016456,8992271,9244040188
1695135163,Device: id=0,TX,0.87029718486706,7157.3250722999,7296.5726218786,9862608,10138746752
1695135164,Device: id=0,TX,0.87035913206331,7157.826302435,7297.0837635651,10733009,11033518080
1695135165,Device: id=0,TX,0.87055590685897,7159.4363546831,7298.7252997805,11603603,11928486784
1695135166,Device: id=0,TX,0.86998079147831,7154.7230531138,7293.9199797504,12473587,12822830464
1695135167,Device: id=0,TX,0.73150157236684,6015.8617316904,6132.9019832691,13205144,13574870160
1695135168,Device: id=0,TX,0.61597660257393,5065.7761561038,5164.3324125156,13821142,14208114176
1695135169,Device: id=0,TX,0.61633299498702,5068.7235747417,5167.3368539396,14437494,14841724160
1695135170,Device: id=0,TX,0.6163354190693,5068.7270636916,5167.3407307427,15053880,15475367040
1695135171,Device: id=0,TX,0.61633447224257,5068.7275003131,5167.341015872,15670265,16109009920
1695135172,Device: id=0,TX,0.61633412893345,5068.7329002659,5167.3463608952,16286649,16742652800
1695135173,Device: id=0,TX,0.61633497454875,5068.723407165,5167.3370030928,16903003,17376262784
1695135174,Device: id=0,TX,0.61633421215759,5068.7335847013,5167.3470586465,17519387,18009905664
1695135175,Device: id=0,TX,0.61633161680901,5068.6957939732,5167.3088526626,18135772,18643547516
1695135176,Device: id=0,TX,0.61633749996825,5068.7524003054,5167.3664003003,18752158,19277191424
1695135177,Device: id=0,TX,0.76396251203275,6282.8204992823,6405.0545012076,19516155,20062579440
1695135178,Device: id=0,TX,0.88583368600233,7285.0890339052,7426.8224236656,20402016,20973243648
1695135179,Device: id=0,TX,0.88631092350386,7289.0220588668,7430.8318066274,21288352,21884397184
1695135180,Device: id=0,TX,0.88647580160447,7290.3615688336,7432.1976970903,22174853,22795718284
1695135181,Device: id=0,TX,0.88646671770666,7290.2950868767,7432.1297617097,23061376,23707063028
1695135182,Device: id=0,TX,0.88647405140004,7290.3636226482,7432.1994708722,23947907,24618417024
1695135183,Device: id=0,TX,0.88646050201467,7290.2439685971,7432.0776489194,24834371,25529701116
1695135184,Device: id=0,TX,0.88647907894554,7290.3967454018,7432.2333980331,25720869,26441020160
1695135185,Device: id=0,TX,0.88646861730208,7290.3107091827,7432.1456879511,26607398,27352371072
1695135186,Device: id=0,TX,0.88647210890344,7290.3394240839,7432.1749615085,27493927,28263721984
1695135187,Device: id=0,TX,0.9919352544578,8157.6683326736,8316.3779733869,28485864,29283432320
1695135188,Device: id=0,TX,1.0778491042228,8864.2156092267,9036.6714659024,29563720,30391466360
1695135189,Device: id=0,TX,1.079066543204,8874.2442753025,9046.8949222152,30642794,31500754560
1695135190,Device: id=0,TX,1.0793717803191,8876.7463214855,9049.4458063366,31722187,32610369664
1695135191,Device: id=0,TX,1.0793623209078,8876.6603040556,9049.3582754008,32801613,33720017664
1695135192,Device: id=0,TX,1.0793766654466,8876.7947206183,9049.4949870897,33881005,34829632768
1695135193,Device: id=0,TX,1.0793535252657,8876.596192048,9049.2927560905,34960398,35939247872
1695135194,Device: id=0,TX,1.0793708735087,8876.7306405232,9049.4299802845,36039824,37048895872
1695135195,Device: id=0,TX,1.0793572557406,8876.6350951774,9049.3322560959,37119216,38158510976
1695135196,Device: id=0,TX,1.0793557962328,8876.6066443073,9049.3035717045,38198578,39268093184
1695135197,Device: id=0,TX,0.76733144215089,6310.5265811173,6433.2996118615,38966002,40057004156
1695135198,Device: id=0,TX,0.50892545638563,4185.4039772419,4266.8320502636,39474964,40580217220
1695135199,Device: id=0,TX,0.50874289957862,4183.8861838958,4265.2850478284,39983765,41103262720
1695135200,Device: id=0,TX,0.50892741275637,4185.4200664429,4266.8484524839,40492725,41626473728
1695135201,Device: id=0,TX,0.50892897075886,4185.4164315521,4266.8450668735,41001655,42149651840
1695135202,Device: id=0,TX,0.50892696668668,4185.4081745127,4266.8364891826,41510616,42672862848
1695135203,Device: id=0,TX,0.50892782296998,4185.4234401047,4266.8518917799,42019544,43196040960
1695135204,Device: id=0,TX,0.50892714723039,4185.409658849,4266.8380024058,42528473,43719219072
1695135205,Device: id=0,TX,0.50892870858087,4185.414276378,4266.8428697509,43037435,44242430080
1695135206,Device: id=0,TX,0.50892699161777,4185.4166030625,4266.8449217214,43546363,44765608192
1695135207,Device: id=0,TX,0.58674231761451,4825.3616205609,4919.2403913792,44133146,45368820216
1695135208,Device: id=0,TX,0.65132998133721,5356.5305668822,5460.7433638962,44784509,46038420480
1695135209,Device: id=0,TX,0.65129465452345,5356.2318156379,5460.4389603616,45435839,46707985792
1695135210,Device: id=0,TX,0.65134223877039,5356.6395956197,5460.854353823,46087199,47377584000
1695135211,Device: id=0,TX,0.65134282990189,5356.6280095671,5460.8428623514,46738561,48047182208
1695135212,Device: id=0,TX,0.65134258756498,5356.6342403379,5460.8490543483,47389922,48716780416
1695135213,Device: id=0,TX,0.65134226060774,5356.6397752102,5460.8545369074,48041282,49386378624
1695135214,Device: id=0,TX,0.65134279562942,5356.6277277111,5460.8425750118,48692644,50055976832
1695135215,Device: id=0,TX,0.65134228062532,5356.6399398348,5460.8547047348,49344004,50725575040
1695135216,Device: id=0,TX,0.6513445359479,5356.6420400727,5460.8571658244,49995367,51395174276
1695135217,Device: id=0,TX,0.59686260282973,4908.5908456765,5004.0888621293,50592230,52008748540
1695135218,Device: id=0,TX,0.55184388529153,4538.3651365835,4626.6601582301,51144103,52576074112
1695135219,Device: id=0,TX,0.55156403030078,4536.0471627027,4624.2974075508,51695721,53143135488
1695135220,Device: id=0,TX,0.55184314877555,4538.3590794172,4626.6539832213,52247625,53710492928
1695135221,Device: id=0,TX,0.55181214363606,4538.0876469917,4626.3775899735,52799499,54277817472
1695135222,Device: id=0,TX,0.55184009684678,4538.3339804087,4626.6283959042,53351371,54845142016
1695135223,Device: id=0,TX,0.55184412592525,4538.3506684442,4626.6457285923,53903245,55412466560
1695135224,Device: id=0,TX,0.55180542190024,4538.0405901587,4626.3294576627,54455085,55979757180
1695135225,Device: id=0,TX,0.55181513284556,4538.1286764145,4626.4190976698,55006958,56547082752
1695135226,Device: id=0,TX,0.55150527018983,4535.5639194039,4623.8047626343,55558512,57114078336
1695135227,Device: id=0,TX,0.64461115812119,5301.2831883428,5404.4209736422,56203152,57776768384
1695135228,Device: id=0,TX,0.72105536146198,5929.9520929992,6045.3209508331,56924241,58518046976
1695135229,Device: id=0,TX,0.72231786993242,5940.3349628339,6055.9058220231,57646610,59260641408
1695135230,Device: id=0,TX,0.72250066238068,5941.830024045,6057.4301300259,58369140,60003400320
1695135231,Device: id=0,TX,0.72250047795559,5941.8367312999,6057.4368077728,59091700,60746191100
1695135232,Device: id=0,TX,0.72250066944565,5941.8383058133,6057.4384129246,59814230,61488951040
1695135233,Device: id=0,TX,0.7225004254752,5941.8445230236,6057.4445910997,60536790,62231742848
1695135234,Device: id=0,TX,0.72250367033315,5941.8547614459,6057.4553486992,61259323,62974504844
1695135235,Device: id=0,TX,0.72249743547848,5941.8199332906,6057.4195229672,61981880,63717293568
1695135236,Device: id=0,TX,0.72249742429506,5941.8033948664,6057.4029827536,62704446,64460089488
1695135237,Device: id=0,TX,0.65190008444907,5361.2190945192,5465.5231080311,63356347,65130242816
1695135238,Device: id=0,TX,0.59378916472156,4883.3148907045,4978.3211570599,63950139,65740660092
1695135239,Device: id=0,TX,0.59373142288455,4882.8482457446,4977.8452734061,64543904,66351050640
1695135240,Device: id=0,TX,0.59295417910947,4876.4397450957,4971.3124137532,65136862,66960609536
1695135241,Device: id=0,TX,0.59359628622817,4881.7368819375,4976.712287734,65730460,67570828408
1695135242,Device: id=0,TX,0.5936934824099,4882.5279994059,4977.5189565915,66324159,68181150080
1695135243,Device: id=0,TX,0.59378873353671,4883.3113446576,4978.3175420235,66917952,68791568384
1695135244,Device: id=0,TX,0.59371935776922,4882.740798799,4977.7358960421,67511713,69401953792
1695135245,Device: id=0,TX,0.59372855789907,4882.8082361994,4977.8048054633,68105443,70012306304
1695135246,Device: id=0,TX,0.59361822535873,4881.9090855294,4976.8880015868,68699076,70622560128
1695135247,Device: id=0,TX,0.71330791162672,5866.2452891678,5980.374555028,69412419,71355876860
1695135248,Device: id=0,TX,0.81211491830041,6678.8258882451,6808.7642751732,70224550,72190746628
1695135249,Device: id=0,TX,0.81303464653995,6686.3815103653,6816.4670538117,71037649,73026610472
1695135250,Device: id=0,TX,0.8120853914034,6678.5830592261,6808.5167218507,71849771,73861470988
1695135251,Device: id=0,TX,0.81082884546317,6668.2492255255,6797.9818407996,72660649,74695052672
1695135252,Device: id=0,TX,0.81213840270561,6679.019024335,6808.9611687679,73472842,75529986176
1695135253,Device: id=0,TX,0.81213725046594,6679.0177717616,6808.9597318362,74285035,76364920708
1695135254,Device: id=0,TX,0.81196988865135,6677.6331648194,6807.5483470036,75097067,77199688704
1695135255,Device: id=0,TX,0.81206206803926,6678.3830236296,6808.3129545159,75909133,78034490624
1695135256,Device: id=0,TX,0.81204011098375,6678.2188966952,6808.1453144526,76721201,78869296656
1695135257,Device: id=0,TX,0.9875748475563,8121.8083463406,8279.8203219496,77708781,79884527996
1695135258,Device: id=0,TX,1.1328705954536,9316.7205773879,9497.9798726605,78841711,81049179136
1695135259,Device: id=0,TX,1.1329059104086,9317.0110073409,9498.2759530063,79974639,82213828220
1695135260,Device: id=0,TX,1.1314755022241,9305.2391065019,9486.2751868577,81106130,83376999040
1695135261,Device: id=0,TX,1.1327895855085,9316.0543512945,9497.3006849758,82238931,84541517568
1695135262,Device: id=0,TX,1.1320921959304,9310.3272433281,9491.4619946769,83371027,85705312384
1695135263,Device: id=0,TX,1.1332577616017,9319.9046317313,9501.2258735876,84504335,86870352108
1695135264,Device: id=0,TX,1.1334806759141,9321.7296550895,9503.0865632358,85637843,88035596404
1695135265,Device: id=0,TX,1.1327290208319,9315.5562673849,9496.792910718,86770582,89200051196
1695135266,Device: id=0,TX,1.13275029872,9315.7312570023,9496.9713047975,87903384,90364570752
1695135267,Device: id=0,TX,0.96796117217872,7960.5137039567,8115.3874915053,88871384,91359674880
1695135268,Device: id=0,TX,0.83187880946123,6841.3641292445,6974.4647387583,89703290,92214873348
1695135269,Device: id=0,TX,0.83202825370185,6842.5931587534,6975.7176793457,90535354,93070234240
1695135270,Device: id=0,TX,0.83381044817548,6857.2417026747,6990.6513743828,91369212,93927438336
1695135271,Device: id=0,TX,0.83485184624616,6865.8143837798,6999.3906791792,92204093,94785695104
1695135272,Device: id=0,TX,0.83495290435286,6866.6537093303,7000.2461740268,93039101,95644083456
1695135273,Device: id=0,TX,0.83482018031135,6865.5539634051,6999.1251922549,93873982,96502340224
1695135274,Device: id=0,TX,0.83495325098821,6866.6483363318,7000.2408564899,94708959,97360695680
1695135275,Device: id=0,TX,0.83495382925233,6866.6530922469,7000.2457049273,95543968,98219084032
1695135276,Device: id=0,TX,0.83495394044342,6866.6540066815,7000.2466371524,96378977,99077472384
1695135277,Device: id=0,TX,0.85742358867867,7051.4443934396,7188.6321676281,97236418,99958920832
1695135278,Device: id=0,TX,0.87591121069349,7203.4865969552,7343.6323906662,98112355,100859383168
1695135279,Device: id=0,TX,0.87591174409903,7203.4909839411,7343.6368629969,98988324,101759878400
1695135280,Device: id=0,TX,0.87349426597317,7183.6014201708,7323.3605027265,99861864,102657875592
1695135281,Device: id=0,TX,0.87145297635006,7166.822077784,7306.254554,100733351,103553763328
1695135282,Device: id=0,TX,0.87203364543879,7171.6057240541,7311.1311073243,101605414,104450244220
1695135283,Device: id=0,TX,0.87238705856174,7174.5039698671,7314.085899237,102477832,105347089024
1695135284,Device: id=0,TX,0.87238134264278,7174.4487385423,7314.0297533651,103350250,106243932800
1695135285,Device: id=0,TX,0.87214584749274,7172.5202499054,7312.0635855042,104222411,107140513408
1695135286,Device: id=0,TX,0.87297363106083,7179.3361658251,7319.0119467948,105095401,108037947256
1695135287,Device: id=0,TX,0.75891058171611,6241.2734240562,6362.6991171308,105854314,108818108920
1695135288,Device: id=0,TX,0.66621160979333,5478.9170792796,5585.5109368465,106520557,109503005824
1695135289,Device: id=0,TX,0.66595154993567,5476.7783466866,5583.3305946763,107186510,110187604608
1695135290,Device: id=0,TX,0.66656362336201,5481.8038159956,5588.4539957335,107853137,110872895236
1695135291,Device: id=0,TX,0.66662487856996,5482.3240253131,5588.9840058843,108519792,111558216704
1695135292,Device: id=0,TX,0.66662733552991,5482.3277841075,5588.9881577923,109186450,112243539200
1695135293,Device: id=0,TX,0.66662711904612,5482.3424509894,5589.0027900367,109853107,112928862724
1695135294,Device: id=0,TX,0.66662652120084,5482.3293110196,5588.9895544118,110519795,113614217088
1695135295,Device: id=0,TX,0.66663012760313,5482.3589697307,5589.0197901472,111186455,114299542668
1695135296,Device: id=0,TX,0.66662506884973,5482.3173665435,5588.9773775594,111853110,114984863108
1695135297,Device: id=0,TX,0.66878779644933,5500.0954150187,5607.1014624505,112521942,115672420476
1695135298,Device: id=0,TX,0.67056131147895,5514.6890256103,5621.9788354469,113192504,116361757312
1695135299,Device: id=0,TX,0.6705610150335,5514.6865883225,5621.9763507278,113863129,117051158912
1695135300,Device: id=0,TX,0.67056256434967,5514.6993295492,5621.9893398452,114533723,117740528644
1695135301,Device: id=0,TX,0.66880796724252,5500.2695232379,5607.2787979968,115202590,118428123020
1695135302,Device: id=0,TX,0.669717538913,5507.7498404447,5614.9046466708,115872347,119116632316
1695135303,Device: id=0,TX,0.66976871857242,5508.1789655009,5615.3419604725,116542141,119805180676
1695135304,Device: id=0,TX,0.66990224000071,5509.2688223328,5616.4531807329,117212096,120493893516
1695135305,Device: id=0,TX,0.66974639370192,5507.9789180949,5615.1383410872,117881855,121182403840
1695135306,Device: id=0,TX,0.67012840266217,5511.1287836612,5618.3493280872,118551999,121871310972
1695135307,Device: id=0,TX,0.72126283512167,5931.6665800149,6047.0686336343,119273280,122612787968
1695135308,Device: id=0,TX,0.7635520222193,6279.4446307408,6401.6129542958,120036833,123397719552
1695135309,Device: id=0,TX,0.76383987772998,6281.8119547635,6404.0263352003,120800706,124182980096
1695135310,Device: id=0,TX,0.76433859356206,6285.9051704109,6408.1993453809,121565092,124968766976
1695135311,Device: id=0,TX,0.76580640091256,6297.9846412892,6420.5136654352,122330918,125756035204
1695135312,Device: id=0,TX,0.7656290675916,6296.5262519009,6419.0269027156,123096550,126543104000
1695135313,Device: id=0,TX,0.76588515360453,6298.6405272385,6421.1821518152,123862439,127330438020
1695135314,Device: id=0,TX,0.76588663081554,6298.6362278747,6421.1780888052,124628328,128117769984
1695135315,Device: id=0,TX,0.76588462067577,6298.6361443903,6421.1776836984,125394248,128905135872
1695135316,Device: id=0,TX,0.76588684619839,6298.6379991991,6421.1798945908,126160138,129692468864
1695135317,Device: id=0,TX,0.96719349676947,7954.1921177262,8108.9430772093,127127371,130686783488
1695135318,Device: id=0,TX,1.1321318152911,9310.6448491395,9491.7859395861,128259532,131850644096
1695135319,Device: id=0,TX,1.1321608084296,9310.8832887294,9492.0290180781,129391725,133014537600
1695135320,Device: id=0,TX,1.1314933936277,9305.4026931728,9486.4416361532,130523242,134177737204
1695135321,Device: id=0,TX,1.1232562210246,9237.6519620378,9417.3729574017,131646550,135332496928
1695135322,Device: id=0,TX,1.1221257982197,9228.3553648361,9407.8954925512,132768719,136486085760
1695135323,Device: id=0,TX,1.1238086271019,9242.1949495123,9422.0043298486,133892563,137641396492
1695135324,Device: id=0,TX,1.1246338577348,9248.9734225207,9428.9148397582,135017234,138797556352
1695135325,Device: id=0,TX,1.1249328335766,9251.4404237188,9431.4296770911,136142227,139954048256
1695135326,Device: id=0,TX,1.1242243020299,9245.6216838658,9425.4975721906,137266482,141109782524
1695135327,Device: id=0,TX,1.051473231835,8647.3086589451,8815.5443760387,138318004,142190746240
1695135328,Device: id=0,TX,0.9923804367981,8161.3295126887,8320.1103825764,139310448,143210977772
1695135329,Device: id=0,TX,0.9914601409744,8153.7609996193,8312.3946221752,140301942,144230232704
1695135330,Device: id=0,TX,0.99229720178257,8160.6367638298,8319.404316115,141294263,145250336764
1695135331,Device: id=0,TX,0.99344036114012,8170.0545540157,8329.0050117981,142287704,146271594240
1695135332,Device: id=0,TX,0.99146629462667,8153.8033834096,8312.4379905499,143279196,147290846088
1695135333,Device: id=0,TX,0.99240421334134,8161.5250508223,8320.3097249569,144271642,148311079676
1695135334,Device: id=0,TX,0.99164674651656,8155.2956436082,8313.9591230508,145263324,149330527872
1695135335,Device: id=0,TX,0.99211411306859,8159.1392659769,8317.8775240678,146255452,150350434556
1695135336,Device: id=0,TX,0.99183860106651,8156.8734554207,8315.5676315914,147247325,151370079100
1695135337,Device: id=0,TX,1.0675970062628,8779.9188034552,8950.7343244572,148314974,152467622400
1695135338,Device: id=0,TX,1.1297226519917,9290.8318900134,9471.5875143321,149444702,153628981884
1695135339,Device: id=0,TX,1.1294961302195,9288.9689751922,9469.6883560273,150574240,154790146048
1695135340,Device: id=0,TX,1.1302099724466,9294.8396137957,9475.6732093871,151704512,155952064764
1695135341,Device: id=0,TX,1.1299438956374,9292.6431738191,9473.4341971211,152834463,157113652464
1695135342,Device: id=0,TX,1.1340884571912,9326.7444958914,9508.198649042,153968606,158279551596
1695135343,Device: id=0,TX,1.1364082369284,9345.8141407892,9527.6394586977,155105060,159447825408
1695135344,Device: id=0,TX,1.137272907957,9352.9251950896,9534.8888603627,156242341,160616949376
1695135345,Device: id=0,TX,1.1373047240126,9353.1786268262,9535.1473826682,157379686,161786138108
1695135346,Device: id=0,TX,1.1373003385773,9353.1507847428,9535.1188389152,158517031,162955327868
1695135347,Device: id=0,TX,0.95756012000919,7874.9754509118,8028.1850701133,159474632,163939741824
1695135348,Device: id=0,TX,0.81058799349821,6666.2602352334,6795.9543141931,160285257,164773062396
1695135349,Device: id=0,TX,0.81058694404845,6666.2680518468,6795.9619628945,161095850,165606352128
1695135350,Device: id=0,TX,0.81058776638825,6666.2583675045,6795.9524101266,161906476,166439673728
1695135351,Device: id=0,TX,0.81058708752687,6666.2692317743,6795.9631657786,162717100,167272995328
1695135352,Device: id=0,TX,0.81057020982971,6666.1139827201,6795.8052162929,163527727,168106317956
1695135353,Device: id=0,TX,0.81023786148397,6663.3889728632,6793.0270307006,164337967,168939243776
1695135354,Device: id=0,TX,0.81058668302095,6666.2576815046,6795.951550788,165148592,169772565376
1695135355,Device: id=0,TX,0.81058732089673,6666.2629273894,6795.9568987329,165959217,170605886976
1695135356,Device: id=0,TX,0.81058753452873,6666.2646842971,6795.9586898217,166769842,171439208576
1695135357,Device: id=0,TX,1.0208898847139,8395.7994358753,8559.1418174295,167790744,172488695960
1695135358,Device: id=0,TX,1.1924700268845,9806.8663013573,9997.6615056588,168983257,173714598424
1695135359,Device: id=0,TX,1.1925306365984,9807.3565319975,9998.1614338533,170175835,174940566680
1695135360,Device: id=0,TX,1.1926711802579,9808.5288104406,9999.3561992819,171368507,176166633624
1695135361,Device: id=0,TX,1.1925761096345,9807.7305016583,9998.5426791998,172561085,177392601880
1695135362,Device: id=0,TX,1.1867003235736,9759.4244850244,9949.2965367962,173747837,178612583064
1695135363,Device: id=0,TX,1.1826498578872,9726.097007788,9915.32098505,174930527,179828386456
1695135364,Device: id=0,TX,1.1851527672724,9746.6973819933,9936.3218247569,176115743,181046788632
1695135365,Device: id=0,TX,1.1851026916628,9746.2773365402,9935.8937672062,177300896,182265125016
1695135366,Device: id=0,TX,1.1851412412158,9746.5943678366,9936.2169664311,178486050,183483462428
1695135367,Device: id=0,TX,1.0106478216581,8311.552261853,8473.2559133183,179496733,184522442624
1695135368,Device: id=0,TX,0.86762965136174,7135.3872767773,7274.2080209952,180364381,185414384896
1695135369,Device: id=0,TX,0.86781246360867,7136.8825012199,7275.7324953973,181232254,186306557440
1695135370,Device: id=0,TX,0.86723315947888,7132.1183038186,7270.8756093352,182099519,187198104960
1695135371,Device: id=0,TX,0.86757764361276,7134.9431172021,7273.7555401801,182967104,188089980412
1695135372,Device: id=0,TX,0.86923986735865,7148.6296931456,7287.708071923,183836354,188983569540
1695135373,Device: id=0,TX,0.86646319265137,7125.7778725394,7264.4119833636,184702827,189874301856
1695135374,Device: id=0,TX,0.86728223369033,7132.5218899171,7271.2870473076,185570115,190765873020
1695135375,Device: id=0,TX,0.86775469712378,7136.4074293393,7275.2481808791,186437893,191657947904
1695135376,Device: id=0,TX,0.86757728314331,7134.9483766263,7273.7607419292,187305477,192549823356
1695135377,Device: id=0,TX,0.82819876763821,6811.0994655629,6943.611268385,188133734,193401270652
1695135378,Device: id=0,TX,0.79624604861357,6548.3285277839,6675.727895562,188929991,194219822976
1695135379,Device: id=0,TX,0.79615556205208,6547.5761426549,6674.9610325832,189726184,195038308480
1695135380,Device: id=0,TX,0.79602751877278,6546.5231147263,6673.88751773,190522249,195856662400
1695135381,Device: id=0,TX,0.79603527039515,6546.5786403251,6673.9442835884,191318315,196675016320
1695135382,Device: id=0,TX,0.79706758860458,6555.0848726578,6682.6156868346,192115403,197494422912
1695135383,Device: id=0,TX,0.794806272231,6536.4795829521,6663.6485865091,192910223,198311496972
1695135384,Device: id=0,TX,0.79475230807903,6536.0275582375,6663.1879275302,193705006,199128531968
1695135385,Device: id=0,TX,0.79536368742971,6541.0637656783,6668.321955667,194500398,199946194044
1695135386,Device: id=0,TX,0.79528699477365,6540.4330451182,6667.6789642819,195295696,200763759488
1695135387,Device: id=0,TX,0.63811651516898,5247.8712447056,5349.9698871326,195933840,201419771648
1695135388,Device: id=0,TX,0.50975890671904,4192.2418259192,4273.8032509942,196443634,201943837952
1695135389,Device: id=0,TX,0.50943758761441,4189.6157444718,4271.1257584901,196953106,202467575296
