Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1695237466,Device: id=1,RX,0.036763591366947,302.34377540178,308.22595002049,39581,40689268
1695237467,Device: id=1,RX,0.17983608339941,1478.9810602897,1507.7548336336,222133,228353880
1695237468,Device: id=1,RX,0.53415076112795,4392.8404368225,4478.3045586029,756329,777505440
1695237469,Device: id=1,RX,0.60781474398396,4998.7270453426,5095.9774043801,1364156,1402358920
1695237470,Device: id=1,RX,0.60780707495516,4998.5241755025,5095.7733074953,1972016,2027228848
1695237471,Device: id=1,RX,0.60791889959003,4999.5260541979,5096.7930781323,2579953,2652188212
1695237472,Device: id=1,RX,0.60791813405013,4999.5115350069,5096.778436455,3187920,3277177388
1695237473,Device: id=1,RX,0.6079187957012,4999.5498710772,5096.8168783894,3795857,3902139836
1695237474,Device: id=1,RX,0.77187770527805,6347.8739298527,6471.3743626972,4567761,4695651108
1695237475,Device: id=1,RX,0.87812179405255,7221.6828816962,7362.1823687446,5445939,5598419248
1695237476,Device: id=1,RX,0.87808030780666,7221.3745925852,7361.8674418343,6324078,6501151408
1695237477,Device: id=1,RX,0.87812679883214,7221.6418061837,7362.1420939968,7202260,7403913380
1695237478,Device: id=1,RX,0.87812105023306,7221.6603174606,7362.1596854979,8080423,8306664044
1695237479,Device: id=1,RX,0.87811226805132,7221.5880929356,7362.0860558238,8958594,9209422932
1695237480,Device: id=1,RX,0.8688816242679,7145.6752783801,7284.6963382629,9827524,10102682072
1695237481,Device: id=1,RX,0.87516938331857,7197.39403241,7337.421133741,10702695,11002357988
1695237482,Device: id=1,RX,0.87818743921256,7222.1980770072,7362.7080672812,11580935,11905186780
1695237483,Device: id=1,RX,0.87828320731338,7223.0021208837,7363.5274340538,12459271,12808116316
1695237484,Device: id=1,RX,1.0367257336308,8526.0252335551,8691.901350936,13496022,13873895444
1695237485,Device: id=1,RX,1.1181737909414,9195.8540568191,9374.7618633697,14614214,15023395920
1695237486,Device: id=1,RX,1.1413399548898,9386.3643657845,9568.9787585668,15755611,16196750108
1695237487,Device: id=1,RX,1.1416443072282,9388.8755829138,9571.5386720703,16897298,17370403444
1695237488,Device: id=1,RX,1.1419507881445,9391.4043056528,9574.116431756,18039302,18544383684
1695237489,Device: id=1,RX,1.1384040882053,9362.228021438,9544.3726755508,19177712,19714668264
1695237490,Device: id=1,RX,1.0066695115239,8278.8428630267,8439.9099848705,20184417,20749560104
1695237491,Device: id=1,RX,1.1412027222337,9385.2357639912,9567.8281995486,21325645,21922740560
1695237492,Device: id=1,RX,1.1423416139539,9394.6184571499,9577.3931153825,22467994,23097075460
1695237493,Device: id=1,RX,1.1423724186857,9394.8553475222,9577.6349345119,23610385,24271451480
1695237494,Device: id=1,RX,0.96601644860884,7944.5120734228,8099.0747052002,24576410,25264524280
1695237495,Device: id=1,RX,0.85083487310701,6997.2670203765,7133.4006000736,25427291,26139230076
1695237496,Device: id=1,RX,0.85079721420852,6996.9490898183,7133.0766440916,26278108,27013869052
1695237497,Device: id=1,RX,0.85083777593765,6997.2826696685,7133.4167138185,27128988,27888572792
1695237498,Device: id=1,RX,0.85083514967421,6997.2610712833,7133.3946952312,27979866,28763274476
1695237499,Device: id=1,RX,0.85084108835974,6997.3099110337,7133.4444851712,28830750,29637982328
1695237500,Device: id=1,RX,0.83490498324569,6866.2431583422,6999.8279556615,29665662,30496269936
1695237501,Device: id=1,RX,0.85136408997033,7001.6110762704,7137.8293306656,30517068,31371514404
1695237502,Device: id=1,RX,0.85083811743235,6997.2854781266,7133.4195769157,31367949,32246219172
1695237503,Device: id=1,RX,0.85083745897771,6997.2800630011,7133.4140564375,32218830,33120923940
1695237504,Device: id=1,RX,0.97667411167391,8032.1606948404,8188.4285527082,33195563,34125004564
1695237505,Device: id=1,RX,1.0582908602399,8703.3768346618,8872.7033723002,34253861,35212934008
1695237506,Device: id=1,RX,1.0580963714398,8701.7855827166,8871.0810021469,35311962,36300661964
1695237507,Device: id=1,RX,1.0582440293118,8702.9916974002,8872.3107420901,36370256,37388587296
1695237508,Device: id=1,RX,1.0583921094978,8704.2095087134,8873.5522462331,37428678,38476644212
1695237509,Device: id=1,RX,1.05821012449,8702.7046406927,8872.0182606111,38486949,39564544872
1695237510,Device: id=1,RX,1.0583724241019,8704.0558397806,8873.3954276369,39545356,40652587396
1695237511,Device: id=1,RX,0.98112795478915,8068.7891004652,8225.7695732314,40526522,41661225144
1695237512,Device: id=1,RX,1.0576950297632,8698.4767248405,8867.7079296026,41584227,42748544984
1695237513,Device: id=1,RX,1.0580086688353,8701.0478687979,8870.3292558115,42642256,43836196868
1695237514,Device: id=1,RX,1.1201313714984,9211.9531992842,9391.174218724,43762400,44987704000
1695237515,Device: id=1,RX,1.1614263435046,9551.5712729593,9737.3994879201,44923852,46181676784
1695237516,Device: id=1,RX,1.1611227780167,9549.0583024785,9734.8379469612,46084980,47375314440
1695237517,Device: id=1,RX,1.1611777660185,9549.5187480972,9735.3071906601,47246216,48569064148
1695237518,Device: id=1,RX,1.1615609815069,9552.6785358736,9738.5282929147,48407821,49763194216
1695237519,Device: id=1,RX,1.1615348864882,9552.4474831042,9738.2930649423,49569403,50957298584
1695237520,Device: id=1,RX,1.1614458310089,9551.72331433,9737.5546472914,50730867,52151282676
1695237521,Device: id=1,RX,1.0445344415768,8590.2440475383,8757.3695581906,51775403,53225064784
1695237522,Device: id=1,RX,1.1609062339021,9547.285667771,9733.0306651953,52936335,54418501980
1695237523,Device: id=1,RX,1.1614554040114,9551.8020428907,9737.6349075325,54097839,55612527192
