Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1710462938,Device: id=1,RX,0,0,0,0,0
1710462939,Device: id=1,RX,0.15653828572573,442.83779347444,467.88391919056,156541,55355684
1710462940,Device: id=1,RX,0.41179156847173,1162.014260982,1227.9009119374,568351,200613968
1710462941,Device: id=1,RX,0.88290233409291,2499.9162160102,2641.180589465,1451295,513118242
1710462942,Device: id=1,RX,0.88419998356157,2499.9193524072,2641.3913497771,2335517,825615942
1710462943,Device: id=1,RX,0.88164256112488,2499.9112556566,2640.9740654366,3217218,1138125562
1710462944,Device: id=1,RX,0.88725450497537,2499.9079188374,2641.8686396335,4104543,1450638880
1710462945,Device: id=1,RX,0.88244928998263,2499.9312402603,2641.1231266575,4987006,1763135140
1710462946,Device: id=1,RX,0.884910628872,2499.911016242,2641.4967168615,5871970,2075642864
1710462947,Device: id=1,RX,0.88479036694865,2499.9219043203,2641.4883630321,6756802,2388147806
1710462948,Device: id=1,RX,0.88320119690616,2499.9505877923,2641.2627792973,7640013,2700645098
1710462949,Device: id=1,RX,0.88234262941052,2498.3784885742,2639.5533092799,8522394,3012955990
1710462950,Device: id=1,RX,0.88273793897168,2499.9192991056,2641.1573693411,9405142,3325449464
1710462951,Device: id=1,RX,0.88499225281724,2499.9143746191,2641.5131350699,10290169,3637951030
1710462952,Device: id=1,RX,0.88322019569762,2499.9289008512,2641.2441321629,11173438,3950459410
1710462953,Device: id=1,RX,0.88391519213896,2499.909270283,2641.3357010252,12057376,4262956132
1710462954,Device: id=1,RX,0.87561168546063,2472.9161932046,2613.0140628783,12933018,4572081358
1710462955,Device: id=1,RX,0.83071721382845,2351.4924398602,2484.4071940727,13763743,4866020668
1710462956,Device: id=1,RX,0.8318911457595,2351.5043742571,2484.6069575786,14595648,5159963610
1710462957,Device: id=1,RX,0.83076227170103,2351.4691116118,2484.3910750839,15426425,5453902460
1710462958,Device: id=1,RX,0.83117330281909,2351.5002310481,2484.4879594992,16257603,5747841650
1710462959,Device: id=1,RX,0.830894504043,2348.9276579897,2481.8707786365,17088502,6041459196
1710462960,Device: id=1,RX,0.83349723808544,2351.4936159832,2484.8531740769,17922002,6335396872
1710462961,Device: id=1,RX,0.83299181626803,2350.8697136693,2484.1484042722,18755003,6629258826
1710462962,Device: id=1,RX,0.83106854647307,2350.6963985481,2483.6673659838,19586100,6923105936
1710462963,Device: id=1,RX,0.83129513213773,2351.5042582798,2484.5114794218,20417433,7217057358
1710462964,Device: id=1,RX,0.83152607809761,2351.4911149527,2484.5352874483,21248986,7511003264
1710462965,Device: id=1,RX,0.8312267678964,2351.493665196,2484.4899480595,22080245,7804951370
1710462966,Device: id=1,RX,0.83086143392207,2351.4905334214,2484.4283628489,22911164,8098908052
1710462967,Device: id=1,RX,0.83057924496149,2351.505345242,2484.3980244358,23741757,8392851088
1710462968,Device: id=1,RX,0.83107973812876,2351.4799690742,2484.4527271748,24572858,8686793604
1710462969,Device: id=1,RX,0.83379189732851,2351.5078021825,2484.9145057551,25406651,8980732468
1710462970,Device: id=1,RX,0.83247991143358,2349.7021584239,2482.8989442533,26239164,9274456912
1710462971,Device: id=1,RX,0.83168716106769,2351.4891895309,2484.5591353017,27070899,9568409968
1710462972,Device: id=1,RX,0.83045828966924,2351.3980527939,2484.2713791409,27901387,9862345240
1710462973,Device: id=1,RX,0.83203278636569,2351.4961493851,2484.6213952036,28733492,10156307770
1710462974,Device: id=1,RX,0.86528093963408,2447.0404645931,2585.4854149346,29598796,10462195980
1710462975,Device: id=1,RX,1.0180134673247,2875.2697151971,3038.151869969,30616821,10821608766
1710462976,Device: id=1,RX,1.0160680930808,2874.5646534686,3037.1355483615,31632963,11180955484
1710462977,Device: id=1,RX,1.0154003634852,2875.2401823603,3037.7042405179,32648366,11540361440
1710462978,Device: id=1,RX,1.0179739525431,2875.2648565869,3038.1406889938,33666391,11899787570
1710462979,Device: id=1,RX,1.0170145034737,2874.6259780176,3037.3482985734,34683407,12259116346
1710462980,Device: id=1,RX,1.0182218605536,2873.3515529858,3036.2670506744,35701665,12618298038
1710462981,Device: id=1,RX,1.0151405084665,2875.2613648373,3037.6838461919,36716835,12977716150
1710462982,Device: id=1,RX,1.0144114021784,2875.2427784485,3037.548602797,37731270,13337129858
1710462983,Device: id=1,RX,1.0158629322656,2875.2434021557,3037.7814713182,38747197,13696557950
1710462984,Device: id=1,RX,1.0159707758125,2875.2636431837,3037.8189673137,39763204,14055978720
1710462985,Device: id=1,RX,1.0158008133486,2875.2367888384,3037.7649189742,40779073,14415407444
1710462986,Device: id=1,RX,1.0158650943016,2875.2717424958,3037.8101575841,41794950,14774820624
