,input_rate,output_rate,latency,bridge_instructions,bridge_branches,bridge_branch-misses,bridge_branch-load-misses,bridge_cache-misses,bridge_cache-references,bridge_cycles,bridge_L1-dcache-load-misses,bridge_L1-dcache-loads,bridge_LLC-load-misses,bridge_LLC-stores,bridge_LLC-loads,bridge_mem-stores,bridge_iTLB-loads,bridge_mem-loads,bridge_bus-cycles
0,4772.6159937397,0.0,103.104,993021358.0,164507798.0,696031.0,749803.0,16264.0,1804801.0,403052901.0,2330964.0,353862982.0,1062.0,1214703.0,1444232.0,0.0,286.0,0.0,15510908.0
1,5589.3459772036,4206.402486372,25.696,6960754676.0,1373114243.0,6475892.0,6473675.0,3613.0,18067057.0,2592425239.0,18694134.0,2152379419.0,1478.0,8061904.0,9982747.0,0.0,50.0,0.0,99706250.0
2,5748.7535241729,5706.618314749,17.84,6948736951.0,1370626646.0,6880791.0,6887694.0,2362.0,18151071.0,2592210979.0,18713555.0,2158534238.0,913.0,8006258.0,9838508.0,0.0,138.0,0.0,99699452.0
3,5748.9385316924,5727.5959171847,20.138,6969561838.0,1373157460.0,6528771.0,6529942.0,975.0,18137343.0,2592370880.0,18668597.0,2146613515.0,709.0,8086870.0,9830698.0,0.0,0.0,0.0,99705215.0
4,5748.3068303366,5744.0993625477,20.173,6989666702.0,1366839279.0,6490388.0,6488491.0,839.0,18192293.0,2592458157.0,18676129.0,2155348148.0,875.0,8209710.0,9981915.0,0.0,0.0,0.0,99708251.0
5,5748.3373850287,5736.7859888796,296.71,7034020123.0,1373287228.0,6757195.0,6751531.0,800.0,18254884.0,2592348611.0,18721594.0,2152034019.0,838.0,8220113.0,9972752.0,0.0,28.0,0.0,99704506.0
6,5744.1032371603,5723.0407637845,15000.0,6644918592.0,1266616518.0,6551463.0,6566899.0,9494.0,16562129.0,2591106162.0,17794956.0,2151864235.0,1737.0,7978881.0,9714839.0,0.0,317.0,0.0,99687586.0
7,5629.7359245105,4603.3844641134,15000.0,6935801342.0,1361380214.0,6863141.0,6815670.0,4719.0,18322374.0,2592609647.0,18534982.0,2143582111.0,2379.0,8424954.0,10337949.0,0.0,750.0,0.0,99705651.0
8,5979.2108307589,5606.8228883961,674.586,6666840508.0,1308479471.0,6224970.0,6223185.0,2776.0,20093392.0,2592487934.0,20499485.0,2031358513.0,3776.0,8931084.0,10943233.0,0.0,139.0,0.0,99709171.0
9,8034.9813206321,5246.6575479,262.009,6344850259.0,1243970676.0,5804457.0,5791444.0,4784.0,21461232.0,2592408017.0,22119422.0,1931832001.0,5243.0,9988519.0,11844202.0,0.0,50.0,0.0,99708721.0
10,8031.4065859765,6324.481978018,618.749,6255768975.0,1229689888.0,5993012.0,5633773.0,4919.0,21661354.0,2592245295.0,22409263.0,1924797958.0,4126.0,10034110.0,11756078.0,0.0,136.0,0.0,99702834.0
11,7985.0702093602,7023.2698436675,22.64,6228365137.0,1223936001.0,5930749.0,6248464.0,3866.0,21696582.0,2592398265.0,22377783.0,1906111306.0,3529.0,9839129.0,11842105.0,0.0,68.0,0.0,99707003.0
12,8040.8006899608,7607.7807038877,583.264,6171222184.0,1214467405.0,6270360.0,5854154.0,2918.0,21854862.0,2592384344.0,22461879.0,1911213800.0,2976.0,10017734.0,11880129.0,0.0,117.0,0.0,99706555.0
13,8039.2861815092,8010.8776012233,571.376,6184068007.0,1213927072.0,6173776.0,6162403.0,1425.0,21961878.0,2592153117.0,22547169.0,1894577174.0,1200.0,9973025.0,11822973.0,0.0,120.0,0.0,99699810.0
14,8061.5829361823,8025.0628257969,54.512,6120337944.0,1205250593.0,5850442.0,5853327.0,1486.0,21891954.0,2592171459.0,22566640.0,1894068364.0,1403.0,10070940.0,11800385.0,0.0,58.0,0.0,99693608.0
15,8047.0646570916,8030.3634993241,24.931,6148396373.0,1209952956.0,5898172.0,5895309.0,2098.0,22080894.0,2592342213.0,22675652.0,1900644623.0,1275.0,10003787.0,11699373.0,0.0,75.0,0.0,99704901.0
16,8051.9093195319,8038.4761316902,6.55,6159920999.0,1210374506.0,5891319.0,5902988.0,1270.0,21993594.0,2592408416.0,22542992.0,1898965319.0,1278.0,10233007.0,11630426.0,0.0,9.0,0.0,99707622.0
17,8014.9877962551,7411.1539510824,8.413,6019118409.0,1183942592.0,6126127.0,6210903.0,2611.0,21356063.0,2592037785.0,21640931.0,1890269270.0,2088.0,10137794.0,11810545.0,0.0,325.0,0.0,99693036.0
18,7423.2013055636,7237.6651581435,15000.0,7588253944.0,1481274665.0,6699615.0,6702156.0,1063.0,16146177.0,2592394554.0,16344455.0,2287431148.0,638.0,7117167.0,8719303.0,0.0,130.0,0.0,99703945.0
19,1421.1826389867,1286.080739844,7.008,4424108410.0,858984485.0,3708846.0,3722580.0,724.0,5816279.0,1479503905.0,5781201.0,1335724642.0,4142.0,2519176.0,3323278.0,0.0,56.0,0.0,56897065.0
20,1421.6354106216,486.63389895501,15000.0,1429414982.0,275131966.0,1088501.0,1067346.0,2129.0,2628621.0,435458501.0,2570010.0,429406919.0,1565.0,1061553.0,1353934.0,0.0,151.0,0.0,16744004.0
21,1421.6138663348,467.69609353131,15000.0,1390254003.0,265626858.0,1033104.0,1033100.0,2617.0,2359369.0,429627418.0,2629054.0,423760235.0,788.0,1037732.0,1310684.0,0.0,42.0,0.0,16527903.0
22,1421.6509934918,494.9415944324,15000.0,1425046722.0,278247970.0,1100524.0,1087036.0,1252.0,2440291.0,441370720.0,2507672.0,423611481.0,554.0,1061275.0,1367007.0,0.0,64.0,0.0,16971106.0
23,1421.6334215023,475.43399009723,15000.0,1369876144.0,269470872.0,1055368.0,1049297.0,533.0,2341647.0,424919443.0,2506551.0,409365347.0,789.0,900771.0,1312685.0,0.0,55.0,0.0,16342597.0
24,1421.6566795188,478.36194866501,15000.0,1417818834.0,275345096.0,1087804.0,1066737.0,705.0,2297796.0,434777522.0,3193443.0,433495415.0,4324.0,1179049.0,1340550.0,0.0,42.0,0.0,16720888.0
25,1421.6005897694,483.43660687488,15000.0,1421390675.0,274883431.0,1084086.0,1031470.0,4355.0,2527759.0,433040257.0,2543469.0,416033778.0,460.0,1023768.0,1285041.0,0.0,44.0,0.0,16655429.0
26,1421.6262451233,476.86747037638,15000.0,1371070946.0,265912104.0,1049693.0,1028244.0,629.0,2294935.0,417952711.0,2572918.0,410330261.0,161.0,1012076.0,1264437.0,0.0,37.0,0.0,16070430.0
27,1419.651833864,401.69740048202,15000.0,1259034796.0,255897200.0,861014.0,659177.0,95852.0,270356.0,442239628.0,861955.0,123293121.0,57537.0,944971.0,1421461.0,0.0,93.0,0.0,17014536.0
28,2091.5535051807,418.91769650051,15000.0,1043658390.0,219778048.0,905952.0,923689.0,1490.0,3050000.0,425843195.0,3106080.0,381829488.0,678.0,1353712.0,1298033.0,0.0,14.0,0.0,16383059.0
29,8031.824214007,624.29224530473,15000.0,802843587.0,158590324.0,739600.0,865976.0,21873.0,4812311.0,602281532.0,4994180.0,407175074.0,73121.0,1699924.0,1902786.0,0.0,95.0,0.0,23158008.0
30,7942.7192499146,1865.4523666477,793.091,3177325134.0,627989138.0,3170994.0,3152466.0,2896.0,11724616.0,1307199462.0,12184750.0,973865560.0,2939.0,5326466.0,6463989.0,0.0,207.0,0.0,50279365.0
31,8152.2092246332,2695.105071759,345.348,3102180640.0,601269959.0,2580181.0,2611605.0,3104.0,12104155.0,1303683074.0,12387131.0,956735067.0,2885.0,5547993.0,6322913.0,0.0,714.0,0.0,50136916.0
32,8175.7195322361,3012.4250987914,15000.0,3054689521.0,601832705.0,2725198.0,2779451.0,2462.0,11852909.0,1286376497.0,12090080.0,918105578.0,2606.0,5611525.0,6250343.0,0.0,140.0,0.0,49474933.0
33,8170.6928781886,3436.9743765592,15000.0,3006555244.0,585873623.0,2679162.0,2760039.0,2192.0,11944490.0,1285338425.0,12256179.0,918684837.0,2575.0,5435429.0,6436331.0,0.0,41.0,0.0,49435632.0
34,8160.3456087385,3635.2177418109,78.867,3019484394.0,596072969.0,2745523.0,2792941.0,2677.0,12240108.0,1300011435.0,12516629.0,939805232.0,2258.0,5788910.0,6494860.0,0.0,125.0,0.0,50004293.0
35,8159.5208702954,3880.435551484,19.853,3086220458.0,605689336.0,2860511.0,2883213.0,2001.0,12357567.0,1310810079.0,12763760.0,927027734.0,2478.0,5623760.0,6741808.0,0.0,291.0,0.0,50411902.0
36,8163.5723068557,3974.2476397243,15000.0,2975386061.0,589458104.0,2772719.0,2813768.0,2098.0,11891617.0,1285244292.0,12284884.0,906069377.0,2034.0,5616622.0,6468745.0,0.0,277.0,0.0,49432278.0
37,8165.1805954784,3999.0990553397,15000.0,2713464007.0,552630164.0,2555171.0,2665653.0,5529.0,11887465.0,1284167337.0,11581946.0,858694803.0,2153.0,5154889.0,5906365.0,0.0,525.0,0.0,49391543.0
38,7567.4565990074,3296.0204114963,15000.0,3153617574.0,623280785.0,3139392.0,3187986.0,2081.0,12313336.0,1303361845.0,12629676.0,966594594.0,1773.0,5392506.0,6774195.0,0.0,486.0,0.0,50132770.0
39,4345.0144861178,2523.1995145263,6.685,3124772453.0,654965792.0,3667434.0,3841726.0,6232.0,11615000.0,1505593471.0,12493954.0,1066338427.0,1309.0,5009153.0,5949313.0,0.0,77.0,0.0,57903733.0
