Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1686303370,Device: id=1,RX,0,0,0,0,0
1686303371,Device: id=1,RX,0,0,0,0,0
1686303372,Device: id=1,RX,0,0,0,0,0
1686303373,Device: id=1,RX,0,0,0,0,0
1686303374,Device: id=1,RX,0,0,0,0,0
1686303375,Device: id=1,RX,1.3330840236554,3759.3173223724,3972.6107661573,1333106,469922412
1686303376,Device: id=1,RX,1.7641382131392,4982.5388343548,5264.800948457,3097289,1092755578
1686303377,Device: id=1,RX,1.7604353887751,4981.7542757487,5263.4239379527,4857772,1715491704
1686303378,Device: id=1,RX,1.7607464161596,4977.9027617923,5259.6221883778,6618581,2337751666
1686303379,Device: id=1,RX,1.7566735233906,4977.3150267111,5258.3827904536,8375260,2959917984
1686303380,Device: id=1,RX,1.7637608686631,4983.9742410776,5266.1759800637,10139073,3582933178
1686303381,Device: id=1,RX,1.7618426512819,4981.3704905668,5263.2653147719,11900986,4205629352
1686303382,Device: id=1,RX,1.7643525954402,4982.4602110392,5264.7566263096,13665376,4828450082
1686303383,Device: id=1,RX,1.7616520262923,4982.7787249591,5264.6430491658,15427031,5451298474
1686303384,Device: id=1,RX,1.7640253138639,4983.1611483522,5265.4051985704,17191104,6074210456
1686303385,Device: id=1,RX,1.762001021064,4983.0686241835,5264.9887875538,18953151,6697110288
1686303386,Device: id=1,RX,1.7627457240526,4983.1873192881,5265.2266351365,20715904,7320011274
1686303387,Device: id=1,RX,1.7603318024214,4982.4552886685,5264.1083770559,22476251,7942823562
1686303388,Device: id=1,RX,1.7625778953035,4976.9799809302,5258.9924441788,24238870,8564960568
1686303389,Device: id=1,RX,1.7625884666664,4980.9731278358,5262.9872825024,26001511,9187600766
1686303390,Device: id=1,RX,1.7627487164918,4982.6470089143,5264.6868035529,27764332,9810457182
1686303391,Device: id=1,RX,1.7621583916839,4982.2220923901,5264.1674350595,29526540,10433252476
1686303392,Device: id=1,RX,1.7609736899228,4983.037753513,5264.7935439007,31287524,11056135842
1686303393,Device: id=1,RX,1.7618726055886,4981.6073521502,5263.5069690443,33049454,11678857046
1686303394,Device: id=1,RX,1.7585917662596,4982.0895158473,5263.4641984489,34808108,12301640274
1686303395,Device: id=1,RX,1.7595932325556,4981.0545975793,5262.5895147882,36567757,12924291832
1686303396,Device: id=1,RX,1.7614962009562,4981.6839404027,5263.5233325557,38329293,13547016394
1686303397,Device: id=1,RX,1.7609281566866,4981.4257514228,5263.1742564927,40090281,14169715774
1686303398,Device: id=1,RX,1.7614768628777,4982.8962872019,5264.7325852623,41851764,14792579980
1686303399,Device: id=1,RX,1.7586268340381,4976.2246095689,5257.604903015,43610394,15414609176
1686303400,Device: id=1,RX,1.7607411493384,4981.9191295482,5263.6377134423,45371180,16037364930
1686303401,Device: id=1,RX,1.7602890081649,4981.7425370364,5263.3887783428,47131470,16660083098
1686303402,Device: id=1,RX,1.7615315277725,4981.4248870228,5263.2699314664,48893025,17282769506
1686303403,Device: id=1,RX,1.761936980271,4982.6009547004,5264.5108715438,50654990,17905604530
1686303404,Device: id=1,RX,1.7630553688356,4983.480691922,5265.5695509357,52418072,18528549026
1686303405,Device: id=1,RX,1.7616909857826,4981.928446298,5263.7990040232,54179796,19151301752
1686303406,Device: id=1,RX,1.7633206528855,4982.586580445,5264.7178849067,55943159,19774140032
1686303407,Device: id=1,RX,1.760378418187,4982.1709513598,5263.8314982697,57703585,20396928234
1686303408,Device: id=1,RX,1.7612304214024,4981.7811961289,5263.5780635533,59464863,21019667706
1686303409,Device: id=1,RX,1.7303469617214,4885.5267437324,5162.3822576079,61195231,21630365974
1686303410,Device: id=1,RX,1.7596972952598,4986.1816166483,5267.7331838899,62954972,22253654156
1686303411,Device: id=1,RX,1.7627928403039,4986.3344975722,5268.3813520209,64717824,22876966886
1686303412,Device: id=1,RX,1.7636790547373,4986.202394209,5268.391042967,66481569,23500265490
1686303413,Device: id=1,RX,1.7626906069033,4985.3346904533,5267.3651875579,68244267,24123434940
1686303414,Device: id=1,RX,1.7641471961001,4986.0554531947,5268.3190045707,70008454,24746705934
1686303415,Device: id=1,RX,1.764112936496,4985.8458438002,5268.1039136396,71772585,25369943046
1686303416,Device: id=1,RX,1.7636739228434,4986.0952694764,5268.2830971313,73536272,25993209576
1686303417,Device: id=1,RX,1.7630388869431,4987.3648319513,5269.4510538621,75299316,26616631988
1686303418,Device: id=1,RX,1.761025441355,4986.4685525922,5268.232623209,77060357,27239946064
1686303419,Device: id=1,RX,1.7620478022553,4979.9937291233,5261.9213774842,78822405,27862445350
1686303420,Device: id=1,RX,1.763218260124,4985.8209412677,5267.9358628876,80585641,28485679238
1686303421,Device: id=1,RX,1.7653430175957,4986.0134485334,5268.4683313487,82350987,29108931972
1686303422,Device: id=1,RX,1.7602262943564,4985.9293469239,5267.5655540209,84111240,29732182596
1686303423,Device: id=1,RX,1.7629821599941,4986.6790706443,5268.7562162434,85874262,30355531566
1686303424,Device: id=1,RX,1.7653235014838,4986.1746859026,5268.6264461401,87639637,30978821584
1686303425,Device: id=1,RX,1.7633930340517,4985.9991656749,5268.1420511232,89403065,31602083838
1686303426,Device: id=1,RX,1.7619789695295,4986.0036108393,5267.920245964,91165102,32225354816
1686303427,Device: id=1,RX,1.7604546082083,4986.8302599467,5268.50299726,92925589,32848720068
1686303428,Device: id=1,RX,1.7622051295368,4986.0991818744,5268.0520026003,94687819,33471991262
1686303429,Device: id=1,RX,1.7611522965424,4981.1926826797,5262.9770501265,96449025,34094659334
1686303430,Device: id=1,RX,1.7630263433865,4980.4314543261,5262.515669268,98212115,34717235744
1686303431,Device: id=1,RX,1.7643071462448,4986.1148781629,5268.404021562,99976433,35340503938
1686303432,Device: id=1,RX,1.7644495533488,4985.900945597,5268.2128741329,101740947,35963764320
1686303433,Device: id=1,RX,1.7644884575464,4985.4659350904,5267.7840882978,103505450,36586952698
1686303434,Device: id=1,RX,1.7615027272208,4986.3086674593,5268.1491038146,105266990,37210254470
1686303435,Device: id=1,RX,1.7640330738614,4985.3196465327,5267.5649383505,107031047,37833427878
1686303436,Device: id=1,RX,1.7627486949144,4986.6888285844,5268.7286197707,108793805,38456767272
1686303437,Device: id=1,RX,1.7610279018617,4985.5388313519,5267.3032956498,110554905,39079985140
