Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1686248433,Device: id=1,RX,0,0,0,0,0
1686248434,Device: id=1,RX,3.5526952892558,3637.9712400911,4206.402486372,3552729,454750720
1686248435,Device: id=1,RX,4.8197824414704,4935.4531241137,5706.618314749,8372568,1071689600
1686248436,Device: id=1,RX,4.8375017408362,4953.5956386509,5727.5959171847,13210097,1690892544
1686248437,Device: id=1,RX,4.8514257589521,4967.8712411154,5744.0993625477,18061545,2311879296
1686248438,Device: id=1,RX,4.8452670851543,4961.5432552549,5736.7859888796,22906839,2932075648
1686248439,Device: id=1,RX,4.8336415100135,4949.6581221823,5723.0407637845,27740518,3550787712
1686248440,Device: id=1,RX,3.8879936352309,3981.3054824764,4603.3844641134,31628561,4048457216
1686248441,Device: id=1,RX,4.7354974935225,4849.1432894325,5606.8228883961,36364109,4654606592
1686248442,Device: id=1,RX,4.4313011992347,4537.6493560224,5246.6575479,40795419,5221813888
1686248443,Device: id=1,RX,5.341599076119,5469.8261258389,6324.481978018,46137038,5905544704
1686248444,Device: id=1,RX,5.9318382326538,6074.1757264429,7023.2698436675,52068922,6664822528
1686248445,Device: id=1,RX,6.4254921890903,6579.7019536332,7607.7807038877,58494429,7487287168
1686248446,Device: id=1,RX,6.765943055091,6928.3267124088,8010.8776012233,65260401,8353331712
1686248447,Device: id=1,RX,6.7779238190862,6940.5950147431,8025.0628257969,72038333,9220907136
1686248448,Device: id=1,RX,6.7824016041589,6945.1792426587,8030.3634993241,78820784,10089060864
1686248449,Device: id=1,RX,6.7892534896032,6952.1955733537,8038.4761316902,85610079,10958090624
1686248450,Device: id=1,RX,6.2594240262382,6409.6461068843,7411.1539510824,91869528,11759299584
1686248451,Device: id=1,RX,6.1128928700536,6259.6022989349,7237.6651581435,97982659,12541780352
1686248452,Device: id=1,RX,1.0862168410844,1112.2860452705,1286.080739844,99068903,12680819584
1686248453,Device: id=1,RX,0.4110083606039,420.87256125839,486.63389895501,99479933,12733431424
1686248454,Device: id=1,RX,0.39501359250955,404.49391872978,467.69609353131,99874963,12783995264
1686248455,Device: id=1,RX,0.41802499529764,428.05759518478,494.9415944324,100293006,12837504768
1686248456,Device: id=1,RX,0.40154897812266,411.1861535976,475.43399009723,100694555,12888903040
1686248457,Device: id=1,RX,0.40402191610221,413.71844208866,478.36194866501,101098581,12940618368
1686248458,Device: id=1,RX,0.40830794499568,418.10733567557,483.43660687488,101506899,12992883072
1686248459,Device: id=1,RX,0.40275882298132,412.42605869937,476.86747037638,101909671,13044438016
1686248460,Device: id=1,RX,0.3392723179398,347.41382961165,401.69740048202,102248957,13087866496
1686248461,Device: id=1,RX,0.35381562204435,362.30719697341,418.91769650051,102602775,13133155200
1686248462,Device: id=1,RX,0.52727385583169,539.92842837165,624.29224530473,103130055,13200647040
1686248463,Device: id=1,RX,1.5755509853444,1613.3642089926,1865.4523666477,104705611,13402318208
1686248464,Device: id=1,RX,2.2762685808986,2330.9020988153,2695.105071759,106981898,13693683328
1686248465,Device: id=1,RX,2.544280549634,2605.3402108499,3012.4250987914,109526199,14019353472
1686248466,Device: id=1,RX,2.902849980202,2972.5183797268,3436.9743765592,112429052,14390918656
1686248467,Device: id=1,RX,3.0702852549078,3143.9721010256,3635.2177418109,115499349,14783916672
1686248468,Device: id=1,RX,3.2773914320183,3356.0529223611,3880.435551484,118776761,15203425920
1686248469,Device: id=1,RX,3.3566315335257,3437.1865943602,3974.2476397243,122133417,15633077376
1686248470,Device: id=1,RX,3.3776174453882,3458.6802640775,3999.0990553397,125511048,16065414144
1686248471,Device: id=1,RX,2.7837975637805,2850.6128012914,3296.0204114963,128294859,16421742464
1686248472,Device: id=1,RX,2.1310841304668,2182.2260536516,2523.1995145263,130425971,16694524288
1686248473,Device: id=1,RX,2.0380476892575,2086.9608337997,2413.0484640809,132464027,16955395456
1686248474,Device: id=1,RX,1.4918479783177,1527.6523297973,1766.3480063281,133955885,17146353280
1686248475,Device: id=1,RX,1.4402926955209,1474.8597202134,1705.3065514967,135396182,17330711296
1686248476,Device: id=1,RX,1.5182826096114,1554.7213922421,1797.6466097799,136914479,17525053312
1686248477,Device: id=1,RX,1.471992664141,1507.3204880804,1742.8393143429,138386491,17713470848
1686248478,Device: id=1,RX,1.4860567419456,1521.7221037523,1759.4911824636,139872549,17903686272
1686248479,Device: id=1,RX,1.5009785101946,1537.0019944393,1777.1585560705,141373538,18095812864
1686248480,Device: id=1,RX,1.4884273884574,1524.1537417099,1762.3021238631,142861991,18286335360
1686248481,Device: id=1,RX,1.4955162187165,1531.4086079657,1770.6912029603,144357525,18477763712
1686248482,Device: id=1,RX,1.9259347903573,1972.1531293412,2280.3026957984,146283467,18724283776
1686248483,Device: id=1,RX,2.0092270711577,2057.4485208655,2378.9248522507,148292699,18981465472
1686248484,Device: id=1,RX,1.9126103279717,1958.512975843,2264.5306283185,150205328,19226281984
1686248485,Device: id=1,RX,1.9502181860806,1997.0234225465,2309.0583323194,152155552,19475910656
1686248486,Device: id=1,RX,1.9449259019707,1991.6041236179,2302.7922679333,154100490,19724862720
1686248487,Device: id=1,RX,1.9591730159894,2006.197264346,2319.6649469044,156059676,19975639040
1686248488,Device: id=1,RX,1.9567842109216,2003.7429360315,2316.8284097789,158016483,20226109824
1686248489,Device: id=1,RX,1.9767803227353,2024.223050481,2340.5079021186,159993276,20479139328
1686248490,Device: id=1,RX,1.9772934865548,2024.7485302321,2341.1154880809,161970575,20732233600
1686248491,Device: id=1,RX,1.6492084587902,1688.7894618011,1952.6628152075,163619840,20943339520
1686248492,Device: id=1,RX,0.68050227175874,696.83432628095,805.71468976234,164300366,21030446848
1686248493,Device: id=1,RX,0.77149146111707,790.00725618388,913.44588996261,165071889,21129201792
1686248494,Device: id=1,RX,0.48430082362898,495.92404339607,573.41217517671,165556200,21191193600
1686248495,Device: id=1,RX,0.47004914539849,481.33032488806,556.53818815182,166026251,21251360128
1686248496,Device: id=1,RX,0.46975526238329,481.02938868049,556.19023066182,166496009,21311489152
1686248497,Device: id=1,RX,0.46353089936342,474.65564094814,548.82058484629,166959542,21370821376
1686248498,Device: id=1,RX,0.4843151324125,495.9386955904,573.4291167764,167443859,21432813952
1686248499,Device: id=1,RX,0.46907531986123,480.3331275379,555.3851787157,167912937,21492855936
1686248500,Device: id=1,RX,0.46309068284905,474.20485923743,548.29936849327,168376043,21552133504
1686248501,Device: id=1,RX,0.39346243903495,402.90553757179,465.85952781738,168769514,21602497792
1686248502,Device: id=1,RX,0.39026095638494,399.62721933818,462.06897235977,169159775,21652451200
1686248503,Device: id=1,RX,0.44578976117384,456.48871544201,527.81507722982,169605567,21709512576
1686248504,Device: id=1,RX,0.30186848972009,309.11640542747,357.41536378268,169907440,21748152704
1686248505,Device: id=1,RX,0.3537566886588,362.24377718931,418.84484737472,170261197,21793433216
1686248506,Device: id=1,RX,0.36520466185942,373.96957374405,432.40231964155,170626405,21840179840
1686248507,Device: id=1,RX,0.36088676576583,369.54804814421,427.28993066674,170987301,21886374528
1686248508,Device: id=1,RX,0.36635553375679,375.14806656695,433.76495196804,171353657,21933268096
1686248509,Device: id=1,RX,0.3623600724359,371.05671417436,429.0343257641,171716023,21979650944
1686248510,Device: id=1,RX,0.36529060018055,374.05757458488,432.50407061377,172081323,22026409344
1686248511,Device: id=1,RX,0.3613566726975,370.02923284224,427.84630047385,172442699,22072665472
1686248512,Device: id=1,RX,0.26891314849305,275.36706405688,318.39316781577,172711627,22107088256
1686248513,Device: id=1,RX,0.26787447644237,274.30346387699,317.16338010776,172979507,22141376896
1686248514,Device: id=1,RX,0.17990791928736,184.22570935025,213.01097643623,173159423,22164406144
1686248515,Device: id=1,RX,0.28489912751762,291.73670657805,337.32056698086,173444328,22200873984
1686248516,Device: id=1,RX,0.29222686500794,299.24030976813,345.9966081694,173736571,22238281088
1686248517,Device: id=1,RX,0.28998548670305,296.94513838392,343.34281625641,174026573,22275401344
1686248518,Device: id=1,RX,0.29381494606625,300.86650477184,347.87689614244,174320394,22313010432
1686248519,Device: id=1,RX,0.2940975171295,301.15585754061,348.21146028133,174614508,22350657024
1686248520,Device: id=1,RX,0.29693018095375,304.05650529664,351.56533424924,174911444,22388664832
1686248521,Device: id=1,RX,0.29311132260707,300.14599434964,347.04380596677,175204562,22426183936
1686248522,Device: id=1,RX,0.38542247737604,394.67261683306,456.34021321323,175589989,22475518592
1686248523,Device: id=1,RX,0.39213226745441,401.54344187332,464.28460466602,175982132,22525712896
1686248524,Device: id=1,RX,0.71221532152573,729.31156117473,843.26601261885,176694363,22616878848
1686248525,Device: id=1,RX,2.0328629561408,2081.6485951382,2406.9066681207,178727259,22877089152
1686248526,Device: id=1,RX,2.033138811394,2081.9351668427,2407.2373766658,180760447,23137337344
1686248527,Device: id=1,RX,2.0327232650348,2081.5075994186,2406.7433218242,182793216,23397531648
