Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1684061096,Device: id=0,TX,0.15527031151552,439.85274217701,464.6959920195,155316,54994794
1684061097,Device: id=0,TX,0.17286517859448,488.80503867412,516.46346724924,328186,116097128
1684061098,Device: id=0,TX,0.17713335977501,499.97975268304,528.32109024704,505343,178602938
1684061099,Device: id=0,TX,0.1772992006677,499.98856850114,528.35644060797,682693,241119416
1684061100,Device: id=0,TX,0.17651320050594,499.99462691451,528.23673899546,859240,303630712
1684061101,Device: id=0,TX,0.17636110104288,499.97755750155,528.19533366841,1035631,366138502
1684061102,Device: id=0,TX,0.17639075085748,499.99371754193,528.21623767913,1212050,428647726
1684061103,Device: id=0,TX,0.17698870191655,499.98779814737,528.30599045402,1389080,491160784
1684061104,Device: id=0,TX,0.19963325285113,565.98409799873,597.92541845491,1588737,561917212
1684061105,Device: id=0,TX,0.3540527882674,999.98970598065,1056.6381521034,1942790,686916000
1684061106,Device: id=0,TX,0.35378685049158,999.93834513437,1056.544241213,2296614,811921418
1684061107,Device: id=0,TX,0.35403186180153,999.97438941365,1056.6194873019,2650669,936926386
1684061108,Device: id=0,TX,0.35398813278958,999.96661961872,1056.6047208651,3004689,1061933466
1684061109,Device: id=0,TX,0.35342972409405,999.9801727702,1056.5289286252,3358165,1186947354
1684061110,Device: id=0,TX,0.35212718720939,999.95628531778,1056.2966352713,3710299,1311944308
1684061111,Device: id=0,TX,0.35288318389447,999.98494529713,1056.4462547202,4063232,1436960072
1684061112,Device: id=0,TX,0.35385119995436,999.97557926779,1056.5917712605,4417092,1561960128
1684061113,Device: id=0,TX,0.35320956667943,999.96063820565,1056.4741688744,4770346,1686970932
1684061114,Device: id=0,TX,0.39994423118102,1132.466474896,1196.457551885,5170318,1828539070
1684061115,Device: id=0,TX,0.70834012596095,1999.9295054978,2113.2639256515,5878708,2078547860
1684061116,Device: id=0,TX,0.706496527201,1999.8890520756,2112.9284964277,6585210,2328535928
1684061117,Device: id=0,TX,0.70730502101528,1999.9368885314,2113.1056918939,7292579,2578550652
1684061118,Device: id=0,TX,0.70707647929105,1999.9373338641,2113.0695705507,7999685,2828553256
1684061119,Device: id=0,TX,0.70844394468163,1999.9308764851,2113.2819076341,8708201,3078570042
1684061120,Device: id=0,TX,0.7074708733299,1999.9338563588,2113.1291960916,9415692,3328568886
1684061121,Device: id=0,TX,0.70774021613794,1999.9400966548,2113.1785312369,10123442,3578564854
1684061122,Device: id=0,TX,0.70698843695529,1999.9406495183,2113.0587994312,10830487,3828577436
1684061123,Device: id=0,TX,0.70799703909758,1999.9346657723,2113.2141920279,11538490,4078571374
1684061124,Device: id=0,TX,0.75377400338256,2133.0467520057,2253.6505925469,12292289,4345211060
1684061125,Device: id=0,TX,1.0597358845494,2997.5006258794,3167.0583674073,13352069,4719914236
1684061126,Device: id=0,TX,1.0595548243478,2997.6132328019,3167.1420046975,14411658,5094627976
1684061127,Device: id=0,TX,1.0570572116343,2994.7494079601,3163.8785618215,15468751,5468984326
1684061128,Device: id=0,TX,1.0614045860051,2997.8038564993,3167.6285902602,16530194,5843723370
1684061129,Device: id=0,TX,1.0608732719905,2997.3081021715,3167.04782569,17591099,6218398088
1684061130,Device: id=0,TX,1.0607987743839,2997.2352512764,3166.9630551779,18651903,6593054340
1684061131,Device: id=0,TX,1.0604698408747,2998.0818249914,3167.7569995314,19712390,6967820632
1684061132,Device: id=0,TX,1.0586268794336,2997.212984797,3166.5932855064,20771056,7342486100
1684061133,Device: id=0,TX,1.0610467621714,2997.8398077203,3167.6072896677,21832115,7717220398
1684061134,Device: id=0,TX,1.1053724133574,3129.7052202883,3306.5648064255,22937490,8108434466
1684061135,Device: id=0,TX,1.410772469858,3986.2560926956,4211.9796878729,24348279,8606722316
1684061136,Device: id=0,TX,1.4077112390015,3987.0558748464,4212.2896730866,25755997,9105106694
1684061137,Device: id=0,TX,1.4090853701504,3984.3777100216,4209.8313692456,27165124,9603168622
1684061138,Device: id=0,TX,1.4117538450476,3987.6069233326,4213.4875385402,28576904,10101628722
1684061139,Device: id=0,TX,1.4096655146915,3986.6924197863,4212.2389021369,29986603,10599977112
1684061140,Device: id=0,TX,1.4100725755394,3987.6562886197,4213.267900706,31396724,11098451266
1684061141,Device: id=0,TX,1.4089779618049,3988.1222517734,4213.5587256621,32805718,11596972222
1684061142,Device: id=0,TX,1.4102084641676,3987.3494636614,4212.9828179283,34215995,12095415128
1684061143,Device: id=0,TX,1.4035749025694,3969.8366696731,4194.4086540842,35619588,12591651110
1684061144,Device: id=0,TX,1.4559209584767,4119.8214301766,4352.7687835329,37075528,13106635524
