Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1686337099,Device: id=1,RX,0,0,0,0,0
1686337100,Device: id=1,RX,1.3753480421555,3874.5018765437,4094.5575632886,1375350,484313424
1686337101,Device: id=1,RX,1.7624115329051,4982.5441753561,5264.5300206209,3137780,1107137972
1686337102,Device: id=1,RX,1.7626264506647,4981.5432232765,5263.5634553828,4900447,1729845200
1686337103,Device: id=1,RX,1.7611414526308,4977.1328295811,5258.915462002,6661631,2352001834
1686337104,Device: id=1,RX,1.7611052539208,4981.0507406281,5262.8275812555,8422773,2974646168
1686337105,Device: id=1,RX,1.7618238795854,4981.0368609872,5262.9286817209,10184634,3597288894
1686337106,Device: id=1,RX,1.7615205359682,4982.1130519468,5263.9563377017,11946167,4220057432
1686337107,Device: id=1,RX,1.7596389820601,4981.887952457,5263.4301895866,13705850,4842809004
1686337108,Device: id=1,RX,1.7605225749603,4982.0124185861,5263.6960305798,15466435,5465582638
1686337109,Device: id=1,RX,1.7635745315002,4980.2964534842,5262.4683785242,17230034,6088128332
1686337110,Device: id=1,RX,1.7573806162553,4964.715426881,5245.8963254818,18987461,6708734140
1686337111,Device: id=1,RX,1.7618585451533,4982.3300089029,5264.2273761275,20749347,7331535096
1686337112,Device: id=1,RX,1.7608865539062,4981.0212926982,5262.7631413232,22510276,7954177766
1686337113,Device: id=1,RX,1.7584328359794,4968.5613493749,5249.9106031316,24268752,8575263180
1686337114,Device: id=1,RX,1.7604810225395,4981.8088219952,5263.4857856015,26029294,9198010852
1686337115,Device: id=1,RX,1.7622180769447,4980.1277548537,5262.0826471648,27791558,9820543044
1686337116,Device: id=1,RX,1.7621771730778,4983.0787226489,5265.0270703414,29553741,10443429944
1686337117,Device: id=1,RX,1.7598668288272,4983.2526014258,5264.8312940381,31313644,11066349322
1686337118,Device: id=1,RX,1.7614715815265,4981.8958716813,5263.7313247255,33075150,11689098474
1686337119,Device: id=1,RX,1.763916196405,4981.6090535903,5263.8356450151,34839095,12311809774
1686337120,Device: id=1,RX,1.7614022160779,4981.9892399352,5263.8135945077,36600552,12934577798
1686337121,Device: id=1,RX,1.7624144519427,4980.7229748473,5262.7092871581,38362996,13557178608
1686337122,Device: id=1,RX,1.7648230261325,4982.1232392994,5264.4949234806,40127849,14179954590
1686337123,Device: id=1,RX,1.762116158589,4982.0797133629,5264.0182987372,41890020,14802733936
1686337124,Device: id=1,RX,1.7048232529964,4819.4449013215,5092.2166218009,43594864,15405171880
1686337125,Device: id=1,RX,1.7619623758333,4985.6484634626,5267.5624435959,45356856,16028388416
1686337126,Device: id=1,RX,1.7649651613845,4985.1519350426,5267.5463608641,47121886,16651555300
1686337127,Device: id=1,RX,1.7617073515837,4985.6697545585,5267.5429308119,48883613,17274770970
1686337128,Device: id=1,RX,1.7633280487044,4986.2306165222,5268.3631043149,50646967,17898058970
1686337129,Device: id=1,RX,1.7605896821546,4986.6706908462,5268.3650399909,52407580,18521401062
1686337130,Device: id=1,RX,1.7641506305156,4986.3185706408,5268.5826715233,54171780,19144708326
1686337131,Device: id=1,RX,1.7593657299854,4986.7269812813,5268.2254980789,55931165,19768056026
1686337132,Device: id=1,RX,1.7609892054609,4986.7592618439,5268.5175347176,57692193,20391414666
1686337133,Device: id=1,RX,1.7650613103341,4986.9954701255,5269.4052797789,59457276,21014796760
1686337134,Device: id=1,RX,1.7562970445457,4961.4791959082,5242.4867230355,61213575,21634982350
