Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1698601998,Device: id=1,RX,0.046311874692725,560.92942627829,568.33932622912,49742,75309388
1698601999,Device: id=1,RX,0.23763893581759,2878.4039024357,2916.4261321665,287397,435134198
1698602000,Device: id=1,RX,0.34196757336303,4141.7901340367,4196.5049457747,629380,952881320
1698602001,Device: id=1,RX,0.32644860747566,3953.9576452854,4006.1894224815,955841,1447144788
1698602002,Device: id=1,RX,0.29244812004728,3542.1316300127,3588.9233292202,1248301,1889929228
1698602003,Device: id=1,RX,0.32384544088299,3922.4038688185,3974.2191393598,1572169,2380263866
1698602004,Device: id=1,RX,0.32530670913568,3940.1390845084,3992.1881579701,1897483,2872792290
1698602005,Device: id=1,RX,0.33007391641754,3997.8431637624,4050.6549903892,2227560,3372527354
1698602006,Device: id=1,RX,0.33299485408504,4033.2215610834,4086.500737737,2560566,3876696924
1698602007,Device: id=1,RX,0.33400991140789,4045.5401587516,4098.9817445769,2894582,4382398662
1698602008,Device: id=1,RX,0.33714887679599,4083.547195753,4137.4910160403,3231737,4892851332
1698602009,Device: id=1,RX,0.34007181452563,4118.9377057547,4173.3491960788,3571815,5407727910
1698602010,Device: id=1,RX,0.34120380505813,4132.6604868641,4187.2530956734,3913025,5924319850
1698602011,Device: id=1,RX,0.34163718950566,4137.9217505902,4192.5837009111,4254682,6441590062
1698602012,Device: id=1,RX,0.30732543527836,3722.3135603503,3771.4856299948,4562014,6906889196
1698602013,Device: id=1,RX,0.32934791604361,3989.0619591202,4041.7576256872,4891378,7405546292
1698602014,Device: id=1,RX,0.3321442936102,4022.9316842067,4076.0747711843,5223546,7908448644
1698602015,Device: id=1,RX,0.33361490649093,4040.7437474181,4094.1221324567,5557167,8413550838
1698602016,Device: id=1,RX,0.33657539645611,4076.6012018764,4130.4532653094,5893751,8923139014
1698602017,Device: id=1,RX,0.33947233464077,4111.688917169,4166.0044907116,6233243,9437129902
1698602018,Device: id=1,RX,0.33980880222002,4115.7642124889,4170.1336208441,6573058,9951609812
1698602019,Device: id=1,RX,0.34192879062141,4141.4415120066,4196.150118506,6914993,10469299402
1698602020,Device: id=1,RX,0.34245877589392,4147.8606936272,4202.6540977702,7257458,10987791412
1698602021,Device: id=1,RX,0.34326675353651,4157.6469188343,4212.5695994001,7600731,11507506734
1698602022,Device: id=1,RX,0.30453916907681,3688.5784158584,3737.3046829107,7905279,11968592406
1698602023,Device: id=1,RX,0.32053283369552,3882.2936817202,3933.5789351114,8225835,12453914190
1698602024,Device: id=1,RX,0.32292213998993,3911.2329595581,3962.9005019565,8548763,12942827182
1698602025,Device: id=1,RX,0.32633406926052,3952.5582468834,4004.7716979651,8875103,13436905942
1698602026,Device: id=1,RX,0.3274950164413,3966.619639137,4019.0188417676,9202604,13932742456
1698602027,Device: id=1,RX,0.33002301850816,3997.2388001708,4050.0424831321,9532633,14432406362
1698602028,Device: id=1,RX,0.33217794882407,4023.3393161572,4076.487787969,9864817,14935332938
1698602029,Device: id=1,RX,0.33303166618209,4033.6795407974,4086.9646073866,10197868,15439572152
1698602030,Device: id=1,RX,0.33619287819026,4071.9681406405,4125.7590011509,10534067,15948577438
1698602031,Device: id=1,RX,0.33668388022414,4077.9151572748,4131.7845781107,10870757,16458326098
1698602032,Device: id=1,RX,0.33769069954675,4090.1097529103,4144.1402648377,11208449,16969591786
1698602033,Device: id=1,RX,0.30593648932993,3705.5027587641,3754.4525970569,11514403,17432806142
1698602034,Device: id=1,RX,0.32929316015398,3988.398755785,4041.0856614096,11843707,17931372398
1698602035,Device: id=1,RX,0.33196195523206,4020.7232017708,4073.8371146079,12175675,18433971950
1698602036,Device: id=1,RX,0.33364092528079,4041.0709987804,4094.4535468253,12509322,18939115022
1698602037,Device: id=1,RX,0.33506992266689,4058.354791561,4111.9659791877,12844398,19446418572
1698602038,Device: id=1,RX,0.33799982293734,4093.8538554171,4147.9338270871,13182404,19958159656
1698602039,Device: id=1,RX,0.33937831859424,4110.5501948134,4164.8507257885,13521802,20472008228
1698602040,Device: id=1,RX,0.34009682959089,4119.2528000048,4173.6682927393,13861905,20986924170
1698602041,Device: id=1,RX,0.34228275359103,4145.7408232736,4200.5060638481,14204194,21505151230
1698602042,Device: id=1,RX,0.34165880888842,4138.159381476,4192.8247908981,14545859,22022430526
1698602043,Device: id=1,RX,0.3099772451692,3754.4443934893,3804.0407527164,14855848,22491753872
1698602044,Device: id=1,RX,0.32856093696914,3979.5300685702,4032.0998184853,15184410,22989196740
1698602045,Device: id=1,RX,0.32492119150962,3935.4454715646,3987.4328622061,15509334,23481131676
1698602046,Device: id=1,RX,0.33290000972539,4032.0849177939,4085.3489193499,15842254,23985172556
1698602047,Device: id=1,RX,0.33504291878821,4058.0398323627,4111.6466993689,16177303,24492436742
1698602048,Device: id=1,RX,0.33702282980653,4082.0205146167,4135.9441673858,16514332,25002698648
1698602049,Device: id=1,RX,0.33885821218382,4104.2506659704,4158.4679799198,16853199,25515743286
1698602050,Device: id=1,RX,0.33948581633141,4111.8643191854,4166.1820497984,17192691,26029735688
1698602051,Device: id=1,RX,0.34066824220195,4126.1616382525,4180.6685570048,17533379,26545535806
1698602052,Device: id=1,RX,0.34123275527386,4133.0111318769,4187.6083727207,17874618,27062171652
1698602053,Device: id=1,RX,0.28602806911936,3464.3719731737,3510.1364642328,18160666,27495248324
1698602054,Device: id=1,RX,0.30688134286778,3716.9468248146,3766.0478396735,18467567,27959896438
1698602055,Device: id=1,RX,0.31352779086804,3797.4486029937,3847.6130495326,18781113,28434605082
1698602056,Device: id=1,RX,0.31625023632317,3830.4228623462,3881.0229001579,19097369,28913416666
1698602057,Device: id=1,RX,0.31945103054723,3869.190881988,3920.3030468756,19416828,29397077592
1698602058,Device: id=1,RX,0.32036232031797,3880.2284236912,3931.4863949421,19737194,29882111716
1698602059,Device: id=1,RX,0.32254412762453,3906.6544737883,3958.2615342082,20059744,30370452416
1698602060,Device: id=1,RX,0.32396820140397,3923.9028554049,3975.7377676295,20383731,30860968734
1698602061,Device: id=1,RX,0.32440507712637,3929.1942941546,3981.0991064948,20708142,31352126988
1698602062,Device: id=1,RX,0.32608103529091,3949.4934994435,4001.6664650901,21034229,31845822706
1698602063,Device: id=1,RX,0.328502816661,3978.8261153981,4031.3865660638,21362740,32343188360
1698602064,Device: id=1,RX,0.29849685575246,3615.4060283404,3663.1655252608,21661250,32795134014
1698602065,Device: id=1,RX,0.32321912105471,3914.817882435,3966.5329418038,21984475,33284495150
1698602066,Device: id=1,RX,0.32532006163282,3940.2765864967,3992.327796358,22309801,33777038714
1698602067,Device: id=1,RX,0.32835202616468,3976.9997409066,4029.536065093,22638159,34274172726
1698602068,Device: id=1,RX,0.32901300004414,3985.0054565346,4037.6475365416,22967178,34772307492
1698602069,Device: id=1,RX,0.33006582022482,3997.757214563,4050.567745799,23297263,35272056182
1698602070,Device: id=1,RX,0.33194195466882,4020.4809549488,4073.5916676958,23629211,35774625454
1698602071,Device: id=1,RX,0.33303692232067,4033.7432031479,4087.0291107192,23962254,36278852556
1698602072,Device: id=1,RX,0.33455689956748,4052.1531675614,4105.6822714922,24296817,36785380938
1698602073,Device: id=1,RX,0.33541088274614,4062.4966118213,4116.1623530606,24632234,37293202276
1698602074,Device: id=1,RX,0.30660218291298,3713.5656394421,3762.6219887082,24938859,37757432526
1698602075,Device: id=1,RX,0.32770050713734,3969.1085424475,4021.5406235895,25266582,38253605148
