Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22021860,5063492,861546,48929160,16353554,0,1193822
1,21070084,179732,4494728,14730842,0,37170,215768
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22934044,5247424,345590,49177660,16338252,0,1237082
1,21071708,179970,3195850,14629398,0,37170,216874
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22918420,5337332,299726,48426084,16329026,0,1266874
1,21072604,180152,3127642,14738948,0,37170,217378
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22989134,5341518,312200,48976746,16337734,0,1251838
1,21075404,180026,3200960,14573734,0,37170,218834
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22827434,5380578,323764,49225400,16470846,0,1305920
1,21074186,180026,3067120,14862386,0,37170,217322
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22848630,5417258,302106,49290304,16402288,0,1319976
1,20967604,180012,3190334,15145452,0,37170,216986
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22704192,5448688,296044,47930036,16397990,0,1323392
1,20949950,180054,3068016,15750462,0,37170,217140
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22870750,5438818,364490,46668692,16399866,0,1342292
1,20944182,180124,3076220,16330440,0,37170,217126
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22734950,5456626,326732,47192950,16396576,0,482048
1,20954080,180348,3136462,16347646,0,37212,208390
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,19737844,5295066,444626,43023414,16401378,0,1315720
1,20852524,180054,3220168,15932784,0,37170,218918
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22648906,5420492,564984,45163370,16399096,0,1314376
1,20946716,180236,3271436,15502802,0,37170,218302
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22851010,5443088,296016,45701838,16397878,0,1313718
1,20907544,180068,3034290,15274770,0,37170,217994
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22792098,5442850,288400,46070668,16401602,0,1317162
1,20949446,180320,3075618,15445304,0,35308,218050
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22874838,5443172,276920,45804430,16402036,0,1282428
1,20928824,180404,3119144,15162560,0,37604,217924
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22606122,5442780,466466,47049310,16401938,196,1317694
1,20961262,180152,3296706,14502110,0,37464,218582
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22877540,5457662,225386,47225304,16400174,168,1322636
1,20934592,180082,2978556,14592536,0,37492,218204
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22802598,5445622,216342,47303144,16408952,140,1318926
1,20933808,180124,3053232,14533134,0,37016,218330
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22890798,5464592,222026,47175058,16406320,196,1319024
1,20932128,180348,3123204,14395626,0,37058,218428
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22793400,5469772,436380,47220460,16404094,700,1317512
1,20920998,180124,3300192,14641046,0,37072,218610
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22888432,4374314,2766974,45631068,16304386,168,1300740
1,20933066,181412,7411460,14446446,0,37688,218246
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22692026,5523266,253666,46573604,16367554,140,1307138
1,20918240,180894,3119774,14680078,0,37716,218092
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22868874,5556096,376278,46596592,16346218,140,1298486
1,20928110,180824,3270596,15254540,0,37702,217910
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22819650,5529146,567756,46492180,16376080,140,1306550
1,20834618,180838,3363290,14654318,0,37688,218232
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22901326,5536314,388192,46597082,16412858,140,1310694
1,20982752,180768,3217606,14457702,0,37730,218316
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22866172,5522496,268086,46295536,16300102,140,1307698
1,20928432,180964,3134684,14211666,0,37716,218120
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,23130086,5503176,273476,45824338,16427838,140,1310652
1,21052780,180782,3227812,14333760,0,37702,218428
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,23125144,5530714,454776,45949890,16436714,140,1311436
1,21062776,180838,3262560,14455490,0,37716,218288
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,23131430,5566232,327656,45763620,16399390,140,1315594
1,21064666,180782,3161270,14463022,0,37688,218596
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,23131486,5547668,197806,45817842,16399404,168,1308678
1,21068614,180698,2998912,14539196,0,37716,218778
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,23138682,5544490,345282,36969212,14971698,140,1277374
1,21066346,180866,3146822,27832868,0,37604,219618
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,23109590,5532422,280560,45282146,16367344,168,1307698
1,21065492,180740,3035858,14479444,0,37604,219716
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,23123954,5528404,383782,45322998,16363592,140,1318800
1,21067368,180880,3114832,14167272,0,37506,219940
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,23132130,5557692,648144,45266172,16348626,210,1327004
1,21065856,180768,3156454,14356608,0,37478,220080
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,23103500,5511968,322126,45483928,16344650,168,1308384
1,21064456,180684,2984590,14573118,0,37506,220136
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,23132032,5546044,332388,45259326,16342774,140,1327354
1,21073724,180894,3018428,14295400,0,37520,220052
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22970136,5491724,382732,45312876,16333660,0,1326864
1,21065884,179732,3029922,14716884,0,37590,220038
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22641010,5466356,267736,45406256,16346330,0,1328978
1,21065436,180390,2991814,14314930,0,37660,220052
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,23105516,5455534,275646,45161746,16359896,0,1324904
1,21062440,180026,3000676,14624484,0,37688,220192
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,23135658,5456892,301518,45169236,16354422,0,1328684
1,21065310,180194,2993578,14723688,0,37702,220136
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,23119054,5455968,320110,45276812,16016406,0,1273692
1,21065268,180208,3044818,14430934,0,37212,219758
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,23103500,5434954,278068,44721096,16427348,0,1311520
1,21067620,180348,3067176,14717668,0,36694,220164
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,22896790,5451726,281666,44779868,16396926,0,1320578
1,20943790,180138,3180380,14345982,0,36848,220080
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
