System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),Core3 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2023-10-29,23:15:06.590,0.43,2.29,0.19,1.19,0.08,80.68,1.00,0.36,0.0000,0.0036,  8360,0.77,0.55,99,49,22272.61,9718.28,2600.41,4.58,114.59,0.86,21.40,0.17,1.26,0.13,1.23,0.12,67.12,1.00,0.42,0.0000,0.0077, 16880,0.01,0.01,87,41,8752.57,6952.81,2600.41,2.52,62.94,0.34,8.41,15.75,15.64,0.00,68.60,0.00,100.00,0.00,0.00,0.00,0.00,10.82,13.20,0.01,75.97,0.00,100.00,0.00,0.00,0.00,0.00,56.34,51.35,4.51 ,4.26 ,811902.28 ,816511.62 ,3.00,3.00,3.24,2.73,1.19,1.19,0.00,18.45,1.00,0.10,0.0000,0.0022,   200,99.76,0.24,0.00,0.00,0.00,51,8417.96,3084.81,2600.41,5.46,136.44,6.47,161.85,
2023-10-29,23:15:07.587,0.43,2.28,0.19,1.19,0.07,82.65,1.00,0.36,0.0000,0.0037,  9880,0.76,0.55,99,49,22137.38,9707.53,2597.21,4.56,114.02,0.85,21.31,0.17,1.26,0.13,1.23,0.05,67.16,1.00,0.42,0.0000,0.0077, 17520,0.01,0.01,64,39,8749.14,6933.41,2597.21,2.52,63.09,0.34,8.42,15.77,15.76,0.00,68.47,0.00,100.00,0.00,0.00,0.00,0.00,10.82,13.29,0.00,75.89,0.00,100.00,0.00,0.00,0.00,0.00,56.16,51.28,4.48 ,4.24 ,0.23 ,0.00 ,3.00,3.00,3.19,2.69,1.19,1.19,0.01,18.86,1.00,0.09,0.0000,0.0023,   480,99.78,0.22,0.00,0.00,0.00,51,8296.45,3080.90,2597.21,5.39,134.64,6.39,159.72,
2023-10-29,23:15:08.594,0.41,1.82,0.23,1.16,0.50,81.85,0.99,0.37,0.0000,0.0038, 15320,0.77,0.54,97,49,21373.95,11733.01,2609.22,3.64,91.08,0.82,20.53,0.16,1.06,0.16,1.20,0.35,65.76,0.99,0.42,0.0000,0.0077, 19360,0.03,0.02,65,40,8559.43,8107.16,2609.22,2.11,52.79,0.33,8.22,19.45,19.53,0.02,61.00,0.00,100.00,0.00,0.00,0.00,0.00,13.00,16.66,0.02,70.33,0.00,100.00,0.00,0.00,0.00,0.00,57.44,52.42,4.49 ,4.27 ,0.03 ,0.00 ,3.00,3.00,3.07,2.63,1.17,1.17,0.00,17.94,1.00,0.10,0.0000,0.0022,    40,99.63,0.37,0.00,0.00,0.00,52,7985.19,3032.36,2609.22,5.27,131.67,6.14,153.52,
2023-10-29,23:15:09.588,0.41,2.05,0.20,1.17,0.27,84.39,1.00,0.36,0.0000,0.0039, 15160,0.76,0.54,97,49,21466.58,10484.61,2587.61,4.09,102.37,0.83,20.68,0.17,1.13,0.15,1.22,0.26,66.48,1.00,0.42,0.0000,0.0077, 17840,0.02,0.01,74,40,8604.83,7615.55,2587.61,2.26,56.50,0.33,8.29,17.24,17.62,0.06,65.08,0.00,100.00,0.00,0.00,0.00,0.00,12.06,14.75,0.02,73.17,0.00,100.00,0.00,0.00,0.00,0.00,56.70,51.83,4.50 ,4.24 ,0.27 ,0.00 ,3.00,3.00,3.09,2.63,1.18,1.18,0.01,18.92,1.00,0.09,0.0000,0.0024,   360,99.65,0.35,0.00,0.00,0.00,52,8032.77,3053.26,2587.61,5.26,131.54,6.19,154.71,
2023-10-29,23:15:10.594,0.41,2.17,0.19,1.19,0.08,88.90,1.00,0.36,0.0000,0.0042, 15600,0.75,0.54,99,49,21080.24,9708.99,2598.20,4.34,108.56,0.81,20.28,0.17,1.26,0.13,1.23,0.06,67.19,1.00,0.42,0.0000,0.0077, 18560,0.01,0.01,72,39,8751.35,6926.12,2598.20,2.53,63.18,0.34,8.42,15.75,15.61,0.00,68.63,0.00,100.00,0.00,0.00,0.00,0.00,10.80,13.34,0.00,75.86,0.00,100.00,0.00,0.00,0.00,0.00,56.18,51.36,4.49 ,4.19 ,0.20 ,0.00 ,3.00,3.00,3.09,2.61,1.19,1.19,0.00,20.10,1.00,0.09,0.0000,0.0025,   400,99.80,0.20,0.00,0.00,0.00,52,8041.06,3083.80,2598.20,5.22,130.38,6.19,154.74,
2023-10-29,23:15:11.588,0.40,2.14,0.19,1.18,0.08,90.85,1.00,0.36,0.0000,0.0044, 15440,0.74,0.53,99,48,20736.02,9675.16,2596.45,4.29,107.16,0.80,19.97,0.17,1.26,0.13,1.23,0.06,66.91,1.00,0.42,0.0000,0.0077, 18920,0.01,0.01,75,39,8710.32,6904.29,2596.45,2.52,63.08,0.34,8.39,15.76,16.40,0.00,67.84,0.00,100.00,0.00,0.00,0.00,0.00,10.81,14.01,0.00,75.18,0.00,100.00,0.00,0.00,0.00,0.00,56.05,51.45,4.48 ,4.18 ,0.33 ,0.33 ,3.00,3.00,3.05,2.58,1.18,1.19,0.00,20.47,1.00,0.09,0.0000,0.0026,   440,99.77,0.23,0.00,0.00,0.00,51,7911.87,3072.36,2596.45,5.15,128.76,6.09,152.35,
2023-10-29,23:15:12.588,0.39,2.12,0.19,1.19,0.07,93.56,1.00,0.36,0.0000,0.0046, 15400,0.73,0.53,99,49,20505.35,9658.37,2597.09,4.25,106.15,0.79,19.74,0.17,1.27,0.13,1.23,0.05,67.27,1.00,0.42,0.0000,0.0077, 18640,0.01,0.01,72,39,8772.82,6911.53,2597.09,2.54,63.47,0.34,8.44,15.67,15.48,0.00,68.86,0.00,100.00,0.00,0.00,0.00,0.00,10.78,13.34,0.01,75.87,0.00,100.00,0.00,0.00,0.00,0.00,56.08,51.35,4.47 ,4.15 ,0.27 ,0.00 ,3.00,3.00,3.02,2.54,1.19,1.19,0.00,21.01,1.00,0.09,0.0000,0.0027,   440,99.83,0.17,0.00,0.00,0.00,50,7839.56,3084.63,2597.09,5.08,127.07,6.04,150.93,
2023-10-29,23:15:13.588,0.39,2.08,0.19,1.19,0.07,96.24,1.00,0.36,0.0000,0.0048, 15440,0.73,0.52,99,49,20169.16,9696.80,2598.97,4.16,104.00,0.78,19.40,0.17,1.27,0.13,1.23,0.04,67.20,1.00,0.42,0.0000,0.0076, 18320,0.01,0.00,62,38,8796.69,6935.94,2598.97,2.54,63.41,0.34,8.46,15.73,15.61,0.00,68.66,0.00,100.00,0.00,0.00,0.00,0.00,10.81,13.24,0.00,75.95,0.00,100.00,0.00,0.00,0.00,0.00,56.08,51.51,4.47 ,4.12 ,0.13 ,0.00 ,3.00,3.00,2.97,2.50,1.19,1.19,0.01,21.49,1.00,0.08,0.0000,0.0028,   560,99.79,0.21,0.00,0.00,0.00,51,7714.35,3084.98,2598.97,5.00,125.03,5.94,148.41,
2023-10-29,23:15:14.588,0.38,2.05,0.19,1.19,0.07,99.10,1.00,0.36,0.0000,0.0050, 15200,0.72,0.52,99,48,19832.70,9669.72,2595.42,4.10,102.55,0.76,19.10,0.17,1.28,0.13,1.24,0.03,67.36,1.00,0.42,0.0000,0.0076, 18520,0.01,0.00,59,39,8824.02,6883.33,2595.42,2.56,64.10,0.34,8.50,15.70,15.61,0.00,68.69,0.00,100.00,0.00,0.00,0.00,0.00,10.73,13.23,0.00,76.04,0.00,100.00,0.00,0.00,0.00,0.00,55.95,51.41,4.48 ,4.09 ,0.00 ,0.00 ,3.00,3.00,2.92,2.46,1.19,1.19,0.00,22.02,1.00,0.09,0.0000,0.0029,   640,99.80,0.20,0.00,0.00,0.00,51,7589.93,3080.78,2595.42,4.93,123.18,5.85,146.22,
