,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-11-01,19:37:08.495,  134.64,  125.85,  479.17,  306.69,,,,,  613.81,  432.54,     53134, 1046.36,    5.86,    6.92,    9.07,   10.25,,,,,   14.93,   17.17,     52875,   32.10,    628.74,    449.71,   1078.46
2023-11-01,19:37:09.495,  110.40,  104.93,  407.42,  267.02,,,,,  517.82,  371.94,     52459,  889.76,    2.07,    1.75,    5.37,    5.11,,,,,    7.44,    6.86,     52412,   14.30,    525.27,    378.80,    904.06
2023-11-01,19:37:10.494,   87.10,   82.52,  329.08,  220.27,,,,,  416.18,  302.78,     52442,  718.96,    2.36,    2.07,    5.63,    5.43,,,,,    8.00,    7.51,     52405,   15.50,    424.17,    310.29,    734.47
2023-11-01,19:37:11.495,   38.01,   35.55,  132.81,   93.54,,,,,  170.82,  129.08,     52458,  299.90,    2.04,    1.06,    5.33,    4.40,,,,,    7.38,    5.46,     52455,   12.84,    178.20,    134.54,    312.74
2023-11-01,19:37:12.495,   26.06,   24.17,   81.83,   58.60,,,,,  107.89,   82.77,     52405,  190.67,    1.52,    0.81,    4.80,    4.15,,,,,    6.32,    4.96,     52402,   11.28,    114.21,     87.74,    201.95
2023-11-01,19:37:13.496,   41.14,   29.65,  133.48,   79.92,,,,,  174.62,  109.57,     52501,  284.18,   20.10,   12.78,   24.65,   16.41,,,,,   44.75,   29.20,     52485,   73.95,    219.37,    138.76,    358.13
2023-11-01,19:37:14.495,   12.38,   10.93,   29.77,   20.27,,,,,   42.15,   31.20,     52411,   73.35,    4.15,    2.10,    7.41,    5.41,,,,,   11.57,    7.52,     52406,   19.08,     53.72,     38.72,     92.43
2023-11-01,19:37:15.496,   12.15,   10.34,   28.83,   19.15,,,,,   40.98,   29.48,     52455,   70.46,    2.03,    1.00,    5.32,    4.33,,,,,    7.34,    5.34,     52454,   12.68,     48.33,     34.82,     83.15
2023-11-01,19:37:16.495,   10.99,    9.42,   24.17,   16.24,,,,,   35.16,   25.67,     52405,   60.82,    1.47,    0.89,    4.72,    4.22,,,,,    6.19,    5.11,     52406,   11.30,     41.34,     30.78,     72.12
2023-11-01,19:37:17.496,   10.82,    9.21,   24.29,   16.23,,,,,   35.11,   25.45,     52456,   60.55,    1.46,    0.70,    4.72,    4.04,,,,,    6.18,    4.74,     52453,   10.91,     41.28,     30.18,     71.47
2023-11-01,19:37:18.496,   11.23,    9.15,   25.43,   16.56,,,,,   36.66,   25.71,     52400,   62.37,    2.11,    1.30,    5.36,    4.65,,,,,    7.47,    5.95,     52400,   13.41,     44.13,     31.65,     75.78
2023-11-01,19:37:19.496,   10.52,    8.92,   23.18,   15.42,,,,,   33.70,   24.35,     52458,   58.05,    2.43,    0.98,    5.70,    4.33,,,,,    8.13,    5.31,     52457,   13.44,     41.83,     29.66,     71.49
2023-11-01,19:37:20.496,    9.99,    8.54,   21.52,   14.34,,,,,   31.51,   22.87,     52402,   54.38,    1.09,    0.38,    4.36,    3.72,,,,,    5.46,    4.09,     52403,    9.55,     36.96,     26.97,     63.93
2023-11-01,19:37:21.497,   10.34,    8.64,   22.95,   15.14,,,,,   33.29,   23.77,     52461,   57.06,    1.46,    0.71,    4.72,    4.04,,,,,    6.18,    4.75,     52453,   10.94,     39.48,     28.52,     68.00
2023-11-01,19:37:22.496,   10.15,    8.62,   22.65,   15.04,,,,,   32.80,   23.66,     52403,   56.46,    1.27,    0.56,    4.53,    3.92,,,,,    5.80,    4.48,     52401,   10.28,     38.60,     28.14,     66.74
2023-11-01,19:37:23.496,   10.20,    8.52,   22.66,   14.95,,,,,   32.87,   23.47,     52455,   56.34,    1.48,    0.79,    4.74,    4.12,,,,,    6.21,    4.91,     52453,   11.12,     39.08,     28.38,     67.46
2023-11-01,19:37:24.497,   22.24,   13.09,   64.73,   35.26,,,,,   86.97,   48.36,     52475,  135.33,   31.98,   21.17,   37.00,   24.79,,,,,   68.98,   45.97,     52510,  114.94,    155.95,     94.32,    250.27
2023-11-01,19:37:25.496,    9.14,    6.76,   20.25,   12.01,,,,,   29.39,   18.77,     52415,   48.16,    2.23,    1.35,    5.50,    4.70,,,,,    7.74,    6.06,     52407,   13.79,     37.13,     24.83,     61.95
2023-11-01,19:37:26.496,    7.74,    6.20,   14.89,    9.21,,,,,   22.62,   15.40,     52404,   38.03,    1.15,    0.54,    4.40,    3.87,,,,,    5.55,    4.42,     52401,    9.96,     28.17,     19.82,     47.99
2023-11-01,19:37:27.497,    8.07,    6.28,   16.41,    9.95,,,,,   24.48,   16.23,     52454,   40.71,    1.55,    0.74,    4.82,    4.09,,,,,    6.37,    4.83,     52455,   11.20,     30.85,     21.07,     51.92
2023-11-01,19:37:28.496,    7.72,    6.05,   14.84,    9.02,,,,,   22.56,   15.07,     52403,   37.62,    1.51,    0.86,    4.78,    4.20,,,,,    6.29,    5.06,     52401,   11.34,     28.84,     20.13,     48.97
2023-11-01,19:37:29.496,    7.85,    6.26,   15.18,    9.29,,,,,   23.03,   15.55,     52456,   38.58,    1.31,    0.60,    4.56,    3.94,,,,,    5.87,    4.53,     52454,   10.40,     28.90,     20.08,     48.99
2023-11-01,19:37:30.497,    7.56,    6.03,   13.92,    8.51,,,,,   21.47,   14.54,     52453,   36.01,    2.06,    1.03,    5.32,    4.37,,,,,    7.38,    5.40,     52455,   12.78,     28.85,     19.94,     48.80
2023-11-01,19:37:31.496,    7.80,    6.00,   15.35,    9.23,,,,,   23.14,   15.23,     52406,   38.38,    1.57,    0.83,    4.82,    4.16,,,,,    6.39,    4.98,     52402,   11.37,     29.53,     20.22,     49.75
2023-11-01,19:37:32.497,    7.44,    5.84,   13.95,    8.46,,,,,   21.39,   14.30,     52454,   35.69,    1.32,    0.56,    4.58,    3.89,,,,,    5.91,    4.45,     52457,   10.36,     27.30,     18.74,     46.04
2023-11-01,19:37:33.497,    7.65,    6.01,   14.30,    8.71,,,,,   21.94,   14.72,     52407,   36.66,    4.02,    2.01,    7.27,    5.33,,,,,   11.29,    7.34,     52409,   18.63,     33.23,     22.06,     55.29
2023-11-01,19:37:34.497,   21.68,   11.66,   60.39,   31.69,,,,,   82.07,   43.35,     52493,  125.42,   27.47,   19.10,   32.02,   22.64,,,,,   59.49,   41.73,     52496,  101.23,    141.57,     85.08,    226.65
2023-11-01,19:37:35.497,    8.82,    6.29,   17.10,    9.46,,,,,   25.92,   15.74,     52411,   41.67,    3.96,    1.90,    7.24,    5.25,,,,,   11.20,    7.15,     52416,   18.35,     37.12,     22.89,     60.01
2023-11-01,19:37:36.497,    7.39,    5.66,   12.05,    6.87,,,,,   19.45,   12.53,     52407,   31.98,    1.42,    0.67,    4.66,    4.01,,,,,    6.08,    4.68,     52401,   10.76,     25.53,     17.21,     42.74
2023-11-01,19:37:37.496,    7.42,    5.74,   12.66,    7.21,,,,,   20.08,   12.94,     52461,   33.02,    1.35,    0.55,    4.62,    3.90,,,,,    5.97,    4.45,     52456,   10.43,     26.06,     17.39,     43.45
2023-11-01,19:37:38.497,    7.17,    5.57,   10.97,    6.21,,,,,   18.14,   11.78,     52455,   29.92,    1.15,    0.46,    4.41,    3.79,,,,,    5.56,    4.25,     52452,    9.81,     23.70,     16.02,     39.72
2023-11-01,19:37:39.497,    7.42,    5.58,   11.96,    6.59,,,,,   19.38,   12.17,     52410,   31.55,    1.54,    0.89,    4.81,    4.23,,,,,    6.35,    5.13,     52403,   11.47,     25.72,     17.30,     43.02
2023-11-01,19:37:40.497,    7.00,    5.51,   10.64,    6.05,,,,,   17.63,   11.56,     52462,   29.19,    1.29,    0.61,    4.55,    3.97,,,,,    5.83,    4.58,     52452,   10.41,     23.47,     16.14,     39.60
2023-11-01,19:37:41.497,    7.21,    5.60,   11.70,    6.66,,,,,   18.92,   12.26,     52402,   31.18,    2.06,    0.97,    5.33,    4.32,,,,,    7.39,    5.29,     52401,   12.68,     26.31,     17.55,     43.85
2023-11-01,19:37:42.497,    7.04,    5.46,   10.84,    6.10,,,,,   17.88,   11.55,     52456,   29.43,    1.38,    0.57,    4.64,    3.93,,,,,    6.02,    4.50,     52457,   10.52,     23.90,     16.05,     39.96
