Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1695134408,Device: id=1,RX,0.045413699145189,373.48226177003,380.74845363326,48919,50288732
1695134409,Device: id=1,RX,0.25840906837558,2125.1489785418,2166.4944294819,307336,315940508
1695134410,Device: id=1,RX,0.57099381974215,4695.8459741417,4787.2049853004,878376,902968728
1695134411,Device: id=1,RX,0.60793949490955,4999.6954300342,5096.9657492197,1486376,1527992856
1695134412,Device: id=1,RX,0.60794026972511,4999.6935785714,5096.9640217274,2094346,2152985116
1695134413,Device: id=1,RX,0.60793981941487,4999.6898755924,5096.9602466988,2702347,2778009244
1695134414,Device: id=1,RX,0.60794000606582,4999.6831866209,5096.9535875914,3310316,3402999448
1695134415,Device: id=1,RX,0.60793958181073,4999.6961447097,5096.9664777994,3918316,4028023576
1695134416,Device: id=1,RX,0.72984579972601,6002.2364338807,6119.0117618369,4648206,4778348568
1695134417,Device: id=1,RX,0.69137449827388,5685.8720975129,5796.4920172368,5339605,5489107768
1695134418,Device: id=1,RX,0.74510048154006,6127.7485018372,6246.9645788836,6084747,6255119012
1695134419,Device: id=1,RX,0.76090081336703,6257.5917487853,6379.3358789241,6845697,7037368544
1695134420,Device: id=1,RX,0.75035914636294,6170.9381957269,6290.995659145,7596058,7808737724
1695134421,Device: id=1,RX,0.76910833546458,6325.1397511103,6448.1970847847,8365193,8599407604
1695134422,Device: id=1,RX,0.75996350014232,6249.932625611,6371.5267856338,9125203,9380696984
1695134423,Device: id=1,RX,0.77111067817766,6341.6070178496,6464.984726358,9896369,10173454732
1695134424,Device: id=1,RX,0.75739725790324,6228.8360729371,6350.0196342017,10653810,10952104208
1695134425,Device: id=1,RX,0.75511272128698,6210.0315965847,6330.8496319906,11408958,11728394424
1695134426,Device: id=1,RX,0.79778623070658,6560.986761374,6688.632558287,12206749,12548522672
1695134427,Device: id=1,RX,0.92735647892371,7626.5807066581,7774.9577432859,13134115,13501855048
1695134428,Device: id=1,RX,0.81027722075306,6663.7126637911,6793.3570191116,13944428,14334855912
1695134429,Device: id=1,RX,0.91278864233664,7506.7583711064,7652.8045538803,14857248,15273232944
1695134430,Device: id=1,RX,0.91350001607762,7512.6169323247,7658.7769348971,15770761,16212323408
