Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10996734,1193192,275506,31536134,9691668,0,604002
1,9937508,46928,3290378,6243118,0,9618,56420
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10777788,1204742,34214950,26151076,9689792,0,558740
1,9997918,46886,4497108,36443708,0,9660,55888
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10840746,1205792,357070,60646222,9691752,0,603568
1,9927498,46830,37176230,4960270,0,9618,56518
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10835818,1218322,37470384,60411498,9690842,0,605584
1,9919756,46858,3104920,5312146,0,9632,56714
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10845352,1215200,37207058,60399878,9690870,0,598934
1,9939132,46914,3187842,4577804,0,9618,56700
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,10872750,1213198,37468270,60133192,9690856,0,594846
1,9954014,46886,3398458,5685988,0,9604,56406
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,12880140,1425158,36981042,65437610,11270238,0,679476
1,11814180,55636,3083878,5867386,0,11410,65968
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,12909442,1217328,330904,65013410,11498424,0,701610
1,11804198,55608,41603058,6348160,0,11410,67270
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,12886524,1420860,37226252,64450946,11494238,0,700868
1,11791164,55608,4721430,4874492,0,11410,67354
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,12896100,1419166,37812558,65272802,11497724,406,707952
1,11784304,55594,3148418,4883998,0,11424,67424
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,12898060,1413538,34774810,65265396,11500384,140,699566
1,11801454,55608,628138,5566428,0,11410,67354
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,12895582,1400448,38002748,64098944,11498704,168,517174
1,11779474,55594,3007886,6227774,0,11410,67396
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,12717040,1285956,35708218,64143254,11496366,140,643510
1,11770220,55622,3066182,6273554,0,11410,67410
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,12716256,1417430,202846,29732948,11497052,140,713916
1,11770864,55776,3303300,12210786,0,11410,67298
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,12898606,1420678,284424,64780898,11499712,1260,241808
1,11784598,55776,36601460,5052096,0,11410,67088
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,12894812,1390354,37908108,54173098,11496366,140,708554
1,11779082,55636,3007242,14231462,0,11396,67340
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,16341080,1717380,37419186,71342908,14627564,140,850976
1,14983976,70658,3309082,5954956,0,14504,85764
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,16356676,1778000,37775962,70906724,14624400,140,857164
1,14983640,70728,3128216,7963508,0,14504,85764
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,16391508,1757882,36794996,40846456,13929062,140,34104
1,14991480,70714,6267184,5753020,0,14518,85848
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,1493030,867776,37974650,27630876,14407666,5432,28574
1,14967582,70686,3289622,14509838,0,14532,85610
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,1345792,858788,39538576,227120390,14393526,980,28448
1,15021734,70700,3311910,7594468,0,14504,85806
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,1128316,802564,38557064,39030740,13387528,756,28112
1,14960862,70602,3415454,5243532,0,14504,85764
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,1470630,879536,1013250,56050652,14195678,140,28434
1,14955234,70742,36886220,40158300,0,14518,86352
