Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1683672167,Device: id=0,TX,0.043727794964033,123.84360551924,130.84005271348,43781,15500538
1683672168,Device: id=0,TX,0.070393601876105,198.28044974216,209.54342604234,114214,40299466
1683672169,Device: id=0,TX,0.070923352263274,199.98297945941,211.33071582153,185158,65304616
1683672170,Device: id=0,TX,0.069868829726046,199.9996530557,211.17866581186,255046,90311432
1683672171,Device: id=0,TX,0.070679480908186,199.99552745547,211.30424440078,325768,115325912
1683672172,Device: id=0,TX,0.070656241241859,200.00402165218,211.30902025088,396456,140337652
1683672173,Device: id=0,TX,0.07044637501072,199.98648455098,211.2579045527,466954,165354282
1683672174,Device: id=0,TX,0.070887551993346,199.99563346634,211.33764178527,537899,190373996
1683672175,Device: id=0,TX,0.32438396388036,917.22136271036,969.12279693122,862285,305027386
1683672176,Device: id=0,TX,1.6143124990959,4557.6552895863,4815.9452894416,2476631,874746120
1683672177,Device: id=0,TX,1.6125021736489,4558.6819217752,4816.682269559,4089193,1444602502
1683672178,Device: id=0,TX,1.6112897502175,4557.0001030343,4814.8064630691,5700498,2014232906
1683672179,Device: id=0,TX,1.6116321399621,4556.1919063363,4814.0530487302,7312180,2583774514
1683672180,Device: id=0,TX,1.5947835039613,4504.3549891501,4759.5203497839,8907024,3146840246
1683672181,Device: id=0,TX,1.6125684248658,4559.6718872525,4817.6828352311,10519635,3716814280
1683672182,Device: id=0,TX,1.6120828644217,4560.5886663941,4818.5219247016,12131732,4286892862
1683672183,Device: id=0,TX,1.6122792499753,4559.0367029867,4817.0013829828,13744051,4856786500
1683672184,Device: id=0,TX,1.6110834583141,4560.596261386,4818.3696147163,15355189,5426880332
1683672185,Device: id=0,TX,1.6217482684641,4583.7124051607,4843.192128115,16976951,5999849234
1683672186,Device: id=0,TX,1.666020178027,4708.3932594264,4974.9564879107,18642999,6588408220
1683672187,Device: id=0,TX,1.6662781686004,4708.0805148747,4974.6850218507,20309278,7176918578
1683672188,Device: id=0,TX,1.6652242522873,4708.5157266426,4974.9516070086,21974550,7765499920
1683672189,Device: id=0,TX,1.6635083193297,4705.1598719161,4971.3212030088,23638074,8353650448
1683672190,Device: id=0,TX,1.5987322291711,4515.7138041236,4771.5109607909,25236826,8918121654
1683672191,Device: id=0,TX,1.6628790085022,4709.0012510403,4975.0618924007,26899772,9506770524
1683672192,Device: id=0,TX,1.6622367175689,4709.9836241173,4975.9414989284,28562014,10095520348
1683672193,Device: id=0,TX,1.6662610723502,4710.0643934608,4976.6661650368,30228326,10684296392
1683672194,Device: id=0,TX,1.6637521305096,4707.1923197752,4973.3926606567,31892095,11272701398
1683672195,Device: id=0,TX,1.7372281903645,4909.6337552034,5187.5902656617,33629375,11886423920
1683672196,Device: id=0,TX,2.0936416552877,5928.6601822268,6263.6428470728,35723042,12627515414
1683672197,Device: id=0,TX,2.0979765963517,5928.9030225799,6264.5792779961,37821089,13368653162
1683672198,Device: id=0,TX,2.0989404929906,5930.6191982501,6266.4496771286,39920036,14109982860
1683672199,Device: id=0,TX,2.096198372076,5928.722117579,6264.1138571112,42016280,14851089256
1683672200,Device: id=0,TX,2.0977352374454,5926.075281844,6261.7129198352,44114020,15591850348
1683672201,Device: id=0,TX,2.0986974653313,5927.8244292035,6263.6160236565,46212742,16332837064
1683672202,Device: id=0,TX,2.0984478774803,5930.6892957992,6266.4409561961,48311225,17074185634
1683672203,Device: id=0,TX,2.0981763878855,5929.4465681638,6265.1547902255,50409417,17815371970
1683672204,Device: id=0,TX,2.0954053774852,5927.6819337979,6262.9467941955,52504869,18556348698
1683672205,Device: id=0,TX,2.0556723946476,5822.9089174041,6151.8165005478,54560555,19284217130
1683672206,Device: id=0,TX,1.8664120871699,5277.6127926023,5576.2387265495,56426986,19943925414
1683672207,Device: id=0,TX,1.8689336483802,5279.4730378285,5578.5024215693,58295949,20603869908
1683672208,Device: id=0,TX,1.8670032337462,5281.320315833,5580.0408332324,60162959,21264037340
1683672209,Device: id=0,TX,1.8672468786631,5278.3489188799,5577.108419466,62030221,21923836298
1683672210,Device: id=0,TX,1.8654132427343,5275.7768848839,5574.2430037214,63895661,22583317868
1683672211,Device: id=0,TX,1.8664721022222,5275.4083975469,5574.0439339024,65762161,23242753774
1683672212,Device: id=0,TX,1.8663223738281,5278.2116510258,5576.8232308383,67628529,23902546360
1683672213,Device: id=0,TX,1.8653441875362,5279.3888833114,5577.8439533172,69493919,24562486178
1683672214,Device: id=0,TX,1.8654161291078,5277.6757342797,5576.1423149369,71359344,25222198782
1683672215,Device: id=0,TX,1.9293707451952,5458.8698282478,5767.569147479,73288723,25904560430
1683672216,Device: id=0,TX,2.252488890974,6361.8583830731,6722.256605629,75541269,26699812890
1683672217,Device: id=0,TX,2.2508386078371,6361.8743032772,6722.0084805312,77792149,27495061802
1683672218,Device: id=0,TX,2.2487592960009,6361.3795219666,6721.1810093268,80040993,28290264194
1683672219,Device: id=0,TX,2.2495937639678,6361.9266944449,6721.8616966797,82290648,29085526678
1683672220,Device: id=0,TX,2.2445089595515,6357.5280917883,6716.6495253165,84535227,29880242488
1683672221,Device: id=0,TX,2.2508968846918,6361.7297640884,6721.873265639,86786137,30675463342
1683672222,Device: id=0,TX,2.1551040685245,6092.8437605312,6437.6604114951,88941254,31437073382
1683672223,Device: id=0,TX,2.2503479553553,6362.9112465331,6722.9669193899,91191612,32232440838
1683672224,Device: id=0,TX,2.2470086546887,6358.2471094025,6717.7684941527,93438651,33027232460
1683672225,Device: id=0,TX,2.1436875106797,6066.4601864204,6409.4501881292,95582402,33785562442
1683672226,Device: id=0,TX,1.6143898781689,4564.4948784991,4822.7972590061,97196842,34356142016
1683672227,Device: id=0,TX,1.6123042235381,4563.2893595156,4821.2580352817,98809150,34926554522
1683672228,Device: id=0,TX,1.6126884240033,4564.8359274112,4822.8660752517,100421888,35497176554
1683672229,Device: id=0,TX,1.6105137983735,4563.9810843531,4821.6632920928,102032415,36067678866
1683672230,Device: id=0,TX,1.6119306404347,4561.0383630414,4818.947265511,103644387,36637823290
1683672231,Device: id=0,TX,1.6155700159031,4563.5530586677,4822.0442612122,105259971,37208272360
1683672232,Device: id=0,TX,1.6145949290213,4563.7840739293,4822.1192625727,106874596,37778755994
1683672233,Device: id=0,TX,1.5427695744711,4370.1960739287,4617.0392058441,108417413,38325047296
1683672234,Device: id=0,TX,1.6127894839824,4562.7066552145,4820.7529726517,110030215,38895390054
1683672235,Device: id=0,TX,1.6417594159191,4645.032491459,4907.713998006,111671975,39476019322
1683672236,Device: id=0,TX,1.7886917162228,5053.2490273623,5339.439701958,113460749,40107704508
1683672237,Device: id=0,TX,1.7911440353673,5052.8249595496,5339.4080052083,115251945,40739325952
1683672238,Device: id=0,TX,1.7838196290129,5053.6418365299,5339.052977172,117035819,41371050436
1683672239,Device: id=0,TX,1.7845537913845,5053.1989526452,5338.7275592667,118820393,42002707458
1683672240,Device: id=0,TX,1.7872739979193,5050.5130341204,5336.4768737875,120607667,42634021588
1683672241,Device: id=0,TX,1.7848152884446,5052.2559375475,5337.8263836986,122392495,43265558078
1683672242,Device: id=0,TX,1.7853856520008,5052.8244718969,5338.4861762171,124177932,43897179302
1683672243,Device: id=0,TX,1.7850888744966,5052.5092000538,5338.1234199732,125963043,44528750780
1683672244,Device: id=0,TX,1.7835841439771,5045.4150247945,5330.7884878308,127746640,45159432204
1683672245,Device: id=0,TX,1.7485968284151,4940.859146962,5220.6346395084,129495252,45777044956
1683672246,Device: id=0,TX,1.5473487349312,4379.1208351134,4626.6966327024,131042610,46324438338
1683672247,Device: id=0,TX,1.5483699026992,4376.9534566987,4624.6926411306,132591027,46871574162
1683672248,Device: id=0,TX,1.5516856488809,4378.5204004466,4626.7901042675,134142774,47418910852
1683672249,Device: id=0,TX,1.5468171584465,4378.8734897624,4626.3642351138,135689621,47966280598
