Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1678975704,Device: id=0,TX,1.5798182515735,808.8710407985,1061.6419610503,1579883,101113344
1678975705,Device: id=0,TX,4.8596182831701,2488.1230249859,3265.6619502931,6439510,412129280
1678975706,Device: id=0,TX,4.9493410125935,2534.0646464458,3325.9592084608,11388856,728887680
1678975707,Device: id=0,TX,4.941008249912,2529.7957119567,3320.3570319426,16329881,1045113216
1678975708,Device: id=0,TX,4.9413063072749,2529.9488293248,3320.5578384888,21271223,1361359104
1678975709,Device: id=0,TX,4.9306226284158,2524.4808337471,3313.3804542936,26201850,1676919488
1678975710,Device: id=0,TX,4.9432456921209,2530.9412823713,3321.8605931106,31145148,1993290496
1678975711,Device: id=0,TX,4.9149906219135,2516.4762224163,3302.8747219225,36060155,2307851072
1678975712,Device: id=0,TX,5.2011929597222,2663.0123313686,3495.2032049242,41261379,2640729600
1678975713,Device: id=0,TX,6.6282380478292,3393.6583924846,4454.1764801373,47889668,3064940160
1678975714,Device: id=0,TX,6.6176918528773,3388.2771725583,4447.1078690186,54507400,3488477376
1678975715,Device: id=0,TX,6.6271377879711,3393.075091662,4453.4171377374,61134613,3912616576
1678975716,Device: id=0,TX,6.6340021416545,3396.6070485505,4458.0473912152,67768691,4337197312
1678975717,Device: id=0,TX,6.626938302286,3392.9949707276,4453.3050990934,74395740,4761328768
1678975718,Device: id=0,TX,6.6274686213397,3393.2623981369,4453.6573775513,81023256,5185489600
1678975719,Device: id=0,TX,6.5061594254135,3331.1546498108,4372.140157877,87529421,5601884288
1678975720,Device: id=0,TX,6.6025373890625,3380.5001671948,4436.9061494448,94131992,6024448960
1678975721,Device: id=0,TX,6.580152917941,3369.0382939858,4421.8627608563,100712154,6445579328
1678975722,Device: id=0,TX,6.233431420467,3191.5199592167,4188.8689864914,106945712,6844527424
1678975723,Device: id=0,TX,3.9962827132793,2046.0941892095,2685.4994233341,110942011,7100290240
1678975724,Device: id=0,TX,3.9952914263003,2045.589722261,2684.836350469,114937340,7355991360
1678975725,Device: id=0,TX,3.9949470137646,2045.4133830439,2684.6049052462,118932315,7611669824
1678975726,Device: id=0,TX,3.9952585284841,2045.5728785829,2684.8142431403,122927581,7867366912
1678975727,Device: id=0,TX,3.9959786479291,2045.9415797329,2685.2981634015,126923613,8123113024
1678975728,Device: id=0,TX,3.9952736731889,2045.5806326655,2684.8244203757,130918943,8378814208
1678975729,Device: id=0,TX,3.9880006323907,2041.8568357798,2679.9369369623,134906977,8634048448
1678975730,Device: id=0,TX,3.9851671997603,2040.406118275,2678.0328702366,138892162,8889100352
1678975731,Device: id=0,TX,3.9950574400862,2045.4699213221,2684.6791117359,142887235,9144785088
1678975732,Device: id=0,TX,4.5683093476145,2338.9754099749,3069.9049055932,147455561,9437158080
1678975733,Device: id=0,TX,7.8083800285389,3997.8910866095,5247.2318911757,155263978,9936896832
1678975734,Device: id=0,TX,7.8103249528708,3998.886887867,5248.5388803263,163074346,10436760448
1678975735,Device: id=0,TX,7.6631511427093,3923.5323610717,5149.6365439052,170737531,10927204160
1678975736,Device: id=0,TX,7.7862869847837,3986.5804722091,5232.3863897745,178523819,11425526784
1678975737,Device: id=0,TX,7.7966038188176,3991.8621792295,5239.3187902403,186320462,11924512064
1678975738,Device: id=0,TX,7.8000179773597,3993.6097164072,5241.6125927847,194120495,12423714240
1678975739,Device: id=0,TX,7.7952877925419,3991.1883737801,5238.4344205868,201915793,12922613440
1678975740,Device: id=0,TX,7.649398842003,3916.4927191034,5140.3965338239,209565224,13412177088
1678975741,Device: id=0,TX,7.7927961996983,3989.9101182496,5236.7575102013,217358041,13910917184
1678975742,Device: id=0,TX,7.2297950960687,3701.6586731332,4858.4258885041,224587945,14373631488
1678975743,Device: id=0,TX,4.1705491117821,2135.3190972643,2802.6069551494,228758559,14640550528
1678975744,Device: id=0,TX,4.1251330494749,2112.0691453304,2772.0904332464,232883695,14904559360
1678975745,Device: id=0,TX,4.1711200821409,2135.61399405,2802.9932071926,237054865,15171514304
1678975746,Device: id=0,TX,4.170702176832,2135.4000265357,2802.7123748288,241225586,15438440512
1678975747,Device: id=0,TX,4.1717993411668,2135.9617746762,2803.4496692629,245397395,15705436352
1678975748,Device: id=0,TX,4.1698148510411,2134.9452037331,2802.1155798996,249567251,15972307136
1678975749,Device: id=0,TX,4.1710800163501,2135.5939923653,2802.9667949814,253738355,16239257920
1678975750,Device: id=0,TX,4.1606018877093,2130.2286785021,2795.9249805356,257898998,16505539136
1678975751,Device: id=0,TX,4.1690239206077,2134.5402473511,2801.5840746484,262068023,16772356736
1678975752,Device: id=0,TX,4.7486781175036,2431.3231961618,3191.1116949624,266816706,17076272448
1678975753,Device: id=0,TX,8.1418743107321,4168.6401590912,5471.3400488083,274958638,17597356160
1678975754,Device: id=0,TX,8.1881266087985,4192.3233836891,5502.4236410968,283146815,18121399808
1678975755,Device: id=0,TX,8.2027807967788,4199.8222319519,5512.2671594365,291349602,18646377984
1678975756,Device: id=0,TX,8.2109859963449,4204.0273901118,5517.785149527,299560642,19171884864
1678975757,Device: id=0,TX,8.2219031148754,4209.6128588241,5525.1173572041,307782587,19698089152
1678975758,Device: id=0,TX,8.2182370912435,4207.7409747141,5522.658909313,316000830,20224057152
1678975759,Device: id=0,TX,8.2119380315135,4204.5097121449,5518.4197971871,324212800,20749622912
1678975760,Device: id=0,TX,7.6178831153057,3900.3566670355,5119.2179654844,331830698,21237168448
1678975761,Device: id=0,TX,8.1307907812501,4162.9653919967,5463.8919169967,339961542,21757542528
1678975762,Device: id=0,TX,7.440525734165,3809.5496878894,5000.0338053558,347402112,22233739072
1678975763,Device: id=0,TX,3.0476518435981,1560.3987679128,2048.0230628885,350449792,22428790720
1678975764,Device: id=0,TX,3.0493581602065,1561.272402019,2049.1697076521,353499170,22623951040
1678975765,Device: id=0,TX,3.0489385557539,1561.056540546,2048.8867094666,356548130,22819084480
1678975766,Device: id=0,TX,3.0497486276543,1561.4718093569,2049.4315897816,359597891,23014269248
1678975767,Device: id=0,TX,3.0500346534438,1561.6187665473,2049.6243110983,362647973,23209474624
1678975768,Device: id=0,TX,3.0488425727975,1561.0073972723,2048.8222089199,365696869,23404603968
1678975769,Device: id=0,TX,3.0391161770027,1556.0274826254,2042.2860709458,368735990,23599107712
1678975770,Device: id=0,TX,3.0494473556082,1561.3175580696,2049.2291349669,371785448,23794273088
1678975771,Device: id=0,TX,3.0415635082861,1557.2820522332,2043.9322135589,374827030,23988934528
1678975772,Device: id=0,TX,3.1561928037677,1615.9707155291,2120.9615641319,377983249,24190932544
1678975773,Device: id=0,TX,3.7596949114351,1924.964306653,2526.5154924826,381742957,24431553920
1678975774,Device: id=0,TX,3.7584562572586,1924.3301157154,2525.6831168767,385501421,24672095680
1678975775,Device: id=0,TX,3.7575771967104,1923.8805487005,2525.0929001742,389259054,24912584320
1678975776,Device: id=0,TX,3.7590297507034,1924.6237443589,2526.0685044714,393018093,25153162880
1678975777,Device: id=0,TX,3.7590401044904,1924.6290454945,2526.0754622129,396777167,25393743680
1678975778,Device: id=0,TX,3.7601753269837,1925.2097674156,2526.837819733,400537393,25634398144
1678975779,Device: id=0,TX,3.7584879970619,1924.3463664945,2525.7044460244,404295890,25874942016
1678975780,Device: id=0,TX,3.7593305636644,1924.7782725884,2526.2711627747,408055249,26115541120
1678975781,Device: id=0,TX,3.7487963943872,1919.3842659253,2519.1916890273,411804052,26355464576
1678975782,Device: id=0,TX,4.1261040364573,2112.566290656,2772.7429364892,415930197,26619537984
1678975783,Device: id=0,TX,6.2088873486775,3178.950834522,4172.3728103104,422139095,27016907520
1678975784,Device: id=0,TX,6.2060490754042,3177.4976386067,4170.4654906714,428345147,27414094912
1678975785,Device: id=0,TX,6.0088859823512,3076.5501349632,4037.9718921394,434354040,27798664128
