Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1680185495,Device: id=1,RX,0,0,0,0,0
1680185496,Device: id=1,RX,0,0,0,0,0
1680185497,Device: id=1,RX,1.033167940525,2911.5405874015,3076.8474578855,1033182,363947526
1680185498,Device: id=1,RX,2.1162646621996,5108.019277849,5446.6216238009,3149543,1002479002
1680185499,Device: id=1,RX,3.6733432852746,5848.7158154524,6436.4507410964,6822997,1733590514
1680185500,Device: id=1,RX,2.9097234721786,5552.6795829039,6018.2353384525,9732777,2427688946
1680185501,Device: id=1,RX,2.9079866643624,5551.3025823485,6016.5804486465,12640769,3121603042
1680185502,Device: id=1,RX,2.904500590214,5552.1354512024,6016.8555456366,15545349,3815638948
1680185503,Device: id=1,RX,3.0834878508989,6047.0306474884,6540.3887036322,18628848,4571520512
1680185504,Device: id=1,RX,3.7368104428998,7951.2402780052,8549.1299488691,22365699,5565436334
1680185505,Device: id=1,RX,3.8091063722576,8112.921366987,8722.3783865482,26174806,6579551672
1680185506,Device: id=1,RX,3.4582702532783,7929.5602333447,8482.8834738692,29633166,7570772424
1680185507,Device: id=1,RX,2.672683499524,7555.8199032789,7983.4492632028,32305903,8515268818
1680185508,Device: id=1,RX,2.6714708268865,7550.1765093737,7977.6118416755,34977389,9459046242
1680185509,Device: id=1,RX,4.8698801725872,8334.3543693928,9113.5351970068,39847313,10500849914
1680185510,Device: id=1,RX,4.1036289377328,8260.2087623941,8916.7893924314,43950991,11533388354
1680185511,Device: id=1,RX,4.1056667463725,8265.8294548042,8922.7361342238,48056704,12566628676
1680185512,Device: id=1,RX,4.1091867229268,8271.5088384459,8928.9787141142,52165908,13600571628
1680185513,Device: id=1,RX,3.9730043239712,7889.9162707204,8525.5969625558,56138991,14586830692
1680185514,Device: id=1,RX,3.2806559245481,6042.8380800916,6567.7430280193,59419674,15342191686
1680185515,Device: id=1,RX,3.4123483541711,6302.7715040355,6848.7472407029,62832108,16130057898
