Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1690287627,Device: id=0,TX,0.068646277875529,195.17420780759,206.15761226767,68675,24407150
1690287628,Device: id=0,TX,0.17113223274676,485.92747192218,513.30862916167,239844,85161134
1690287629,Device: id=0,TX,0.17708615328584,499.95890834858,528.29269287432,416999,147680294
1690287630,Device: id=0,TX,0.17614680731287,499.96667921178,528.15016838184,593157,210180100
1690287631,Device: id=0,TX,0.17708266965047,499.95093566882,528.28416281289,770311,272699140
1690287632,Device: id=0,TX,0.17595375475081,499.96234551239,528.11494627252,946280,335199848
1690287633,Device: id=0,TX,0.17587257130964,499.9761149105,528.11572632004,1122216,397719402
1690287634,Device: id=0,TX,0.17612782288465,499.95299492804,528.13344658958,1298379,460226008
1690287635,Device: id=0,TX,0.22296290292686,633.83243623119,669.50650069949,1521417,539481748
1690287636,Device: id=0,TX,0.35208418493028,994.40918251214,1050.742652101,1873740,663867208
1690287637,Device: id=0,TX,0.35348783896065,999.87869013898,1056.4367443727,2227245,788858112
1690287638,Device: id=0,TX,0.35407493550342,999.9094018311,1056.5613915116,2581326,913848928
1690287639,Device: id=0,TX,0.3528186673851,999.92630675369,1056.3772935353,2934372,1038920252
1690287640,Device: id=0,TX,0.3533072749334,999.92264518674,1056.4518091761,3287729,1163928174
1690287641,Device: id=0,TX,0.35325274536921,999.93198336586,1056.4524226249,3641041,1288940638
1690287642,Device: id=0,TX,0.35363138708915,999.9160429542,1056.4970648885,3994673,1413930360
1690287643,Device: id=0,TX,0.35306751127789,999.92275767362,1056.4135594781,4347763,1538928666
1690287644,Device: id=0,TX,0.3533489622896,999.92428142798,1056.4601153943,4701166,1663938316
1690287645,Device: id=0,TX,0.45500174934456,1285.5217909616,1358.3220708568,5156190,1824636398
1690287646,Device: id=0,TX,0.66317866269017,1877.8935473751,1984.0021334055,5819806,2059527890
1690287647,Device: id=0,TX,0.68890200209716,1953.0195822479,2063.2439025834,6508759,2303673410
1690287648,Device: id=0,TX,0.70569574031004,1998.6362787609,2111.5475972106,7214520,2553526048
1690287649,Device: id=0,TX,0.70379657042306,1991.3181285949,2103.9255798626,7918360,2802456174
1690287650,Device: id=0,TX,0.70604413902581,1997.5960229466,2110.5630851908,8624409,3052157396
1690287651,Device: id=0,TX,0.7080894183363,1999.812331764,2113.1066386978,9332539,3302148264
1690287652,Device: id=0,TX,0.70637423184748,1997.7892290303,2110.8091061259,10038942,3551882088
1690287653,Device: id=0,TX,0.70478280660485,1994.6763596517,2107.4416087085,10743740,3801222008
1690287654,Device: id=0,TX,0.70528932720588,1996.607979538,2109.4542718909,11449085,4050817706
1690287655,Device: id=0,TX,0.79362549741277,2244.6222016465,2371.6022812325,12242752,4331410154
1690287656,Device: id=0,TX,1.0219267503164,2881.7392880995,3045.2475681502,13264681,4691628358
1690287657,Device: id=0,TX,0.91837208448166,2596.6525973274,2743.5921308445,14183269,5016286244
1690287658,Device: id=0,TX,0.96278014570825,2725.516845601,2879.5616689143,15146050,5356976152
1690287659,Device: id=0,TX,1.050755280528,2973.5900133713,3141.7108582558,16196838,5728686478
1690287660,Device: id=0,TX,1.0558505361187,2981.1713876265,3150.1074734055,17252707,6101339418
1690287661,Device: id=0,TX,1.0543223363326,2984.3465734646,3153.0381472778,18307078,6474399958
1690287662,Device: id=0,TX,1.0478013911573,2967.0716873898,3134.719909975,19354892,6845288382
1690287663,Device: id=0,TX,1.0479546326829,2961.265248811,3128.9379900402,20402916,7215471040
1690287664,Device: id=0,TX,1.0393368324264,2946.9392215652,3113.2331147535,21442281,7583848426
1690287665,Device: id=0,TX,1.1431883755888,3230.1999219941,3413.1100620883,22585481,7987627522
1690287666,Device: id=0,TX,1.3572800252136,3834.0496536161,4051.2144576503,23942763,8466884426
1690287667,Device: id=0,TX,1.2992284195065,3670.1452325649,3878.0217796859,25242121,8925698336
1690287668,Device: id=0,TX,1.1517926567732,3261.0868858222,3445.3737109059,26393963,9333351660
1690287669,Device: id=0,TX,1.2677190205496,3585.8107111889,3788.6457544768,27661709,9781587538
1690287670,Device: id=0,TX,1.3823162609915,3904.5757773323,4125.746379091,29044049,10269667892
1690287671,Device: id=0,TX,1.3671320260955,3868.669376809,4087.4105009843,30411220,10753265350
1690287672,Device: id=0,TX,1.3044592011932,3684.4671520019,3893.1806241928,31715695,11213829322
1690287673,Device: id=0,TX,1.338751472035,3787.8727007652,4002.0729362908,33054448,11687313950
1690287674,Device: id=0,TX,1.3481044636406,3807.031669623,4022.7283838055,34402579,12163202276
1690287675,Device: id=0,TX,1.4255559667136,4026.9584863001,4255.0474409742,35828149,12666577042
1690287676,Device: id=0,TX,1.6184329444448,4575.6038147615,4834.5530858727,37446616,13238539554
1690287677,Device: id=0,TX,1.6407477712065,4645.5343725185,4908.0540159115,39087383,13819238156
1690287678,Device: id=0,TX,1.6302840383448,4608.2225311334,4869.0679772685,40717716,14395283272
1690287679,Device: id=0,TX,1.3371963098069,3787.1632894165,4001.1146989856,42054936,14868687070
1690287680,Device: id=0,TX,1.5287214748917,4318.7809804094,4563.376416392,43583702,15408550416
1690287681,Device: id=0,TX,1.6854829166099,4760.3169245649,5029.9941912224,45269211,16003599240
1690287682,Device: id=0,TX,1.6906533067275,4779.0554322461,5049.5599613225,46959929,16601004028
1690287683,Device: id=0,TX,1.6955848041573,4791.2727435825,5062.5663122476,48655578,17199935796
1690287684,Device: id=0,TX,1.6919050091923,4784.6780025857,5055.3828040564,50347517,17798032562
1690287685,Device: id=0,TX,1.7467167815293,4939.372985062,5218.8476701067,52094269,18415466634
1690287686,Device: id=0,TX,1.9203369575752,5432.3336584829,5739.587571695,54014622,19094514014
1690287687,Device: id=0,TX,1.951989346328,5518.3906604916,5830.7089559041,55966621,19784316258
1690287688,Device: id=0,TX,1.9453263575003,5498.4184767561,5809.6706939562,57912001,20471637520
1690287689,Device: id=0,TX,1.9650252377444,5549.5865649688,5863.9906030079,59878367,21165809160
1690287690,Device: id=0,TX,1.3647318710667,3863.0105988259,4081.3676981966,61243136,21648698622
1690287691,Device: id=0,TX,1.9604448750764,5543.1897346104,5856.8609146226,63203622,22341611874
1690287692,Device: id=0,TX,1.9468362032736,5510.0778975818,5821.5716901056,65150501,23030386752
1690287693,Device: id=0,TX,1.9627598098288,5542.6051190577,5856.6466886303,67114979,23723818888
1690287694,Device: id=0,TX,1.9763778505798,5585.4803522305,5901.7008083232,69093241,24422669536
1690287695,Device: id=0,TX,2.0776571415425,5875.7120637247,6208.1372063715,71170910,25157137736
1690287696,Device: id=0,TX,2.2419477914709,6337.423977084,6696.1356237193,73412908,25949333474
1690287697,Device: id=0,TX,2.2487172021219,6361.3750206244,6721.1697729639,75661651,26744514474
1690287698,Device: id=0,TX,2.2523815166164,6373.8377927498,6734.2188354084,77914059,27541253566
