Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1683757075,Device: id=0,TX,2.9282883669067,1593.0323275582,2061.5584662632,2928356,199133760
1683757076,Device: id=0,TX,8.0099950446691,4357.3969845615,5638.9961917086,10938403,743811916
1683757077,Device: id=0,TX,8.1649345881629,4441.7259839578,5748.1155180639,19103352,1299028644
1683757078,Device: id=0,TX,8.175988675148,4447.7372312818,5755.8954193055,27279358,1854996976
1683757079,Device: id=0,TX,8.189571821988,4455.1286391569,5765.4601306749,35468954,2411889700
1683757080,Device: id=0,TX,8.1813418262428,4450.6493454792,5759.664037678,43650338,2968223736
1683757081,Device: id=0,TX,8.0947288712825,4403.5329859762,5698.6896053814,51745092,3518667068
1683757082,Device: id=0,TX,8.1521582287559,4434.7756444317,5739.1209610326,59897310,4073018088
1683757083,Device: id=0,TX,7.3239226330322,3984.2220083581,5156.0496296432,67221243,4571046544
1683757084,Device: id=0,TX,2.9428943969547,1600.925240075,2071.7883435877,70164179,4771165028
1683757085,Device: id=0,TX,2.9427648311179,1600.8743400438,2071.7167130227,73106968,4971275964
1683757086,Device: id=0,TX,2.9430227732974,1600.9950768074,2071.8787205349,76050033,5171403220
1683757087,Device: id=0,TX,2.9434164800105,1601.2179571273,2072.1645939289,78993457,5371555976
1683757088,Device: id=0,TX,2.9438018337242,1601.4286775448,2072.4369709407,81937266,5571735048
1683757089,Device: id=0,TX,2.9433251139649,1601.1698859848,2072.1019042191,84880626,5771883656
1683757090,Device: id=0,TX,2.9418462284016,1600.3653722502,2071.0607687945,87822473,5971929380
1683757091,Device: id=0,TX,2.9409944796221,1599.900388917,2070.4595056566,90763480,6171917780
1683757092,Device: id=0,TX,2.9432570063616,1601.1328354589,2072.0539564768,93706742,6372059724
1683757093,Device: id=0,TX,3.061765818869,1665.6016294556,2155.4841604747,96768535,6580261776
1683757094,Device: id=0,TX,3.6723117217703,1997.7380566416,2585.3079321248,100440858,6829979800
1683757095,Device: id=0,TX,3.6723849503687,1997.7768050057,2585.3583970647,104113274,7079704012
1683757096,Device: id=0,TX,3.6720943496344,1997.6208941859,2585.1559901274,107785404,7329409048
1683757097,Device: id=0,TX,3.6718521354417,1997.4869536889,2584.9832953596,111457308,7579098444
1683757098,Device: id=0,TX,3.6716247978727,1997.3654580183,2584.825425678,115128990,7828773016
1683757099,Device: id=0,TX,3.6725558343461,1997.8703098852,2585.4792433806,118801598,8078510352
1683757100,Device: id=0,TX,3.6706656981461,1996.8426197885,2584.1491314918,122472287,8328117264
1683757101,Device: id=0,TX,3.6682790376467,1995.5442764782,2582.4689225017,126140578,8577561112
1683757102,Device: id=0,TX,3.6718083773248,1997.4647812558,2584.9541216278,129812418,8827246360
1683757103,Device: id=0,TX,3.6341637851321,1976.9861230994,2558.4523287206,133446626,9074372632
1683757104,Device: id=0,TX,3.4381745880561,1870.3669119026,2420.4748459916,136884803,9308168660
1683757105,Device: id=0,TX,3.4394713812838,1871.0729114159,2421.3883324213,140324292,9542053972
1683757106,Device: id=0,TX,3.4384769525109,1870.5319421586,2420.6882545604,143762821,9775874004
1683757107,Device: id=0,TX,3.433146809047,1867.6345200789,2416.9380095264,147196023,10009332072
1683757108,Device: id=0,TX,3.4382236569755,1870.3919733949,2420.5077585109,150634247,10243131092
1683757109,Device: id=0,TX,3.438494062793,1870.5412501545,2420.7003002014,154072776,10476951124
1683757110,Device: id=0,TX,3.4369531158687,1869.7024310327,2419.6149295717,157509738,10710664532
1683757111,Device: id=0,TX,3.4356819755205,1869.0109306837,2418.720046767,160945452,10944293076
1683757112,Device: id=0,TX,3.4383718949009,1870.4758788128,2420.615381997,164383853,11178104540
1683757113,Device: id=0,TX,4.0992976155483,2230.019470857,2885.9070893447,168483154,11456857204
1683757114,Device: id=0,TX,7.5392721662692,4101.3623624633,5307.6459090663,176022483,11969531364
1683757115,Device: id=0,TX,7.5232530614557,4092.6517774204,5296.3722672533,183545777,12481115620
1683757116,Device: id=0,TX,7.5315652989976,4097.1720026534,5302.222450493,191077363,12993263528
1683757117,Device: id=0,TX,7.5457809500695,4104.905860832,5312.2308128431,198623187,13506379688
1683757118,Device: id=0,TX,7.503308359235,4081.7996834243,5282.3290209019,206126549,14016608296
1683757119,Device: id=0,TX,7.5026479057789,4081.4403967438,5281.8640616684,213629208,14526789100
1683757120,Device: id=0,TX,7.4978712755607,4078.8429979026,5278.5024019923,221127097,15036645680
1683757121,Device: id=0,TX,7.5277238002873,4095.0822273562,5299.5180354022,228654822,15548531040
1683757122,Device: id=0,TX,7.4537354166353,4054.8309146585,5247.4285813202,236108615,16055388820
1683757123,Device: id=0,TX,7.6555025717533,4164.5960550309,5389.4764665114,243764126,16575963900
1683757124,Device: id=0,TX,8.5020538869794,4625.1156185262,5985.4442404429,252266227,17154106556
1683757125,Device: id=0,TX,8.5054011331672,4626.9386964406,5987.8028777474,260771669,17732476672
1683757126,Device: id=0,TX,8.4745683552502,4610.1656652523,5966.0966020924,269246304,18308751912
1683757127,Device: id=0,TX,8.489016075951,4618.0252253148,5976.2677974669,277735366,18886008188
1683757128,Device: id=0,TX,8.4986506953219,4623.2664582523,5983.0505695038,286234067,19463919916
1683757129,Device: id=0,TX,8.4928371910105,4620.106087906,5978.9600384677,294726916,20041433980
1683757130,Device: id=0,TX,8.5217315020233,4635.8224171,5999.2994574237,303248659,20620912564
1683757131,Device: id=0,TX,8.5189432952072,4634.3034566032,5997.3343838364,311767655,21200204080
1683757132,Device: id=0,TX,8.4103113957698,4575.2120552916,5920.8618786148,320177989,21772107124
1683757133,Device: id=0,TX,8.1930934530397,4457.0433184504,5767.9382709367,328371137,22329241248
1683757134,Device: id=0,TX,6.4743236926082,3522.0320247794,4557.9238155967,334845508,22769498468
1683757135,Device: id=0,TX,6.4764526102033,3523.1890679517,4559.4214855842,341321967,23209897536
1683757136,Device: id=0,TX,6.4808846886124,3525.6028386043,4562.5443887823,347802855,23650598116
1683757137,Device: id=0,TX,6.4799478193379,3525.0926377117,4561.8842888058,354282854,24091238176
1683757138,Device: id=0,TX,6.480391319294,3525.333357694,4562.195968781,360763272,24531906660
1683757139,Device: id=0,TX,6.4776977289048,3523.8675005246,4560.2991371493,367241002,24972392292
1683757140,Device: id=0,TX,6.4599437149127,3514.2104049061,4547.8013992922,373700986,25411671332
1683757141,Device: id=0,TX,6.4715256492521,3520.5104331898,4555.9545370701,380172557,25851738220
1683757142,Device: id=0,TX,6.4483548229521,3507.9055036839,4539.6422753562,386620940,26290228324
1683757143,Device: id=0,TX,6.977296021633,3795.6478837691,4912.0152472304,393598241,26764684648
1683757144,Device: id=0,TX,9.4867901689086,5160.8175958804,6678.7040229058,403085046,27409787856
1683757145,Device: id=0,TX,9.5085745904452,5172.6617932219,6694.0337276931,412593688,28056375164
1683757146,Device: id=0,TX,9.5266394838568,5182.4923592165,6706.7546766336,422120360,28704188920
1683757147,Device: id=0,TX,9.532736471143,5185.8123842878,6711.0502196707,431653132,29352417884
1683757148,Device: id=0,TX,9.520328552646,5179.0586686394,6702.3112370628,441173466,29999800588
1683757149,Device: id=0,TX,9.5170118339882,5177.2549176886,6699.9768111267,450690497,30646958756
1683757150,Device: id=0,TX,9.5358530544181,5187.5018216046,6713.2383103115,460226355,31295396820
1683757151,Device: id=0,TX,9.5446054294719,5192.2658336316,6719.4027023472,469770982,31944431516
1683757152,Device: id=0,TX,9.3017628824268,5060.1622080326,6548.4442692209,479072767,32576953296
1683757153,Device: id=0,TX,9.320377701252,5070.2832294833,6561.5436616837,488393154,33210739332
1683757154,Device: id=0,TX,8.3658064547946,4550.9991914031,5889.5282241702,496759051,33779620388
1683757155,Device: id=0,TX,8.3390843728717,4536.46237884,5870.7158784995,505098173,34346680744
1683757156,Device: id=0,TX,8.3594433845576,4547.5404011934,5885.0513427226,513457632,34915124356
1683757157,Device: id=0,TX,8.3398931756169,4536.8996475517,5871.2825556504,521797585,35482240880
1683757158,Device: id=0,TX,8.3483188525456,4541.4859357811,5877.2169521884,530145968,36049930984
1683757159,Device: id=0,TX,8.3808732613916,4559.1982541826,5900.1379760053,538526879,36619833332
1683757160,Device: id=0,TX,8.3765566022143,4556.8461836085,5897.0952399628,546903489,37189442736
1683757161,Device: id=0,TX,8.409693108066,4574.874074785,5920.4249720755,555313206,37761303620
1683757162,Device: id=0,TX,8.3941074077411,4566.3927338149,5909.4499190535,563707332,38332103976
1683757163,Device: id=0,TX,8.4698289915169,4607.5896273723,5962.762266015,572177202,38908055468
1683757164,Device: id=0,TX,9.2867635363812,5052.0003877887,6537.8825536097,581463990,39539557180
1683757165,Device: id=0,TX,9.3105461928105,5064.9376088872,6554.6249997369,590774569,40172676612
1683757166,Device: id=0,TX,9.2750099251332,5045.6031592877,6529.604747309,600049642,40803381296
1683757167,Device: id=0,TX,9.2787780686661,5047.6584693523,6532.2629603389,609328426,41434339008
1683757168,Device: id=0,TX,9.3192347350883,5069.6614558939,6560.739013508,618647685,42068048340
1683757169,Device: id=0,TX,9.3231851018656,5071.8158954053,6563.5255117038,627970898,42702027224
1683757170,Device: id=0,TX,9.3053153822346,5062.0893279372,6550.9397890948,637276220,43334788840
1683757171,Device: id=0,TX,9.3281480876501,5074.5157596711,6567.0194536951,646604399,43969105412
1683757172,Device: id=0,TX,9.2721285488796,5044.0356906066,6527.5762584273,655876594,44599614392
1683757173,Device: id=0,TX,9.2102765162379,5010.3909048329,6484.035147431,665086880,45225913900
1683757174,Device: id=0,TX,9.4536795740859,5142.8048883026,6655.3936201564,674540560,45868764540
1683757175,Device: id=0,TX,9.4093672064584,5118.6967843128,6624.1955373461,683949933,46508602032
