Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1708952656,Device: id=1,RX,0.13751262887287,328.21033392197,350.21235454163,166971,49815068
1708952657,Device: id=1,RX,0.19308460703328,472.2831847927,503.17672191803,363776,109987972
1708952658,Device: id=1,RX,0.2494439003335,630.83615676541,670.74718081877,622200,191681292
1708952659,Device: id=1,RX,0.36715701685952,984.18601781226,1042.9311405098,998180,317660860
1708952660,Device: id=1,RX,2.3473680661395,6582.9465392725,6958.5254298548,3345584,1140541774
1708952661,Device: id=1,RX,3.3025711341492,9342.2569715641,9870.668353028,6648160,2308325616
1708952662,Device: id=1,RX,3.3107294031034,9362.5261833517,9892.2428878482,9958941,3478659628
1708952663,Device: id=1,RX,3.3058153412033,9347.6243498572,9876.5548044498,13264813,4647132698
1708952664,Device: id=1,RX,3.3069503399735,9355.9380922334,9885.0501466291,16571778,5816630144
1708952665,Device: id=1,RX,3.2731439827289,9249.3301462872,9773.0331835239,19844951,6972806662
1708952666,Device: id=1,RX,3.2741631127645,9258.3486976899,9782.2147957322,23119150,8130112934
1708952667,Device: id=1,RX,3.3080062356118,9363.9488573258,9893.2298550237,26427167,9300610350
1708952668,Device: id=1,RX,3.3143732963055,9374.4391499013,9904.7388773102,29741569,10472425392
1708952669,Device: id=1,RX,3.3159426412882,9378.9537534985,9909.5045761046,33057566,11644813830
1708952670,Device: id=1,RX,3.3138729075866,9371.8934023327,9902.1130675465,36371443,12816301952
1708952671,Device: id=1,RX,3.3165008066189,9370.3544115244,9900.9945405834,39687963,13987603032
1708952672,Device: id=1,RX,3.2987270046255,9314.3840541713,9842.1803749114,42986693,15151902096
1708952673,Device: id=1,RX,3.3149923723907,9371.5624251616,9901.9612047441,46301710,16323356102
1708952674,Device: id=1,RX,3.3154191563336,9377.5615814911,9908.0286465045,49617139,17495554780
1708952675,Device: id=1,RX,3.3172412777032,9381.9415580771,9912.7001625096,52934428,18668314346
1708952676,Device: id=1,RX,3.2745222468653,9244.6412600157,9768.5648195142,56208994,19823909944
1708952677,Device: id=1,RX,3.3145574935632,9375.9859091278,9906.3151080979,59523610,20995928870
1708952678,Device: id=1,RX,3.3182969283706,9377.021939048,9907.9494475873,62841917,22168060170
1708952679,Device: id=1,RX,3.3170457717904,9381.0498385736,9911.77716206,66158993,23340702086
1708952680,Device: id=1,RX,3.319219708222,9370.8899992081,9901.9651525237,69478263,24512081084
1708952681,Device: id=1,RX,3.3157570925199,9372.078391181,9902.5995259841,72794032,25683595090
1708952682,Device: id=1,RX,3.3170408281473,9372.2506609559,9902.9771934595,76111109,26855139198
1708952683,Device: id=1,RX,3.3108691827145,9373.1219803995,9902.8610496338,79422034,28026799198
1708952684,Device: id=1,RX,3.3207554033224,9382.408708832,9913.7295733636,82742869,29199628398
1708952685,Device: id=1,RX,3.3200048398432,9380.3407961065,9911.5415704814,86062925,30372189066
1708952686,Device: id=1,RX,3.287930711696,9285.7069596221,9811.7758734935,89350868,31532906774
1708952687,Device: id=1,RX,3.3181451330642,9374.3174170333,9905.2206383236,92669060,32704713002
1708952688,Device: id=1,RX,3.3142937453115,9376.9785795969,9907.2655788468,95983373,33876842134
1708952689,Device: id=1,RX,3.3163187952017,9383.0028571563,9913.6138643886,99299769,35049744796
1708952690,Device: id=1,RX,3.3157112599473,9372.2106340984,9902.72443569,102615491,36221274920
1708952691,Device: id=1,RX,3.3152954569776,9382.3160290343,9912.7633021507,105930810,37394072752
1708952692,Device: id=1,RX,3.3188699811313,9386.4568515759,9917.4760485569,109249733,38567398602
