Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1708952656,Device: id=0,TX,0.41161257730848,1166.1117552746,1231.969767644,411687,145789592
1708952657,Device: id=0,TX,0.26550012041387,751.77605890093,794.25607816715,686100,242916254
1708952658,Device: id=0,TX,0.3607382014927,1021.2389293022,1078.957041541,1051162,372101188
1708952659,Device: id=0,TX,0.41822567218915,1185.9243934999,1252.8405010501,1476093,522718448
1708952660,Device: id=0,TX,1.8422641556267,5208.0330401598,5502.7953050601,3318365,1173725350
1708952661,Device: id=0,TX,3.3137798706703,9381.9225041681,9912.1272834754,6632192,2346482342
1708952662,Device: id=0,TX,3.3188584236938,9380.3780673972,9911.3954151882,9951071,3519036870
1708952663,Device: id=0,TX,3.3144885335635,9374.8680138862,9905.1861792564,13265584,4690904022
1708952664,Device: id=0,TX,3.3178901756673,9384.6654806858,9915.5279087926,16583522,5864004116
1708952665,Device: id=0,TX,3.3023293490596,9344.5426911298,9872.9153869794,19885868,7032077842
1708952666,Device: id=0,TX,3.3106617498925,9373.033823914,9902.7397038968,23196554,8203715652
1708952667,Device: id=0,TX,3.3171018864001,9388.3704031892,9919.1067050132,26513715,9377282866
1708952668,Device: id=0,TX,3.3194489039781,9389.1767753291,9920.2885999656,29833166,10550930704
1708952669,Device: id=0,TX,3.3190624421702,9388.2609351882,9919.3109259354,33152234,11724465286
1708952670,Device: id=0,TX,3.3178374572972,9382.3462740246,9913.2002671922,36470130,12897279264
1708952671,Device: id=0,TX,3.3197853840846,9380.8567248087,9912.0223862622,39789975,14069907412
1708952672,Device: id=0,TX,3.3192814545646,9377.4843101033,9908.5693428337,43109289,15242104444
1708952673,Device: id=0,TX,3.3203530630278,9387.693128406,9918.9496184905,46429698,16415585854
1708952674,Device: id=0,TX,3.3202933054916,9390.5067168675,9921.7536457461,49750024,17589410752
1708952675,Device: id=0,TX,3.3233440419049,9394.0452482245,9925.7802949293,53073418,18763684060
1708952676,Device: id=0,TX,3.3144776205629,9373.7432270516,9904.0596463417,56387961,19935425076
1708952677,Device: id=0,TX,3.3167862603896,9386.0161663382,9916.7019680006,59704757,21108680542
1708952678,Device: id=0,TX,3.3245840521432,9390.261576084,9922.1950244269,63029380,22282476990
1708952679,Device: id=0,TX,3.3209855787565,9392.6430565636,9924.0007491646,66350381,23456562824
1708952680,Device: id=0,TX,3.3233012783993,9387.0555801946,9918.7837847384,69673692,24629948204
1708952681,Device: id=0,TX,3.3251130180782,9388.6249799434,9920.6430628359,72998807,25803527026
1708952682,Device: id=0,TX,3.3193625438179,9382.8009024528,9913.8989094637,76318173,26976378360
1708952683,Device: id=0,TX,3.3180117198196,9391.2780761354,9922.1599513066,79636238,28150306970
1708952684,Device: id=0,TX,3.3246887082096,9393.7009949941,9925.6511883076,82960958,29324530646
1708952685,Device: id=0,TX,3.3244717580921,9395.9374842327,9927.8529655274,86285437,30499025390
1708952686,Device: id=0,TX,3.3198322668181,9384.7187696628,9915.8919323537,89605272,31672116202
1708952687,Device: id=0,TX,3.3217192242344,9388.574263898,9920.0493397755,92927005,32845692852
