System-Date,System-Time,Socket 0-EXEC,Socket 0-IPC,Socket 0-FREQ,Socket 0-AFREQ,Socket 0-L3MISS,Socket 0-L2MISS,Socket 0-L3HIT,Socket 0-L2HIT,Socket 0-L3MPI,Socket 0-L2MPI,Socket 0-L3OCC,Socket 0-READ,Socket 0-WRITE,Socket 0-LOCAL,Socket 0-TEMP,Socket 0-INST,Socket 0-ACYC,Socket 0-TIME(ticks),Socket 0-PhysIPC,Socket 0-PhysIPC%,Socket 0-INSTnom,Socket 0-INSTnom%,Socket 1-EXEC,Socket 1-IPC,Socket 1-FREQ,Socket 1-AFREQ,Socket 1-L3MISS,Socket 1-L2MISS,Socket 1-L3HIT,Socket 1-L2HIT,Socket 1-L3MPI,Socket 1-L2MPI,Socket 1-L3OCC,Socket 1-READ,Socket 1-WRITE,Socket 1-LOCAL,Socket 1-TEMP,Socket 1-INST,Socket 1-ACYC,Socket 1-TIME(ticks),Socket 1-PhysIPC,Socket 1-PhysIPC%,Socket 1-INSTnom,Socket 1-INSTnom%,SKT0 Core C-State-C0res%,SKT0 Core C-State-C1res%,SKT0 Core C-State-C3res%,SKT0 Core C-State-C6res%,SKT0 Core C-State-C7res%,SKT0 Package C-State-C0res%,SKT0 Package C-State-C2res%,SKT0 Package C-State-C3res%,SKT0 Package C-State-C6res%,SKT0 Package C-State-C7res%,SKT1 Core C-State-C0res%,SKT1 Core C-State-C1res%,SKT1 Core C-State-C3res%,SKT1 Core C-State-C6res%,SKT1 Core C-State-C7res%,SKT1 Package C-State-C0res%,SKT1 Package C-State-C2res%,SKT1 Package C-State-C3res%,SKT1 Package C-State-C6res%,SKT1 Package C-State-C7res%,Proc Energy (Joules)-SKT0,Proc Energy (Joules)-SKT1,DRAM Energy (Joules)-SKT0,DRAM Energy (Joules)-SKT1,LLCRDMISSLAT (ns)-SKT0,LLCRDMISSLAT (ns)-SKT1,UncFREQ (Ghz)-SKT0,UncFREQ (Ghz)-SKT1,Core7 (Socket 0)-EXEC,Core7 (Socket 0)-IPC,Core7 (Socket 0)-FREQ,Core7 (Socket 0)-AFREQ,Core7 (Socket 0)-L3MISS,Core7 (Socket 0)-L2MISS,Core7 (Socket 0)-L3HIT,Core7 (Socket 0)-L2HIT,Core7 (Socket 0)-L3MPI,Core7 (Socket 0)-L2MPI,Core7 (Socket 0)-L3OCC,Core7 (Socket 0)-C0res%,Core7 (Socket 0)-C1res%,Core7 (Socket 0)-C3res%,Core7 (Socket 0)-C6res%,Core7 (Socket 0)-C7res%,Core7 (Socket 0)-TEMP,Core7 (Socket 0)-INST,Core7 (Socket 0)-ACYC,Core7 (Socket 0)-TIME(ticks),Core7 (Socket 0)-PhysIPC,Core7 (Socket 0)-PhysIPC%,Core7 (Socket 0)-INSTnom,Core7 (Socket 0)-INSTnom%,-
2024-02-26,16:11:50.244,0.17,2.50,0.07,1.12,0.05,22.71,1.00,0.40,0.0000,0.0025, 16800,0.45,0.69,99,49,8936.10,3575.46,2598.92,5.00,124.96,0.34,8.59,0.03,1.35,0.02,1.21,0.07,3.19,0.98,0.58,0.0000,0.0021, 24920,0.66,0.02,98,47,1542.19,1144.68,2598.92,2.69,67.36,0.06,1.48,6.17,75.16,0.01,18.66,0.00,100.00,0.00,0.00,0.00,0.00,1.82,28.92,0.19,69.07,0.00,100.00,0.00,0.00,0.00,0.00,78.20,52.02,4.54 ,4.53 ,1039192.96 ,1049928.52 ,3.00,3.00,0.49,2.95,0.17,1.12,0.00,2.12,1.00,0.11,0.0000,0.0017,    80,14.96,85.04,0.00,0.00,0.00,54,1279.08,433.81,2598.92,5.90,147.42,0.98,24.61,
2024-02-26,16:11:51.243,0.16,2.42,0.06,1.12,0.03,26.20,1.00,0.36,0.0000,0.0032, 17240,0.53,0.81,99,49,8112.28,3353.56,2595.20,4.84,120.95,0.31,7.82,0.03,1.57,0.02,1.22,0.01,3.22,1.00,0.40,0.0000,0.0020, 24600,0.79,0.01,98,48,1573.43,999.24,2595.20,3.15,78.73,0.06,1.52,5.79,76.55,0.02,17.64,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.32,0.15,69.96,0.00,100.00,0.00,0.00,0.00,0.00,78.23,51.85,4.58 ,4.52 ,0.03 ,0.10 ,3.00,3.00,0.44,2.78,0.16,1.12,0.00,2.52,1.00,0.12,0.0000,0.0022,   160,14.09,85.91,0.00,0.00,0.00,53,1134.87,407.73,2595.20,5.57,139.17,0.87,21.86,
2024-02-26,16:11:52.243,0.15,2.34,0.06,1.12,0.05,26.66,1.00,0.35,0.0000,0.0034, 17640,0.50,0.76,99,49,7848.49,3357.82,2597.24,4.67,116.87,0.30,7.55,0.03,1.49,0.02,1.22,0.02,3.17,0.99,0.40,0.0000,0.0020, 24680,0.77,0.01,98,47,1566.28,1053.30,2597.24,2.97,74.35,0.06,1.51,5.80,76.51,0.02,17.67,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.18,0.14,70.01,0.00,100.00,0.00,0.00,0.00,0.00,78.24,51.93,4.55 ,4.53 ,0.03 ,0.10 ,3.00,3.00,0.42,2.68,0.16,1.12,0.00,2.60,1.00,0.12,0.0000,0.0024,   120,14.05,85.95,0.00,0.00,0.00,53,1091.60,406.97,2597.24,5.36,134.11,0.84,21.01,
2024-02-26,16:11:53.243,0.15,2.32,0.06,1.12,0.06,26.45,1.00,0.36,0.0000,0.0034, 16840,0.48,0.75,99,48,7682.14,3304.30,2597.26,4.65,116.24,0.30,7.39,0.03,1.51,0.02,1.22,0.01,3.12,1.00,0.40,0.0000,0.0020, 23640,0.77,0.01,97,46,1553.42,1026.60,2597.26,3.03,75.66,0.06,1.50,5.70,76.86,0.01,17.43,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.50,0.14,69.75,0.00,100.00,0.00,0.00,0.00,0.00,78.26,51.98,4.55 ,4.53 ,0.03 ,0.10 ,3.00,3.00,0.41,2.69,0.15,1.12,0.00,2.59,1.00,0.12,0.0000,0.0024,   160,13.72,86.28,0.00,0.00,0.00,53,1068.78,397.53,2597.26,5.38,134.43,0.82,20.58,
2024-02-26,16:11:54.243,0.15,2.33,0.06,1.12,0.05,27.46,1.00,0.35,0.0000,0.0036, 17520,0.46,0.73,99,49,7719.35,3312.21,2597.28,4.66,116.53,0.30,7.43,0.03,1.52,0.02,1.22,0.02,3.30,0.99,0.40,0.0000,0.0021, 25160,0.77,0.01,98,47,1548.55,1018.95,2597.28,3.04,75.99,0.06,1.49,5.72,76.87,0.02,17.40,0.00,100.00,0.00,0.00,0.00,0.00,1.61,28.41,0.14,69.84,0.00,100.00,0.00,0.00,0.00,0.00,78.30,51.93,4.54 ,4.52 ,0.03 ,0.10 ,3.00,3.00,0.41,2.63,0.16,1.12,0.00,2.72,1.00,0.13,0.0000,0.0026,   120,13.93,86.07,0.00,0.00,0.00,53,1062.70,403.55,2597.28,5.27,131.67,0.82,20.46,
2024-02-26,16:11:55.243,0.15,2.29,0.07,1.12,0.04,27.86,1.00,0.35,0.0000,0.0036, 17080,0.45,0.72,99,48,7746.77,3379.29,2597.13,4.58,114.62,0.30,7.46,0.03,1.54,0.02,1.22,0.01,3.20,1.00,0.40,0.0000,0.0020, 24920,0.78,0.01,97,47,1578.62,1026.45,2597.13,3.08,76.90,0.06,1.52,5.83,77.33,0.02,16.81,0.00,100.00,0.00,0.00,0.00,0.00,1.62,28.76,0.15,69.47,0.00,100.00,0.00,0.00,0.00,0.00,78.50,51.99,4.52 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.41,2.62,0.16,1.12,0.00,2.78,1.00,0.13,0.0000,0.0026,   120,14.02,85.98,0.00,0.00,0.00,53,1063.94,406.08,2597.13,5.24,131.00,0.82,20.48,
2024-02-26,16:11:56.243,0.15,2.29,0.06,1.12,0.06,27.74,1.00,0.35,0.0000,0.0037, 16840,0.43,0.71,99,48,7559.25,3305.46,2597.32,4.57,114.34,0.29,7.28,0.03,1.52,0.02,1.22,0.01,3.10,1.00,0.40,0.0000,0.0020, 24480,0.78,0.01,98,47,1549.63,1016.33,2597.32,3.05,76.24,0.06,1.49,5.70,76.65,0.02,17.63,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.20,0.13,70.06,0.00,100.00,0.00,0.00,0.00,0.00,78.35,51.97,4.52 ,4.53 ,47123.47 ,94244.11 ,3.00,3.00,0.40,2.61,0.15,1.12,0.00,2.77,1.00,0.13,0.0000,0.0027,   160,13.74,86.26,0.00,0.00,0.00,52,1036.83,397.95,2597.32,5.21,130.27,0.80,19.96,
2024-02-26,16:11:57.243,0.15,2.28,0.06,1.12,0.05,27.84,1.00,0.35,0.0000,0.0037, 17880,0.43,0.71,99,47,7575.56,3324.50,2597.22,4.56,113.94,0.29,7.29,0.03,1.49,0.02,1.22,0.02,3.21,0.99,0.40,0.0000,0.0021, 24320,0.77,0.01,97,46,1541.87,1033.65,2597.22,2.98,74.58,0.06,1.48,5.74,76.62,0.02,17.62,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.20,0.13,70.03,0.00,100.00,0.00,0.00,0.00,0.00,78.40,51.97,4.51 ,4.52 ,0.00 ,0.03 ,3.00,3.00,0.40,2.57,0.16,1.12,0.01,2.79,1.00,0.13,0.0000,0.0027,    80,13.91,86.09,0.00,0.00,0.00,51,1034.24,403.12,2597.22,5.13,128.28,0.80,19.91,
2024-02-26,16:11:58.244,0.15,2.31,0.06,1.12,0.04,28.73,1.00,0.34,0.0000,0.0037, 17200,0.42,0.70,99,47,7725.43,3342.66,2597.13,4.62,115.56,0.30,7.44,0.03,1.57,0.02,1.23,0.02,3.20,0.99,0.41,0.0000,0.0020, 24120,0.75,0.01,98,46,1584.63,1009.98,2597.13,3.14,78.45,0.06,1.53,5.77,76.58,0.01,17.64,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.19,0.13,70.09,0.00,100.00,0.00,0.00,0.00,0.00,78.48,51.95,4.51 ,4.51 ,0.00 ,0.03 ,3.00,3.00,0.41,2.60,0.16,1.12,0.00,2.90,1.00,0.13,0.0000,0.0028,    40,14.02,85.98,0.00,0.00,0.00,52,1053.65,405.99,2597.13,5.19,129.76,0.81,20.28,
2024-02-26,16:11:59.244,0.15,2.24,0.07,1.12,0.07,27.63,1.00,0.35,0.0000,0.0036, 17440,0.45,0.76,98,47,7645.39,3410.54,2597.12,4.48,112.08,0.29,7.36,0.03,1.43,0.02,1.20,0.08,3.44,0.98,0.41,0.0000,0.0022, 23800,0.87,0.04,95,47,1581.73,1104.62,2597.12,2.86,71.60,0.06,1.52,5.89,77.25,0.06,16.80,0.00,100.00,0.00,0.00,0.00,0.00,1.76,30.79,0.27,67.18,0.00,100.00,0.00,0.00,0.00,0.00,78.68,52.73,4.54 ,4.57 ,0.00 ,0.03 ,3.00,3.00,0.41,2.60,0.16,1.12,0.00,2.74,1.00,0.12,0.0000,0.0026,    40,14.03,85.97,0.00,0.00,0.00,51,1056.18,406.28,2597.12,5.20,129.98,0.81,20.33,
