System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),Core5 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-03-08,19:35:03.069,0.24,2.90,0.08,1.12,0.05,15.18,1.00,0.53,0.0000,0.0012, 15360,0.28,0.43,99,47,12244.43,4224.61,2599.41,5.80,144.92,0.47,11.77,0.03,1.27,0.03,1.21,0.06,3.06,0.98,0.78,0.0000,0.0018, 23640,0.41,0.01,98,46,1667.94,1313.46,2599.41,2.54,63.49,0.06,1.60,7.28,73.99,0.03,18.70,0.00,100.00,0.00,0.00,0.00,0.00,2.08,28.61,0.16,69.15,0.00,100.00,0.00,0.00,0.00,0.00,79.18,52.31,4.36 ,4.43 ,0.00 ,441550.94 ,3.00,3.00,0.66,3.36,0.20,1.12,0.00,1.77,1.00,0.09,0.0000,0.0010,   400,17.67,82.33,0.00,0.00,0.00,51,1720.06,512.37,2599.41,6.71,167.85,1.32,33.09,
2024-03-08,19:35:04.068,0.16,2.43,0.06,1.12,0.06,25.55,1.00,0.37,0.0000,0.0031, 16000,0.53,0.82,99,47,8123.50,3347.42,2595.43,4.85,121.34,0.31,7.82,0.03,1.57,0.02,1.23,0.01,3.17,1.00,0.40,0.0000,0.0020, 24000,0.79,0.01,98,45,1570.08,996.89,2595.43,3.15,78.75,0.06,1.51,5.78,76.59,0.01,17.62,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.32,0.17,69.95,0.00,100.00,0.00,0.00,0.00,0.00,78.65,52.28,4.56 ,4.49 ,0.33 ,0.33 ,3.00,3.00,0.44,2.82,0.16,1.12,0.00,3.08,1.00,0.09,0.0000,0.0027,   640,14.10,85.90,0.00,0.00,0.00,51,1152.50,408.17,2595.43,5.65,141.18,0.89,22.20,
2024-03-08,19:35:05.068,0.15,2.36,0.06,1.12,0.03,25.39,1.00,0.37,0.0000,0.0033, 15800,0.50,0.78,99,47,7749.14,3287.38,2597.87,4.71,117.86,0.30,7.46,0.03,1.47,0.02,1.22,0.01,3.07,1.00,0.39,0.0000,0.0020, 24160,0.76,0.01,98,45,1506.80,1026.76,2597.87,2.94,73.38,0.06,1.45,5.67,76.72,0.00,17.60,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.32,0.13,69.93,0.00,100.00,0.00,0.00,0.00,0.00,78.66,52.44,4.55 ,4.50 ,0.33 ,0.33 ,3.00,3.00,0.41,2.72,0.15,1.12,0.00,3.05,1.00,0.09,0.0000,0.0028,   960,13.66,86.34,0.00,0.00,0.00,50,1077.68,395.84,2597.87,5.45,136.13,0.83,20.74,
2024-03-08,19:35:06.069,0.15,2.39,0.06,1.12,0.03,27.02,1.00,0.36,0.0000,0.0034, 16240,0.47,0.75,99,46,7932.06,3323.74,2597.60,4.77,119.32,0.31,7.63,0.03,1.59,0.02,1.22,0.01,3.20,1.00,0.39,0.0000,0.0020, 23760,0.77,0.01,98,45,1582.58,998.46,2597.60,3.17,79.25,0.06,1.52,5.74,76.65,0.01,17.60,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.27,0.13,70.03,0.00,100.00,0.00,0.00,0.00,0.00,78.71,52.36,4.54 ,4.50 ,0.33 ,0.33 ,3.00,3.00,0.43,2.73,0.16,1.12,0.00,3.31,1.00,0.09,0.0000,0.0030,  1120,14.03,85.97,0.00,0.00,0.00,50,1111.82,406.55,2597.60,5.47,136.74,0.86,21.40,
2024-03-08,19:35:07.069,0.15,2.30,0.06,1.12,0.07,27.07,1.00,0.35,0.0000,0.0035, 16400,0.45,0.74,99,46,7737.27,3368.54,2597.61,4.59,114.85,0.30,7.45,0.03,1.51,0.02,1.22,0.01,3.10,1.00,0.40,0.0000,0.0020, 22880,0.77,0.01,98,44,1570.94,1043.29,2597.61,3.01,75.29,0.06,1.51,5.81,76.71,0.01,17.47,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.35,0.11,69.89,0.00,100.00,0.00,0.00,0.00,0.00,78.68,52.38,4.52 ,4.50 ,0.33 ,0.33 ,3.00,3.00,0.42,2.68,0.16,1.12,0.00,3.30,1.00,0.10,0.0000,0.0030,  1120,14.03,85.97,0.00,0.00,0.00,50,1088.34,406.55,2597.61,5.35,133.85,0.84,20.95,
2024-03-08,19:35:08.069,0.15,2.32,0.06,1.12,0.05,27.29,1.00,0.36,0.0000,0.0035, 16160,0.43,0.71,99,46,7708.40,3326.07,2597.70,4.64,115.88,0.30,7.42,0.03,1.47,0.02,1.21,0.02,3.17,0.99,0.40,0.0000,0.0021, 23760,0.76,0.01,98,46,1534.09,1042.21,2597.70,2.94,73.60,0.06,1.48,5.74,77.31,0.03,16.92,0.00,100.00,0.00,0.00,0.00,0.00,1.66,29.08,0.17,69.10,0.00,100.00,0.00,0.00,0.00,0.00,78.81,52.53,4.51 ,4.50 ,0.33 ,0.33 ,3.00,3.00,0.41,2.65,0.16,1.12,0.00,3.37,1.00,0.10,0.0000,0.0031,  1080,13.95,86.05,0.00,0.00,0.00,50,1070.66,404.22,2597.70,5.30,132.44,0.82,20.61,
2024-03-08,19:35:09.069,0.15,2.31,0.06,1.12,0.06,27.33,1.00,0.35,0.0000,0.0036, 16360,0.43,0.71,99,46,7623.28,3305.63,2597.37,4.61,115.31,0.29,7.34,0.03,1.54,0.02,1.22,0.01,3.09,1.00,0.40,0.0000,0.0020, 23320,0.77,0.01,98,45,1536.73,995.00,2597.37,3.09,77.22,0.06,1.48,5.70,76.78,0.01,17.51,0.00,100.00,0.00,0.00,0.00,0.00,1.57,28.41,0.12,69.90,0.00,100.00,0.00,0.00,0.00,0.00,78.76,52.39,4.52 ,4.51 ,0.33 ,0.33 ,3.00,3.00,0.41,2.65,0.15,1.12,0.00,3.37,1.00,0.10,0.0000,0.0032,  1280,13.72,86.28,0.00,0.00,0.00,50,1053.03,397.57,2597.37,5.30,132.43,0.81,20.27,
2024-03-08,19:35:10.069,0.15,2.31,0.06,1.12,0.04,27.85,1.00,0.35,0.0000,0.0036, 16760,0.42,0.70,99,46,7711.97,3341.82,2597.50,4.62,115.39,0.30,7.42,0.03,1.49,0.02,1.22,0.01,3.18,1.00,0.39,0.0000,0.0020, 22760,0.77,0.01,98,44,1566.76,1050.31,2597.50,2.98,74.59,0.06,1.51,5.77,76.63,0.01,17.59,0.00,100.00,0.00,0.00,0.00,0.00,1.66,28.14,0.13,70.07,0.00,100.00,0.00,0.00,0.00,0.00,78.76,52.40,4.50 ,4.51 ,0.33 ,0.33 ,3.00,3.00,0.41,2.62,0.16,1.12,0.01,3.44,1.00,0.10,0.0000,0.0032,  1360,14.04,85.96,0.00,0.00,0.00,49,1066.89,406.63,2597.50,5.25,131.19,0.82,20.54,
2024-03-08,19:35:11.070,0.15,2.22,0.07,1.12,0.15,25.00,0.99,0.37,0.0000,0.0032, 16360,0.50,0.82,97,46,7818.02,3516.51,2597.49,4.45,111.16,0.30,7.52,0.03,1.24,0.02,1.19,0.08,3.75,0.98,0.41,0.0001,0.0024, 24160,0.83,0.03,94,44,1532.24,1239.67,2597.49,2.47,61.80,0.06,1.47,6.07,78.48,0.03,15.41,0.00,100.00,0.00,0.00,0.00,0.00,2.01,32.68,0.29,65.03,0.00,100.00,0.00,0.00,0.00,0.00,79.15,53.55,4.55 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.42,2.71,0.16,1.12,0.00,2.99,1.00,0.09,0.0000,0.0027,  1120,13.96,86.04,0.00,0.00,0.00,50,1097.43,404.54,2597.49,5.43,135.64,0.84,21.12,
