System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,Socket 1,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Core C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,SKT1 Package C-State,Proc Energy (Joules),Proc Energy (Joules),DRAM Energy (Joules),DRAM Energy (Joules),LLCRDMISSLAT (ns),LLCRDMISSLAT (ns),UncFREQ (Ghz),UncFREQ (Ghz),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),Core4 (Socket 0),
Date,Time,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,READ,WRITE,LOCAL,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C3res%,C6res%,C7res%,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,SKT0,SKT1,EXEC,IPC,FREQ,AFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,L3OCC,C0res%,C1res%,C3res%,C6res%,C7res%,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,
2024-02-26,14:04:20.572,0.26,3.12,0.08,1.12,0.07,16.38,1.00,0.24,0.0000,0.0012, 10840,0.20,0.31,99,46,13583.46,4349.41,2598.81,6.25,156.15,0.52,13.07,0.06,1.48,0.04,1.17,0.06,3.32,0.98,0.90,0.0000,0.0011, 22440,0.29,0.01,97,44,2992.35,2017.34,2598.81,2.97,74.17,0.12,2.88,7.50,66.46,0.05,25.99,0.00,100.00,0.00,0.00,0.00,0.00,3.32,36.76,0.17,59.75,0.00,100.00,0.00,0.00,0.00,0.00,74.92,57.60,4.23 ,4.42 ,692322.88 ,696597.87 ,3.00,3.00,0.77,3.37,0.23,1.12,0.00,1.82,1.00,0.10,0.0000,0.0009,   320,20.59,79.41,0.00,0.00,0.00,47,2008.98,596.82,2598.81,6.73,168.31,1.55,38.65,
2024-02-26,14:04:21.572,0.15,2.41,0.06,1.12,0.03,25.59,1.00,0.33,0.0000,0.0033, 11720,0.55,0.83,99,45,7821.46,3248.75,2597.46,4.82,120.38,0.30,7.53,0.03,1.54,0.02,1.21,0.02,3.11,0.99,0.57,0.0000,0.0019, 23240,0.80,0.01,98,42,1656.77,1076.23,2597.46,3.08,76.97,0.06,1.59,5.61,75.13,0.02,19.24,0.00,100.00,0.00,0.00,0.00,0.00,1.71,29.83,0.17,68.29,0.00,100.00,0.00,0.00,0.00,0.00,77.92,53.58,4.58 ,4.54 ,0.33 ,0.33 ,3.00,3.00,0.43,2.76,0.16,1.12,0.00,3.11,1.00,0.09,0.0000,0.0028,   720,14.05,85.95,0.00,0.00,0.00,47,1124.74,406.93,2597.46,5.53,138.20,0.87,21.65,
2024-02-26,14:04:22.572,0.15,2.35,0.06,1.12,0.04,26.53,1.00,0.35,0.0000,0.0034, 12640,0.51,0.78,99,45,7768.17,3301.65,2597.24,4.71,117.64,0.30,7.48,0.03,1.42,0.02,1.22,0.02,3.15,0.99,0.42,0.0000,0.0021, 24280,0.77,0.01,98,41,1529.45,1079.08,2597.24,2.83,70.87,0.06,1.47,5.70,76.68,0.01,17.61,0.00,100.00,0.00,0.00,0.00,0.00,1.71,28.26,0.14,69.90,0.00,100.00,0.00,0.00,0.00,0.00,78.84,52.73,4.57 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.41,2.72,0.15,1.12,0.00,3.17,1.00,0.09,0.0000,0.0030,   840,13.63,86.37,0.00,0.00,0.00,47,1074.91,394.96,2597.24,5.44,136.08,0.83,20.69,
2024-02-26,14:04:23.572,0.15,2.31,0.06,1.12,0.04,27.26,1.00,0.34,0.0000,0.0035, 12760,0.48,0.75,99,46,7771.99,3360.76,2597.18,4.63,115.63,0.30,7.48,0.03,1.50,0.02,1.22,0.02,3.17,0.99,0.41,0.0000,0.0020, 23800,0.77,0.01,98,42,1567.46,1046.91,2597.18,2.99,74.86,0.06,1.51,5.80,76.62,0.02,17.57,0.00,100.00,0.00,0.00,0.00,0.00,1.65,28.38,0.13,69.84,0.00,100.00,0.00,0.00,0.00,0.00,78.84,52.83,4.56 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.42,2.69,0.16,1.12,0.00,3.34,1.00,0.09,0.0000,0.0031,   640,13.98,86.02,0.00,0.00,0.00,48,1087.71,405.07,2597.18,5.37,134.26,0.84,20.94,
2024-02-26,14:04:24.572,0.15,2.31,0.06,1.12,0.04,27.77,1.00,0.34,0.0000,0.0036, 13280,0.46,0.73,99,44,7725.21,3342.19,2597.02,4.62,115.57,0.30,7.44,0.03,1.50,0.02,1.22,0.02,3.12,0.99,0.40,0.0000,0.0020, 24160,0.78,0.01,98,42,1548.42,1033.60,2597.02,3.00,74.90,0.06,1.49,5.77,76.74,0.02,17.47,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.44,0.16,69.77,0.00,100.00,0.00,0.00,0.00,0.00,78.87,52.80,4.55 ,4.54 ,0.33 ,0.33 ,3.00,3.00,0.41,2.63,0.16,1.12,0.00,3.43,1.00,0.09,0.0000,0.0032,   760,14.06,85.94,0.00,0.00,0.00,46,1071.62,407.23,2597.02,5.26,131.57,0.83,20.63,
2024-02-26,14:04:25.572,0.15,2.32,0.06,1.12,0.05,27.51,1.00,0.34,0.0000,0.0036, 13560,0.44,0.72,99,45,7656.69,3305.85,2596.96,4.63,115.81,0.29,7.37,0.03,1.48,0.02,1.22,0.03,3.11,0.99,0.40,0.0000,0.0021, 24360,0.77,0.01,98,42,1492.59,1007.95,2596.96,2.96,74.04,0.06,1.44,5.71,77.06,0.02,17.22,0.00,100.00,0.00,0.00,0.00,0.00,1.59,28.68,0.13,69.59,0.00,100.00,0.00,0.00,0.00,0.00,78.98,52.80,4.52 ,4.52 ,0.33 ,0.33 ,3.00,3.00,0.41,2.65,0.15,1.12,0.00,3.44,1.00,0.09,0.0000,0.0033,   720,13.73,86.27,0.00,0.00,0.00,47,1054.25,397.70,2596.96,5.30,132.55,0.81,20.30,
2024-02-26,14:04:26.572,0.15,2.21,0.07,1.12,0.12,27.50,1.00,0.35,0.0000,0.0036, 14120,0.46,0.77,98,45,7645.16,3452.45,2596.96,4.43,110.72,0.29,7.36,0.03,1.42,0.02,1.20,0.11,3.76,0.97,0.42,0.0001,0.0024, 24560,0.89,0.05,95,42,1581.85,1113.02,2596.96,2.84,71.06,0.06,1.52,5.96,77.52,0.07,16.45,0.00,100.00,0.00,0.00,0.00,0.00,1.78,31.04,0.21,66.97,0.00,100.00,0.00,0.00,0.00,0.00,79.14,53.55,4.54 ,4.58 ,0.33 ,0.33 ,3.00,3.00,0.39,2.57,0.15,1.12,0.00,3.23,1.00,0.10,0.0000,0.0031,   800,13.79,86.21,0.00,0.00,0.00,47,1025.42,399.44,2596.96,5.13,128.36,0.79,19.74,
2024-02-26,14:04:27.573,0.15,2.29,0.06,1.12,0.04,29.20,1.00,0.34,0.0000,0.0038, 14360,0.40,0.70,99,44,7686.44,3351.28,2599.67,4.59,114.68,0.30,7.39,0.03,1.51,0.02,1.22,0.02,3.21,0.99,0.40,0.0000,0.0021, 24280,0.81,0.01,98,42,1559.58,1034.20,2599.67,3.02,75.40,0.06,1.50,5.78,76.55,0.01,17.66,0.00,100.00,0.00,0.00,0.00,0.00,1.63,28.17,0.13,70.07,0.00,100.00,0.00,0.00,0.00,0.00,79.08,52.80,4.49 ,4.54 ,0.33 ,0.33 ,3.00,3.00,0.41,2.61,0.16,1.12,0.00,3.66,1.00,0.09,0.0000,0.0034,  1040,14.03,85.97,0.00,0.00,0.00,47,1063.13,406.79,2599.67,5.23,130.67,0.82,20.45,
2024-02-26,14:04:28.573,0.14,2.26,0.06,1.12,0.05,28.99,1.00,0.34,0.0000,0.0039, 14640,0.39,0.69,99,44,7526.29,3332.57,2596.85,4.52,112.92,0.29,7.25,0.03,1.51,0.02,1.22,0.02,3.11,0.99,0.41,0.0000,0.0020, 24360,0.78,0.01,98,41,1533.11,1013.53,2596.85,3.03,75.63,0.06,1.48,5.75,76.54,0.01,17.69,0.00,100.00,0.00,0.00,0.00,0.00,1.60,28.27,0.13,70.01,0.00,100.00,0.00,0.00,0.00,0.00,78.97,52.87,4.49 ,4.53 ,0.33 ,0.33 ,3.00,3.00,0.40,2.55,0.16,1.12,0.00,3.67,1.00,0.09,0.0000,0.0035,  1080,14.03,85.97,0.00,0.00,0.00,46,1034.54,406.44,2596.85,5.09,127.27,0.80,19.92,
